Arc_length vs Data,017_03months_DTI_antsBM,018_03months_DTI_antsBM,020_02months_DTI_antsBM,021_02months_DTI_antsBM,022_02months_DTI_antsBM,023_02months_DTI_antsBM,026_03months_DTI_antsBM,027_03months_DTI_antsBM,032_03months_DTI_antsBM,034_03months_DTI_antsBM,035_03months_DTI_antsBM,036_03months_DTI_antsBM,Atlas
-20.6662,0.164889,0.133087,0.129327,0.140416,0.151147,0.103815,0.137795,0.150592,0.128796,0.134989,0.141766,-nan,0.13227
-20.1662,0.176562,0.145243,0.144085,0.154329,0.163229,0.115196,0.144131,0.180988,0.143113,0.154704,0.154852,-nan,0.137727
-19.6662,0.187872,0.158378,0.157163,0.166959,0.172905,0.124068,0.150634,0.20066,0.156158,0.171726,0.165257,-nan,0.143023
-19.1662,0.194073,0.169787,0.165448,0.174342,0.17712,0.129944,0.157206,-nan,0.163865,0.180487,0.175003,-nan,0.147112
-18.6662,0.19614,0.179326,0.175334,0.180763,0.175678,0.138776,0.164403,-nan,0.170854,0.185739,0.178619,-nan,0.149035
-18.1662,0.201753,0.187445,0.184941,0.187252,0.175288,0.148826,0.174337,-nan,0.177003,0.188767,0.187181,-nan,0.15273
-17.6662,0.207736,0.19335,0.192879,0.192478,0.176136,0.158479,0.184739,-nan,0.180838,0.189621,0.198116,-nan,0.157128
-17.1662,0.212356,0.196666,0.198609,0.196684,0.177402,0.16726,0.193162,-nan,0.182457,0.188842,0.208496,-nan,0.161477
-16.6662,0.215086,0.197373,0.200861,0.199647,0.178852,0.174109,0.198171,0.215065,0.180797,0.187119,0.217609,-nan,0.165771
-16.1662,0.21388,0.195925,0.19935,0.201241,0.177706,0.177638,0.197649,0.218449,0.175999,0.185306,0.220041,0.197866,0.168734
-15.6662,0.211526,0.194454,0.197311,0.20432,0.174174,0.179096,0.19481,0.217494,0.171506,0.186322,0.21747,0.195608,0.17222
-15.1662,0.211893,0.196448,0.198754,0.211721,0.171726,0.18211,0.195171,0.214716,0.171627,0.19296,0.214797,0.193882,0.17933
-14.6662,0.217928,0.204381,0.206848,0.225742,0.175296,0.189643,0.202855,0.216507,0.179363,0.206498,0.217201,0.198543,0.192451
-14.1662,0.231525,0.219672,0.22256,0.247867,0.190134,0.204364,0.219415,0.228204,0.194871,0.226795,0.228551,0.214616,0.212869
-13.6662,0.252617,0.24249,0.244096,0.276426,0.21687,0.226121,0.242904,0.249915,0.215814,0.251514,0.248905,0.241381,0.239153
-13.1662,0.279921,0.271054,0.268918,0.308749,0.25184,0.252455,0.270411,0.277745,0.239292,0.278713,0.276125,0.274707,0.269471
-12.6662,0.309813,0.301611,0.293178,0.339843,0.286836,0.28047,0.29771,0.305535,0.263666,0.305948,0.306069,0.309368,0.300842
-12.1662,0.338643,0.329645,0.314625,0.365086,0.314449,0.308377,0.322523,0.329652,0.289532,0.331152,0.33491,0.341262,0.330913
-11.6662,0.365109,0.353332,0.33497,0.384802,0.333885,0.336799,0.346107,0.351215,0.31916,0.353305,0.362052,0.368862,0.359518
-11.1662,0.390973,0.374676,0.358497,0.405083,0.351246,0.367316,0.372111,0.374068,0.354744,0.374688,0.390214,0.393458,0.387344
-10.6662,0.418598,0.398194,0.388491,0.433448,0.374448,0.39973,0.403637,0.401717,0.395179,0.400028,0.421754,0.417143,0.414345
-10.1662,0.44801,0.426626,0.423621,0.472537,0.406502,0.431278,0.439171,0.434035,0.435392,0.431559,0.456316,0.440856,0.43886
