Arc_length vs Data,017_03months_DTI_antsBM,018_03months_DTI_antsBM,020_02months_DTI_antsBM,021_02months_DTI_antsBM,022_02months_DTI_antsBM,023_02months_DTI_antsBM,026_03months_DTI_antsBM,027_03months_DTI_antsBM,032_03months_DTI_antsBM,034_03months_DTI_antsBM,035_03months_DTI_antsBM,036_03months_DTI_antsBM,Atlas
-32.5539,0.111302,0.118262,0.0757107,0.0885828,0.0776003,0.0932022,0.107084,0.0852073,0.103769,0.0855351,0.0872922,0.101857,0.159419
-32.0539,0.109231,0.117187,0.0876786,0.0911088,0.0757696,0.0998088,0.10495,0.0872812,0.0961515,0.0879955,0.0882594,0.108204,0.163824
-31.5539,0.106973,0.116126,0.100715,0.0965109,0.07558,0.104585,0.104464,0.0891875,0.0914519,0.0934795,0.0930671,0.112298,0.164415
-31.0539,0.105435,0.113503,0.10786,0.101741,0.0769565,0.104147,0.105492,0.089348,0.0925676,0.0989982,0.0984059,0.111634,0.159628
-30.5539,0.10576,0.111028,0.105725,0.104857,0.0784583,0.0993899,0.107535,0.0878211,0.0966259,0.101241,0.0989963,0.110409,0.155544
-30.0539,0.107373,0.109128,0.102526,0.106965,0.080453,0.095032,0.108791,0.0871281,0.0988294,0.102045,0.0968317,0.111536,0.155027
-29.5539,0.109672,0.107582,0.0998652,0.108987,0.0827015,0.0918016,0.108736,0.0872676,0.0990675,0.100883,0.0945925,0.113032,0.156164
-29.0539,0.111532,0.106297,0.0987397,0.110881,0.0848046,0.0900312,0.106823,0.087576,0.0975837,0.0983259,0.0921374,0.114838,0.158095
-28.5539,0.109923,0.105356,0.101216,0.109633,0.0839928,0.0888161,0.103438,0.0873245,0.0924328,0.0938944,0.0874151,0.113684,0.165446
-28.0539,0.105452,0.107805,0.108703,0.103405,0.0793876,0.0895026,0.103029,0.0885486,0.0855065,0.0922676,0.0845057,0.107164,0.186293
-27.5539,0.105204,0.113541,0.1164,0.0991316,0.0771991,0.0938398,0.106996,0.0941952,0.0834352,0.0955979,0.0885267,0.102127,0.208825
-27.0539,0.110818,0.121007,0.123593,0.0998823,0.0808529,0.101358,0.112863,0.104021,0.0875733,0.102106,0.0979948,0.101832,0.229159
-26.5539,0.121039,0.130205,0.131243,0.106385,0.0900223,0.111463,0.119683,0.117477,0.0974414,0.110977,0.110827,0.10758,0.24796
-26.0539,0.134022,0.141556,0.139805,0.117684,0.103672,0.123645,0.127107,0.133725,0.111457,0.121377,0.124902,0.118382,0.265648
-25.5539,0.15007,0.156387,0.150719,0.134158,0.121147,0.138129,0.136587,0.152305,0.128833,0.135081,0.140213,0.13381,0.282722
-25.0539,0.168917,0.175029,0.163996,0.155288,0.140463,0.154568,0.149504,0.17217,0.14847,0.1522,0.157879,0.151706,0.296912
-24.5539,0.191823,0.197365,0.180704,0.181588,0.162334,0.173977,0.168178,0.193965,0.171311,0.1736,0.179558,0.172708,0.307717
-24.0539,0.221903,0.225413,0.203526,0.216036,0.190263,0.200185,0.197129,0.220483,0.201443,0.20265,0.209665,0.200867,0.318366
-23.5539,0.256945,0.257797,0.231111,0.256225,0.224233,0.233013,0.234807,0.251258,0.237705,0.237253,0.246974,0.235662,0.331744
-23.0539,0.294291,0.293473,0.261769,0.299076,0.262575,0.270637,0.277735,0.285872,0.277639,0.275649,0.289084,0.275165,0.350961
-22.5539,0.327259,0.327034,0.29048,0.337074,0.298266,0.306104,0.317548,0.318844,0.313664,0.311126,0.327987,0.311863,0.372985
-22.0539,0.35259,0.354864,0.314815,0.366948,0.327231,0.335318,0.348832,0.347425,0.34214,0.340311,0.358729,0.342305,0.395402
-21.5539,0.371608,0.376841,0.335655,0.389638,0.348784,0.358159,0.37034,0.371238,0.36352,0.363443,0.381137,0.367037,0.416745
-21.0539,0.38678,0.394076,0.354427,0.407743,0.364508,0.376799,0.383257,0.39014,0.379482,0.382085,0.397343,0.388831,0.436357
-20.5539,0.401608,0.409407,0.372403,0.424922,0.377727,0.393681,0.391672,0.405902,0.393773,0.399721,0.412039,0.411083,0.454439
-20.0539,0.416824,0.423652,0.38891,0.441468,0.390158,0.408548,0.398971,0.419063,0.407657,0.416519,0.426449,0.433861,0.470146
-19.5539,0.431695,0.436533,0.402816,0.456068,0.403194,0.420716,0.407983,0.430614,0.421756,0.432165,0.439692,0.455801,0.483012
-19.0539,0.445992,0.447019,0.413829,0.467267,0.417131,0.42949,0.420106,0.441448,0.435935,0.446071,0.450759,0.474719,0.493171
-18.5539,0.459778,0.454359,0.423165,0.474204,0.431067,0.435703,0.435235,0.451062,0.448657,0.457192,0.459295,0.488954,0.500841
-18.0539,0.474063,0.45906,0.432328,0.477879,0.444779,0.440029,0.45182,0.459996,0.460028,0.466204,0.466963,0.498905,0.506658
-17.5539,0.490286,0.463089,0.44233,0.480969,0.459109,0.443486,0.46962,0.469544,0.471327,0.474855,0.476016,0.506244,0.51142
-17.0539,0.508722,0.468384,0.453429,0.486091,0.474539,0.446987,0.488704,0.480139,0.483746,0.484518,0.487278,0.512387,0.515731
-16.5539,0.528898,0.476006,0.464955,0.495633,0.492022,0.451457,0.508749,0.491851,0.498141,0.496572,0.501792,0.518461,0.520099
-16.0539,0.548833,0.486267,0.476274,0.510342,0.510851,0.459267,0.530228,0.503255,0.514349,0.510851,0.51808,0.524871,0.524193
-15.5539,0.566088,0.498058,0.487685,0.527425,0.528148,0.470504,0.550715,0.512892,0.531089,0.526512,0.533726,0.531446,0.527409
-15.0539,0.577845,0.511308,0.499384,0.543285,0.542318,0.484103,0.567977,0.519956,0.54524,0.54195,0.546384,0.537684,0.528336
-14.5539,0.582185,0.524053,0.510341,0.553626,0.552354,0.496112,0.580715,0.523886,0.555273,0.554581,0.554112,0.542979,0.526567
-14.0539,0.577869,0.534259,0.517547,0.555748,0.555976,0.501501,0.585917,0.524385,0.559868,0.561286,0.556829,0.545376,0.520286
-13.5539,0.564793,0.538982,0.518862,0.548594,0.552282,0.499626,0.583838,0.522138,0.556384,0.560842,0.553542,0.54097,0.50817
-13.0539,0.545561,0.536893,0.514834,0.535126,0.54142,0.491044,0.575373,0.517838,0.546382,0.555091,0.545269,0.529161,0.491181
-12.5539,0.522678,0.526498,0.504627,0.518134,0.525404,0.478889,0.563136,0.512665,0.531841,0.543555,0.533966,0.511454,0.469678
-12.0539,0.502047,0.509338,0.492951,0.500499,0.510254,0.467425,0.552694,0.508676,0.513922,0.52984,0.521914,0.491121,0.445203
-11.5539,0.485952,0.488695,0.479984,0.483692,0.498321,0.454827,0.543972,0.50385,0.496954,0.515623,0.510461,0.473292,0.420946
-11.0539,0.471637,0.464343,0.464206,0.465037,0.48617,0.441334,0.533236,0.495499,0.477339,0.500035,0.49539,0.455761,0.397728
-10.5539,0.451383,0.441627,0.444184,0.441639,0.467062,0.422859,0.514236,0.478895,0.450431,0.482251,0.469673,0.433531,0.379042
-10.0539,0.422013,0.429042,0.417088,0.413248,0.439015,0.40013,0.486304,0.454006,0.417295,0.458711,0.435195,0.408119,0.369303
-9.5539,0.391993,0.432055,0.388661,0.384164,0.408686,0.382007,0.459521,0.429024,0.385656,0.433538,0.40403,0.387762,0.371293
