Arc_length vs Data,017_03months_DTI_antsBM,018_03months_DTI_antsBM,020_02months_DTI_antsBM,021_02months_DTI_antsBM,022_02months_DTI_antsBM,023_02months_DTI_antsBM,026_03months_DTI_antsBM,027_03months_DTI_antsBM,032_03months_DTI_antsBM,034_03months_DTI_antsBM,035_03months_DTI_antsBM,036_03months_DTI_antsBM,Atlas
-31.8123,0.16432,0.201327,0.194873,0.144659,0.18443,0.194456,0.19565,0.159791,0.150836,0.164761,0.214571,0.157424,0.185568
-31.3123,0.173079,0.211541,0.205391,0.151943,0.193405,0.204192,0.199837,0.173338,0.163088,0.180142,0.218537,0.167092,0.189748
-30.8123,0.18468,0.224794,0.219258,0.161556,0.205799,0.217919,0.20406,0.189586,0.179474,0.19914,0.230537,0.179852,0.195726
-30.3123,0.197526,0.23938,0.233639,0.17122,0.218494,0.232665,0.210363,0.206377,0.198034,0.217918,0.245053,0.194197,0.202515
-29.8123,0.212666,0.257747,0.25131,0.181813,0.233886,0.250577,0.221613,0.225202,0.219356,0.237448,0.263225,0.210638,0.208626
-29.3123,0.226582,0.275355,0.266028,0.191248,0.248285,0.267875,0.235691,0.242211,0.239514,0.254098,0.28094,0.226415,0.214377
-28.8123,0.236887,0.289504,0.275928,0.198463,0.259486,0.282521,0.250642,0.256426,0.256173,0.266583,0.295859,0.240026,0.219385
-28.3123,0.243314,0.299533,0.282713,0.203869,0.267506,0.294673,0.264338,0.268502,0.268466,0.27572,0.307658,0.250437,0.223981
-27.8123,0.246458,0.305036,0.286529,0.207917,0.272421,0.304163,0.275293,0.278137,0.27606,0.282237,0.316721,0.25736,0.228718
-27.3123,0.247482,0.30666,0.287315,0.211042,0.274998,0.311403,0.283035,0.284898,0.279877,0.286643,0.323988,0.261198,0.233741
-26.8123,0.247679,0.30509,0.284221,0.213417,0.275377,0.316083,0.287683,0.288101,0.280593,0.289193,0.329514,0.262158,0.239396
-26.3123,0.247879,0.30089,0.276558,0.214769,0.273671,0.317998,0.290042,0.287654,0.279139,0.289994,0.333419,0.26096,0.245528
-25.8123,0.248198,0.294297,0.265178,0.214741,0.269863,0.317058,0.290775,0.284343,0.275919,0.288853,0.335116,0.257997,0.252338
-25.3123,0.249112,0.286243,0.252611,0.21328,0.264588,0.31359,0.290494,0.279587,0.271498,0.286263,0.334236,0.254129,0.259313
-24.8123,0.250275,0.277207,0.240345,0.210547,0.258606,0.308234,0.289614,0.274256,0.266842,0.282454,0.330558,0.250584,0.265722
-24.3123,0.251414,0.267648,0.229064,0.207277,0.252407,0.301673,0.28813,0.268438,0.262841,0.277543,0.324281,0.247773,0.271445
-23.8123,0.252129,0.258139,0.219602,0.204137,0.246476,0.294018,0.285751,0.261653,0.260238,0.271404,0.316085,0.245204,0.275804
-23.3123,0.251626,0.248921,0.212647,0.201773,0.24131,0.285444,0.282374,0.253929,0.258113,0.263875,0.307113,0.242182,0.278763
-22.8123,0.249823,0.240654,0.208711,0.200136,0.237067,0.276306,0.277943,0.246209,0.255174,0.255444,0.298223,0.238886,0.280459
-22.3123,0.246623,0.233312,0.207358,0.198944,0.233113,0.266498,0.272594,0.239538,0.250233,0.246709,0.289038,0.235733,0.28102
-21.8123,0.242296,0.227226,0.20778,0.19787,0.229022,0.257013,0.267032,0.234552,0.243755,0.238775,0.279922,0.232591,0.280793
-21.3123,0.237367,0.222363,0.209079,0.196902,0.224601,0.248304,0.261882,0.230847,0.237359,0.232588,0.271741,0.228579,0.279759
-20.8123,0.232128,0.218238,0.210578,0.196192,0.220111,0.240372,0.257302,0.227706,0.231997,0.228525,0.265465,0.223019,0.277942
-20.3123,0.227164,0.214754,0.211623,0.195878,0.215846,0.2334,0.252814,0.225241,0.227403,0.226533,0.260673,0.216402,0.275267
-19.8123,0.222685,0.211115,0.211138,0.195586,0.211398,0.226462,0.246095,0.223454,0.222181,0.225431,0.255113,0.209169,0.271262
-19.3123,0.217885,0.205812,0.207291,0.194436,0.206177,0.21833,0.234865,0.220936,0.214948,0.222827,0.246803,0.201045,0.265414
-18.8123,0.211255,0.197001,0.197697,0.191285,0.199075,0.207756,0.217805,0.214223,0.204769,0.215792,0.233822,0.191417,0.257191
-18.3123,0.200882,0.183741,0.18091,0.185134,0.188649,0.193921,0.195387,0.200118,0.191033,0.202163,0.215774,0.180501,0.245856
-17.8123,0.187312,0.168135,0.16039,0.17664,0.174583,0.178481,0.172157,0.179461,0.175041,0.183439,0.195431,0.169833,0.230806
-17.3123,0.175653,0.156137,0.144931,0.168621,0.162217,0.16652,0.156375,0.160638,0.161692,0.165794,0.178355,0.162468,0.217118
-16.8123,0.168736,0.150857,0.138958,0.163086,0.157144,0.16072,0.151673,0.149916,0.154139,0.153029,0.16831,0.159965,0.208859
-16.3123,0.167108,0.151859,0.141759,0.161655,0.160391,0.160928,0.15637,0.147926,0.152839,0.146543,0.166151,0.162049,0.207767
-15.8123,0.16892,0.156198,0.14848,0.164212,0.168663,0.164222,0.164621,0.15077,0.15531,0.144872,0.169372,0.167263,0.212893
-15.3123,0.171139,0.160883,0.154672,0.169026,0.17556,0.167575,0.170403,0.153216,0.15837,0.146513,0.174451,0.173535,0.220081
-14.8123,0.172525,0.164634,0.159947,0.173447,0.177454,0.169579,0.172443,0.153998,0.160208,0.150468,0.178193,0.178827,0.226285
-14.3123,0.173891,0.167643,0.164592,0.174852,0.176439,0.170508,0.173031,0.154876,0.161104,0.155166,0.179171,0.182155,0.230265
-13.8123,0.177348,0.170878,0.168703,0.173971,0.1764,0.172107,0.175875,0.158639,0.162835,0.15979,0.179004,0.183857,0.232601
