Arc_length vs Data,017_03months_DTI_antsBM,018_03months_DTI_antsBM,020_02months_DTI_antsBM,021_02months_DTI_antsBM,022_02months_DTI_antsBM,023_02months_DTI_antsBM,026_03months_DTI_antsBM,027_03months_DTI_antsBM,032_03months_DTI_antsBM,034_03months_DTI_antsBM,035_03months_DTI_antsBM,036_03months_DTI_antsBM,Atlas
-19.028,0.0946903,0.115716,0.0807431,0.118055,0.0972129,0.0700998,0.119973,0.0914645,0.0998409,0.0909523,0.133424,0.103218,0.128753
-18.528,0.113666,0.124459,0.0924447,0.133013,0.117208,0.0856704,0.124402,0.0961536,0.117441,0.0990019,0.133587,0.115592,0.133063
-18.028,0.127523,0.136553,0.102884,0.150351,0.136197,0.100601,0.12951,0.102132,0.135925,0.110035,0.137516,0.123363,0.136313
-17.528,0.134496,0.147432,0.111494,0.164483,0.153501,0.112812,0.1323,0.107301,0.151528,0.122439,0.139915,0.128223,0.138566
-17.028,0.13509,0.15267,0.117935,0.170376,0.166062,0.119347,0.134153,0.112787,0.157669,0.132852,0.14116,0.132577,0.138374
-16.528,0.132593,0.149569,0.12744,0.163597,0.174497,0.120282,0.147069,0.12756,0.146869,0.137666,0.142331,0.140499,0.134484
-16.028,0.141989,0.150445,0.141615,0.156512,0.179905,0.121915,0.175571,0.14665,0.141606,0.139893,0.150898,0.153943,0.133818
-15.528,0.15647,0.160288,0.158133,0.160318,0.18529,0.128917,0.202339,0.160541,0.151255,0.14526,0.163143,0.168381,0.138802
-15.028,0.170688,0.174681,0.17532,0.171401,0.191039,0.137872,0.224015,0.170315,0.166711,0.153634,0.175656,0.182494,0.146556
-14.528,0.185533,0.189736,0.192321,0.185376,0.196153,0.146375,0.241561,0.178791,0.183676,0.165195,0.187396,0.197148,0.155878
-14.028,0.199738,0.202944,0.208099,0.19905,0.201414,0.154944,0.254863,0.187202,0.199852,0.17929,0.197734,0.211656,0.166406
-13.528,0.211596,0.212556,0.221349,0.210179,0.207635,0.164536,0.263566,0.195943,0.213692,0.19431,0.207683,0.225089,0.177569
-13.028,0.220074,0.218961,0.231581,0.217808,0.215407,0.176121,0.268969,0.205394,0.224301,0.208804,0.219009,0.237983,0.18884
-12.528,0.225683,0.224058,0.239042,0.223148,0.224909,0.189694,0.273377,0.21519,0.231722,0.221686,0.231886,0.25041,0.200677
-12.028,0.230296,0.22905,0.244489,0.228538,0.235251,0.203622,0.278219,0.224505,0.237272,0.233047,0.245425,0.262357,0.213367
-11.528,0.235147,0.233749,0.248403,0.23528,0.245057,0.216305,0.283808,0.232734,0.24228,0.243022,0.257153,0.272847,0.227741
-11.028,0.240412,0.237048,0.251331,0.243502,0.253046,0.226735,0.289621,0.239373,0.247248,0.251908,0.265418,0.280145,0.243841
-10.528,0.245978,0.238814,0.254043,0.252836,0.258429,0.234577,0.295232,0.24441,0.252684,0.260204,0.270762,0.284255,0.260928
-10.028,0.251355,0.24011,0.25641,0.263247,0.261395,0.239752,0.300331,0.248376,0.258357,0.268288,0.274531,0.286509,0.277213
-9.52798,0.257663,0.243334,0.259192,0.276129,0.264741,0.24317,0.305912,0.252821,0.264996,0.277653,0.27945,0.290123,0.29135
-9.02798,0.265851,0.25003,0.263627,0.292388,0.271564,0.246536,0.31307,0.259555,0.273461,0.289634,0.287816,0.298321,0.302779
-8.52798,0.275737,0.260254,0.270495,0.310577,0.282743,0.251254,0.322246,0.269494,0.28387,0.304243,0.299829,0.311749,0.310813
-8.02798,0.287012,0.27392,0.280881,0.327614,0.297742,0.259112,0.333862,0.283364,0.297173,0.32093,0.314762,0.329512,0.316129
-7.52798,0.297843,0.29008,0.295089,0.338948,0.313849,0.270841,0.346988,0.300673,0.314175,0.337409,0.330548,0.349293,0.319796
-7.02798,0.305021,0.307455,0.312744,0.341691,0.327572,0.286642,0.35995,0.318829,0.335239,0.350496,0.344507,0.36868,0.323759
-6.52798,0.307621,0.324582,0.330393,0.337367,0.337621,0.305853,0.371344,0.334504,0.358626,0.358754,0.356555,0.386872,0.329695
-6.02798,0.307981,0.337103,0.341035,0.330655,0.34244,0.32471,0.377908,0.344499,0.379001,0.3613,0.365711,0.40211,0.3379
-5.52798,0.308355,0.340668,0.338491,0.325626,0.340403,0.337882,0.376278,0.345507,0.387292,0.356502,0.369313,0.410421,0.348493
-5.02798,0.310033,0.334949,0.323441,0.323053,0.33293,0.340505,0.366136,0.338805,0.377517,0.344297,0.365743,0.408509,0.362849
-4.52798,0.312445,0.326564,0.306085,0.32398,0.32412,0.332409,0.352723,0.329104,0.352316,0.329483,0.356153,0.397071,0.38383
-4.02798,0.317421,0.325468,0.302071,0.333001,0.322702,0.322614,0.348896,0.32523,0.32675,0.322567,0.34965,0.38643,0.413319
-3.52798,0.331485,0.340952,0.32291,0.355896,0.338194,0.32581,0.366922,0.335731,0.321568,0.334428,0.35737,0.391506,0.451859
-3.02798,0.358891,0.374274,0.363321,0.393532,0.372509,0.349167,0.408106,0.364592,0.343773,0.367926,0.385046,0.420296,0.495443
-2.52798,0.397526,0.414882,0.409405,0.434849,0.416051,0.387168,0.461734,0.4059,0.382781,0.412357,0.425635,0.466109,0.537289
-2.02798,0.439619,0.452134,0.448548,0.466656,0.454639,0.426063,0.509081,0.445549,0.422023,0.453354,0.465746,0.513061,0.57041
-1.52798,0.475952,0.478264,0.478462,0.486218,0.480415,0.454918,0.537649,0.474842,0.454322,0.48359,0.494838,0.5495,0.589751
-1.02798,0.498506,0.492782,0.502061,0.497691,0.494719,0.47256,0.55137,0.49076,0.477829,0.499831,0.509893,0.571244,0.596521
-0.527979,0.50984,0.503726,0.522559,0.509441,0.507723,0.485344,0.563463,0.501567,0.493851,0.507938,0.51996,0.583821,0.596888
-0.0279793,0.518646,0.516763,0.54146,0.530268,0.527556,0.500935,0.583374,0.517186,0.509747,0.516793,0.533922,0.593371,0.600571
0.472021,0.525024,0.526139,0.549531,0.547021,0.544903,0.512911,0.601478,0.531036,0.520069,0.524715,0.546489,0.595388,0.60682
0.972021,0.524048,0.523756,0.543434,0.546286,0.547543,0.512931,0.601522,0.533463,0.521714,0.528175,0.546235,0.585966,0.608321
1.47202,0.506556,0.501991,0.520619,0.522107,0.528521,0.496233,0.575524,0.516276,0.509924,0.519204,0.52552,0.562595,0.596264
1.97202,0.470127,0.461025,0.481154,0.477147,0.489934,0.464582,0.530755,0.480858,0.479688,0.492675,0.486747,0.525916,0.567993
2.47202,0.42432,0.411125,0.435717,0.426254,0.446968,0.431658,0.481288,0.43982,0.441207,0.455906,0.440731,0.487981,0.528666
2.97202,0.380646,0.366309,0.394363,0.381795,0.409833,0.405437,0.439342,0.403119,0.408684,0.418875,0.398305,0.455916,0.487024
3.47202,0.346846,0.337881,0.364804,0.350334,0.383763,0.387736,0.411448,0.378083,0.389189,0.389688,0.366342,0.43226,0.449461
3.97202,0.324512,0.328079,0.350995,0.329107,0.368619,0.3775,0.397169,0.365423,0.384155,0.371737,0.346076,0.416706,0.417938
4.47202,0.310606,0.330927,0.349071,0.316743,0.35806,0.369735,0.392464,0.358936,0.388508,0.362456,0.336655,0.403176,0.393681
4.97202,0.300191,0.336233,0.353712,0.309464,0.349222,0.362846,0.3906,0.353399,0.396255,0.358712,0.333065,0.390077,0.374462
5.47202,0.289609,0.337329,0.359691,0.305536,0.339214,0.354953,0.387684,0.346221,0.403403,0.358002,0.331181,0.377338,0.358719
5.97202,0.27975,0.334318,0.364299,0.304722,0.329123,0.346469,0.382659,0.33975,0.407222,0.358578,0.329405,0.366327,0.345627
6.47202,0.272961,0.330478,0.367183,0.306197,0.321195,0.339062,0.376876,0.336549,0.40802,0.359145,0.328489,0.357901,0.335363
6.97202,0.270239,0.327806,0.368585,0.309279,0.315983,0.334158,0.372437,0.337677,0.406021,0.358949,0.329471,0.352252,0.32776
