Arc_length vs Data,017_03months_DTI_antsBM,018_03months_DTI_antsBM,020_02months_DTI_antsBM,021_02months_DTI_antsBM,022_02months_DTI_antsBM,023_02months_DTI_antsBM,026_03months_DTI_antsBM,027_03months_DTI_antsBM,032_03months_DTI_antsBM,034_03months_DTI_antsBM,035_03months_DTI_antsBM,036_03months_DTI_antsBM,Atlas
-18.9593,0.204356,0.16917,0.158629,0.218579,0.175026,0.160417,0.184953,0.124175,0.189214,0.21827,0.216775,0.48767,0.133148
-18.4593,0.208861,0.170364,0.157766,0.226006,0.167025,0.169878,0.18424,0.12643,0.192138,0.221837,0.199708,0.391719,0.139639
-17.9593,0.207622,0.169439,0.15697,0.224296,0.159953,0.16938,0.18042,0.127751,0.19053,0.217252,0.191336,0.31507,0.143648
-17.4593,0.199359,0.166618,0.156684,0.214063,0.150717,0.162793,0.174312,0.127017,0.184121,0.207339,0.185416,0.247544,0.144891
-16.9593,0.183092,0.162443,0.158825,0.197869,0.136078,0.153547,0.166674,0.123194,0.173979,0.196969,0.178397,0.181149,0.143345
-16.4593,0.165932,0.155735,0.168755,0.174458,0.120771,0.149035,0.162046,0.122549,0.162609,0.192547,0.165062,0.143804,0.136569
-15.9593,0.170576,0.15196,0.182759,0.161669,0.126299,0.159444,0.166888,0.138985,0.160574,0.194065,0.150929,0.144279,0.132846
-15.4593,0.1862,0.154599,0.189012,0.165337,0.146103,0.171927,0.174883,0.161012,0.165946,0.193249,0.150898,0.156209,0.137186
-14.9593,0.198714,0.1595,0.189933,0.174874,0.166296,0.179977,0.181225,0.179619,0.173046,0.190419,0.159969,0.168117,0.144698
-14.4593,0.207619,0.165531,0.190582,0.186755,0.185149,0.185674,0.186645,0.195223,0.181039,0.187817,0.17209,0.180484,0.153147
-13.9593,0.213555,0.17266,0.193098,0.201031,0.204059,0.1915,0.193178,0.208955,0.19022,0.187086,0.186005,0.195478,0.162225
-13.4593,0.217009,0.180746,0.199096,0.215913,0.223,0.198711,0.202337,0.220717,0.200311,0.189814,0.200357,0.212012,0.171829
-12.9593,0.219407,0.190898,0.210352,0.229894,0.243015,0.20877,0.215711,0.231567,0.211134,0.19833,0.215009,0.228456,0.182744
-12.4593,0.223199,0.204821,0.227364,0.24358,0.265159,0.223141,0.234743,0.244094,0.223793,0.213935,0.231186,0.244584,0.19566
-11.9593,0.230977,0.222861,0.249445,0.259504,0.289403,0.242994,0.259231,0.261159,0.240559,0.23626,0.249659,0.260875,0.210886
-11.4593,0.24353,0.243166,0.274797,0.28012,0.314034,0.268321,0.287956,0.28381,0.2628,0.263273,0.270898,0.278713,0.228425
-10.9593,0.259328,0.263073,0.300793,0.305361,0.33495,0.296784,0.318373,0.31042,0.290039,0.291588,0.294694,0.298572,0.247275
-10.4593,0.275226,0.280891,0.32533,0.331619,0.348588,0.324245,0.347326,0.337022,0.320277,0.318579,0.31942,0.319412,0.266371
-9.95928,0.287904,0.29672,0.347503,0.353603,0.354118,0.346394,0.372136,0.359431,0.3507,0.342531,0.342307,0.339012,0.284625
-9.45928,0.294323,0.311044,0.366009,0.366604,0.354047,0.359656,0.389304,0.374374,0.378368,0.361708,0.359531,0.354616,0.300191
-8.95928,0.293836,0.324015,0.380046,0.369459,0.35331,0.364544,0.397889,0.38104,0.40135,0.375397,0.368317,0.364775,0.312096
-8.45928,0.287831,0.33373,0.388867,0.364568,0.354434,0.364087,0.399296,0.380665,0.418073,0.382967,0.368655,0.369792,0.319799
-7.95928,0.27957,0.338075,0.392114,0.35544,0.356175,0.361809,0.396409,0.375908,0.427544,0.385413,0.362709,0.371437,0.323758
-7.45928,0.272752,0.337119,0.390351,0.345414,0.356371,0.360181,0.393154,0.36874,0.429941,0.384044,0.353899,0.371378,0.325887
-6.95928,0.270598,0.334329,0.384983,0.336811,0.355471,0.3606,0.392696,0.361797,0.426913,0.379996,0.346677,0.371444,0.329568
-6.45928,0.275411,0.333935,0.377815,0.330884,0.356415,0.363955,0.39509,0.358695,0.420429,0.37514,0.343757,0.373825,0.337587
-5.95928,0.2859,0.336326,0.370093,0.328547,0.360912,0.369857,0.398748,0.360106,0.411994,0.370833,0.345052,0.379922,0.35101
-5.45928,0.299231,0.338558,0.362708,0.330065,0.368404,0.377292,0.402239,0.365005,0.402486,0.369083,0.348969,0.390622,0.369484
-4.95928,0.312613,0.337928,0.357674,0.336446,0.376185,0.385505,0.405837,0.370934,0.393181,0.372746,0.354683,0.405663,0.39253
-4.45928,0.32771,0.337134,0.359571,0.34733,0.385375,0.395833,0.412749,0.37731,0.389686,0.383885,0.365005,0.424593,0.421753
-3.95928,0.350099,0.345023,0.373508,0.365925,0.400553,0.410593,0.42771,0.390156,0.397053,0.404964,0.383863,0.448385,0.457356
-3.45928,0.385182,0.37097,0.402835,0.395435,0.425329,0.430634,0.455274,0.414093,0.41917,0.436693,0.414949,0.476921,0.500004
-2.95928,0.4324,0.416039,0.446437,0.437248,0.463959,0.458321,0.495822,0.451973,0.455807,0.477998,0.456585,0.512989,0.546767
-2.45928,0.485837,0.47251,0.497169,0.491471,0.512781,0.49274,0.54638,0.498902,0.500087,0.522456,0.504766,0.554363,0.592756
-1.95928,0.534908,0.526024,0.546298,0.547545,0.561966,0.529543,0.597978,0.544083,0.541247,0.559783,0.552657,0.596397,0.631767
-1.45928,0.568984,0.564575,0.58471,0.590579,0.599279,0.559592,0.639097,0.578337,0.567419,0.582274,0.588428,0.633117,0.655947
-0.959279,0.585428,0.582865,0.605787,0.607983,0.613985,0.573024,0.659678,0.593118,0.575635,0.587545,0.603359,0.655244,0.6637
-0.459279,0.589291,0.58353,0.610259,0.602048,0.605824,0.569307,0.656552,0.587791,0.573617,0.582491,0.597189,0.663042,0.660312
0.0407205,0.586535,0.573385,0.599627,0.581425,0.584603,0.554384,0.638049,0.570951,0.562826,0.575123,0.579962,0.659729,0.653771
0.540721,0.576613,0.560261,0.578409,0.562114,0.564291,0.537576,0.619518,0.554463,0.546455,0.567145,0.565822,0.649052,0.651061
1.04072,0.55686,0.547862,0.555387,0.551674,0.551301,0.522184,0.606896,0.543035,0.526475,0.556404,0.556911,0.6344,0.649963
1.54072,0.524017,0.528762,0.528621,0.538445,0.535017,0.499553,0.58916,0.524901,0.49733,0.534994,0.54113,0.608775,0.641457
2.04072,0.478501,0.494319,0.49229,0.512238,0.503898,0.461902,0.55332,0.489475,0.459462,0.496952,0.507297,0.565068,0.619567
2.54072,0.428055,0.447398,0.443843,0.469762,0.456937,0.413657,0.498039,0.44042,0.412118,0.446522,0.459204,0.507856,0.581832
3.04072,0.381819,0.398833,0.387764,0.416348,0.405231,0.368288,0.436987,0.391893,0.366446,0.393153,0.41136,0.45139,0.533895
3.54072,0.346167,0.363084,0.339406,0.370324,0.365604,0.342342,0.390687,0.361228,0.343003,0.353553,0.37984,0.414822,0.482972
4.04072,0.323973,0.350063,0.31725,0.345678,0.349445,0.342348,0.370807,0.353884,0.353001,0.339572,0.371528,0.406474,0.436138
4.54072,0.312204,0.354596,0.325767,0.339901,0.354171,0.356838,0.375066,0.36309,0.386468,0.347334,0.37981,0.417945,0.39918
5.04072,0.305168,0.365783,0.350856,0.344882,0.367638,0.369277,0.390428,0.377213,0.417793,0.364479,0.390983,0.431767,0.372038
5.54072,0.303332,0.372362,0.372502,0.353081,0.379944,0.368701,0.402334,0.387209,0.430106,0.379761,0.395575,0.436033,0.353485
6.04072,0.306595,0.36863,0.377636,0.362756,0.385177,0.356407,0.40551,0.387969,0.421383,0.388328,0.3932,0.429529,0.340328
6.54072,0.311707,0.355979,0.366216,0.373374,0.381328,0.338816,0.399989,0.378479,0.400275,0.390037,0.386156,0.415706,0.331874
7.04072,0.31385,0.339892,0.347019,0.380094,0.370405,0.322518,0.389344,0.36207,0.377085,0.385501,0.377044,0.398691,0.327799
7.54072,0.308968,0.324057,0.328569,0.376622,0.353698,0.310299,0.376463,0.34156,0.356247,0.37407,0.365376,0.37985,0.326897
8.04072,0.299014,0.30923,0.314098,0.362102,0.33421,0.301459,0.363288,0.321133,0.339146,0.357823,0.350573,0.360611,0.326688
8.54072,0.288284,0.296059,0.30314,0.341238,0.316287,0.294708,0.351746,0.303508,0.325034,0.340751,0.335614,0.343695,0.323981
9.04072,0.278567,0.285235,0.295117,0.31974,0.302704,0.288741,0.342567,0.289514,0.312807,0.325025,0.323075,0.330955,0.316822
9.54072,0.270652,0.277318,0.289379,0.301759,0.294222,0.282579,0.335358,0.279483,0.301928,0.311186,0.314042,0.323173,0.304755
10.0407,0.264382,0.271914,0.284926,0.288316,0.28893,0.275156,0.328768,0.272056,0.29189,0.298476,0.307484,0.318339,0.288471
10.5407,0.258851,0.267204,0.280436,0.277942,0.283579,0.265529,0.321718,0.264807,0.282065,0.285806,0.300376,0.312744,0.26997
11.0407,0.253459,0.261002,0.275007,0.26836,0.275343,0.252818,0.313232,0.255685,0.272523,0.272692,0.289661,0.303438,0.251268
11.5407,0.247906,0.252419,0.268041,0.258108,0.263435,0.2364,0.303474,0.24381,0.262906,0.258823,0.274185,0.28888,0.233621
12.0407,0.242029,0.242508,0.259266,0.247217,0.248901,0.217059,0.29377,0.230012,0.252773,0.243868,0.25484,0.270763,0.217689
12.5407,0.234686,0.232342,0.248424,0.235846,0.233503,0.196572,0.284615,0.215717,0.24135,0.227416,0.234635,0.251819,0.202845
13.0407,0.22441,0.222368,0.235895,0.223996,0.219728,0.178067,0.275919,0.203007,0.228054,0.209573,0.217441,0.234427,0.188846
13.5407,0.210898,0.211416,0.221192,0.210882,0.208819,0.16309,0.266025,0.192758,0.212628,0.191064,0.203807,0.218928,0.175552
14.0407,0.195514,0.198253,0.204441,0.196292,0.200711,0.151545,0.253104,0.184287,0.195735,0.173892,0.192698,0.204618,0.163176
14.5407,0.179829,0.183429,0.18664,0.181452,0.194505,0.142083,0.236773,0.176786,0.17816,0.159442,0.181929,0.190877,0.152164
15.0407,0.165594,0.168089,0.168706,0.167658,0.188929,0.133455,0.217291,0.168967,0.160742,0.148864,0.169875,0.17769,0.142715
15.5407,0.152071,0.154502,0.151654,0.157607,0.18346,0.125596,0.194118,0.15914,0.14563,0.141803,0.157646,0.164898,0.135208
16.0407,0.138535,0.146628,0.136121,0.156832,0.17775,0.119983,0.165587,0.145672,0.138938,0.137585,0.146104,0.151183,0.130949
16.5407,0.134939,0.148196,0.124073,0.16645,0.170831,0.118914,0.138526,0.127899,0.15069,0.13528,0.139141,0.13876,0.133245
17.0407,0.138885,0.15047,0.11658,0.169463,0.160414,0.116474,0.130345,0.113956,0.160212,0.127253,0.137801,0.132304,0.136449
17.5407,0.136792,0.143626,0.110851,0.160146,0.147542,0.109288,0.13012,0.105507,0.151297,0.115102,0.13475,0.129407,0.135493
18.0407,0.126982,0.130161,0.101936,0.142755,0.129956,0.0963135,0.126527,0.0949547,0.133317,0.100598,0.128515,0.126679,0.132106
18.5407,0.108576,0.11484,0.0895097,0.122956,0.108348,0.0787302,0.11888,0.0805707,0.111333,0.0865401,0.119867,0.119348,0.12738
