Arc_length vs Data,017_03months_DTI_antsBM,018_03months_DTI_antsBM,020_02months_DTI_antsBM,021_02months_DTI_antsBM,022_02months_DTI_antsBM,023_02months_DTI_antsBM,026_03months_DTI_antsBM,027_03months_DTI_antsBM,032_03months_DTI_antsBM,034_03months_DTI_antsBM,035_03months_DTI_antsBM,036_03months_DTI_antsBM,Atlas
-30.2452,0.106513,0.185366,0.168143,0.179512,0.190548,0.198046,0.190278,0.154884,0.12263,0.16543,0.211168,0.126577,0.128985
-29.7452,0.126229,0.182905,0.177269,0.180181,0.191797,0.202301,0.19688,0.137626,0.160194,0.166219,0.2016,0.149479,0.134555
-29.2452,0.143422,0.17896,0.187834,0.182326,0.193987,0.201775,0.19959,0.148842,0.172911,0.168348,0.197051,0.166708,0.140566
-28.7452,0.160952,0.176612,0.195383,0.183312,0.19739,0.198504,0.201188,0.166666,0.173554,0.170293,0.195577,0.179366,0.146541
-28.2452,0.175819,0.178422,0.200729,0.185706,0.200602,0.196131,0.202814,0.184734,0.175544,0.174021,0.197999,0.189839,0.153106
-27.7452,0.188592,0.181539,0.203022,0.189291,0.202393,0.193149,0.20415,0.200019,0.177188,0.179578,0.202774,0.196854,0.159454
-27.2452,0.196946,0.185566,0.202134,0.194402,0.201601,0.191965,0.205657,0.209889,0.180901,0.184878,0.20897,0.200223,0.165104
-26.7452,0.198897,0.188583,0.198946,0.200987,0.197909,0.192939,0.206952,0.212822,0.185564,0.188655,0.214442,0.199405,0.168814
-26.2452,0.19535,0.188889,0.195129,0.207614,0.192244,0.194906,0.207895,0.21109,0.186698,0.189869,0.217013,0.194978,0.169477
-25.7452,0.188451,0.188214,0.193032,0.213606,0.185819,0.197615,0.208985,0.207246,0.184764,0.190347,0.217451,0.18995,0.16837
-25.2452,0.182359,0.189002,0.193105,0.21808,0.181218,0.199482,0.209645,0.201677,0.18131,0.193325,0.218068,0.187096,0.167606
-24.7452,0.18183,0.193544,0.195501,0.221372,0.180628,0.200763,0.209468,0.197328,0.179791,0.19892,0.220369,0.19035,0.171541
-24.2452,0.190845,0.205374,0.202223,0.22582,0.187454,0.204157,0.211361,0.19909,0.184254,0.207938,0.226569,0.202167,0.185078
