Arc_length vs Data,017_03months_DTI_antsBM,018_03months_DTI_antsBM,020_02months_DTI_antsBM,021_02months_DTI_antsBM,022_02months_DTI_antsBM,023_02months_DTI_antsBM,026_03months_DTI_antsBM,027_03months_DTI_antsBM,032_03months_DTI_antsBM,034_03months_DTI_antsBM,035_03months_DTI_antsBM,036_03months_DTI_antsBM,Atlas
-15.2645,-nan,0.118962,-nan,-nan,0.0887562,0.117168,0.127006,0.105907,-nan,-nan,0.121352,-nan,0.172708
-14.7645,-nan,0.130377,-nan,-nan,0.0934009,0.128911,0.133063,0.118545,-nan,-nan,0.131614,-nan,0.191369
-14.2645,-nan,0.156512,-nan,-nan,0.105965,0.151806,0.145478,0.137023,-nan,-nan,0.150588,-nan,0.209561
-13.7645,-nan,0.177693,-nan,-nan,0.130589,0.1846,0.159067,0.157883,-nan,0.14294,0.169863,-nan,0.212571
-13.2645,-nan,0.177283,-nan,-nan,0.152088,0.2014,0.164848,0.167323,-nan,-nan,0.179381,-nan,0.199688
-12.7645,-nan,0.166925,-nan,-nan,0.169626,0.208478,0.168258,0.171856,-nan,-nan,-nan,-nan,0.191079
-12.2645,0.306315,0.161959,-nan,-nan,0.183481,0.205632,0.175916,0.178964,-nan,-nan,-nan,-nan,0.187559
-11.7645,0.299804,0.170533,-nan,-nan,0.195872,0.198194,0.193522,0.189877,-nan,-nan,-nan,-nan,0.190133
-11.2645,0.280666,0.19528,-nan,-nan,0.200114,0.189715,0.219583,0.206753,-nan,-nan,-nan,-nan,0.200443
-10.7645,0.257998,0.227868,-nan,-nan,0.193658,0.184682,0.24327,0.226353,-nan,-nan,-nan,-nan,0.213435
-10.2645,0.244493,0.25886,-nan,-nan,0.184544,0.188989,0.25508,0.241647,0.201052,-nan,-nan,-nan,0.228297
-9.76446,0.241005,0.281376,0.220516,-nan,0.180846,0.199698,0.253706,0.247936,0.199772,-nan,-nan,-nan,0.243685
-9.26446,0.243625,0.292977,0.210915,-nan,0.189779,0.215179,0.246858,0.244458,0.211098,0.243356,0.260156,-nan,0.258854
-8.76446,0.253429,0.302218,0.220147,-nan,0.216104,0.235997,0.249076,0.242226,0.235315,0.245772,0.249528,-nan,0.275359
-8.26446,0.270263,0.316279,0.249761,-nan,0.255558,0.262737,0.270715,0.253537,0.275744,0.264998,0.266121,0.254934,0.293079
-7.76446,0.29588,0.338715,0.291123,-nan,0.301916,0.300263,0.312785,0.287004,0.327473,0.300071,0.302714,0.279461,0.31402
-7.26446,0.330228,0.369103,0.337314,-nan,0.351177,0.349963,0.366291,0.340508,0.382335,0.344047,0.353244,0.33072,0.340773
-6.76446,0.371318,0.40766,0.386122,-nan,0.401998,0.40668,0.423328,0.403153,0.43592,0.392235,0.409749,0.397455,0.373264
-6.26446,0.41807,0.45568,0.43761,0.448379,0.455073,0.463904,0.48087,0.466244,0.487916,0.442527,0.465469,0.467638,0.410248
-5.76446,0.464362,0.512426,0.488026,0.500091,0.507201,0.514892,0.535707,0.520214,0.539346,0.491786,0.514335,0.530441,0.449052
-5.26446,0.500357,0.567264,0.53437,0.545548,0.550001,0.553561,0.583586,0.559795,0.58529,0.532014,0.551872,0.575794,0.487029
-4.76446,0.516334,0.598961,0.563997,0.568107,0.570701,0.572786,0.612757,0.578598,0.611002,0.552234,0.572361,0.594774,0.521532
-4.26446,0.507878,0.595076,0.566156,0.55878,0.560914,0.566348,0.613001,0.570099,0.605491,0.546439,0.570225,0.585063,0.550378
-3.76446,0.477477,0.556595,0.538162,0.520357,0.523308,0.532967,0.583684,0.534424,0.567813,0.515521,0.544935,0.55165,0.571571
-3.26446,0.430796,0.496039,0.486521,0.463067,0.468877,0.4802,0.53377,0.47816,0.509361,0.469096,0.499996,0.504008,0.58339
-2.76446,0.377028,0.431291,0.42749,0.398689,0.411354,0.420927,0.475579,0.415011,0.448312,0.417974,0.444648,0.452258,0.585195
-2.26446,0.328758,0.377452,0.37788,0.337404,0.362094,0.369011,0.422516,0.360651,0.399541,0.374436,0.393098,0.40705,0.577684
-1.76446,0.294929,0.341053,0.34773,0.286802,0.326871,0.332161,0.38472,0.324306,0.36654,0.345464,0.358339,0.375579,0.562958
-1.26446,0.276252,0.320124,0.335615,0.252807,0.306562,0.311113,0.363824,0.306618,0.344925,0.329813,0.344158,0.358219,0.543916
-0.764459,0.263755,0.307618,0.331562,0.234606,0.296548,0.29999,0.353551,0.300197,0.329058,0.320622,0.34235,0.348763,0.523274
-0.264459,0.249389,0.29768,0.328012,0.227739,0.292488,0.290887,0.346104,0.296742,0.314837,0.31196,0.343378,0.340987,0.500588
0.235541,0.234935,0.287536,0.320592,0.228746,0.291529,0.280927,0.336836,0.291347,0.306299,0.302938,0.341837,0.334568,0.476618
0.735541,0.226299,0.278846,0.314655,0.232041,0.292854,0.271267,0.329455,0.284747,0.306133,0.295244,0.340481,0.33176,0.451801
1.23554,0.225308,0.273532,0.314575,0.23149,0.294537,0.262852,0.324894,0.280204,0.309629,0.288526,0.34055,0.331159,0.427159
1.73554,0.224259,0.26683,0.312188,0.220968,0.291011,0.252187,0.313892,0.273215,0.307508,0.277332,0.334481,0.324464,0.39709
2.23554,0.217944,0.257214,0.301756,0.200059,0.27796,0.239105,0.291391,0.260682,0.295011,0.260845,0.317315,0.308275,0.364991
2.73554,0.207839,0.24518,0.283062,0.17981,0.257789,0.226493,0.261502,0.243002,0.276002,0.241716,0.292755,0.286679,0.334386
3.23554,0.201851,0.235089,0.264621,0.172283,0.240815,0.220049,0.23785,0.227484,0.261354,0.229246,0.273283,0.27071,0.308797
3.73554,0.206319,0.231598,0.256027,0.178716,0.235871,0.22292,0.231246,0.223312,0.259437,0.228573,0.267827,0.268682,0.290347
4.23554,0.21956,0.234117,0.257708,0.190947,0.242321,0.231055,0.239076,0.229637,0.266835,0.237523,0.274196,0.27792,0.277811
4.73554,0.232514,0.236974,0.260844,0.1995,0.252212,0.237193,0.248678,0.23808,0.274893,0.248765,0.281188,0.289249,0.268535
5.23554,0.237788,0.235147,0.259363,0.202192,0.256564,0.236634,0.249618,0.240463,0.275821,0.252751,0.278959,0.293459,0.26125
5.73554,0.234276,0.226892,0.251633,0.201361,0.251718,0.228861,0.238744,0.233613,0.266258,0.246887,0.266165,0.287076,0.257485
6.23554,0.225307,0.212063,0.238614,0.197421,0.237774,0.21577,0.219806,0.219977,0.247883,0.231853,0.245916,0.271115,0.259587
6.73554,0.214289,0.192571,0.220847,0.189282,0.216789,0.199047,0.199211,0.202991,0.223307,0.210882,0.223806,0.24773,0.268323
7.23554,0.202331,0.173847,0.200176,0.176907,0.192653,0.181567,0.182895,0.184689,0.196193,0.189415,0.205294,0.219516,0.281365
7.73554,0.188959,0.162383,0.181354,0.161715,0.170153,0.167085,0.171864,0.166522,0.169932,0.17071,0.191716,0.189918,0.29392
8.23554,0.173909,0.157819,0.169555,0.145909,0.152616,0.156485,0.162437,0.150042,0.146138,0.15595,0.18127,0.16308,0.299335
8.73554,0.157229,0.153271,0.165999,0.130788,0.139231,0.146471,0.148846,0.135174,0.125082,0.143386,0.168943,0.141382,0.29342
9.23554,0.1393,0.140356,0.166201,0.116124,0.127093,0.132887,0.12854,0.121347,0.106403,0.130512,0.152265,0.125507,0.273845
9.73554,0.121567,0.117822,0.163732,0.101139,0.113679,0.114992,0.104119,0.10693,0.0909439,0.117253,0.134274,0.1153,0.244705
10.2355,0.104955,0.0927227,0.156501,0.0853151,0.0992327,0.0969153,0.0806387,0.0907134,0.0790814,0.104371,0.117996,0.109088,0.212495
10.7355,0.0906648,0.0718261,0.146366,0.0700911,0.0861355,0.0829796,0.0624786,0.0745966,0.0705843,0.0934416,0.106399,0.10553,0.183467
11.2355,0.0796753,0.0572506,0.136426,0.0568959,0.0758181,0.0737621,0.0496257,0.0598582,0.0642828,0.0853048,0.0992043,0.103473,0.160827
11.7355,0.0705907,0.0476903,0.128113,0.0460305,0.0681237,0.0683957,0.041446,0.047145,0.0589155,0.0795956,0.0946358,0.102192,0.142932
12.2355,0.0636202,0.0419679,0.122127,0.0389179,0.063613,0.066136,0.0383901,0.037812,0.0543705,0.0779999,0.0933617,0.100497,0.130301
