Arc_length vs Data,017_03months_DTI_antsBM,018_03months_DTI_antsBM,020_02months_DTI_antsBM,021_02months_DTI_antsBM,022_02months_DTI_antsBM,023_02months_DTI_antsBM,026_03months_DTI_antsBM,027_03months_DTI_antsBM,032_03months_DTI_antsBM,034_03months_DTI_antsBM,035_03months_DTI_antsBM,036_03months_DTI_antsBM,Atlas
-10.6204,0.0963078,0.0849913,0.0639243,0.0928119,0.086066,0.064768,0.0693899,0.0838233,0.093979,0.0662793,0.0794295,0.0928708,0.124988
-10.1204,0.0964001,0.0862179,0.0647796,0.0899789,0.08758,0.066665,0.0718864,0.0816677,0.0934622,0.0704106,0.076171,0.0934473,0.125783
-9.62041,0.0981173,0.0882675,0.0658785,0.0881938,0.0887047,0.0697648,0.0748671,0.0785859,0.094252,0.0760367,0.0740788,0.0957628,0.126228
-9.12041,0.102499,0.0934378,0.0683778,0.0875417,0.0908081,0.0763395,0.0806168,0.0768238,0.0981878,0.0856828,0.0733515,0.100806,0.126544
-8.62041,0.110167,0.0994658,0.073009,0.0902573,0.0938371,0.0845043,0.0867452,0.078626,0.105068,0.0978071,0.0762028,0.108349,0.127267
-8.12041,0.119233,0.103491,0.0783665,0.0960137,0.0974502,0.0920935,0.0934133,0.0836581,0.11465,0.110561,0.0824051,0.115658,0.126524
-7.62041,0.125532,0.103881,0.0833023,0.103763,0.10313,0.0967501,0.10021,0.0938319,0.125243,0.116743,0.0906222,0.118752,0.127192
-7.12041,0.126685,0.102451,0.0852634,0.108843,0.106851,0.0982912,0.10304,0.101246,0.130804,0.116042,0.0978211,0.117256,0.127977
-6.62041,0.126815,0.10534,0.0866205,0.111985,0.110016,0.100638,0.101735,0.104904,0.131707,0.113423,0.105431,0.115997,0.128507
-6.12041,0.127251,0.112045,0.0904857,0.115673,0.114262,0.104133,0.0993687,0.106665,0.129818,0.11191,0.115525,0.116505,0.130187
-5.62041,0.127629,0.120394,0.0961768,0.120899,0.119349,0.108403,0.0987172,0.107476,0.12754,0.113445,0.12402,0.118283,0.132166
-5.12041,0.128043,0.126257,0.101771,0.12659,0.124546,0.111027,0.101243,0.108953,0.125924,0.116411,0.12806,0.118997,0.134118
-4.62041,0.128874,0.126297,0.105131,0.131223,0.127513,0.111116,0.106463,0.111418,0.125232,0.119746,0.127652,0.11734,0.136028
-4.12041,0.132418,0.123367,0.106241,0.135582,0.126828,0.110089,0.111906,0.115566,0.125846,0.1242,0.125008,0.115598,0.137719
-3.62041,0.139922,0.123494,0.108382,0.143122,0.124395,0.110476,0.117863,0.122292,0.129743,0.131463,0.125933,0.117461,0.139909
-3.12041,0.14911,0.129834,0.114598,0.155605,0.123345,0.114324,0.125427,0.130524,0.136749,0.142194,0.131908,0.125296,0.143469
-2.62041,0.157693,0.14235,0.125246,0.171954,0.12725,0.123271,0.134913,0.139154,0.144982,0.156381,0.141967,0.140141,0.148046
-2.12041,0.165104,0.156142,0.136665,0.188344,0.138389,0.13677,0.145618,0.146855,0.152557,0.171136,0.155634,0.160895,0.153188
-1.62041,0.172415,0.164731,0.143669,0.200344,0.154422,0.15162,0.156326,0.153332,0.157741,0.182199,0.169989,0.184634,0.158562
-1.12041,0.18089,0.166341,0.14519,0.206791,0.170315,0.16362,0.165978,0.159404,0.16274,0.187215,0.18223,0.206717,0.162511
-0.620412,0.188784,0.162083,0.14462,0.209313,0.182184,0.170544,0.174077,0.165057,0.168367,0.187178,0.190701,0.222398,0.164499
-0.120412,0.196914,0.154585,0.149775,0.21461,0.192394,0.174783,0.185522,0.173433,0.17896,0.185829,0.198745,0.232556,0.166197
0.379588,0.201258,0.150246,0.159765,0.227197,0.200481,0.178305,0.198594,0.182316,0.191536,0.18609,0.207313,0.235017,0.167399
0.879588,0.200122,0.15241,0.168208,0.244895,0.205227,0.179977,0.210106,0.186802,0.203704,0.186937,0.216296,0.232179,0.168828
1.37959,0.195745,0.158769,0.173473,0.261806,0.205238,0.178972,0.217295,0.185989,0.215462,0.185721,0.223918,0.228371,0.169772
1.87959,0.188354,0.165198,0.179048,0.276289,0.202207,0.175682,0.219628,0.181473,0.227887,0.182208,0.228545,0.223057,0.169683
2.37959,0.181518,0.170379,0.186802,0.284984,0.198695,0.171977,0.21609,0.175435,0.238606,0.177587,0.228171,0.215434,0.168653
2.87959,0.176718,0.173176,0.195119,0.288248,0.196876,0.169893,0.208142,0.170742,0.244309,0.171728,0.222044,0.204564,0.166729
3.37959,0.173369,0.174821,0.199818,0.286798,0.195919,0.168033,0.19912,0.166482,0.243205,0.163538,0.210816,0.191871,0.164006
3.87959,0.170099,0.174968,0.197939,0.28176,0.192846,0.165674,0.191915,0.162075,0.236509,0.15246,0.197037,0.180819,0.160472
4.37959,0.165447,0.171598,0.190203,0.273208,0.186459,0.161801,0.187732,0.157466,0.226202,0.14076,0.182648,0.173803,0.156765
4.87959,0.16007,0.165194,0.177571,0.263111,0.177459,0.156935,0.185359,0.153522,0.213022,0.131643,0.167983,0.170486,0.153081
5.37959,0.155073,0.159238,0.163037,0.254003,0.166864,0.151639,0.181688,0.150644,0.198522,0.128122,0.153984,0.166454,0.149998
5.87959,0.152701,0.155493,0.150145,0.245392,0.154649,0.146476,0.175155,0.147449,0.183411,0.129652,0.144075,0.159916,0.147362
6.37959,0.153863,0.151827,0.142148,0.235714,0.141931,0.14248,0.165383,0.142173,0.169434,0.132487,0.142022,0.151845,0.144895
6.87959,0.158948,0.145411,0.138214,0.22347,0.130354,0.13893,0.154267,0.133642,0.157316,0.132911,0.149148,0.140208,0.142009
7.37959,0.164865,0.137494,0.136613,0.209526,0.121494,0.134777,0.143569,0.124192,0.146546,0.127349,0.159702,0.12942,0.138896
7.87959,0.16718,0.132932,0.135563,0.195278,0.115899,0.128731,0.133647,0.115629,0.136359,0.116906,0.163927,0.121271,0.13582
8.37959,0.163093,0.133034,0.134242,0.182032,0.11287,0.12138,0.123836,0.109979,0.125986,0.107235,0.158452,0.114199,0.133297
8.87959,0.151855,0.137286,0.134077,0.16941,0.110835,0.114091,0.1124,0.107348,0.115444,0.102025,0.14519,0.109063,0.131242
9.37959,0.138174,0.136306,0.131373,0.156576,0.110892,0.10931,0.101081,0.104826,0.106498,0.104498,0.129956,0.102645,0.129505
9.87959,0.127298,0.124734,0.123914,0.144867,0.110526,0.105585,0.0933098,0.102111,0.0988122,0.112247,0.122364,0.0960061,0.127929
10.3796,0.121892,0.112636,0.116703,0.136604,0.108541,0.103403,0.0935404,0.100373,0.0941628,0.11632,0.120408,0.0932556,0.126338
10.8796,0.120007,0.105454,0.110887,0.130458,0.105755,0.104031,0.101346,0.0975515,0.093353,0.116726,0.118178,0.096044,0.125324
11.3796,0.118879,0.105055,0.108565,0.125901,0.106719,0.105841,0.110139,0.0926206,0.0959511,0.118324,0.117278,0.0995509,0.123682
