Arc_length vs Data,017_03months_DTI_antsBM,018_03months_DTI_antsBM,020_02months_DTI_antsBM,021_02months_DTI_antsBM,022_02months_DTI_antsBM,023_02months_DTI_antsBM,026_03months_DTI_antsBM,027_03months_DTI_antsBM,032_03months_DTI_antsBM,034_03months_DTI_antsBM,035_03months_DTI_antsBM,036_03months_DTI_antsBM,Atlas
-14.3111,0.185901,0.204316,0.140749,0.146303,0.197835,0.212224,0.189193,0.192883,0.185549,0.168233,0.220689,0.226991,0.17616
-13.8111,0.17998,0.178677,0.136945,0.135263,0.1854,0.198705,0.169577,0.168926,0.175044,0.156086,0.196197,0.207557,0.178541
-13.3111,0.185062,0.179223,0.137755,0.129248,0.177914,0.190368,0.162089,0.161061,0.16849,0.151549,0.173448,0.194947,0.181514
-12.8111,0.199735,0.187856,0.142583,0.129951,0.172577,0.185206,0.161944,0.162688,0.169415,0.152985,0.163326,0.191194,0.186844
-12.3111,0.218735,0.196101,0.150372,0.135484,0.170913,0.182252,0.164623,0.169106,0.175574,0.158656,0.161281,0.193235,0.196507
-11.8111,0.239028,0.206385,0.162408,0.145541,0.174148,0.181845,0.170125,0.182872,0.186159,0.170487,0.164971,0.200726,0.212635
-11.3111,0.249193,0.212952,0.17415,0.159276,0.182514,0.184832,0.175382,0.201468,0.199117,0.184456,0.176279,0.21029,0.235236
-10.8111,0.240453,0.213034,0.180387,0.172179,0.192543,0.188292,0.1774,0.215318,0.204779,0.19321,0.184586,0.212939,0.261361
-10.3111,0.217651,0.208757,0.17717,0.181478,0.197604,0.188197,0.176435,0.217781,0.197138,0.192111,0.182473,0.2048,0.285783
-9.81114,0.192893,0.199646,0.164261,0.187709,0.195272,0.183446,0.174227,0.206714,0.180316,0.183044,0.173204,0.189693,0.303393
-9.31114,0.174588,0.187909,0.148403,0.189033,0.187451,0.175984,0.169335,0.187187,0.162389,0.173042,0.161282,0.17573,0.309584
-8.81114,0.164534,0.180383,0.13696,0.186168,0.177516,0.168703,0.161171,0.16956,0.15144,0.166922,0.150513,0.168517,0.302085
-8.31114,0.160581,0.181907,0.135477,0.182651,0.169818,0.165313,0.152742,0.160577,0.149491,0.165478,0.144366,0.168575,0.283478
-7.81114,0.161397,0.18948,0.142845,0.180789,0.167737,0.166156,0.148357,0.161164,0.155251,0.164851,0.143412,0.172556,0.260654
-7.31114,0.167162,0.194232,0.15258,0.182074,0.172343,0.169549,0.152888,0.168646,0.165771,0.163426,0.150073,0.178427,0.240154
-6.81114,0.17733,0.192276,0.160068,0.185061,0.18085,0.174009,0.164759,0.17986,0.179277,0.164913,0.164527,0.186219,0.226542
-6.31114,0.190044,0.188841,0.166502,0.189925,0.190227,0.179287,0.178837,0.192293,0.193433,0.173603,0.181428,0.196011,0.221208
-5.81114,0.201157,0.190884,0.174827,0.196441,0.198703,0.185857,0.18776,0.202735,0.205417,0.189014,0.19393,0.205307,0.223461
-5.31114,0.208677,0.199031,0.185641,0.202274,0.205577,0.193514,0.185669,0.208857,0.21574,0.204248,0.201462,0.209549,0.233704
-4.81114,0.212326,0.204346,0.19452,0.204184,0.211239,0.200105,0.174748,0.211323,0.224963,0.210786,0.207736,0.206223,0.250393
-4.31114,0.212199,0.201738,0.196851,0.198911,0.214796,0.203404,0.162997,0.210683,0.231221,0.206658,0.215133,0.197992,0.271019
-3.81114,0.209019,0.194754,0.192683,0.188227,0.213431,0.203606,0.157361,0.207799,0.231604,0.196659,0.221143,0.189782,0.291587
-3.31114,0.20283,0.189797,0.185856,0.18021,0.207968,0.200671,0.157931,0.20189,0.224475,0.187808,0.222877,0.185867,0.308778
-2.81114,0.197669,0.191328,0.18035,0.179052,0.201716,0.196047,0.160201,0.194942,0.211792,0.185344,0.221571,0.18787,0.321886
-2.31114,0.196656,0.198643,0.177373,0.184279,0.197583,0.191471,0.162032,0.191815,0.201163,0.191259,0.219506,0.193153,0.330847
-1.81114,0.201344,0.209856,0.177673,0.192132,0.19858,0.192251,0.168743,0.195955,0.197587,0.204494,0.223601,0.200011,0.336832
-1.31114,0.211846,0.222313,0.18172,0.19969,0.204244,0.202287,0.18408,0.206934,0.202411,0.222232,0.235554,0.208152,0.339732
-0.811136,0.222602,0.232865,0.188261,0.206503,0.210974,0.216872,0.202658,0.218974,0.211931,0.237679,0.249915,0.216901,0.33963
-0.311136,0.240088,0.244927,0.203972,0.219806,0.222601,0.241139,0.229491,0.234622,0.228275,0.254242,0.27327,0.233733,0.337725
0.188864,0.263288,0.258398,0.226561,0.238031,0.238378,0.265295,0.257105,0.251745,0.250004,0.266925,0.295584,0.255327,0.335661
0.688864,0.286826,0.275062,0.249367,0.255945,0.257173,0.283426,0.280964,0.26906,0.27363,0.27632,0.312748,0.273173,0.335588
1.18886,0.303769,0.291617,0.26579,0.270986,0.276126,0.297028,0.299029,0.285212,0.292258,0.285582,0.326204,0.282992,0.338174
1.68886,0.317743,0.30905,0.280733,0.28795,0.298329,0.313253,0.317764,0.305244,0.309041,0.297792,0.340509,0.291198,0.341738
2.18886,0.325278,0.322707,0.291861,0.304109,0.317723,0.330143,0.335465,0.324621,0.321866,0.310768,0.352939,0.296484,0.345369
2.68886,0.328426,0.331003,0.298839,0.316721,0.328968,0.342899,0.349793,0.33834,0.329878,0.321172,0.36069,0.297194,0.347013
3.18886,0.332062,0.334959,0.30381,0.323521,0.33222,0.348972,0.357878,0.342354,0.333956,0.32782,0.362509,0.292945,0.344596
3.68886,0.338273,0.333858,0.30685,0.324401,0.330429,0.348327,0.358755,0.338872,0.334582,0.331408,0.358464,0.285379,0.337442
4.18886,0.347397,0.327357,0.307405,0.321162,0.324596,0.343578,0.353102,0.332529,0.331143,0.33255,0.351895,0.279193,0.325957
4.68886,0.356593,0.317277,0.304221,0.316637,0.313811,0.337838,0.345095,0.32711,0.325754,0.330592,0.345558,0.277458,0.311627
5.18886,0.363413,0.310175,0.29857,0.314492,0.298726,0.331016,0.338826,0.323914,0.320527,0.325827,0.341828,0.280305,0.296689
5.68886,0.366725,0.310389,0.294175,0.316649,0.286127,0.324851,0.337382,0.321422,0.31621,0.319983,0.340322,0.285971,0.282924
6.18886,0.363639,0.315231,0.293829,0.321123,0.28294,0.320152,0.341018,0.318424,0.31171,0.314425,0.339159,0.293888,0.271663
6.68886,0.353611,0.318543,0.296906,0.32314,0.290636,0.315554,0.345871,0.313593,0.305574,0.307772,0.336629,0.304041,0.263194
7.18886,0.338511,0.316087,0.298428,0.317892,0.30235,0.309287,0.347334,0.305346,0.295905,0.297171,0.330167,0.312488,0.257034
7.68886,0.320215,0.306874,0.294403,0.302554,0.306296,0.298055,0.341063,0.292702,0.28091,0.280559,0.318272,0.313586,0.252402
8.18886,0.300152,0.291848,0.282657,0.27813,0.295969,0.279641,0.324939,0.275477,0.259852,0.257297,0.299165,0.303323,0.247876
8.68886,0.277771,0.271175,0.262915,0.248249,0.272066,0.255629,0.300336,0.254193,0.23392,0.229187,0.274005,0.282293,0.242134
9.18886,0.253245,0.244936,0.236884,0.217586,0.241951,0.229385,0.269266,0.230071,0.20692,0.199753,0.245865,0.255759,0.233927
9.68886,0.230309,0.216234,0.208808,0.191075,0.214557,0.205684,0.236258,0.207118,0.183142,0.172913,0.217911,0.231384,0.223485
10.1889,0.211933,0.18765,0.182686,0.170871,0.193301,0.186246,0.205507,0.189139,0.164632,0.150878,0.191787,0.212723,0.211478
10.6889,0.199181,0.16237,0.162372,0.157936,0.17743,0.170499,0.179094,0.178339,0.151825,0.134241,0.168407,0.200705,0.199109
11.1889,0.191018,0.143031,0.149642,0.151405,0.165446,0.157253,0.1571,0.174129,0.144218,0.123625,0.149154,0.194968,0.187637
11.6889,0.184866,0.131125,0.143999,0.148668,0.158013,0.146316,0.141478,0.171783,0.141626,0.118369,0.136445,0.194377,0.17877
