Arc_length vs Data,017_03months_DTI_antsBM,018_03months_DTI_antsBM,020_02months_DTI_antsBM,021_02months_DTI_antsBM,022_02months_DTI_antsBM,023_02months_DTI_antsBM,026_03months_DTI_antsBM,027_03months_DTI_antsBM,032_03months_DTI_antsBM,034_03months_DTI_antsBM,035_03months_DTI_antsBM,036_03months_DTI_antsBM,Atlas
-23.5362,0.354441,0.393517,0.338579,0.391082,0.381668,0.353336,0.374442,0.427699,0.442673,0.346077,0.387818,0.400806,0.52583
-23.0362,0.351592,0.39776,0.338919,0.38729,0.386385,0.350633,0.374237,0.425021,0.435741,0.345537,0.387554,0.399662,0.533152
-22.5362,0.346021,0.394347,0.339811,0.383914,0.383964,0.348402,0.373646,0.417337,0.425452,0.343847,0.385346,0.396584,0.542216
-22.0362,0.340783,0.385304,0.338194,0.37916,0.37851,0.345929,0.37079,0.404228,0.41232,0.341445,0.38216,0.391785,0.551047
-21.5362,0.337307,0.372385,0.33431,0.371611,0.370835,0.34414,0.365081,0.386826,0.39488,0.341398,0.377832,0.389186,0.558297
-21.0362,0.338512,0.360613,0.330519,0.361818,0.362072,0.34117,0.356139,0.369136,0.378948,0.346642,0.370832,0.39269,0.557727
-20.5362,0.348995,0.363821,0.333153,0.354975,0.36101,0.33758,0.348882,0.361706,0.37439,0.35873,0.363514,0.407135,0.544809
-20.0362,0.365902,0.381844,0.349375,0.356176,0.371904,0.335276,0.351241,0.368981,0.38826,0.374221,0.363847,0.433574,0.524122
-19.5362,0.385078,0.403921,0.376274,0.36808,0.395505,0.336539,0.367257,0.388351,0.416483,0.389789,0.379087,0.466095,0.504412
-19.0362,0.40375,0.420164,0.405675,0.38772,0.425942,0.345355,0.395306,0.41424,0.448771,0.405387,0.410884,0.49786,0.491639
-18.5362,0.420405,0.429915,0.429555,0.406701,0.453054,0.36098,0.424648,0.437697,0.473211,0.423251,0.445502,0.522328,0.486966
-18.0362,0.434831,0.438638,0.441021,0.418369,0.464955,0.37996,0.444319,0.453527,0.482763,0.441436,0.466491,0.532706,0.488754
-17.5362,0.443552,0.445531,0.440298,0.418121,0.459106,0.39397,0.44668,0.457222,0.478372,0.452135,0.466656,0.526167,0.493624
-17.0362,0.441193,0.444658,0.426701,0.405205,0.439022,0.396009,0.43183,0.448,0.460527,0.449825,0.450667,0.504049,0.502752
-16.5362,0.426291,0.430203,0.40151,0.382471,0.410034,0.38352,0.407624,0.42755,0.431578,0.432297,0.428644,0.470111,0.513639
-16.0362,0.401234,0.405273,0.3689,0.355399,0.378338,0.360182,0.381468,0.398356,0.394231,0.40459,0.403449,0.431849,0.526001
-15.5362,0.371382,0.375572,0.331593,0.32903,0.347082,0.334035,0.354366,0.365442,0.355402,0.373676,0.373544,0.394874,0.535666
-15.0362,0.338619,0.345004,0.293125,0.305368,0.318638,0.308848,0.323452,0.333481,0.321719,0.343308,0.339187,0.359744,0.538735
-14.5362,0.305568,0.314262,0.258485,0.2814,0.293057,0.285682,0.289161,0.305229,0.294173,0.315315,0.305049,0.326519,0.532861
