Arc_length vs Data,017_03months_DTI_antsBM,018_03months_DTI_antsBM,020_02months_DTI_antsBM,021_02months_DTI_antsBM,022_02months_DTI_antsBM,023_02months_DTI_antsBM,026_03months_DTI_antsBM,027_03months_DTI_antsBM,032_03months_DTI_antsBM,034_03months_DTI_antsBM,035_03months_DTI_antsBM,036_03months_DTI_antsBM,Atlas
-27.3023,0.169988,0.147459,0.149491,0.171819,0.171717,0.166085,0.172609,0.154593,0.167493,0.151712,0.179669,0.134741,0.165466
-26.8023,0.174537,0.158403,0.155029,0.176878,0.174062,0.170765,0.180576,0.162791,0.175851,0.157501,0.187415,0.142213,0.160303
-26.3023,0.182661,0.172068,0.162431,0.187283,0.178834,0.176565,0.191437,0.176419,0.187471,0.170145,0.199254,0.14959,0.155468
-25.8023,0.191341,0.18669,0.169767,0.197195,0.183381,0.182,0.203937,0.193505,0.199,0.187904,0.210955,0.15512,0.150662
-25.3023,0.196518,0.196615,0.174329,0.200491,0.186251,0.18507,0.213641,0.208855,0.2062,0.205308,0.218516,0.1576,0.14683
-24.8023,0.184203,0.186469,0.16515,0.190525,0.185695,0.17716,0.21045,0.211381,0.19653,0.198679,0.199217,0.152356,0.142842
-24.3023,0.157731,0.162234,0.14506,0.174555,0.17963,0.160524,0.195422,0.199839,0.173882,0.169513,0.159661,0.141143,0.141223
-23.8023,0.135137,0.140624,0.129937,0.163455,0.17271,0.143005,0.17928,0.183223,0.154871,0.139197,0.124222,0.131506,0.143659
-23.3023,0.125399,0.131307,0.12466,0.160699,0.165736,0.132876,0.16832,0.174643,0.146359,0.120903,0.106025,0.12941,0.152741
-22.8023,0.127037,0.12962,0.123041,0.161208,0.15804,0.1298,0.160452,0.171301,0.140749,0.1107,0.101643,0.131901,0.166909
-22.3023,0.13923,0.132861,0.125146,0.162987,0.155118,0.13248,0.157939,0.17083,0.139533,0.108025,0.107572,0.13772,0.184719
-21.8023,0.162944,0.144304,0.133891,0.168454,0.161777,0.143249,0.164983,0.177913,0.148636,0.116106,0.124148,0.151273,0.207359
-21.3023,0.195544,0.165359,0.151778,0.179819,0.180475,0.162412,0.183839,0.195264,0.170085,0.135953,0.150734,0.174904,0.234377
-20.8023,0.233652,0.197549,0.180807,0.201236,0.209356,0.189205,0.214129,0.225773,0.203183,0.166501,0.187408,0.2098,0.269714
-20.3023,0.274069,0.237711,0.217726,0.233133,0.241697,0.222135,0.249049,0.267292,0.243612,0.203616,0.23019,0.25224,0.312761
-19.8023,0.310729,0.276872,0.255257,0.270165,0.27014,0.255395,0.281742,0.310506,0.283712,0.240825,0.271817,0.293783,0.359264
-19.3023,0.335655,0.305805,0.285337,0.303625,0.289705,0.280632,0.305776,0.343707,0.314864,0.271904,0.305494,0.325476,0.400696
-18.8023,0.342399,0.316113,0.298779,0.321334,0.297453,0.291103,0.315653,0.356248,0.326025,0.289338,0.321132,0.338873,0.425706
-18.3023,0.334033,0.308953,0.293882,0.320613,0.296495,0.289073,0.318399,0.349213,0.317705,0.292318,0.320015,0.336119,0.434108
-17.8023,0.318885,0.294998,0.278921,0.307882,0.292007,0.280884,0.317964,0.330531,0.301537,0.286771,0.31096,0.324234,0.430567
-17.3023,0.306569,0.28516,0.265798,0.293711,0.289062,0.276651,0.31751,0.31358,0.288833,0.280843,0.299447,0.313979,0.422208
-16.8023,0.298747,0.28673,0.262482,0.286747,0.288853,0.276939,0.317997,0.305898,0.287003,0.282817,0.294727,0.312201,0.41215
-16.3023,0.297035,0.300821,0.269365,0.289278,0.294135,0.280421,0.317767,0.307593,0.292447,0.292443,0.298145,0.319505,0.405357
-15.8023,0.302408,0.319212,0.28006,0.299878,0.303763,0.28568,0.319184,0.31633,0.30108,0.305966,0.309594,0.333679,0.404414
-15.3023,0.314127,0.334981,0.291262,0.313973,0.317263,0.292336,0.325922,0.327171,0.312475,0.320283,0.329229,0.352346,0.408386
-14.8023,0.331773,0.345196,0.300595,0.328302,0.332276,0.301844,0.33937,0.340732,0.325831,0.332803,0.349777,0.373702,0.41655
-14.3023,0.352294,0.351083,0.311483,0.342451,0.345322,0.313972,0.355272,0.356809,0.340795,0.345382,0.366784,0.395036,0.423433
-13.8023,0.37223,0.355541,0.32528,0.354816,0.354979,0.327279,0.370881,0.373256,0.354324,0.358547,0.376483,0.410325,0.426588
-13.3023,0.388395,0.360114,0.341214,0.365598,0.358982,0.339712,0.381514,0.385758,0.362868,0.371438,0.379167,0.415815,0.425487
-12.8023,0.398953,0.364138,0.357665,0.373595,0.357612,0.351408,0.386225,0.390815,0.363673,0.380788,0.377586,0.415284,0.420808
-12.3023,0.403119,0.368751,0.369515,0.380007,0.35308,0.361654,0.38796,0.389968,0.359069,0.384384,0.375105,0.414437,0.413272
-11.8023,0.401221,0.37358,0.375375,0.388004,0.35066,0.370844,0.389811,0.38911,0.356366,0.383614,0.376259,0.418468,0.402282
-11.3023,0.398501,0.379481,0.378841,0.399471,0.355822,0.380317,0.394613,0.39614,0.363275,0.383801,0.384626,0.426796,0.390101
-10.8023,0.400803,0.388106,0.384998,0.414773,0.37177,0.391828,0.405452,0.412284,0.382265,0.391425,0.401669,0.436688,0.382855
-10.3023,0.416739,0.402228,0.397614,0.432776,0.397454,0.406705,0.424489,0.433749,0.410863,0.409076,0.423833,0.44763,0.387189
-9.80233,0.447632,0.423937,0.417237,0.453752,0.429661,0.425131,0.452028,0.455347,0.444201,0.4343,0.446306,0.459964,0.406045
-9.30233,0.484761,0.450824,0.43946,0.477504,0.463078,0.445877,0.48608,0.474257,0.476478,0.461235,0.466751,0.47341,0.435433
-8.80233,0.516216,0.477337,0.457795,0.50258,0.492453,0.46657,0.520239,0.49225,0.503251,0.483846,0.48486,0.48726,0.468008
-8.30233,0.533747,0.498347,0.467366,0.526422,0.513617,0.485181,0.5461,0.508737,0.5234,0.499921,0.501726,0.498257,0.497892
-7.80233,0.53739,0.510608,0.467253,0.545072,0.524315,0.499728,0.558918,0.519454,0.537534,0.508823,0.516339,0.505206,0.521359
-7.30233,0.532064,0.515503,0.462152,0.55773,0.526477,0.510995,0.559789,0.52168,0.547238,0.511638,0.527846,0.510629,0.537055
-6.80233,0.525386,0.516842,0.459235,0.564841,0.525287,0.521619,0.556197,0.517034,0.553272,0.512219,0.535902,0.519873,0.545318
-6.30233,0.521673,0.519091,0.464402,0.569006,0.52633,0.533902,0.555786,0.511973,0.557503,0.516176,0.541767,0.537292,0.548567
-5.80233,0.524263,0.5253,0.478933,0.574494,0.530352,0.547918,0.561129,0.512549,0.563136,0.527926,0.548331,0.562005,0.550934
-5.30233,0.533498,0.535858,0.50049,0.583492,0.534245,0.562121,0.570887,0.519072,0.574112,0.547864,0.558745,0.589132,0.556787
-4.80233,0.548178,0.549507,0.523515,0.595153,0.534334,0.574604,0.582283,0.529444,0.591103,0.570812,0.574679,0.611287,0.567549
-4.30233,0.566319,0.563084,0.543737,0.605051,0.53116,0.584164,0.594406,0.541094,0.609335,0.589716,0.5947,0.623852,0.581713
-3.80233,0.583473,0.57397,0.559186,0.6081,0.528855,0.590068,0.606351,0.5534,0.624081,0.600147,0.614758,0.625208,0.596284
-3.30233,0.595879,0.579209,0.569828,0.601881,0.531477,0.590802,0.616284,0.566548,0.630854,0.602031,0.631064,0.61688,0.608253
-2.80233,0.602337,0.579661,0.57675,0.591424,0.541302,0.586097,0.622538,0.579739,0.629911,0.598308,0.641019,0.603576,0.616202
-2.30233,0.603997,0.579434,0.581046,0.582891,0.556849,0.576319,0.623527,0.589988,0.625177,0.592886,0.644007,0.591784,0.619965
-1.80233,0.602132,0.579842,0.583656,0.581054,0.573389,0.563393,0.620165,0.595806,0.621304,0.589904,0.641655,0.587296,0.621027
-1.30233,0.596406,0.579234,0.584567,0.583844,0.585028,0.549772,0.613822,0.595718,0.619721,0.589158,0.634649,0.590246,0.619537
-0.802329,0.580832,0.57133,0.5797,0.581957,0.585731,0.535788,0.602894,0.586921,0.614856,0.58627,0.621334,0.595685,0.613141
-0.302329,0.559276,0.555144,0.573173,0.577021,0.57973,0.523985,0.591728,0.575292,0.609375,0.582632,0.605116,0.603695,0.604266
0.197671,0.533826,0.534917,0.565681,0.56807,0.56832,0.51553,0.580362,0.56305,0.601817,0.57707,0.587097,0.609756,0.592508
0.697671,0.5083,0.519097,0.556924,0.554949,0.554157,0.507876,0.567919,0.551484,0.592849,0.569824,0.569558,0.609964,0.57882
1.19767,0.486945,0.513027,0.552439,0.540075,0.538908,0.501839,0.556793,0.543396,0.583833,0.562119,0.555007,0.604755,0.565001
1.69767,0.459519,0.510281,0.545177,0.515018,0.517621,0.494133,0.54176,0.532031,0.568175,0.549838,0.537916,0.591795,0.545622
2.19767,0.432943,0.512023,0.536352,0.4855,0.495958,0.488028,0.529551,0.521314,0.549994,0.536853,0.522381,0.574673,0.524151
2.69767,0.411757,0.513815,0.523127,0.460359,0.478544,0.48418,0.52201,0.512853,0.530924,0.525903,0.508833,0.558201,0.504864
3.19767,0.396516,0.513669,0.501987,0.444799,0.465653,0.478483,0.516815,0.504545,0.513102,0.51745,0.497568,0.541963,0.488793
3.69767,0.383851,0.508072,0.476028,0.436349,0.453381,0.467423,0.510083,0.492263,0.495161,0.509528,0.485668,0.525474,0.476145
4.19767,0.373572,0.496659,0.452211,0.429017,0.438788,0.452045,0.496274,0.474119,0.478054,0.499098,0.47303,0.510655,0.466133
4.69767,0.366782,0.480122,0.434841,0.418207,0.419915,0.435897,0.476383,0.451649,0.464261,0.485511,0.45687,0.497444,0.457138
5.19767,0.363644,0.456169,0.423226,0.402066,0.396742,0.421157,0.452611,0.426089,0.45191,0.466341,0.434378,0.484032,0.449394
5.69767,0.364418,0.42673,0.411648,0.383094,0.370208,0.407887,0.427286,0.400564,0.441203,0.441493,0.40788,0.466859,0.443351
6.19767,0.362745,0.397902,0.39711,0.365686,0.343273,0.394839,0.406115,0.377637,0.431964,0.415838,0.380927,0.445651,0.440485
6.69767,0.355238,0.375794,0.380797,0.350321,0.320107,0.382484,0.392436,0.359982,0.422818,0.393668,0.35882,0.425242,0.441055
7.19767,0.342728,0.361844,0.364605,0.336685,0.306478,0.371526,0.387006,0.349398,0.414121,0.380079,0.343169,0.409346,0.444376
