Arc_length vs Data,017_03months_DTI_antsBM,018_03months_DTI_antsBM,020_02months_DTI_antsBM,021_02months_DTI_antsBM,022_02months_DTI_antsBM,023_02months_DTI_antsBM,026_03months_DTI_antsBM,027_03months_DTI_antsBM,032_03months_DTI_antsBM,034_03months_DTI_antsBM,035_03months_DTI_antsBM,036_03months_DTI_antsBM,Atlas
-13.997,0.187357,0.183614,0.172833,0.156263,0.176152,0.142972,0.17418,0.161025,0.168531,0.158751,0.158678,0.18438,0.127612
-13.497,0.202746,0.195533,0.183758,0.173098,0.194415,0.155436,0.193802,0.178111,0.177946,0.175519,0.17002,0.199418,0.135947
-12.997,0.211052,0.199479,0.190929,0.185503,0.205916,0.16467,0.203002,0.186706,0.184373,0.184149,0.17435,0.207297,0.143454
-12.497,0.216926,0.202915,0.196234,0.195395,0.213309,0.171393,0.20762,0.191761,0.189523,0.185153,0.175669,0.209443,0.149808
-11.997,0.216501,0.203108,0.19346,0.199743,0.212677,0.171431,0.203778,0.187945,0.18985,0.176833,0.173059,0.202931,0.153674
-11.497,0.208414,0.199105,0.182736,0.197445,0.202073,0.16439,0.192859,0.178015,0.182293,0.161365,0.169404,0.187526,0.153225
-10.997,0.200996,0.196027,0.172346,0.193695,0.189523,0.15824,0.184742,0.170685,0.171684,0.147785,0.171486,0.173316,0.152526
-10.497,0.200164,0.197288,0.169424,0.192518,0.184498,0.158326,0.184302,0.170696,0.166851,0.144234,0.177712,0.169307,0.159431
-9.99704,0.201541,0.199253,0.170533,0.193071,0.184489,0.16063,0.186229,0.17365,0.166065,0.147297,0.182001,0.171343,0.173372
-9.49704,0.204873,0.201829,0.174145,0.194991,0.187832,0.165199,0.189639,0.178825,0.167507,0.154263,0.184857,0.176669,0.191696
-8.99704,0.210194,0.204386,0.180077,0.196229,0.192904,0.172087,0.194686,0.185555,0.169777,0.163982,0.187854,0.183634,0.212722
-8.49704,0.217506,0.207759,0.188958,0.196677,0.198909,0.181852,0.202096,0.193454,0.172866,0.175767,0.194029,0.192095,0.233017
-7.99704,0.227526,0.214999,0.201454,0.197588,0.206016,0.194952,0.212395,0.202906,0.178667,0.188389,0.206497,0.202851,0.248834
-7.49704,0.238775,0.226589,0.215896,0.200391,0.213737,0.209068,0.223602,0.212622,0.188184,0.200082,0.223855,0.215542,0.259448
-6.99704,0.249857,0.241115,0.230069,0.206758,0.222128,0.221853,0.234406,0.222128,0.201115,0.209869,0.242662,0.229111,0.266089
-6.49704,0.260001,0.2554,0.241688,0.216054,0.230275,0.231632,0.244091,0.231075,0.214952,0.217492,0.258882,0.241223,0.271006
-5.99704,0.268162,0.265673,0.24914,0.225416,0.235878,0.236909,0.251137,0.238126,0.225632,0.22312,0.268984,0.249233,0.276564
-5.49704,0.273439,0.269178,0.251554,0.231186,0.237107,0.237104,0.253518,0.241159,0.230343,0.227006,0.271588,0.25206,0.284236
-4.99704,0.275069,0.264838,0.248447,0.231527,0.232808,0.232042,0.24954,0.238976,0.228038,0.228123,0.267299,0.249665,0.293705
-4.49704,0.27363,0.254429,0.241505,0.227071,0.224278,0.223686,0.241223,0.232684,0.220757,0.225497,0.258966,0.243305,0.304098
-3.99704,0.270857,0.242524,0.233469,0.2213,0.215028,0.215435,0.233745,0.225666,0.212402,0.219449,0.250127,0.23576,0.314974
-3.49704,0.27015,0.234925,0.228521,0.219141,0.208959,0.21058,0.231554,0.223277,0.207075,0.213163,0.244809,0.231554,0.326123
-2.99704,0.277545,0.237368,0.232755,0.224634,0.211331,0.213416,0.23925,0.230985,0.211251,0.214101,0.248032,0.236887,0.337721
-2.49704,0.297352,0.254919,0.250938,0.241432,0.226448,0.227493,0.260338,0.251991,0.231283,0.230125,0.265361,0.258075,0.349433
-1.99704,0.32821,0.290894,0.28542,0.27209,0.256282,0.255807,0.297195,0.28702,0.270765,0.262785,0.299376,0.296668,0.361152
-1.49704,0.363964,0.344662,0.33454,0.315305,0.299262,0.296401,0.348048,0.333605,0.325591,0.307564,0.346971,0.348734,0.373602
-0.99704,0.395826,0.404256,0.389686,0.361476,0.346457,0.340339,0.402625,0.381688,0.381812,0.354564,0.39804,0.404785,0.386294
-0.49704,0.421468,0.460889,0.445211,0.403374,0.390958,0.380494,0.452686,0.42446,0.431659,0.398416,0.44537,0.457723,0.402347
0.00296022,0.440844,0.505097,0.492024,0.433767,0.42587,0.410443,0.490627,0.455456,0.467576,0.434438,0.482763,0.500319,0.425642
0.50296,0.448674,0.523282,0.516548,0.444299,0.440049,0.422953,0.506238,0.466724,0.482296,0.453181,0.50047,0.519942,0.453905
1.00296,0.440577,0.513825,0.512928,0.434562,0.433331,0.416681,0.498434,0.459622,0.473926,0.448351,0.496027,0.512057,0.483919
1.50296,0.414706,0.479866,0.48257,0.406184,0.407875,0.392942,0.469256,0.43617,0.442995,0.422514,0.469758,0.479702,0.511498
2.00296,0.374459,0.428657,0.431985,0.363504,0.367777,0.354528,0.423047,0.397874,0.394626,0.381162,0.425289,0.428361,0.534873
2.50296,0.328695,0.371178,0.370316,0.315771,0.320772,0.309232,0.369482,0.349445,0.338679,0.332848,0.370622,0.369233,0.550933
3.00296,0.285433,0.313713,0.306909,0.270558,0.271906,0.264198,0.316182,0.297313,0.285199,0.285109,0.314322,0.311545,0.556632
3.50296,0.248674,0.258972,0.250906,0.231328,0.226944,0.224497,0.268323,0.247241,0.239446,0.240787,0.263281,0.261362,0.549545
4.00296,0.218015,0.209378,0.205943,0.198964,0.188461,0.191559,0.22783,0.202805,0.202488,0.202021,0.220174,0.221097,0.528967
4.50296,0.192061,0.169981,0.174872,0.173885,0.158248,0.164741,0.195662,0.165955,0.173333,0.170505,0.185131,0.19002,0.496545
5.00296,0.170151,0.144439,0.155944,0.155393,0.13669,0.142653,0.171936,0.138384,0.149665,0.146906,0.157623,0.167105,0.455894
5.50296,0.153339,0.131625,0.14519,0.141323,0.122258,0.124906,0.156061,0.121731,0.129908,0.130199,0.137519,0.151702,0.4117
6.00296,0.143262,0.128411,0.138746,0.131162,0.113929,0.112448,0.146827,0.115919,0.114495,0.118876,0.125946,0.143447,0.369071
6.50296,0.140685,0.133086,0.136183,0.126963,0.113023,0.107461,0.143514,0.119154,0.106186,0.1138,0.124484,0.143275,0.332961
7.00296,0.145545,0.144759,0.139052,0.131008,0.122245,0.1116,0.148197,0.130242,0.10744,0.117729,0.132951,0.151366,0.306138
7.50296,0.155294,0.162195,0.148308,0.143018,0.142298,0.124037,0.163152,0.149301,0.11817,0.131528,0.150653,0.164977,0.288217
8.00296,0.165154,0.180837,0.162297,0.157999,0.167509,0.140405,0.185726,0.172527,0.134426,0.150791,0.174008,0.179801,0.276337
8.50296,0.173368,0.194857,0.178299,0.17073,0.188823,0.155877,0.207894,0.19318,0.151244,0.168786,0.196662,0.192077,0.263028
9.00296,0.179719,0.203376,0.193939,0.179566,0.201145,0.168272,0.224026,0.205667,0.166629,0.181437,0.214006,0.201612,0.244308
9.50296,0.185168,0.206957,0.207634,0.184095,0.204595,0.177185,0.231727,0.208885,0.180482,0.18817,0.225137,0.209363,0.220558
10.003,0.192667,0.208235,0.220575,0.186601,0.203049,0.184883,0.233024,0.20604,0.193731,0.192354,0.231046,0.217375,0.191716
10.503,0.200025,0.207678,0.228218,0.186094,0.197817,0.190916,0.230831,0.198232,0.205098,0.193288,0.230866,0.224365,0.165466
11.003,0.202933,0.202785,0.224275,0.181488,0.191317,0.192122,0.225601,0.190513,0.209016,0.189699,0.227116,0.223712,0.154168
11.503,0.202385,0.196371,0.216698,0.178482,0.185107,0.192892,0.220163,0.181874,0.207799,0.18511,0.21976,0.216336,0.150835
12.003,0.191503,0.168477,0.189834,0.16745,0.16449,0.19336,0.20251,0.15587,0.198336,0.158977,0.185586,0.194286,0.150722
12.503,0.169679,0.141117,0.170135,0.158587,0.152584,0.201017,0.189034,0.128668,0.196364,0.131136,0.147349,0.174586,0.144266
