Arc_length vs Data,017_03months_DTI_antsBM,018_03months_DTI_antsBM,020_02months_DTI_antsBM,021_02months_DTI_antsBM,022_02months_DTI_antsBM,023_02months_DTI_antsBM,026_03months_DTI_antsBM,027_03months_DTI_antsBM,032_03months_DTI_antsBM,034_03months_DTI_antsBM,035_03months_DTI_antsBM,036_03months_DTI_antsBM,Atlas
-13.335,0.189479,0.188094,0.170006,0.188307,0.192635,0.158123,0.190399,0.17573,0.191661,0.189165,0.161915,0.191268,0.133003
-12.835,0.203436,0.20565,0.181285,0.199293,0.205205,0.167443,0.202991,0.185306,0.205137,0.195588,0.16876,0.198073,0.142909
-12.335,0.216004,0.219829,0.191758,0.206888,0.214696,0.175857,0.21136,0.191197,0.213745,0.199551,0.173188,0.200681,0.148959
-11.835,0.224476,0.228101,0.196855,0.210852,0.217878,0.179783,0.21038,0.193361,0.216264,0.199519,0.174962,0.200787,0.15282
-11.335,0.224385,0.223583,0.191975,0.207712,0.210349,0.175409,0.199635,0.190979,0.210113,0.191589,0.172612,0.194551,0.152884
-10.835,0.218392,0.21076,0.180266,0.201527,0.194764,0.167708,0.186212,0.188357,0.198371,0.177673,0.167235,0.180153,0.151624
-10.335,0.213485,0.20211,0.171688,0.197379,0.184455,0.163372,0.177788,0.18707,0.189916,0.169644,0.164592,0.167905,0.157681
-9.83502,0.208574,0.197355,0.166739,0.194625,0.17912,0.162448,0.171738,0.185513,0.184692,0.166575,0.164976,0.16091,0.169681
-9.33502,0.204701,0.196104,0.165761,0.193014,0.178957,0.16512,0.167893,0.184849,0.183425,0.167539,0.169394,0.160327,0.18628
-8.83502,0.202512,0.196172,0.167634,0.189871,0.183388,0.170613,0.165809,0.18512,0.185083,0.170519,0.177336,0.165643,0.20685
-8.33502,0.203243,0.19734,0.172202,0.185719,0.191745,0.178462,0.167184,0.187722,0.189181,0.173407,0.186995,0.175369,0.227164
-7.83502,0.209109,0.201965,0.180262,0.183735,0.20366,0.188501,0.174884,0.194203,0.195416,0.1775,0.1977,0.187269,0.243024
-7.33502,0.21896,0.210608,0.190769,0.186137,0.216005,0.200024,0.18706,0.203214,0.201812,0.184348,0.209202,0.198784,0.252953
-6.83502,0.228755,0.22123,0.201942,0.193066,0.225462,0.212074,0.199323,0.212202,0.206745,0.194179,0.221428,0.208908,0.258876
-6.33502,0.234457,0.229711,0.210605,0.200758,0.229376,0.221127,0.207695,0.218609,0.209064,0.204377,0.231875,0.21712,0.263642
-5.83502,0.23334,0.232513,0.214076,0.203996,0.226304,0.222774,0.210288,0.219935,0.208108,0.210047,0.236179,0.222046,0.269667
-5.33502,0.225771,0.228806,0.210702,0.20013,0.216735,0.214725,0.20679,0.214579,0.203811,0.208169,0.230949,0.2217,0.277803
-4.83502,0.215063,0.220442,0.200573,0.189748,0.202963,0.199586,0.198466,0.203085,0.196688,0.199181,0.217886,0.215109,0.287861
-4.33502,0.203589,0.209926,0.185764,0.175008,0.187003,0.183556,0.187426,0.187814,0.186883,0.186704,0.20222,0.202854,0.29901
-3.83502,0.193042,0.19912,0.17006,0.159341,0.170962,0.171075,0.176385,0.173189,0.175633,0.175195,0.188258,0.187124,0.311378
-3.33502,0.185235,0.189207,0.159063,0.146692,0.157703,0.164474,0.169149,0.163739,0.166206,0.168874,0.178752,0.172744,0.324449
-2.83502,0.182296,0.182957,0.156794,0.141565,0.151135,0.163953,0.168507,0.162587,0.163869,0.170989,0.175401,0.165468,0.338096
-2.33502,0.187202,0.184776,0.165206,0.147736,0.155497,0.170484,0.174709,0.170786,0.172673,0.181896,0.180815,0.170724,0.3523
-1.83502,0.201955,0.200845,0.184759,0.166441,0.173175,0.186421,0.189118,0.189489,0.193567,0.199098,0.197644,0.192091,0.367939
-1.33502,0.227231,0.23481,0.216003,0.199137,0.204022,0.213253,0.216286,0.219862,0.22667,0.221659,0.225768,0.229152,0.386597
-0.835016,0.258348,0.279047,0.256488,0.240538,0.242862,0.247166,0.256087,0.258552,0.267762,0.250445,0.263516,0.274672,0.404248
-0.335016,0.298908,0.337085,0.31631,0.297571,0.297136,0.294768,0.318674,0.314754,0.326377,0.297398,0.320478,0.336974,0.428961
0.164984,0.342802,0.398766,0.388682,0.364137,0.360916,0.350614,0.393951,0.383236,0.397496,0.363575,0.391707,0.408375,0.459845
0.664984,0.381152,0.451063,0.455068,0.425084,0.420594,0.403289,0.461106,0.447869,0.466102,0.432914,0.460566,0.474026,0.493718
1.16498,0.406095,0.482909,0.496464,0.464262,0.459183,0.438107,0.500714,0.490232,0.51299,0.482065,0.504869,0.516915,0.526244
1.66498,0.417343,0.495271,0.517479,0.483455,0.478244,0.45429,0.518854,0.511063,0.540027,0.510032,0.528294,0.539192,0.554625
2.16498,0.409189,0.482748,0.512811,0.475655,0.470514,0.446239,0.512909,0.503951,0.538761,0.507474,0.52431,0.536449,0.575602
2.66498,0.382885,0.450186,0.486278,0.442686,0.438394,0.415257,0.48623,0.47205,0.508407,0.477658,0.495036,0.507294,0.585017
3.16498,0.345698,0.406276,0.437711,0.393443,0.39055,0.369306,0.44399,0.423387,0.456915,0.427969,0.445199,0.455957,0.580718
3.66498,0.306585,0.359264,0.372697,0.339662,0.338233,0.31993,0.392448,0.367854,0.395326,0.370251,0.383482,0.389918,0.562697
4.16498,0.2712,0.314832,0.308511,0.291731,0.29209,0.276544,0.339946,0.314753,0.335671,0.314273,0.322614,0.323366,0.533664
4.66498,0.241289,0.276206,0.262174,0.254164,0.256339,0.243605,0.293971,0.269658,0.286648,0.266746,0.271926,0.27228,0.496869
5.16498,0.215281,0.244758,0.240694,0.225572,0.230501,0.217801,0.257408,0.232724,0.251123,0.231427,0.236659,0.242602,0.455791
5.66498,0.191559,0.218469,0.231957,0.205641,0.210527,0.191985,0.227961,0.202732,0.228259,0.205662,0.215905,0.22677,0.413431
