Arc_length vs Data,017_03months_DTI_antsBM,018_03months_DTI_antsBM,020_02months_DTI_antsBM,021_02months_DTI_antsBM,022_02months_DTI_antsBM,023_02months_DTI_antsBM,026_03months_DTI_antsBM,027_03months_DTI_antsBM,032_03months_DTI_antsBM,034_03months_DTI_antsBM,035_03months_DTI_antsBM,036_03months_DTI_antsBM,Atlas
-10.9135,0.128833,0.140247,0.126077,0.128117,0.117873,0.110737,0.119249,0.107549,0.129053,0.115805,0.131124,0.124928,0.134433
-10.4135,0.145933,0.155599,0.134553,0.142321,0.132529,0.117515,0.133288,0.113912,0.140647,0.126482,0.14363,0.138426,0.146507
-9.91353,0.162935,0.170263,0.141822,0.152915,0.145911,0.125668,0.146068,0.1217,0.153033,0.136828,0.15322,0.149619,0.158864
-9.41353,0.181434,0.186573,0.149699,0.16143,0.158732,0.134751,0.15976,0.130789,0.165854,0.148188,0.158494,0.159942,0.171159
-8.91353,0.202026,0.204808,0.159631,0.167172,0.170674,0.145056,0.174181,0.14301,0.177978,0.160019,0.161636,0.170055,0.185375
-8.41353,0.218003,0.218307,0.170308,0.16659,0.177813,0.155226,0.185843,0.157352,0.184144,0.169746,0.162975,0.177457,0.200511
-7.91353,0.223039,0.21859,0.179611,0.160968,0.178538,0.163534,0.190768,0.170549,0.180752,0.175068,0.165854,0.181033,0.216424
-7.41353,0.216127,0.205089,0.185688,0.154407,0.176288,0.170392,0.190517,0.178371,0.17131,0.174891,0.174192,0.181165,0.233289
-6.91353,0.20214,0.184362,0.186935,0.150982,0.175065,0.175825,0.187328,0.177351,0.161866,0.170511,0.183582,0.179454,0.249142
-6.41353,0.189871,0.166675,0.183719,0.151247,0.176165,0.179522,0.18324,0.169376,0.156324,0.164649,0.187049,0.178052,0.260878
-5.91353,0.185794,0.157932,0.178562,0.152963,0.178246,0.181564,0.180626,0.159881,0.154549,0.16073,0.182331,0.1798,0.265881
-5.41353,0.193012,0.156834,0.175216,0.155774,0.180786,0.184854,0.180706,0.156314,0.156852,0.16347,0.175556,0.187285,0.266016
-4.91353,0.209748,0.161046,0.177992,0.161036,0.18543,0.192035,0.187391,0.163719,0.164804,0.175188,0.175513,0.200648,0.264381
-4.41353,0.230204,0.168402,0.1879,0.169718,0.193147,0.201982,0.201115,0.1819,0.177119,0.194295,0.186996,0.217175,0.262927
-3.91353,0.246618,0.176834,0.201781,0.181484,0.200606,0.210915,0.217816,0.20514,0.188871,0.215048,0.206281,0.231049,0.26288
-3.41353,0.253436,0.184421,0.212665,0.194787,0.203976,0.214082,0.231024,0.225296,0.196184,0.230772,0.225252,0.238094,0.263927
-2.91353,0.249034,0.190937,0.215614,0.207628,0.201789,0.211507,0.235275,0.235601,0.199195,0.235205,0.237325,0.236611,0.265893
-2.41353,0.237804,0.199228,0.212929,0.218269,0.197802,0.208073,0.232393,0.23764,0.202149,0.229148,0.239414,0.229991,0.268984
-1.91353,0.228566,0.213265,0.212601,0.227681,0.197816,0.208959,0.22993,0.23929,0.208783,0.219835,0.235387,0.225452,0.27309
-1.41353,0.225618,0.232125,0.219688,0.2389,0.202981,0.215616,0.233337,0.244453,0.218646,0.214384,0.232323,0.226819,0.277977
-0.913531,0.227762,0.249319,0.231148,0.250844,0.210106,0.22439,0.241594,0.251996,0.228458,0.21511,0.232743,0.232199,0.282493
-0.413531,0.230855,0.257797,0.242475,0.266241,0.213929,0.233134,0.251073,0.258558,0.234441,0.218859,0.235385,0.238134,0.288061
0.086469,0.230498,0.247183,0.243101,0.280467,0.208749,0.239506,0.254743,0.263414,0.232353,0.221922,0.235824,0.239886,0.294077
0.586469,0.230391,0.234065,0.233614,0.288228,0.200172,0.246299,0.255311,0.272057,0.231536,0.225158,0.236348,0.241157,0.299641
1.08647,0.232446,0.236308,0.223042,0.292585,0.197311,0.252695,0.257526,0.281613,0.238859,0.229797,0.241016,0.246114,0.305087
1.58647,0.233831,0.24798,0.21302,0.295407,0.197721,0.257745,0.260242,0.289917,0.249519,0.234333,0.248387,0.252756,0.312064
2.08647,0.230773,0.261543,0.203276,0.293363,0.19796,0.25399,0.255582,0.292801,0.254019,0.23385,0.251607,0.256015,0.321227
