Arc_length vs Data,010_06months_DTI_antsBM,012_06months_DTI_antsBM,013_05months_DTI_antsBM,014_05months_DTI_antsBM,016_04months_DTI_antsBM,019_04months_DTI_antsBM,020_05months_DTI_antsBM,021_05months_DTI_antsBM,022_05months_DTI_antsBM,023_05months_DTI_antsBM,025_04months_DTI_antsBM,028_04months_DTI_antsBM,029_04months_DTI_antsBM,030_04months_DTI_antsBM,031_04months_DTI_antsBM,032_06months_DTI_antsBM,035_06months_DTI_antsBM,036_06months_DTI_antsBM,Atlas
-23.6997,0.119427,0.10209,0.101009,0.182599,0.110909,0.133623,0.113312,0.104934,0.126108,0.110318,0.104397,0.10305,0.12023,0.11912,0.108581,0.080302,0.101597,0.115349,0.120976
-23.1997,0.126817,0.118909,0.111884,0.172654,0.122881,0.144416,0.118717,0.125274,0.12646,0.127288,0.112372,0.1147,0.140008,0.119986,0.128796,0.0991854,0.113904,0.119949,0.122951
-22.6997,0.123061,0.121402,0.11287,0.166144,0.12656,0.151153,0.111839,0.130022,0.124099,0.13142,0.118551,0.114167,0.149963,0.120658,0.13623,0.106936,0.121418,0.122764,0.12608
-22.1997,0.125662,0.128042,0.11531,0.163862,0.131445,0.148962,0.112984,0.131961,0.127029,0.138416,0.127456,0.11602,0.158333,0.124825,0.139943,0.112669,0.131448,0.126481,0.129589
-21.6997,0.125701,0.129325,0.114191,0.164651,0.13092,0.150792,0.11079,0.129453,0.127584,0.138893,0.128886,0.115379,0.157934,0.125856,0.13852,0.112383,0.136041,0.126472,0.133383
-21.1997,0.126153,0.129234,0.112466,0.165499,0.130734,0.153645,0.110272,0.126218,0.128531,0.137509,0.128073,0.115628,0.153212,0.128253,0.136404,0.110859,0.138122,0.125581,0.139337
-20.6997,0.127561,0.131326,0.113275,0.165869,0.132877,0.15575,0.113313,0.125466,0.131554,0.136647,0.128466,0.118528,0.149708,0.132075,0.136591,0.110953,0.139758,0.126523,0.147455
-20.1997,0.130963,0.137422,0.118816,0.167053,0.138456,0.1607,0.11984,0.129394,0.137195,0.138369,0.131406,0.125072,0.150777,0.137192,0.142362,0.114279,0.142538,0.131177,0.158348
-19.6997,0.137555,0.148729,0.129742,0.168499,0.147554,0.169007,0.129407,0.139151,0.145469,0.144427,0.137677,0.134493,0.15806,0.143262,0.154585,0.121796,0.148412,0.140224,0.172234
-19.1997,0.147456,0.163898,0.144378,0.169075,0.157773,0.180611,0.140724,0.153816,0.155001,0.153578,0.147513,0.144797,0.170823,0.149317,0.171155,0.133346,0.15771,0.152556,0.187035
-18.6997,0.161054,0.18089,0.160827,0.169227,0.168239,0.195208,0.153299,0.171992,0.165097,0.165449,0.161161,0.156542,0.186601,0.156216,0.189997,0.147985,0.170494,0.166829,0.201903
-18.1997,0.178116,0.197605,0.177203,0.172828,0.179971,0.211016,0.166614,0.19167,0.176174,0.179176,0.178144,0.171286,0.203119,0.165046,0.208607,0.164354,0.185576,0.181578,0.216885
-17.6997,0.19887,0.214016,0.194273,0.185749,0.195107,0.226847,0.181239,0.211831,0.190323,0.194962,0.198058,0.191167,0.219889,0.176823,0.227947,0.182751,0.202847,0.197166,0.233762
-17.1997,0.222287,0.230649,0.213272,0.210634,0.21527,0.242497,0.196942,0.232342,0.209454,0.213573,0.219142,0.216514,0.2368,0.192644,0.249244,0.203383,0.223286,0.214361,0.254728
-16.6997,0.247216,0.249454,0.235475,0.245004,0.240175,0.259324,0.213137,0.254566,0.234192,0.235196,0.240498,0.245849,0.254338,0.213489,0.272386,0.227563,0.247629,0.234138,0.281918
-16.1997,0.27259,0.272045,0.260469,0.281654,0.267854,0.278373,0.230322,0.280439,0.263191,0.259901,0.263246,0.276877,0.272869,0.239014,0.296636,0.255834,0.275864,0.257352,0.314878
-15.6997,0.299802,0.299862,0.286825,0.315369,0.297581,0.301438,0.250836,0.312518,0.295153,0.288354,0.290555,0.309342,0.294766,0.268757,0.322241,0.288816,0.307206,0.284945,0.35241
-15.1997,0.332203,0.334164,0.314227,0.346448,0.330081,0.330063,0.277273,0.352152,0.329958,0.321377,0.325275,0.34481,0.322679,0.302157,0.351631,0.326882,0.34229,0.318245,0.393585
-14.6997,0.371367,0.373946,0.34307,0.37659,0.365369,0.363691,0.310563,0.397705,0.368254,0.358949,0.366627,0.384295,0.356967,0.339075,0.3862,0.368841,0.381616,0.357365,0.435563
-14.1997,0.416319,0.417009,0.374662,0.406847,0.403159,0.401427,0.349322,0.446933,0.410416,0.40045,0.411517,0.427601,0.396132,0.379423,0.425511,0.413172,0.424805,0.401312,0.47532
-13.6997,0.464065,0.460423,0.410031,0.43705,0.442778,0.441987,0.390988,0.497615,0.455206,0.44493,0.456719,0.472645,0.4373,0.421871,0.467356,0.457822,0.470074,0.448076,0.510324
-13.1997,0.510126,0.500667,0.447017,0.465421,0.481755,0.482026,0.432624,0.54638,0.49836,0.489752,0.498668,0.515576,0.477005,0.462488,0.50804,0.500358,0.513296,0.493477,0.538086
-12.6997,0.55188,0.536052,0.482059,0.490344,0.517465,0.517902,0.4717,0.589889,0.535931,0.53104,0.535154,0.553214,0.512603,0.497314,0.544775,0.538638,0.552108,0.534335,0.55796
-12.1997,0.586477,0.565014,0.510874,0.510602,0.546967,0.545735,0.50383,0.623879,0.565279,0.564027,0.562953,0.582651,0.541213,0.523154,0.574355,0.569232,0.584561,0.567383,0.568836
-11.6997,0.611079,0.58597,0.531079,0.525604,0.56829,0.563269,0.524712,0.646088,0.585636,0.585054,0.580159,0.601734,0.559794,0.539374,0.593994,0.589196,0.608917,0.590312,0.569428
-11.1997,0.623261,0.596997,0.540975,0.534856,0.58,0.570166,0.531114,0.655893,0.596974,0.592576,0.586274,0.608512,0.56591,0.545894,0.60147,0.595895,0.622593,0.601583,0.55781
-10.6997,0.618203,0.593147,0.536751,0.535423,0.578123,0.564337,0.520105,0.649765,0.595834,0.584824,0.579405,0.600096,0.556545,0.540204,0.593518,0.585794,0.619744,0.597001,0.530719
-10.1997,0.592504,0.56896,0.513936,0.521424,0.557747,0.542526,0.490612,0.622086,0.57663,0.559454,0.556671,0.573969,0.529054,0.518834,0.566784,0.555923,0.59446,0.572634,0.486013
-9.69968,0.545698,0.520895,0.468305,0.486463,0.516588,0.502769,0.44376,0.569904,0.535234,0.513995,0.515182,0.529237,0.483908,0.479167,0.520363,0.504615,0.544025,0.525934,0.426285
-9.19968,0.483217,0.450891,0.40276,0.429525,0.459046,0.447458,0.384594,0.499081,0.473053,0.447829,0.455747,0.468855,0.425311,0.423581,0.458667,0.434081,0.471603,0.459097,0.362473
-8.69968,0.422896,0.376197,0.33435,0.365599,0.400634,0.389559,0.326626,0.428456,0.406947,0.37491,0.392631,0.407422,0.367759,0.365632,0.397647,0.360354,0.394439,0.38859,0.317044
-8.19968,0.384796,0.329001,0.288035,0.322536,0.361891,0.350904,0.288519,0.381608,0.365076,0.326813,0.353542,0.367538,0.330945,0.3266,0.358795,0.311309,0.340935,0.343064,0.307434
-7.69968,0.380199,0.328061,0.278787,0.319384,0.355332,0.34748,0.279497,0.370644,0.364519,0.324067,0.35561,0.36257,0.325868,0.318891,0.355016,0.305509,0.329386,0.339038,0.3339
-7.19968,0.404031,0.36725,0.302262,0.352995,0.377469,0.378508,0.294279,0.388669,0.399475,0.363217,0.394084,0.387667,0.347708,0.338183,0.381678,0.338212,0.355934,0.371028,0.378112
-6.69968,0.436846,0.418403,0.336562,0.398786,0.41116,0.42485,0.315784,0.41603,0.444161,0.418563,0.443456,0.422329,0.378727,0.366333,0.418152,0.38503,0.396305,0.414563,0.414891
-6.19968,0.459809,0.449656,0.359589,0.429306,0.436165,0.460246,0.327651,0.433262,0.472268,0.458338,0.475196,0.445623,0.400631,0.383926,0.442566,0.418692,0.423359,0.442258,0.430045
-5.69968,0.464148,0.452266,0.362909,0.434624,0.441978,0.470015,0.325013,0.433924,0.476904,0.472618,0.479295,0.450625,0.405654,0.384893,0.445508,0.429451,0.426105,0.446201,0.42358
-5.19968,0.452603,0.433324,0.348575,0.421085,0.429831,0.456449,0.310634,0.423691,0.465843,0.467843,0.460961,0.440685,0.39631,0.373213,0.43128,0.42466,0.409492,0.432684,0.403423
-4.69968,0.433378,0.403457,0.324461,0.40106,0.407023,0.431709,0.290296,0.412116,0.447595,0.454319,0.431714,0.421668,0.379099,0.353981,0.410104,0.412841,0.383425,0.410869,0.378115
-4.19968,0.4135,0.371031,0.299903,0.382544,0.383431,0.407264,0.269691,0.404092,0.42601,0.439047,0.400897,0.399159,0.359062,0.331915,0.390228,0.397775,0.355568,0.388002,0.355192
