Arc_length vs Data,010_06months_DTI_antsBM,012_06months_DTI_antsBM,013_05months_DTI_antsBM,014_05months_DTI_antsBM,016_04months_DTI_antsBM,019_04months_DTI_antsBM,020_05months_DTI_antsBM,021_05months_DTI_antsBM,022_05months_DTI_antsBM,023_05months_DTI_antsBM,025_04months_DTI_antsBM,028_04months_DTI_antsBM,029_04months_DTI_antsBM,030_04months_DTI_antsBM,031_04months_DTI_antsBM,032_06months_DTI_antsBM,035_06months_DTI_antsBM,036_06months_DTI_antsBM,Atlas
-29.464,0.214531,0.243915,0.304276,0.33349,0.354704,0.294606,0.437135,0.417202,0.321586,0.387572,0.360682,0.368182,0.361649,0.329924,0.35924,0.323285,0.348544,0.284452,0.161119
-28.964,0.217387,0.251235,0.302897,0.317883,0.342941,0.28718,0.419015,0.41162,0.325473,0.38572,0.356141,0.352077,0.352344,0.322979,0.348865,0.327213,0.352041,0.285835,0.162874
-28.464,0.222223,0.254919,0.300837,0.305594,0.33122,0.282896,0.400349,0.407771,0.328499,0.380268,0.349179,0.340452,0.345323,0.316151,0.339945,0.327819,0.354811,0.285724,0.165234
-27.964,0.227843,0.256404,0.297312,0.294934,0.319389,0.274721,0.382216,0.396285,0.328663,0.373105,0.340346,0.330752,0.33688,0.308356,0.331253,0.324194,0.354199,0.282422,0.169809
-27.464,0.232887,0.252942,0.291133,0.282881,0.305933,0.261216,0.358041,0.378154,0.322527,0.361538,0.330788,0.319678,0.322991,0.296633,0.319997,0.314001,0.347317,0.274633,0.176809
-26.964,0.236656,0.243011,0.281127,0.270027,0.289649,0.244279,0.328016,0.353239,0.307551,0.345944,0.319167,0.304511,0.303537,0.279528,0.304955,0.297874,0.333605,0.262258,0.186883
-26.464,0.237938,0.227933,0.267555,0.255997,0.270518,0.225272,0.296192,0.321799,0.285,0.325517,0.306165,0.285525,0.278582,0.256274,0.2869,0.278258,0.315656,0.246492,0.20003
-25.964,0.234686,0.210607,0.251576,0.24136,0.249603,0.207676,0.266058,0.289439,0.258546,0.300486,0.29274,0.263884,0.251169,0.228221,0.268114,0.258098,0.297637,0.228672,0.215135
-25.464,0.226683,0.195552,0.235911,0.227801,0.228687,0.193544,0.243374,0.259582,0.235184,0.274673,0.279866,0.243673,0.225588,0.198987,0.252542,0.240712,0.284034,0.209824,0.230747
-24.964,0.214359,0.185574,0.22359,0.215905,0.209582,0.181665,0.230024,0.234651,0.219531,0.251345,0.269599,0.229795,0.204148,0.172406,0.242026,0.227003,0.275986,0.190332,0.244933
