Arc_length vs Data,010_06months_DTI_antsBM,012_06months_DTI_antsBM,013_05months_DTI_antsBM,014_05months_DTI_antsBM,016_04months_DTI_antsBM,019_04months_DTI_antsBM,020_05months_DTI_antsBM,021_05months_DTI_antsBM,022_05months_DTI_antsBM,023_05months_DTI_antsBM,025_04months_DTI_antsBM,028_04months_DTI_antsBM,029_04months_DTI_antsBM,030_04months_DTI_antsBM,031_04months_DTI_antsBM,032_06months_DTI_antsBM,035_06months_DTI_antsBM,036_06months_DTI_antsBM,Atlas
-11.0665,0.137234,0.131494,0.138069,0.125657,0.161192,0.141392,0.115815,0.148812,0.126329,0.130742,0.160487,0.108181,0.141493,0.1408,0.131562,0.127126,0.122678,0.125725,0.123413
-10.5665,0.158021,0.14489,0.150047,0.127494,0.172543,0.158462,0.131436,0.157649,0.136587,0.142237,0.174464,0.113443,0.154853,0.152187,0.144597,0.141973,0.139839,0.13837,0.127834
-10.0665,0.176875,0.154846,0.16038,0.132072,0.181151,0.175027,0.14447,0.166676,0.145779,0.153686,0.186645,0.118696,0.166472,0.162056,0.155482,0.155056,0.154457,0.148996,0.133148
-9.56653,0.194076,0.162592,0.168952,0.139616,0.188556,0.191724,0.156244,0.176492,0.154688,0.165631,0.197181,0.125187,0.177498,0.17085,0.165667,0.165251,0.16765,0.158663,0.140295
-9.06653,0.21196,0.16958,0.175604,0.149513,0.196853,0.209679,0.167707,0.187819,0.164208,0.178356,0.207276,0.133765,0.189398,0.179423,0.17674,0.174097,0.180858,0.168838,0.150175
-8.56653,0.228319,0.174198,0.177968,0.15993,0.205065,0.226258,0.176781,0.198989,0.172488,0.190172,0.214718,0.143793,0.201052,0.185548,0.187147,0.180092,0.192566,0.177943,0.162529
-8.06653,0.24272,0.175366,0.17621,0.169877,0.21246,0.240487,0.183124,0.207915,0.178708,0.199524,0.21755,0.15424,0.211939,0.187607,0.196683,0.183118,0.20277,0.185209,0.177036
-7.56653,0.253257,0.171778,0.171809,0.178859,0.217437,0.251366,0.186036,0.212528,0.182154,0.205809,0.214203,0.163737,0.22037,0.184187,0.203939,0.183113,0.210581,0.189134,0.193524
-7.06653,0.254865,0.162729,0.166509,0.187759,0.217894,0.256992,0.185028,0.210721,0.181678,0.207908,0.203138,0.170824,0.223207,0.174885,0.206217,0.178981,0.213613,0.187466,0.211266
-6.56653,0.243483,0.149993,0.162249,0.197683,0.212757,0.257161,0.181516,0.201665,0.177526,0.206131,0.186001,0.174971,0.218267,0.161948,0.202043,0.171053,0.209499,0.180001,0.228648
-6.06653,0.220223,0.137271,0.160101,0.208471,0.203644,0.253671,0.178284,0.188552,0.171726,0.202539,0.16846,0.177451,0.207268,0.149534,0.192126,0.162001,0.19886,0.170336,0.244471
-5.56653,0.191196,0.12802,0.160204,0.218748,0.193282,0.24818,0.177318,0.176116,0.167188,0.198892,0.155971,0.179885,0.194881,0.140302,0.179071,0.155135,0.184859,0.163278,0.258172
