Arc_length vs Data,010_06months_DTI_antsBM,012_06months_DTI_antsBM,013_05months_DTI_antsBM,014_05months_DTI_antsBM,016_04months_DTI_antsBM,019_04months_DTI_antsBM,020_05months_DTI_antsBM,021_05months_DTI_antsBM,022_05months_DTI_antsBM,023_05months_DTI_antsBM,025_04months_DTI_antsBM,028_04months_DTI_antsBM,029_04months_DTI_antsBM,030_04months_DTI_antsBM,031_04months_DTI_antsBM,032_06months_DTI_antsBM,035_06months_DTI_antsBM,036_06months_DTI_antsBM,Atlas
-19.028,0.0763654,0.096688,0.140074,0.104782,0.22487,0.170933,0.10956,0.113464,0.161792,0.125083,0.141157,0.188701,0.109273,0.11451,0.125654,0.092799,0.100418,0.115609,0.128753
-18.528,0.0996595,0.107159,0.136567,0.124013,0.174048,0.174719,0.104507,0.109227,0.156028,0.133112,0.143425,0.1573,0.129729,0.131341,0.117416,0.105073,0.119244,0.119456,0.133063
-18.028,0.122799,0.115219,0.142993,0.14538,0.153579,0.17707,0.105644,0.110102,0.157895,0.140839,0.148394,0.143516,0.149773,0.149882,0.112579,0.120695,0.137705,0.126008,0.136313
-17.528,0.145599,0.120861,0.148082,0.166884,0.141502,0.17869,0.112804,0.109946,0.161383,0.14742,0.152345,0.133098,0.165986,0.165804,0.107207,0.136348,0.15619,0.132285,0.138566
-17.028,0.165354,0.12287,0.150834,0.18187,0.13641,0.176996,0.125812,0.109,0.164345,0.150206,0.152115,0.125305,0.17622,0.178774,0.103034,0.146461,0.169942,0.140567,0.138374
-16.528,0.182279,0.128213,0.149527,0.179012,0.13424,0.177636,0.146291,0.123576,0.168261,0.159327,0.156972,0.128523,0.173277,0.183169,0.117378,0.14446,0.174467,0.154458,0.134484
-16.028,0.189778,0.144291,0.153398,0.169903,0.146686,0.188856,0.162972,0.15362,0.175402,0.179014,0.174042,0.145897,0.170429,0.183735,0.148041,0.141841,0.174868,0.169727,0.133818
-15.528,0.191159,0.160149,0.163455,0.170565,0.168476,0.205622,0.171771,0.178869,0.184507,0.197365,0.194808,0.164428,0.176584,0.186654,0.172534,0.14857,0.179776,0.181542,0.138802
-15.028,0.192766,0.172214,0.174618,0.178507,0.190481,0.225728,0.17905,0.198217,0.194156,0.212541,0.213718,0.181516,0.186326,0.192128,0.190153,0.1604,0.188299,0.1923,0.146556
-14.528,0.198436,0.18096,0.185527,0.190351,0.208361,0.248324,0.186399,0.214802,0.203637,0.225018,0.229558,0.196592,0.197292,0.19948,0.205271,0.175177,0.198457,0.204247,0.155878
-14.028,0.208595,0.187103,0.195052,0.20343,0.221028,0.271824,0.193442,0.229323,0.213402,0.235431,0.242789,0.210207,0.209114,0.207882,0.219512,0.190981,0.20828,0.216541,0.166406
-13.528,0.220502,0.192068,0.203302,0.215616,0.230382,0.293582,0.200435,0.240544,0.223576,0.243577,0.253302,0.221947,0.220892,0.21641,0.232604,0.206014,0.216718,0.227322,0.177569
-13.028,0.230447,0.197632,0.210697,0.224232,0.238441,0.309964,0.207527,0.247839,0.233527,0.249405,0.261278,0.231002,0.23176,0.223362,0.243485,0.21981,0.222716,0.234638,0.18884
-12.528,0.236765,0.205215,0.218393,0.228597,0.247325,0.319626,0.215425,0.252708,0.242532,0.254209,0.268011,0.238488,0.241366,0.227509,0.251868,0.231496,0.226226,0.238373,0.200677
-12.028,0.239743,0.214818,0.226963,0.229479,0.25672,0.323379,0.223497,0.256365,0.249577,0.259506,0.274759,0.245261,0.249194,0.228537,0.258235,0.240715,0.228366,0.24047,0.213367
-11.528,0.242446,0.225575,0.236144,0.228846,0.265513,0.322763,0.23066,0.260676,0.254071,0.266671,0.282836,0.251496,0.256008,0.227757,0.263672,0.247507,0.231668,0.243535,0.227741
-11.028,0.247542,0.236142,0.244664,0.228314,0.272757,0.318868,0.236093,0.266261,0.255706,0.275671,0.292438,0.256717,0.261673,0.227204,0.268736,0.251039,0.237678,0.248508,0.243841
-10.528,0.256383,0.245404,0.25098,0.228834,0.277977,0.312938,0.239622,0.273114,0.254818,0.285337,0.303039,0.260777,0.265894,0.228886,0.273565,0.252014,0.246196,0.255186,0.260928
-10.028,0.268465,0.252227,0.254086,0.230531,0.280898,0.305408,0.242,0.2805,0.251957,0.293594,0.313062,0.263934,0.268317,0.232895,0.277173,0.25178,0.254539,0.262045,0.277213
-9.52798,0.281708,0.255996,0.255489,0.234395,0.282174,0.298406,0.245397,0.287863,0.249158,0.300188,0.321616,0.267903,0.270026,0.238009,0.2795,0.252333,0.260532,0.268245,0.29135
-9.02798,0.294423,0.256701,0.257455,0.242249,0.282421,0.29331,0.251562,0.294464,0.248575,0.305986,0.329076,0.273644,0.27326,0.242838,0.28095,0.255768,0.264556,0.273842,0.302779
-8.52798,0.307393,0.255544,0.261749,0.255619,0.281994,0.291092,0.260926,0.300186,0.251276,0.312456,0.336273,0.280725,0.279268,0.247788,0.282793,0.263897,0.26895,0.279349,0.310813
-8.02798,0.324615,0.255578,0.269465,0.275937,0.281948,0.293777,0.272858,0.30561,0.257952,0.321065,0.344537,0.288843,0.288692,0.25566,0.287378,0.277953,0.276775,0.286632,0.316129
-7.52798,0.348457,0.260421,0.27987,0.301116,0.28346,0.302839,0.285044,0.309346,0.268931,0.332145,0.354443,0.297093,0.301126,0.268445,0.296385,0.297189,0.288519,0.297752,0.319796
-7.02798,0.37557,0.272005,0.292714,0.326398,0.288965,0.318772,0.295415,0.311248,0.283883,0.34608,0.36501,0.305285,0.317239,0.285716,0.31063,0.319299,0.302992,0.314489,0.323759
-6.52798,0.400405,0.289376,0.30743,0.34645,0.300566,0.339595,0.302492,0.312912,0.302261,0.36325,0.37567,0.313316,0.337394,0.304738,0.329352,0.341887,0.3194,0.336955,0.329695
-6.02798,0.418417,0.309654,0.321175,0.357,0.317328,0.35975,0.305026,0.317032,0.321861,0.382014,0.386105,0.319884,0.358649,0.322345,0.350555,0.361141,0.336555,0.361965,0.3379
-5.52798,0.430055,0.330007,0.332028,0.357967,0.336645,0.373735,0.303833,0.326458,0.339612,0.399843,0.396332,0.324011,0.376793,0.337167,0.371873,0.373498,0.353019,0.38527,0.348493
-5.02798,0.440279,0.349757,0.340516,0.352813,0.356619,0.380661,0.303882,0.341129,0.354777,0.41504,0.407606,0.326389,0.390391,0.350286,0.392749,0.378555,0.368189,0.405065,0.362849
-4.52798,0.452847,0.369412,0.350617,0.3499,0.375727,0.385836,0.311844,0.359707,0.368909,0.427241,0.41951,0.330007,0.402011,0.363799,0.412424,0.380577,0.381883,0.422391,0.38383
-4.02798,0.471154,0.390853,0.364004,0.356486,0.39702,0.399672,0.333073,0.383756,0.386477,0.438389,0.436647,0.337693,0.418784,0.378676,0.432499,0.385424,0.397506,0.441911,0.413319
-3.52798,0.497138,0.418283,0.383699,0.378129,0.424583,0.431446,0.365352,0.417214,0.410695,0.454991,0.457499,0.356435,0.441488,0.398541,0.453303,0.402255,0.418552,0.469625,0.451859
-3.02798,0.530067,0.455372,0.408864,0.413201,0.459569,0.480227,0.403811,0.459864,0.4429,0.47912,0.48349,0.387087,0.470137,0.424084,0.479062,0.431941,0.447391,0.506405,0.495443
-2.52798,0.56506,0.500175,0.438039,0.451662,0.497971,0.533204,0.441314,0.504907,0.479923,0.510071,0.511879,0.42518,0.501761,0.452553,0.512489,0.470705,0.482626,0.548037,0.537289
-2.02798,0.593863,0.546021,0.46954,0.48464,0.529124,0.576094,0.472357,0.540527,0.513006,0.542884,0.53937,0.459358,0.530937,0.477466,0.548643,0.511959,0.518662,0.587699,0.57041
-1.52798,0.610611,0.584233,0.495539,0.504812,0.54662,0.602072,0.499665,0.556782,0.533613,0.568704,0.566828,0.475748,0.554874,0.490884,0.579833,0.544906,0.548014,0.61805,0.589751
