Arc_length vs Data,010_06months_DTI_antsBM,012_06months_DTI_antsBM,013_05months_DTI_antsBM,014_05months_DTI_antsBM,016_04months_DTI_antsBM,019_04months_DTI_antsBM,020_05months_DTI_antsBM,021_05months_DTI_antsBM,022_05months_DTI_antsBM,023_05months_DTI_antsBM,025_04months_DTI_antsBM,028_04months_DTI_antsBM,029_04months_DTI_antsBM,030_04months_DTI_antsBM,031_04months_DTI_antsBM,032_06months_DTI_antsBM,035_06months_DTI_antsBM,036_06months_DTI_antsBM,Atlas
-31.4028,0.170632,0.129244,0.150788,0.107719,0.155407,0.127499,0.110191,0.115483,0.1412,0.101847,0.11823,0.136788,0.135954,0.132663,0.0999745,0.135462,0.103982,0.146396,0.124661
-30.9028,0.183019,0.140031,0.155148,0.113164,0.165202,0.136874,0.113239,0.12524,0.144054,0.115462,0.127902,0.14294,0.142105,0.141433,0.114439,0.143378,0.118983,0.154511,0.130957
-30.4028,0.192679,0.150321,0.157318,0.120265,0.174393,0.144507,0.118429,0.135162,0.148005,0.128539,0.135706,0.148037,0.147134,0.148591,0.126846,0.150735,0.132222,0.161566,0.137484
-29.9028,0.20416,0.161794,0.157347,0.129604,0.186403,0.152374,0.123963,0.146921,0.154141,0.143504,0.143658,0.154044,0.152703,0.155707,0.139733,0.158337,0.146019,0.169166,0.144302
-29.4028,0.217313,0.174072,0.155777,0.141113,0.201694,0.160653,0.129155,0.160479,0.162169,0.160328,0.151368,0.160835,0.1588,0.162117,0.152456,0.166476,0.160487,0.176932,0.151187
-28.9028,0.228551,0.183974,0.15289,0.152994,0.216184,0.167094,0.13227,0.172192,0.169648,0.175797,0.156844,0.165074,0.162924,0.165801,0.162263,0.17211,0.172986,0.182522,0.155759
-28.4028,0.235145,0.188632,0.151104,0.162243,0.225031,0.170756,0.133795,0.178957,0.175358,0.186533,0.159275,0.166189,0.16382,0.16741,0.168344,0.173955,0.181223,0.184937,0.15705
-27.9028,0.235573,0.18816,0.153054,0.167694,0.226305,0.172134,0.13566,0.180731,0.178619,0.191917,0.160533,0.165589,0.162684,0.168542,0.172734,0.173667,0.185278,0.185654,0.156409
-27.4028,0.233521,0.187491,0.159047,0.171326,0.22323,0.173843,0.140154,0.180872,0.181473,0.195001,0.163851,0.1663,0.162685,0.17122,0.178587,0.174978,0.187612,0.186582,0.156845
-26.9028,0.232291,0.189153,0.168056,0.174197,0.219158,0.177206,0.14648,0.181821,0.184957,0.198113,0.170143,0.170633,0.1656,0.176082,0.187082,0.179111,0.190097,0.189048,0.159765
