Arc_length vs Data,010_06months_DTI_antsBM,012_06months_DTI_antsBM,013_05months_DTI_antsBM,014_05months_DTI_antsBM,016_04months_DTI_antsBM,019_04months_DTI_antsBM,020_05months_DTI_antsBM,021_05months_DTI_antsBM,022_05months_DTI_antsBM,023_05months_DTI_antsBM,025_04months_DTI_antsBM,028_04months_DTI_antsBM,029_04months_DTI_antsBM,030_04months_DTI_antsBM,031_04months_DTI_antsBM,032_06months_DTI_antsBM,035_06months_DTI_antsBM,036_06months_DTI_antsBM,Atlas
-30.2452,0.17259,0.185668,0.193343,0.189077,0.170992,0.167559,0.162302,-nan,0.153431,0.159246,0.18984,0.151706,0.211456,0.17625,0.198672,0.143479,0.200498,0.136474,0.128985
-29.7452,0.182102,0.191794,0.189121,0.195003,0.174355,0.175834,0.173357,-nan,0.160155,0.161483,0.185878,0.147141,0.215664,0.179289,0.20185,0.157452,0.191571,0.136253,0.134555
-29.2452,0.18445,0.190772,0.189927,0.194328,0.18051,-nan,0.173858,-nan,0.16465,-nan,-nan,-nan,0.220556,0.178875,0.208619,0.167246,0.185454,0.136536,0.140566
-28.7452,0.182083,0.185057,0.190621,0.190516,0.187518,-nan,0.170378,-nan,0.166093,-nan,-nan,-nan,0.223997,0.17458,0.213308,0.169274,0.180058,0.139575,0.146541
-28.2452,0.179989,0.182547,0.195311,0.190239,0.196622,-nan,0.171189,-nan,0.169265,-nan,-nan,-nan,0.225651,0.17301,0.215804,0.170129,0.179665,0.144277,0.153106
-27.7452,0.177409,0.18241,0.201867,0.194383,0.2053,-nan,0.172997,-nan,0.172673,-nan,-nan,-nan,0.223816,0.172584,0.217443,0.169921,0.181832,0.149573,0.159454
-27.2452,0.175613,0.18747,0.208818,0.202578,0.212218,-nan,0.177467,0.185523,0.177329,-nan,-nan,-nan,0.221124,0.175336,0.214158,0.171163,0.188183,0.156461,0.165104
-26.7452,0.17429,0.195867,0.213819,0.211827,0.214179,0.204357,0.182759,0.192185,0.181363,-nan,-nan,-nan,0.217116,0.180427,0.212509,0.174929,0.196493,0.16298,0.168814
-26.2452,0.170525,0.201206,0.212102,0.214949,0.207292,0.204635,0.183482,0.199042,0.180476,0.184331,-nan,0.178417,0.210305,0.18265,0.211425,0.178276,0.201338,0.167217,0.169477
-25.7452,0.162277,0.200429,0.20228,0.208398,0.191804,0.198176,0.178756,0.203192,0.174066,0.175783,0.239998,0.182669,0.198413,0.178772,0.208618,0.177927,0.201056,0.168206,0.16837
-25.2452,0.150973,0.193008,0.186852,0.1951,0.173063,0.185834,0.167915,0.203496,0.163695,0.172603,0.216911,0.183474,0.180526,0.168394,0.202891,0.171584,0.195001,0.165064,0.167606
-24.7452,0.142063,0.184411,0.173612,0.18382,0.160839,0.172743,0.155397,0.201149,0.156098,0.172126,0.188452,0.179024,0.164924,0.157397,0.192366,0.163437,0.188329,0.160515,0.171541
-24.2452,0.143207,0.183129,0.172378,0.183903,0.163737,0.167421,0.150486,0.198411,0.159076,0.176291,0.16746,0.177514,0.163111,0.155476,0.187575,0.162653,0.188448,0.161638,0.185078
-23.7452,0.159653,0.195733,0.186818,0.19895,0.183965,0.175105,0.160362,0.200384,0.176103,0.191953,0.17001,0.187138,0.180953,0.168826,0.197274,0.176354,0.200173,0.174976,0.210832
-23.2452,0.191764,0.223906,0.214385,0.227215,0.218373,0.197863,0.187153,0.215802,0.207575,0.221961,0.197316,0.212935,0.217006,0.19764,0.224513,0.206722,0.225987,0.203884,0.24919
-22.7452,0.237826,0.266913,0.251135,0.265317,0.263372,0.236537,0.228143,0.252383,0.252514,0.266145,0.24297,0.255134,0.265908,0.239508,0.267453,0.25247,0.266509,0.249233,0.299485
-22.2452,0.291438,0.31818,0.291256,0.307154,0.313415,0.28508,0.274884,0.30848,0.305403,0.318046,0.301226,0.30618,0.319217,0.287369,0.318493,0.30603,0.316759,0.304612,0.356282
-21.7452,0.344938,0.368685,0.330972,0.34697,0.363381,0.335898,0.3195,0.372561,0.359079,0.370529,0.359883,0.358038,0.370004,0.333962,0.369787,0.358864,0.368727,0.360511,0.413056
-21.2452,0.392032,0.412296,0.367004,0.380016,0.409232,0.381946,0.357482,0.430122,0.405749,0.41691,0.410284,0.405122,0.41403,0.374401,0.416112,0.404049,0.414375,0.408824,0.463276
-20.7452,0.42871,0.445647,0.396143,0.404019,0.44826,0.419417,0.387251,0.472707,0.440283,0.451727,0.448085,0.444599,0.449342,0.406103,0.453817,0.438028,0.449113,0.445271,0.502164
-20.2452,0.453772,0.468528,0.416393,0.420084,0.47885,0.446686,0.407843,0.498234,0.461792,0.473117,0.471717,0.475259,0.474996,0.428366,0.480512,0.460597,0.471931,0.47007,0.527006
-19.7452,0.468486,0.481339,0.428423,0.43123,0.499661,0.464248,0.418918,0.508852,0.472733,0.483121,0.4823,0.496541,0.491361,0.440825,0.495269,0.474362,0.483908,0.485398,0.536893
-19.2452,0.473789,0.483249,0.434837,0.44043,0.509678,0.473757,0.422082,0.506446,0.476451,0.485311,0.482036,0.508155,0.497351,0.442095,0.497514,0.481438,0.486692,0.491912,0.532344
-18.7452,0.470749,0.47476,0.437337,0.448916,0.508725,0.475879,0.41926,0.493919,0.475096,0.482747,0.475988,0.508748,0.493389,0.434818,0.488877,0.482623,0.483598,0.49008,0.51493
-18.2452,0.46411,0.459516,0.436865,0.45799,0.502271,0.471785,0.412431,0.482944,0.472093,0.476346,0.472298,0.50035,0.482398,0.428554,0.477102,0.478502,0.48151,0.482697,0.489515
-17.7452,0.462524,0.445623,0.434768,0.470111,0.503667,0.467418,0.404562,0.490963,0.475188,0.470298,0.480815,0.492251,0.470667,0.434769,0.475392,0.470923,0.487796,0.47689,0.465508
-17.2452,0.4709,0.439143,0.432691,0.485839,0.522549,0.46871,0.397229,0.526174,0.488846,0.469021,0.505855,0.494981,0.463131,0.457662,0.491075,0.462567,0.504727,0.478556,0.450329
-16.7452,0.484812,0.44057,0.431882,0.502539,0.553629,0.477828,0.391304,0.57672,0.509654,0.473112,0.541909,0.510298,0.459123,0.48949,0.51883,0.453874,0.52622,0.486625,0.444252
-16.2452,0.493818,0.446374,0.431296,0.515231,0.578365,0.490132,0.386338,0.616525,0.526852,0.479351,0.573798,0.527424,0.455281,0.514711,0.543394,0.44447,0.541068,0.494824,0.441566
-15.7452,0.488258,0.453623,0.429224,0.519846,0.57738,0.495698,0.381073,0.62311,0.52905,0.482121,0.585354,0.529873,0.448251,0.521131,0.550853,0.434142,0.54091,0.496744,0.436221
-15.2452,0.471225,0.464513,0.42745,0.518158,0.548911,0.48947,0.376826,0.597554,0.517261,0.482364,0.573229,0.512874,0.440613,0.51005,0.542294,0.426407,0.528099,0.493501,0.429233
-14.7452,0.453598,0.483372,0.432614,0.516732,0.50864,0.475274,0.376399,0.561198,0.505441,0.487679,0.548524,0.489577,0.438812,0.494184,0.530234,0.426993,0.514128,0.493564,0.42801
-14.2452,0.444223,0.510707,0.449543,0.520682,0.473258,0.460525,0.381317,0.535526,0.507859,0.503918,0.528603,0.47787,0.446993,0.487524,0.525022,0.437243,0.509886,0.504377,0.436845
-13.7452,0.445162,0.540772,0.474997,0.529475,0.450307,0.450556,0.389043,0.528224,0.528417,0.528911,0.524768,0.485878,0.463369,0.49457,0.52834,0.453014,0.518273,0.525187,0.452707
-13.2452,0.450529,0.563421,0.498968,0.536879,0.436185,0.445417,0.394266,0.532699,0.558086,0.552872,0.534592,0.506916,0.47977,0.508066,0.534234,0.467381,0.532427,0.547574,0.466952
-12.7452,0.453259,0.569691,0.509828,0.53556,0.423899,0.441546,0.393067,0.536062,0.580891,0.564739,0.54597,0.525401,0.487618,0.515622,0.53474,0.474031,0.541188,0.559169,0.470898
-12.2452,0.448408,0.556321,0.501024,0.521451,0.40857,0.435426,0.384103,0.528945,0.583478,0.557538,0.546267,0.528826,0.481308,0.508206,0.524609,0.470692,0.536408,0.551694,0.460541
-11.7452,0.436313,0.526176,0.474463,0.49569,0.390075,0.425409,0.369083,0.509448,0.561585,0.531436,0.52996,0.51334,0.461829,0.485772,0.503533,0.457695,0.515348,0.526,0.439644
-11.2452,0.421392,0.48888,0.44045,0.465577,0.373482,0.414111,0.351791,0.482228,0.522458,0.493995,0.502178,0.485589,0.435983,0.455895,0.477883,0.440491,0.484257,0.492511,0.42002
-10.7452,0.413312,0.460254,0.415669,0.44509,0.365473,0.409504,0.339755,0.459216,0.484295,0.461101,0.478492,0.460683,0.416052,0.432976,0.460085,0.431838,0.458456,0.468267,0.417229
-10.2452,0.424224,0.454266,0.413433,0.447103,0.373769,0.421306,0.344076,0.453371,0.467736,0.451077,0.475312,0.453287,0.414728,0.431483,0.460973,0.444356,0.452723,0.465853,0.438592
-9.74516,0.459112,0.475382,0.434784,0.474802,0.403575,0.452915,0.369482,0.472579,0.48196,0.471683,0.49749,0.469998,0.434818,0.455811,0.483849,0.483331,0.472835,0.486731,0.479336
-9.24516,0.510377,0.515865,0.469429,0.518994,0.451359,0.499475,0.411233,0.512299,0.519411,0.516415,0.536338,0.505336,0.469104,0.497972,0.521043,0.539737,0.511828,0.521036,0.526009
-8.74516,0.561979,0.560338,0.503802,0.562752,0.506981,0.548183,0.455653,0.559337,0.562528,0.567345,0.575859,0.545613,0.504317,0.541637,0.55924,0.595092,0.553652,0.555549,0.565005
-8.24516,0.599762,0.597265,0.531355,0.59457,0.558104,0.586305,0.490033,0.600092,0.59794,0.609235,0.605852,0.580757,0.532049,0.574035,0.589079,0.634829,0.58571,0.583451,0.592318
-7.74516,0.622824,0.623316,0.553463,0.614011,0.597892,0.61057,0.513275,0.629134,0.624243,0.636675,0.626981,0.60816,0.553957,0.593051,0.610382,0.655707,0.606236,0.605627,0.610811
-7.24516,0.638732,0.639562,0.572134,0.627051,0.628817,0.624499,0.532147,0.65003,0.646576,0.652032,0.643738,0.630679,0.574232,0.602402,0.629013,0.66422,0.618623,0.624196,0.623903
-6.74516,0.652696,0.649133,0.587675,0.639648,0.655555,0.635135,0.552621,0.666824,0.668325,0.660783,0.65829,0.65115,0.593552,0.606901,0.649662,0.670287,0.627777,0.639285,0.633521
-6.24516,0.664283,0.655339,0.599022,0.653357,0.679237,0.646157,0.573833,0.680473,0.688222,0.666593,0.668875,0.668817,0.609249,0.609664,0.670651,0.678254,0.635848,0.649872,0.639638
