Arc_length vs Data,010_06months_DTI_antsBM,012_06months_DTI_antsBM,013_05months_DTI_antsBM,014_05months_DTI_antsBM,016_04months_DTI_antsBM,019_04months_DTI_antsBM,020_05months_DTI_antsBM,021_05months_DTI_antsBM,022_05months_DTI_antsBM,023_05months_DTI_antsBM,025_04months_DTI_antsBM,028_04months_DTI_antsBM,029_04months_DTI_antsBM,030_04months_DTI_antsBM,031_04months_DTI_antsBM,032_06months_DTI_antsBM,035_06months_DTI_antsBM,036_06months_DTI_antsBM,Atlas
-30.7621,0.222029,0.217556,0.169505,0.181686,0.20454,0.198312,0.199981,0.200056,0.168452,0.194693,0.164265,0.198229,0.178669,0.149862,0.186855,0.158455,0.159662,0.158653,0.124544
-30.2621,0.229301,0.226523,0.181508,0.168238,0.200761,0.201757,0.205261,0.211041,0.166276,0.198546,0.166238,0.201603,0.193115,0.15458,0.19627,0.166824,0.169862,0.163545,0.129632
-29.7621,0.233237,0.228217,0.188288,0.156723,0.199709,0.209798,0.206259,0.214359,0.166126,0.200183,0.169137,0.200941,0.205026,0.158507,0.2084,0.174548,0.178577,0.167275,0.13495
-29.2621,0.227402,0.223929,0.185051,0.142861,0.195592,0.211713,0.199547,0.20874,0.164052,0.194103,0.172187,0.191457,0.212994,0.161462,0.211733,0.177197,0.188094,0.168252,0.140854
-28.7621,0.21584,0.218182,0.175889,0.130432,0.188033,0.205122,0.186263,0.195831,0.160357,0.180087,0.171206,0.175176,0.213829,0.163438,0.203536,0.168761,0.192108,0.17038,0.143477
-28.2621,0.209811,0.218205,0.166888,0.123197,0.179727,0.191779,0.175985,0.18432,0.15774,0.167124,0.171062,0.160635,0.209283,0.16605,0.189278,0.162133,0.190569,0.173458,0.144041
-27.7621,0.210612,0.222614,0.162918,0.122829,0.174065,0.177972,0.17454,0.179291,0.156044,0.163878,0.172982,0.153571,0.205232,0.168282,0.17897,0.162675,0.190035,0.175566,0.148212
-27.2621,0.213134,0.225758,0.163318,0.130632,0.17256,0.169555,0.178639,0.178023,0.156945,0.168716,0.177154,0.153924,0.200477,0.170547,0.176418,0.166751,0.192192,0.178773,0.156453
-26.7621,0.217337,0.230561,0.168263,0.143314,0.178687,0.171747,0.18804,0.180799,0.163945,0.17928,0.18571,0.16202,0.200396,0.176676,0.183424,0.17598,0.200107,0.186008,0.169175
-26.2621,0.222974,0.239729,0.178168,0.157233,0.190841,0.184359,0.201691,0.187654,0.176591,0.1931,0.197638,0.175785,0.206441,0.187392,0.198608,0.189637,0.214808,0.198532,0.18567
-25.7621,0.229614,0.253824,0.192461,0.1664,0.206753,0.204632,0.216961,0.199411,0.193434,0.209226,0.212261,0.191093,0.217559,0.201461,0.219091,0.206985,0.234688,0.216693,0.204579
-25.2621,0.240365,0.273633,0.211181,0.163576,0.225473,0.230684,0.232965,0.218601,0.212562,0.228819,0.23076,0.20628,0.234428,0.218152,0.243417,0.228801,0.258879,0.240433,0.225308
-24.7621,0.256555,0.29505,0.231111,0.149921,0.243266,0.257019,0.247527,0.245158,0.228246,0.24884,0.250662,0.22132,0.253931,0.233566,0.267321,0.250203,0.282812,0.266453,0.24525
-24.2621,0.281205,0.316986,0.251217,0.140892,0.262846,0.283858,0.26234,0.279844,0.242137,0.268341,0.272729,0.244104,0.276137,0.249538,0.292252,0.268862,0.304677,0.294038,0.265014
