Arc_length vs Data,010_06months_DTI_antsBM,012_06months_DTI_antsBM,013_05months_DTI_antsBM,014_05months_DTI_antsBM,016_04months_DTI_antsBM,019_04months_DTI_antsBM,020_05months_DTI_antsBM,021_05months_DTI_antsBM,022_05months_DTI_antsBM,023_05months_DTI_antsBM,025_04months_DTI_antsBM,028_04months_DTI_antsBM,029_04months_DTI_antsBM,030_04months_DTI_antsBM,031_04months_DTI_antsBM,032_06months_DTI_antsBM,035_06months_DTI_antsBM,036_06months_DTI_antsBM,Atlas
-15.2645,-nan,-nan,-nan,0.110695,0.192841,0.173643,0.274983,0.179887,-nan,-nan,0.244722,0.208118,0.160843,0.208237,0.171706,0.267264,-nan,-nan,0.172708
-14.7645,-nan,-nan,-nan,0.12749,0.212924,0.181459,-nan,0.208233,-nan,-nan,0.251361,0.202844,0.174187,-nan,0.176848,0.297545,-nan,-nan,0.191369
-14.2645,-nan,-nan,-nan,0.156528,0.236253,0.199162,-nan,0.254507,-nan,-nan,0.256104,0.196494,0.20323,-nan,0.190829,0.352422,-nan,-nan,0.209561
-13.7645,-nan,-nan,-nan,0.186682,0.247919,0.216659,-nan,0.295391,-nan,-nan,0.248829,0.19538,0.247544,-nan,0.206342,-nan,-nan,-nan,0.212571
-13.2645,-nan,-nan,-nan,0.207742,0.246148,0.229565,-nan,0.312226,-nan,-nan,0.244371,0.200144,0.288337,-nan,0.219426,-nan,-nan,-nan,0.199688
-12.7645,-nan,-nan,-nan,0.236169,0.24718,0.24565,-nan,0.321687,-nan,-nan,0.251579,0.212599,0.336948,-nan,0.236058,-nan,-nan,-nan,0.191079
-12.2645,-nan,-nan,-nan,-nan,0.262568,0.264184,0.390543,0.33359,-nan,-nan,0.271717,0.234333,0.380479,-nan,0.259383,-nan,-nan,-nan,0.187559
-11.7645,-nan,-nan,0.479322,-nan,0.290337,0.281939,-nan,0.346364,-nan,-nan,0.294021,0.258743,0.407062,-nan,0.281373,-nan,-nan,-nan,0.190133
-11.2645,-nan,-nan,0.441807,-nan,0.321295,0.293893,-nan,0.351005,-nan,0.416574,0.305949,0.272138,0.405001,0.448197,0.291927,0.344619,-nan,-nan,0.200443
-10.7645,-nan,-nan,0.409725,-nan,0.336089,0.295827,-nan,0.338253,0.428789,0.393596,0.301504,0.268106,0.373496,0.391478,0.28475,0.307159,-nan,-nan,0.213435
-10.2645,-nan,-nan,0.392984,-nan,0.332717,0.29651,-nan,0.317835,0.392296,0.385388,0.285135,0.257766,0.328844,0.352702,0.275235,0.280029,-nan,-nan,0.228297
-9.76446,-nan,-nan,0.387379,0.356125,0.325273,0.302541,-nan,0.304348,0.374721,0.377686,0.271388,0.252725,0.286396,0.333796,0.27539,0.271064,-nan,-nan,0.243685
-9.26446,-nan,-nan,0.391419,0.353898,0.323769,0.316591,-nan,0.306522,0.369087,0.363301,0.268234,0.260271,0.251558,0.328889,0.28823,0.280492,-nan,-nan,0.258854
-8.76446,-nan,-nan,0.408682,0.369376,0.340809,0.341819,-nan,0.329751,0.373789,0.346249,0.279224,0.283488,0.229292,0.337156,0.315531,0.307329,-nan,-nan,0.275359
-8.26446,-nan,-nan,0.434364,0.395356,0.375058,0.37447,0.355734,0.367786,0.384201,0.341665,0.3053,0.31839,0.225639,0.356069,0.349531,0.345912,-nan,-nan,0.293079
-7.76446,0.489089,0.517463,0.46714,0.428724,0.418628,0.413777,0.346043,0.414017,0.401373,0.357212,0.342341,0.364159,0.244192,0.386661,0.389355,0.392976,0.475211,-nan,0.31402
-7.26446,0.521891,0.536323,0.500276,0.466734,0.466026,0.459655,0.353593,0.464315,0.427414,0.391598,0.387382,0.415833,0.286657,0.427801,0.43521,0.446599,0.489364,-nan,0.340773
-6.76446,0.549301,0.558982,0.52732,0.503993,0.509187,0.506983,0.376205,0.511385,0.46037,0.43904,0.436177,0.461718,0.34772,0.473462,0.481299,0.500807,0.502498,0.518181,0.373264
-6.26446,0.568143,0.579966,0.545562,0.533652,0.542707,0.548121,0.406705,0.548894,0.49511,0.490324,0.483621,0.494184,0.414651,0.517897,0.520088,0.545996,0.514842,0.529632,0.410248
-5.76446,0.580593,0.595914,0.556896,0.551602,0.565814,0.576614,0.438487,0.574208,0.523751,0.535016,0.525337,0.511911,0.472347,0.556129,0.545881,0.576327,0.525056,0.540996,0.449052
-5.26446,0.590869,0.6056,0.566067,0.55989,0.580343,0.592554,0.467963,0.589747,0.538537,0.568995,0.558098,0.523226,0.51107,0.584589,0.558139,0.593308,0.533038,0.55176,0.487029
-4.76446,0.599776,0.608072,0.570764,0.559966,0.585189,0.598537,0.491574,0.597513,0.535201,0.592205,0.576161,0.533435,0.528276,0.597619,0.558563,0.599773,0.539509,0.557297,0.521532
-4.26446,0.604588,0.602181,0.56276,0.553043,0.576402,0.594975,0.505107,0.596385,0.51793,0.602323,0.576142,0.539982,0.52624,0.590253,0.549794,0.596849,0.545639,0.554052,0.550378
-3.76446,0.602232,0.586248,0.534672,0.536758,0.550533,0.577172,0.503294,0.581825,0.492319,0.593794,0.556221,0.536753,0.507347,0.562925,0.531111,0.580534,0.548177,0.540625,0.571571
-3.26446,0.590345,0.55909,0.489102,0.510766,0.507854,0.540226,0.487453,0.550745,0.460909,0.564398,0.51953,0.518685,0.473289,0.520241,0.501153,0.549452,0.539884,0.518408,0.58339
-2.76446,0.567503,0.521383,0.438896,0.480678,0.454174,0.488141,0.463331,0.504188,0.428488,0.52292,0.475626,0.485347,0.42754,0.471156,0.462421,0.511231,0.514924,0.490019,0.585195
-2.26446,0.537533,0.4769,0.397173,0.452189,0.399668,0.435084,0.437623,0.45127,0.398986,0.486541,0.433218,0.445078,0.38114,0.42559,0.421136,0.477247,0.477031,0.459712,0.577684
-1.76446,0.507039,0.430712,0.370246,0.427787,0.355635,0.396315,0.41486,0.406054,0.377711,0.463838,0.399031,0.407706,0.348107,0.389384,0.385774,0.451528,0.440537,0.43139,0.562958
-1.26446,0.477458,0.392546,0.356145,0.406397,0.329629,0.376241,0.395124,0.3774,0.362785,0.451286,0.374251,0.37855,0.333384,0.366006,0.360288,0.42818,0.415367,0.407209,0.543916
-0.764459,0.451926,0.370223,0.348404,0.387058,0.320242,0.368004,0.379832,0.363346,0.349445,0.439515,0.356995,0.359014,0.330058,0.353324,0.343534,0.405938,0.404226,0.387749,0.523274
-0.264459,0.4301,0.3666,0.344516,0.368272,0.321258,0.360769,0.369123,0.3563,0.335085,0.419473,0.346925,0.344281,0.326928,0.344954,0.333571,0.384466,0.405411,0.373321,0.500588
0.235541,0.416673,0.377396,0.344033,0.354051,0.326415,0.352161,0.365007,0.351683,0.322554,0.394702,0.345852,0.335362,0.321416,0.339729,0.330107,0.373551,0.412376,0.370548,0.476618
0.735541,0.412628,0.387204,0.345211,0.345317,0.331382,0.350487,0.363264,0.348575,0.318167,0.371161,0.351578,0.329649,0.321893,0.337761,0.330237,0.376767,0.419186,0.37742,0.451801
1.23554,0.406396,0.384284,0.343834,0.340341,0.332915,0.357273,0.355969,0.345893,0.31999,0.351166,0.35644,0.322674,0.328893,0.338025,0.327826,0.382887,0.418931,0.385212,0.427159
1.73554,0.385609,0.36578,0.334328,0.332592,0.326454,0.360738,0.337218,0.336371,0.318117,0.327831,0.351872,0.308586,0.332156,0.334818,0.316764,0.378759,0.405224,0.382024,0.39709
2.23554,0.347031,0.332012,0.31212,0.315828,0.307023,0.349512,0.308287,0.315554,0.303112,0.299898,0.331721,0.286981,0.319507,0.319573,0.293962,0.356425,0.376235,0.360018,0.364991
2.73554,0.298781,0.290937,0.278102,0.288986,0.276215,0.320421,0.27891,0.283054,0.273924,0.270405,0.298538,0.262457,0.28828,0.289847,0.261709,0.319777,0.337173,0.324023,0.334386
3.23554,0.254875,0.253131,0.241049,0.255828,0.244679,0.283686,0.25934,0.247189,0.239802,0.247054,0.264357,0.241597,0.251998,0.254003,0.228898,0.282495,0.298139,0.285826,0.308797
3.73554,0.227451,0.228105,0.212741,0.226306,0.224987,0.255601,0.253651,0.218032,0.215258,0.237777,0.24228,0.229139,0.227676,0.227194,0.204756,0.259218,0.270879,0.258625,0.290347
4.23554,0.219528,0.219597,0.200655,0.209241,0.221497,0.243563,0.258466,0.199708,0.20628,0.242133,0.237484,0.225389,0.22121,0.217376,0.194206,0.253696,0.259819,0.247915,0.277811
4.73554,0.225467,0.223466,0.20349,0.206323,0.230379,0.244995,0.268001,0.193758,0.206991,0.253481,0.245749,0.228643,0.227907,0.220803,0.195886,0.259847,0.260879,0.250584,0.268535
5.23554,0.236116,0.231762,0.212891,0.214237,0.242239,0.252903,0.278605,0.197227,0.208924,0.263647,0.25879,0.234576,0.237495,0.228573,0.202767,0.268671,0.266105,0.258404,0.26125
5.73554,0.243636,0.237514,0.219975,0.226506,0.250537,0.260202,0.286432,0.206878,0.208401,0.267708,0.271074,0.239659,0.24353,0.233777,0.209812,0.274611,0.269346,0.264269,0.257485
6.23554,0.245428,0.237707,0.220065,0.236234,0.25266,0.262507,0.287771,0.217875,0.206806,0.265667,0.279875,0.241408,0.243546,0.234279,0.214749,0.275619,0.268291,0.265239,0.259587
6.73554,0.242126,0.232979,0.213974,0.23854,0.248799,0.259956,0.282003,0.224021,0.205327,0.26012,0.283752,0.238221,0.238381,0.231083,0.2167,0.271219,0.262484,0.261259,0.268323
7.23554,0.235823,0.22601,0.205279,0.23258,0.240058,0.254903,0.270479,0.22146,0.202726,0.252668,0.282185,0.229759,0.229813,0.225416,0.216268,0.261599,0.253013,0.253501,0.281365
7.73554,0.229092,0.218879,0.196467,0.222181,0.227906,0.24857,0.256076,0.210455,0.19706,0.243949,0.275212,0.217603,0.219556,0.21813,0.214382,0.247199,0.241895,0.243459,0.29392
8.23554,0.221164,0.211721,0.187635,0.212158,0.213967,0.239481,0.241851,0.195084,0.188331,0.233336,0.263239,0.205157,0.208252,0.208846,0.21113,0.228208,0.230175,0.231503,0.299335
8.73554,0.2083,0.203657,0.176172,0.20599,0.199538,0.226067,0.23088,0.179556,0.177705,0.219844,0.2464,0.194852,0.195763,0.196308,0.203849,0.206083,0.217199,0.217184,0.29342
9.23554,0.187977,0.191896,0.160493,0.200834,0.184721,0.208355,0.221784,0.166184,0.164151,0.202153,0.224338,0.185696,0.181147,0.179639,0.189544,0.183311,0.201981,0.200294,0.273845
9.73554,0.162202,0.175757,0.141318,0.190359,0.169939,0.189397,0.212715,0.15486,0.148234,0.180826,0.199887,0.17551,0.163318,0.161034,0.167935,0.16335,0.184503,0.183345,0.244705
10.2355,0.135976,0.15626,0.120993,0.173769,0.156199,0.172632,0.202032,0.145216,0.130142,0.15718,0.176568,0.162398,0.143595,0.143847,0.142495,0.148126,0.167237,0.168545,0.212495
10.7355,0.114323,0.136628,0.104231,0.153506,0.145106,0.159484,0.188971,0.138462,0.1126,0.133978,0.157187,0.147785,0.124694,0.129446,0.119719,0.137922,0.154067,0.157036,0.183467
11.2355,0.0988716,0.119913,0.0910956,0.134319,0.137367,0.149995,0.176485,0.133534,0.0985254,0.114179,0.143068,0.134329,0.10825,0.118391,0.101892,0.131314,0.144737,0.149242,0.160827
11.7355,0.0872567,0.106062,0.0818908,0.118182,0.132525,0.142776,0.165345,0.131462,0.0862704,0.0968745,0.132549,0.122619,0.0949041,0.109401,0.089055,0.126412,0.139723,0.142617,0.142932
12.2355,0.0813556,0.0962477,0.0788523,0.104471,0.131745,0.136525,0.156146,0.133707,0.0769347,0.0823073,0.124702,0.114582,0.0850178,0.0983423,0.0823239,0.12409,0.140169,0.135598,0.130301
