Arc_length vs Data,010_06months_DTI_antsBM,012_06months_DTI_antsBM,013_05months_DTI_antsBM,014_05months_DTI_antsBM,016_04months_DTI_antsBM,019_04months_DTI_antsBM,020_05months_DTI_antsBM,021_05months_DTI_antsBM,022_05months_DTI_antsBM,023_05months_DTI_antsBM,025_04months_DTI_antsBM,028_04months_DTI_antsBM,029_04months_DTI_antsBM,030_04months_DTI_antsBM,031_04months_DTI_antsBM,032_06months_DTI_antsBM,035_06months_DTI_antsBM,036_06months_DTI_antsBM,Atlas
-10.6204,0.128262,0.0966633,0.136886,0.103843,0.131752,0.0737793,0.0638061,0.114609,0.0975359,0.0835329,0.180793,0.174484,0.136262,0.125454,0.16023,0.0893977,0.0964484,0.124217,0.124988
-10.1204,0.129008,0.0872552,0.131193,0.104702,0.126946,0.0719539,0.072548,0.1178,0.0971134,0.0864862,0.173031,0.176915,0.142265,0.128816,0.155766,0.0894004,0.0974215,0.122278,0.125783
-9.62041,0.130013,0.0819301,0.127442,0.107103,0.124385,0.0734388,0.0787224,0.119626,0.0991568,0.0975772,0.16122,0.183077,0.145283,0.130334,0.158875,0.0877195,0.0978118,0.120602,0.126228
-9.12041,0.130698,0.0764485,0.122019,0.110604,0.122289,0.078698,0.0868844,0.120547,0.102548,0.117174,0.144552,0.189157,0.144116,0.131097,0.15787,0.0843816,0.0995364,0.118006,0.126544
-8.62041,0.130849,0.0766173,0.118364,0.115966,0.124274,0.0883198,0.0934047,0.119079,0.105998,0.141316,0.12485,0.192973,0.134716,0.128775,0.147605,0.0799178,0.101893,0.115581,0.127267
-8.12041,0.129838,0.0791085,0.114919,0.119108,0.131381,0.0975799,0.0963565,0.117209,0.104946,0.161141,0.112476,0.188882,0.119675,0.125477,0.121378,0.0754839,0.105638,0.114669,0.126524
-7.62041,0.127916,0.0814263,0.112968,0.119479,0.139331,0.103417,0.095059,0.116281,0.0993004,0.166841,0.106759,0.177069,0.107519,0.126085,0.0840091,0.0729104,0.112004,0.115195,0.127192
-7.12041,0.126425,0.0858163,0.11674,0.11918,0.144834,0.105953,0.0916131,0.115003,0.095644,0.159864,0.1075,0.167431,0.104388,0.130641,0.0568292,0.074286,0.119312,0.117038,0.127977
-6.62041,0.126662,0.095724,0.124232,0.120262,0.143692,0.107701,0.0890583,0.11189,0.0974996,0.150302,0.111753,0.163647,0.106328,0.135592,0.0458631,0.0787127,0.124628,0.120322,0.128507
-6.12041,0.130075,0.109677,0.133001,0.123781,0.137509,0.109396,0.0876791,0.107914,0.106765,0.142166,0.117615,0.163864,0.110912,0.137912,0.0441186,0.0866774,0.128432,0.12173,0.130187
-5.62041,0.138591,0.122945,0.140143,0.1291,0.129017,0.110396,0.0876131,0.106197,0.120189,0.138163,0.121984,0.165333,0.115241,0.137856,0.0475227,0.097445,0.131577,0.121287,0.132166
-5.12041,0.150812,0.129831,0.143433,0.134998,0.120788,0.109507,0.0891517,0.112359,0.134594,0.13854,0.123367,0.164707,0.1205,0.138098,0.057443,0.109993,0.134081,0.120965,0.134118
-4.62041,0.161847,0.128725,0.142744,0.141094,0.116106,0.107738,0.0919878,0.130224,0.145647,0.142099,0.122888,0.161149,0.129069,0.140083,0.0788535,0.123577,0.133682,0.121669,0.136028
-4.12041,0.16808,0.122657,0.139371,0.147388,0.11452,0.106742,0.0961698,0.158491,0.150901,0.146239,0.123424,0.155914,0.138936,0.145681,0.105247,0.135399,0.129727,0.125474,0.137719
-3.62041,0.169482,0.116238,0.132907,0.154544,0.116535,0.108567,0.101226,0.19348,0.152103,0.148605,0.127505,0.151011,0.148174,0.154701,0.133397,0.142374,0.122858,0.130865,0.139909
-3.12041,0.168675,0.113343,0.122422,0.161809,0.123746,0.113906,0.106429,0.2265,0.152027,0.149253,0.13631,0.146482,0.152289,0.16458,0.157651,0.142165,0.117612,0.136159,0.143469
-2.62041,0.167201,0.116008,0.109302,0.167727,0.135994,0.122135,0.112833,0.250042,0.15444,0.148327,0.147005,0.140438,0.150345,0.173434,0.171897,0.137497,0.11765,0.14111,0.148046
-2.12041,0.165181,0.126414,0.0986386,0.17107,0.149704,0.13317,0.120531,0.257991,0.160285,0.145929,0.155957,0.134431,0.145967,0.179228,0.180366,0.135131,0.12135,0.147653,0.153188
-1.62041,0.163133,0.14301,0.0946068,0.170666,0.158161,0.144527,0.128358,0.246878,0.167079,0.143174,0.161184,0.130649,0.14295,0.180967,0.184468,0.138977,0.127643,0.157602,0.158562
-1.12041,0.163465,0.158107,0.095775,0.167055,0.157772,0.152895,0.133471,0.22484,0.172092,0.142581,0.161566,0.131486,0.143819,0.180757,0.185624,0.148011,0.134098,0.170571,0.162511
-0.620412,0.167205,0.167102,0.09889,0.161683,0.15138,0.155798,0.134582,0.203585,0.173396,0.145134,0.16063,0.13466,0.146947,0.180785,0.185724,0.156771,0.139566,0.183886,0.164499
-0.120412,0.174435,0.169382,0.101243,0.154677,0.144126,0.150464,0.13184,0.191883,0.170724,0.153165,0.162666,0.137067,0.153355,0.181507,0.185656,0.162674,0.146662,0.196604,0.166197
0.379588,0.178349,0.168403,0.102963,0.146482,0.14261,0.139717,0.127365,0.193353,0.165194,0.163064,0.167147,0.135425,0.160168,0.182945,0.183723,0.162342,0.151976,0.202935,0.167399
0.879588,0.175594,0.170432,0.105948,0.138141,0.145715,0.127893,0.124323,0.19882,0.157953,0.169032,0.172723,0.131484,0.163598,0.182539,0.179888,0.156426,0.15468,0.201386,0.168828
1.37959,0.170232,0.175327,0.109291,0.131586,0.149668,0.117815,0.122495,0.201511,0.150798,0.170102,0.177601,0.128422,0.16333,0.180001,0.17518,0.148052,0.15624,0.196167,0.169772
1.87959,0.165946,0.18052,0.111971,0.126169,0.153932,0.108797,0.119352,0.200987,0.143219,0.16703,0.181143,0.124515,0.15903,0.175925,0.169011,0.138367,0.157482,0.189905,0.169683
2.37959,0.165588,0.183686,0.11439,0.123389,0.158619,0.10493,0.113116,0.199241,0.136998,0.158666,0.182324,0.120419,0.150486,0.171415,0.164235,0.131746,0.159489,0.185495,0.168653
2.87959,0.168064,0.183371,0.119058,0.120739,0.16383,0.106566,0.103377,0.19889,0.133224,0.147599,0.180599,0.116867,0.139277,0.168616,0.162775,0.129608,0.161955,0.182484,0.166729
3.37959,0.169511,0.179288,0.126648,0.116784,0.167105,0.111343,0.0912763,0.200108,0.131395,0.136709,0.177035,0.114464,0.125558,0.167609,0.163358,0.130675,0.163832,0.178307,0.164006
3.87959,0.167492,0.173443,0.136778,0.112921,0.165861,0.115713,0.0781774,0.20228,0.130891,0.12912,0.174324,0.113349,0.110625,0.166948,0.163108,0.132693,0.164807,0.171081,0.160472
4.37959,0.162905,0.168143,0.14692,0.111859,0.159516,0.11656,0.0681529,0.202845,0.131262,0.127103,0.173085,0.111817,0.0988074,0.164313,0.159564,0.133885,0.163927,0.161075,0.156765
