Arc_length vs Data,010_06months_DTI_antsBM,012_06months_DTI_antsBM,013_05months_DTI_antsBM,014_05months_DTI_antsBM,016_04months_DTI_antsBM,019_04months_DTI_antsBM,020_05months_DTI_antsBM,021_05months_DTI_antsBM,022_05months_DTI_antsBM,023_05months_DTI_antsBM,025_04months_DTI_antsBM,028_04months_DTI_antsBM,029_04months_DTI_antsBM,030_04months_DTI_antsBM,031_04months_DTI_antsBM,032_06months_DTI_antsBM,035_06months_DTI_antsBM,036_06months_DTI_antsBM,Atlas
-13.335,0.198797,0.186839,0.201649,0.188641,0.205966,0.193726,0.190964,0.175382,0.195431,0.230543,0.229717,0.197247,0.175343,0.187379,0.211933,0.193654,0.154962,0.20334,0.133003
-12.835,0.206576,0.197608,0.212314,0.200507,0.218725,0.206874,0.205282,0.192419,0.207333,0.240067,0.243315,0.208469,0.189313,0.192223,0.216642,0.201421,0.167101,0.217074,0.142909
-12.335,0.212579,0.203659,0.221527,0.210269,0.227498,0.212412,0.212872,0.208094,0.214468,0.243028,0.247746,0.217147,0.202727,0.194812,0.215694,0.209499,0.176415,0.22603,0.148959
-11.835,0.214179,0.202159,0.228353,0.21702,0.230046,0.211232,0.212524,0.218761,0.216853,0.237654,0.240512,0.22231,0.21142,0.195771,0.208255,0.213942,0.179931,0.226395,0.15282
-11.335,0.208134,0.193701,0.230006,0.215746,0.22438,0.200274,0.202682,0.216826,0.210558,0.223412,0.222296,0.220634,0.209956,0.191676,0.196404,0.210633,0.176777,0.215368,0.152884
-10.835,0.193153,0.186252,0.227587,0.208508,0.215837,0.184404,0.188506,0.207499,0.200055,0.203799,0.198068,0.213382,0.199471,0.17829,0.186343,0.19789,0.170338,0.198906,0.151624
-10.335,0.183052,0.18355,0.228201,0.205947,0.212464,0.175054,0.179884,0.197525,0.193431,0.191783,0.185636,0.207925,0.19153,0.166707,0.184026,0.188142,0.170072,0.190422,0.157681
-9.83502,0.180202,0.183419,0.232305,0.20704,0.2122,0.170061,0.174031,0.189057,0.190784,0.186373,0.183571,0.203401,0.186702,0.158808,0.185137,0.184473,0.175535,0.186556,0.169681
-9.33502,0.185031,0.185973,0.238279,0.212537,0.216153,0.169782,0.169501,0.186135,0.192837,0.186456,0.18907,0.201248,0.186333,0.155224,0.18849,0.187875,0.186505,0.185591,0.18628
-8.83502,0.196461,0.191124,0.241807,0.221982,0.224557,0.174399,0.165392,0.189181,0.198583,0.190628,0.19934,0.201772,0.19075,0.157021,0.193225,0.197311,0.200997,0.186776,0.20685
-8.33502,0.211577,0.199477,0.241032,0.232418,0.235133,0.184878,0.162986,0.19965,0.206988,0.197682,0.210877,0.205008,0.199753,0.165049,0.199573,0.209314,0.215423,0.191123,0.227164
