Arc_length vs Data,007_08months_DTI_antsBM,008_08months_DTI_antsBM,013_09months_DTI_antsBM,014_09months_DTI_antsBM,016_08months_DTI_antsBM,017_07months_DTI_antsBM,018_07months_DTI_antsBM,019_08months_DTI_antsBM,020_08months_DTI_antsBM,021_08months_DTI_antsBM,022_08months_DTI_antsBM,023_08months_DTI_antsBM,025_07months_DTI_antsBM,026_07months_DTI_antsBM,027_07months_DTI_antsBM,028_07months_DTI_antsBM,029_08months_DTI_antsBM,030_08months_DTI_antsBM,031_07months_DTI_antsBM,032_09months_DTI_antsBM,033_07months_DTI_antsBM,034_07months_DTI_antsBM,034_09months_DTI_antsBM,035_09months_DTI_antsBM,036_09months_DTI_antsBM,Atlas
-32.5539,0.125944,0.12245,0.0997087,0.10612,0.0844619,0.11578,0.108183,0.119237,0.0738621,0.117401,0.0879528,0.0752961,0.103558,0.112264,0.087744,0.116973,0.121017,0.094365,0.0877575,0.100603,0.0904657,0.137185,0.103681,0.106612,0.0942738,0.159419
-32.0539,0.129639,0.127434,0.103434,0.10962,0.0946379,0.12238,0.111847,0.121734,0.0791355,0.121476,0.0919211,0.0800333,0.10697,0.116576,0.0955645,0.120375,0.125691,0.102057,0.0942339,0.103533,0.0940143,0.150883,0.108292,0.113511,0.102562,0.163824
-31.5539,0.132599,0.131508,0.10775,0.110842,0.103412,0.127174,0.113875,0.123793,0.0860112,0.123568,0.0961923,0.0860207,0.110235,0.119068,0.102438,0.123271,0.127729,0.107299,0.0994056,0.106432,0.096738,0.160747,0.112247,0.117825,0.111389,0.164415
-31.0539,0.132025,0.132577,0.109689,0.109199,0.106554,0.127349,0.111613,0.122361,0.0915606,0.120831,0.0996742,0.0910428,0.110142,0.117669,0.106975,0.122622,0.125182,0.105982,0.100281,0.109167,0.0962682,0.160812,0.111362,0.115755,0.116781,0.159628
-30.5539,0.130819,0.132638,0.11006,0.10637,0.106728,0.125787,0.108718,0.120857,0.0935975,0.116611,0.101713,0.094415,0.110029,0.115695,0.109049,0.121311,0.122285,0.103292,0.0997631,0.111266,0.0951755,0.155975,0.109957,0.111432,0.117669,0.155544
-30.0539,0.131971,0.135373,0.112931,0.105206,0.110272,0.127003,0.108506,0.12162,0.0964163,0.114848,0.103995,0.0985247,0.112274,0.115771,0.112237,0.123233,0.122248,0.104028,0.102026,0.113676,0.0960536,0.155474,0.111401,0.11167,0.119359,0.155027
-29.5539,0.134976,0.140183,0.118341,0.106952,0.117044,0.13066,0.110184,0.124281,0.101404,0.115472,0.106977,0.103957,0.116296,0.117484,0.116926,0.127858,0.124021,0.107335,0.106145,0.117473,0.0992247,0.159092,0.114972,0.115994,0.123249,0.156164
-29.0539,0.140234,0.147013,0.12693,0.111834,0.126304,0.136998,0.113995,0.12971,0.109667,0.118788,0.111843,0.111954,0.123369,0.121613,0.123383,0.134923,0.127355,0.113464,0.113252,0.122956,0.105542,0.166405,0.121419,0.124356,0.129533,0.158095
-28.5539,0.152557,0.157,0.145768,0.124968,0.141623,0.150843,0.123761,0.142001,0.12778,0.131393,0.124119,0.126857,0.139161,0.134455,0.135249,0.147505,0.135701,0.124497,0.127782,0.134774,0.117804,0.180597,0.134166,0.139447,0.140213,0.165446
-28.0539,0.178174,0.172596,0.180659,0.152291,0.168078,0.178044,0.145363,0.165911,0.158858,0.159762,0.147721,0.151843,0.16786,0.161765,0.157745,0.170107,0.15352,0.143536,0.153068,0.158325,0.138401,0.20419,0.158511,0.163785,0.157544,0.186293
