Arc_length vs Data,007_08months_DTI_antsBM,008_08months_DTI_antsBM,013_09months_DTI_antsBM,014_09months_DTI_antsBM,016_08months_DTI_antsBM,017_07months_DTI_antsBM,018_07months_DTI_antsBM,019_08months_DTI_antsBM,020_08months_DTI_antsBM,021_08months_DTI_antsBM,022_08months_DTI_antsBM,023_08months_DTI_antsBM,025_07months_DTI_antsBM,026_07months_DTI_antsBM,027_07months_DTI_antsBM,028_07months_DTI_antsBM,029_08months_DTI_antsBM,030_08months_DTI_antsBM,031_07months_DTI_antsBM,032_09months_DTI_antsBM,033_07months_DTI_antsBM,034_07months_DTI_antsBM,034_09months_DTI_antsBM,035_09months_DTI_antsBM,036_09months_DTI_antsBM,Atlas
-31.8123,0.269639,0.248979,0.236522,0.23807,0.2394,0.21769,0.250681,0.25285,0.256119,0.220464,0.182195,0.224837,0.223431,0.215216,0.202099,0.236164,0.226796,0.214729,0.213953,0.207035,0.242294,0.281413,0.224508,0.210411,0.195146,0.185568
-31.3123,0.27565,0.256843,0.244506,0.249386,0.249865,0.227605,0.258817,0.258496,0.26093,0.229241,0.191425,0.230775,0.23401,0.225237,0.212915,0.24006,0.232184,0.222556,0.22605,0.21497,0.248523,0.298489,0.22973,0.220891,0.198946,0.189748
-30.8123,0.287405,0.269147,0.255751,0.264749,0.26449,0.240596,0.268066,0.265789,0.270825,0.242058,0.202987,0.240087,0.247706,0.238672,0.227972,0.249315,0.242271,0.233018,0.240739,0.22655,0.258527,0.320329,0.239031,0.236378,0.205345,0.195726
-30.3123,0.298863,0.281348,0.266214,0.277957,0.279529,0.254347,0.275878,0.271487,0.280478,0.256106,0.215447,0.250096,0.261122,0.252934,0.244254,0.259977,0.253388,0.241983,0.254725,0.239734,0.268748,0.342408,0.248737,0.251923,0.214222,0.202515
-29.8123,0.308684,0.291424,0.275223,0.287943,0.29209,0.266952,0.281473,0.275475,0.28864,0.270108,0.226827,0.259564,0.272857,0.267034,0.260303,0.270799,0.264461,0.248643,0.266538,0.252745,0.278553,0.362771,0.257468,0.265179,0.223552,0.208626
-29.3123,0.316084,0.298806,0.281558,0.294976,0.300768,0.276408,0.284095,0.277433,0.294482,0.282125,0.236235,0.267926,0.281425,0.280112,0.275184,0.280144,0.274392,0.252205,0.275786,0.263872,0.286705,0.379433,0.264087,0.274926,0.232486,0.214377
-28.8123,0.318853,0.302153,0.283706,0.298674,0.30392,0.281461,0.283246,0.277196,0.296511,0.290081,0.243072,0.274598,0.286128,0.290442,0.287587,0.286503,0.281549,0.252228,0.281829,0.271715,0.291861,0.390097,0.267779,0.280527,0.239826,0.219385
-28.3123,0.317751,0.302347,0.282853,0.301758,0.30212,0.282863,0.280439,0.275494,0.295846,0.293849,0.247869,0.280213,0.288266,0.297952,0.297559,0.290521,0.285941,0.24999,0.285768,0.276517,0.294295,0.395161,0.269454,0.2835,0.245114,0.223981
-27.8123,0.31374,0.300971,0.280415,0.305822,0.297103,0.282084,0.277153,0.273152,0.293618,0.294331,0.251751,0.285537,0.289259,0.303043,0.305443,0.293354,0.288225,0.246433,0.288895,0.279203,0.294742,0.395788,0.270302,0.285635,0.248753,0.228718
-27.3123,0.308319,0.299064,0.277608,0.310947,0.290719,0.280897,0.274495,0.270657,0.290669,0.292493,0.255473,0.290968,0.290098,0.306743,0.311443,0.296153,0.289507,0.242663,0.292011,0.280647,0.294191,0.393319,0.271112,0.28827,0.250942,0.233741
-26.8123,0.303428,0.297715,0.275534,0.316787,0.2853,0.280907,0.27315,0.268502,0.287967,0.289648,0.259737,0.29706,0.291381,0.309891,0.316154,0.299664,0.290987,0.240058,0.295878,0.282077,0.29409,0.389809,0.272759,0.292461,0.252049,0.239396
-26.3123,0.299873,0.296984,0.274343,0.321841,0.28202,0.282779,0.272328,0.266861,0.28514,0.286422,0.26444,0.303639,0.292751,0.312821,0.319553,0.303734,0.293007,0.238881,0.300562,0.284033,0.295075,0.386324,0.27533,0.298363,0.252101,0.245528
-25.8123,0.298304,0.297001,0.27426,0.325889,0.282191,0.287103,0.271707,0.265951,0.282159,0.283494,0.269619,0.310902,0.29403,0.315995,0.322045,0.308685,0.295982,0.239611,0.30646,0.287165,0.297933,0.384173,0.279169,0.306139,0.251876,0.252338
-25.3123,0.298459,0.297654,0.275414,0.328813,0.285861,0.293704,0.271124,0.266193,0.279015,0.281417,0.274895,0.318219,0.294967,0.31875,0.323519,0.314364,0.299457,0.242045,0.313324,0.291589,0.302541,0.38422,0.284045,0.31483,0.251944,0.259313
-24.8123,0.299317,0.298778,0.277482,0.330504,0.291651,0.30178,0.27047,0.267753,0.275771,0.279949,0.279582,0.324539,0.295279,0.320762,0.324188,0.319814,0.302808,0.245061,0.320289,0.296453,0.307534,0.386368,0.2889,0.323011,0.252528,0.265722
-24.3123,0.300159,0.3008,0.280325,0.331605,0.298092,0.310701,0.270001,0.270699,0.273215,0.279008,0.283886,0.329686,0.295321,0.322066,0.324922,0.324623,0.306053,0.247925,0.327079,0.301202,0.31219,0.389743,0.293301,0.330037,0.253982,0.271445
-23.8123,0.300195,0.303359,0.283193,0.33204,0.302767,0.318951,0.269154,0.274357,0.271858,0.278083,0.287331,0.332993,0.295315,0.322169,0.325515,0.327976,0.308738,0.249426,0.33301,0.304921,0.315466,0.391824,0.296462,0.335056,0.255854,0.275804
-23.3123,0.299103,0.30601,0.28559,0.332311,0.304345,0.325122,0.267694,0.277844,0.271733,0.276625,0.289699,0.334391,0.295482,0.321222,0.325363,0.330034,0.310911,0.248919,0.337801,0.307145,0.316953,0.390932,0.298364,0.338131,0.257736,0.278763
-22.8123,0.296931,0.3081,0.28737,0.332956,0.302523,0.328064,0.265755,0.279926,0.272069,0.274673,0.290991,0.334121,0.295895,0.319701,0.323378,0.331361,0.312493,0.246394,0.341116,0.308304,0.316952,0.3872,0.299396,0.339338,0.259374,0.280459
-22.3123,0.293992,0.308781,0.288287,0.333907,0.297769,0.32728,0.263487,0.279293,0.271922,0.272136,0.291377,0.332255,0.296348,0.318032,0.318846,0.33217,0.313081,0.241817,0.342622,0.30901,0.315372,0.382164,0.299543,0.338691,0.260254,0.28102
-21.8123,0.290638,0.308262,0.288216,0.334731,0.291342,0.323107,0.260822,0.275417,0.270529,0.269285,0.291297,0.329203,0.296438,0.316729,0.311911,0.333087,0.312541,0.23552,0.342548,0.309827,0.312596,0.377733,0.299122,0.336402,0.260453,0.280793
-21.3123,0.287325,0.307148,0.286928,0.334146,0.284268,0.316456,0.257137,0.268038,0.267527,0.266421,0.290846,0.325133,0.295755,0.315541,0.303275,0.334231,0.31035,0.227861,0.341591,0.310712,0.308783,0.374149,0.298453,0.33292,0.26021,0.279759
-20.8123,0.284509,0.306045,0.283846,0.331096,0.277524,0.308574,0.252383,0.258047,0.263286,0.263521,0.289778,0.32014,0.293955,0.313665,0.29384,0.335152,0.306232,0.21969,0.340386,0.311328,0.304022,0.370527,0.297848,0.328342,0.259765,0.277942
-20.3123,0.28241,0.304975,0.278852,0.325073,0.271756,0.300138,0.246926,0.247214,0.258212,0.260581,0.287484,0.314134,0.290474,0.310091,0.283987,0.334596,0.300033,0.212193,0.338245,0.310934,0.298281,0.365629,0.296728,0.322467,0.259073,0.275267
-19.8123,0.280675,0.302704,0.272046,0.315681,0.266836,0.290715,0.240836,0.236964,0.252642,0.256916,0.283138,0.306272,0.284494,0.303432,0.273197,0.330685,0.291348,0.205731,0.333266,0.308528,0.290415,0.357455,0.293363,0.314309,0.257434,0.271262
-19.3123,0.278704,0.297797,0.263603,0.303061,0.262627,0.280013,0.233796,0.228758,0.246975,0.251945,0.276129,0.296171,0.275442,0.292923,0.260939,0.322389,0.280325,0.200081,0.324373,0.303769,0.279319,0.344891,0.2864,0.303512,0.25462,0.265414
-18.8123,0.276115,0.289736,0.254452,0.287337,0.258891,0.268017,0.225214,0.223052,0.241463,0.245471,0.266128,0.283731,0.263607,0.27871,0.247536,0.309795,0.267612,0.194504,0.311707,0.296652,0.264256,0.328432,0.275695,0.290633,0.251258,0.257191
-18.3123,0.272894,0.279374,0.245173,0.268934,0.255453,0.255244,0.21528,0.21937,0.236848,0.237511,0.252923,0.269288,0.249879,0.262122,0.233807,0.293497,0.253332,0.18748,0.296326,0.288079,0.245395,0.309585,0.26221,0.277001,0.247176,0.245856
-17.8123,0.270029,0.268588,0.236126,0.248757,0.252773,0.24241,0.205188,0.216515,0.233425,0.228631,0.237433,0.253017,0.235825,0.246438,0.220791,0.274454,0.237136,0.177606,0.279626,0.278956,0.224874,0.288874,0.246743,0.263527,0.241175,0.230806
-17.3123,0.270891,0.261352,0.229618,0.231878,0.251903,0.231965,0.198698,0.213807,0.230981,0.221469,0.226253,0.238449,0.225005,0.236636,0.211278,0.258635,0.22287,0.166452,0.265677,0.271363,0.208585,0.267972,0.231583,0.252089,0.234786,0.217118
-16.8123,0.275299,0.258516,0.225791,0.221186,0.251841,0.224222,0.196211,0.210443,0.227787,0.217392,0.223472,0.22725,0.218005,0.233717,0.206075,0.249552,0.212884,0.155531,0.255627,0.266134,0.199168,0.249871,0.218409,0.244757,0.229019,0.208859
-16.3123,0.280523,0.258346,0.223479,0.216852,0.251167,0.218998,0.196315,0.206331,0.22312,0.216298,0.229081,0.219527,0.214233,0.235443,0.204937,0.247188,0.207779,0.145949,0.248907,0.262744,0.196269,0.236656,0.207975,0.241777,0.224912,0.207767
-15.8123,0.283431,0.258422,0.221211,0.216989,0.248926,0.215007,0.196776,0.202544,0.217565,0.217108,0.238937,0.214796,0.212827,0.238076,0.207,0.248895,0.20676,0.138093,0.243881,0.260454,0.197382,0.230027,0.200746,0.241752,0.22304,0.212893
-15.3123,0.281501,0.256621,0.218202,0.218397,0.245359,0.210471,0.195194,0.200543,0.212136,0.218144,0.244943,0.211686,0.212436,0.239091,0.210604,0.250216,0.207659,0.132024,0.238927,0.25841,0.199641,0.230188,0.197011,0.242197,0.22203,0.220081
-14.8123,0.276767,0.25309,0.215599,0.219274,0.242086,0.205825,0.192714,0.202442,0.208188,0.218752,0.243076,0.210176,0.213198,0.238769,0.214825,0.249474,0.209107,0.128295,0.234815,0.256143,0.201555,0.234281,0.196488,0.24013,0.22119,0.226285
-14.3123,0.272694,0.250591,0.215057,0.219202,0.239139,0.2021,0.190973,0.208792,0.205655,0.218811,0.235103,0.209957,0.214838,0.239823,0.218042,0.24751,0.210305,0.127257,0.231801,0.254064,0.202485,0.239367,0.198735,0.235251,0.219773,0.230265
-13.8123,0.269824,0.25019,0.216524,0.218956,0.236496,0.201558,0.191648,0.218866,0.204477,0.218974,0.226999,0.210736,0.217821,0.244273,0.21989,0.245908,0.210297,0.128534,0.230395,0.252498,0.202264,0.243979,0.20315,0.22995,0.217296,0.232601
-13.3123,0.266507,0.25268,0.218795,0.219754,0.234548,0.205872,0.195446,0.230393,0.2054,0.219433,0.22481,0.212929,0.222622,0.251818,0.22102,0.245542,0.208839,0.131538,0.230131,0.25256,0.202008,0.248814,0.209238,0.226106,0.214026,0.23428
-12.8123,0.261115,0.257706,0.221779,0.221733,0.235206,0.213306,0.200859,0.240435,0.20887,0.220865,0.229992,0.216831,0.228815,0.260229,0.223125,0.246358,0.207888,0.135736,0.231334,0.255007,0.203424,0.255546,0.216225,0.224225,0.210743,0.236119
-12.3123,0.255828,0.263626,0.225312,0.2239,0.2387,0.221432,0.205899,0.247009,0.214496,0.223168,0.23928,0.221993,0.23491,0.26696,0.227525,0.246934,0.209676,0.140986,0.234908,0.258582,0.207561,0.266263,0.22251,0.223179,0.208384,0.238522
-11.8123,0.253482,0.26801,0.228935,0.224752,0.242903,0.226068,0.207641,0.249838,0.220349,0.225389,0.246796,0.225823,0.237799,0.270892,0.231879,0.245685,0.214999,0.146853,0.240279,0.260991,0.212933,0.279876,0.226749,0.221417,0.207507,0.240267
-11.3123,0.252172,0.266706,0.230867,0.222699,0.243867,0.225946,0.204836,0.249975,0.222993,0.225699,0.249157,0.224626,0.235142,0.271979,0.233154,0.241601,0.22084,0.152433,0.245402,0.259085,0.215966,0.292656,0.227814,0.217498,0.208349,0.240046
-10.8123,0.24667,0.258962,0.229165,0.217165,0.239533,0.222378,0.199359,0.248572,0.220541,0.223154,0.247049,0.216855,0.22671,0.269168,0.228437,0.23646,0.222006,0.155821,0.245855,0.252182,0.214116,0.299875,0.2259,0.210138,0.208886,0.236602
-10.3123,0.232898,0.248989,0.225775,0.208301,0.232449,0.21836,0.196513,0.246891,0.215107,0.218145,0.243647,0.206295,0.215649,0.261568,0.218535,0.23484,0.215638,0.155976,0.240246,0.242874,0.208733,0.300827,0.222712,0.198826,0.206098,0.230346
-9.81233,0.218639,0.245332,0.226773,0.200999,0.228341,0.220537,0.203077,0.246934,0.213417,0.214817,0.24365,0.201306,0.210117,0.252682,0.209757,0.24193,0.20614,0.154476,0.232633,0.238654,0.205825,0.301005,0.222983,0.188185,0.199831,0.225188
-9.31233,0.216164,0.254983,0.238037,0.204156,0.233423,0.232248,0.220329,0.251319,0.222823,0.219585,0.250265,0.209984,0.217459,0.250721,0.208564,0.260081,0.203882,0.155691,0.231321,0.245754,0.211614,0.307853,0.231931,0.186324,0.196549,0.225758
-8.81233,0.232083,0.275079,0.261015,0.224059,0.249762,0.255609,0.244129,0.262109,0.243833,0.237191,0.263082,0.234279,0.240494,0.262205,0.219372,0.284856,0.216934,0.164804,0.242684,0.26535,0.229999,0.325334,0.252908,0.200328,0.204496,0.235355
-8.31233,0.262424,0.299041,0.290904,0.256857,0.275639,0.288597,0.266966,0.279479,0.271639,0.270281,0.280311,0.269473,0.27374,0.286124,0.241889,0.310356,0.245082,0.183567,0.265,0.292097,0.258755,0.348071,0.282736,0.23165,0.227284,0.25375
-7.81233,0.297072,0.323303,0.320884,0.291599,0.306574,0.324699,0.284394,0.300939,0.300039,0.312903,0.298839,0.307818,0.308165,0.314698,0.271918,0.332082,0.279142,0.208927,0.292809,0.318684,0.292351,0.368582,0.314444,0.273179,0.259681,0.277269
-7.31233,0.328739,0.347859,0.344575,0.319094,0.335935,0.356307,0.297787,0.323711,0.323825,0.353943,0.315483,0.343833,0.336833,0.33995,0.304296,0.348571,0.308216,0.234981,0.319246,0.339942,0.324005,0.38287,0.341021,0.314635,0.291849,0.302406
-6.81233,0.355907,0.372565,0.360047,0.3371,0.358959,0.377441,0.311405,0.347561,0.342592,0.383929,0.329925,0.375046,0.357977,0.359624,0.333899,0.361855,0.328112,0.257934,0.340913,0.354507,0.347133,0.390745,0.359387,0.347799,0.319614,0.325706
