Arc_length vs Data,007_08months_DTI_antsBM,008_08months_DTI_antsBM,013_09months_DTI_antsBM,014_09months_DTI_antsBM,016_08months_DTI_antsBM,017_07months_DTI_antsBM,018_07months_DTI_antsBM,019_08months_DTI_antsBM,020_08months_DTI_antsBM,021_08months_DTI_antsBM,022_08months_DTI_antsBM,023_08months_DTI_antsBM,025_07months_DTI_antsBM,026_07months_DTI_antsBM,027_07months_DTI_antsBM,028_07months_DTI_antsBM,029_08months_DTI_antsBM,030_08months_DTI_antsBM,031_07months_DTI_antsBM,032_09months_DTI_antsBM,033_07months_DTI_antsBM,034_07months_DTI_antsBM,034_09months_DTI_antsBM,035_09months_DTI_antsBM,036_09months_DTI_antsBM,Atlas
-15.728,0.36116,0.316359,0.297154,0.350649,0.353884,0.311627,0.254604,0.336439,0.266946,0.351009,0.337721,0.303785,0.31697,0.35538,0.283714,0.318644,0.329939,0.259314,0.316451,0.288964,0.289625,0.35781,0.254107,0.346445,0.329582,0.280685
-15.228,0.359597,0.310502,0.294023,0.353953,0.361777,0.317536,0.258678,0.346654,0.275999,0.356363,0.348658,0.312823,0.320374,0.362863,0.290011,0.330125,0.341178,0.260592,0.320292,0.302629,0.300986,0.358257,0.25659,0.353882,0.339735,0.286295
-14.728,0.35756,0.309602,0.293604,0.355654,0.361574,0.323743,0.260813,0.351199,0.283689,0.362488,0.346818,0.321586,0.319778,0.368351,0.296675,0.334431,0.344004,0.261265,0.32323,0.316265,0.302895,0.365186,0.257946,0.358229,0.344035,0.290828
-14.228,0.354412,0.310903,0.29462,0.354674,0.358509,0.329044,0.26333,0.355635,0.290108,0.369771,0.337335,0.329899,0.317762,0.371303,0.302449,0.333899,0.341201,0.260293,0.324384,0.328486,0.299374,0.375745,0.261546,0.360683,0.343846,0.294319
-13.728,0.348786,0.311737,0.295275,0.348651,0.350722,0.331417,0.265222,0.359733,0.293817,0.375695,0.32109,0.335336,0.314363,0.370142,0.30469,0.326014,0.332109,0.25659,0.322296,0.336716,0.29093,0.385634,0.26672,0.358704,0.337808,0.295076
-13.228,0.337422,0.307435,0.293022,0.332751,0.332911,0.325453,0.263379,0.35759,0.290528,0.37527,0.295727,0.331986,0.307458,0.360257,0.298852,0.304266,0.313002,0.246045,0.312548,0.335036,0.274567,0.387332,0.26853,0.34636,0.320623,0.289099
-12.728,0.318019,0.292003,0.284284,0.305832,0.305107,0.304934,0.255089,0.343781,0.275258,0.363137,0.266251,0.31324,0.29614,0.339611,0.280929,0.268783,0.286177,0.226521,0.291255,0.315497,0.252612,0.37147,0.262379,0.319137,0.292971,0.273997
-12.228,0.291634,0.26647,0.270763,0.273975,0.271214,0.272674,0.24127,0.317795,0.250032,0.340306,0.238457,0.281986,0.280679,0.313073,0.255514,0.229226,0.258119,0.201244,0.261037,0.281578,0.23048,0.342793,0.247074,0.280678,0.263493,0.255448
-11.728,0.265447,0.241791,0.257924,0.247673,0.24105,0.24057,0.227972,0.288765,0.22513,0.313315,0.219085,0.250846,0.264318,0.290501,0.232599,0.200807,0.237016,0.178443,0.232054,0.247173,0.214586,0.317906,0.230539,0.244486,0.243072,0.245578
-11.228,0.246024,0.228039,0.248749,0.232582,0.222506,0.219765,0.219444,0.267128,0.210846,0.287648,0.210301,0.231602,0.251354,0.278048,0.217763,0.190311,0.225782,0.164004,0.213765,0.224245,0.205782,0.303817,0.221115,0.221606,0.235405,0.250411
-10.728,0.233352,0.223813,0.239465,0.224348,0.213134,0.210195,0.212044,0.252751,0.205225,0.261704,0.207306,0.223033,0.24058,0.271183,0.208458,0.189378,0.219209,0.156028,0.205246,0.212615,0.197912,0.292677,0.216701,0.210245,0.232055,0.261991
-10.228,0.221259,0.218162,0.223312,0.212208,0.202732,0.202211,0.197722,0.235033,0.19766,0.23121,0.199596,0.213937,0.225766,0.259016,0.196008,0.183165,0.208159,0.148272,0.198111,0.203273,0.182246,0.271104,0.209549,0.198596,0.218769,0.266045
-9.72801,0.205025,0.20044,0.196505,0.188448,0.184622,0.187213,0.173375,0.205826,0.179791,0.198569,0.17734,0.19469,0.203244,0.234519,0.174709,0.163708,0.186525,0.135838,0.183486,0.188087,0.155243,0.237527,0.195197,0.176663,0.18836,0.252141
-9.22801,0.189218,0.172987,0.164728,0.15789,0.164835,0.167772,0.146941,0.172075,0.157561,0.173088,0.144849,0.168454,0.176925,0.203184,0.150005,0.140326,0.159588,0.121523,0.163516,0.16979,0.126794,0.208738,0.179874,0.149596,0.149706,0.224467
-8.72801,0.181872,0.149986,0.138831,0.134719,0.154978,0.153613,0.130383,0.1486,0.145064,0.163201,0.11797,0.148118,0.157075,0.176823,0.13235,0.127932,0.138885,0.111039,0.15038,0.156557,0.110038,0.200153,0.172346,0.133877,0.119847,0.195982
