Arc_length vs Data,007_08months_DTI_antsBM,008_08months_DTI_antsBM,013_09months_DTI_antsBM,014_09months_DTI_antsBM,016_08months_DTI_antsBM,017_07months_DTI_antsBM,018_07months_DTI_antsBM,019_08months_DTI_antsBM,020_08months_DTI_antsBM,021_08months_DTI_antsBM,022_08months_DTI_antsBM,023_08months_DTI_antsBM,025_07months_DTI_antsBM,026_07months_DTI_antsBM,027_07months_DTI_antsBM,028_07months_DTI_antsBM,029_08months_DTI_antsBM,030_08months_DTI_antsBM,031_07months_DTI_antsBM,032_09months_DTI_antsBM,033_07months_DTI_antsBM,034_07months_DTI_antsBM,034_09months_DTI_antsBM,035_09months_DTI_antsBM,036_09months_DTI_antsBM,Atlas
-14.9789,0.391397,0.4279,0.230939,0.371487,0.273396,0.441715,-nan,0.384945,0.251783,0.226624,-nan,-nan,0.471063,-nan,0.40176,0.265797,-nan,0.235431,0.218532,0.260812,0.376091,0.292819,0.351284,0.392419,0.320877,0.166045
-14.4789,0.376231,0.440495,0.224418,0.394147,0.265543,0.418633,-nan,0.430924,0.265764,0.237554,-nan,-nan,0.448666,-nan,0.390441,0.268899,-nan,0.226452,0.214828,0.250873,0.415854,0.294602,0.331424,0.3856,-nan,0.181806
-13.9789,0.367764,0.459128,0.235331,0.420203,0.276766,0.39794,-nan,0.465518,0.288315,0.241277,-nan,-nan,0.428706,-nan,0.364497,0.277221,-nan,0.222531,0.215997,0.250189,0.46576,0.305682,0.31961,0.377527,-nan,0.197722
-13.4789,0.3868,-nan,0.288792,0.45145,0.30242,0.366799,-nan,0.508995,0.329578,0.248187,-nan,-nan,0.403836,-nan,0.332698,0.296562,-nan,0.216298,0.223506,0.255177,0.509994,0.322784,0.308629,0.364513,-nan,0.205504
-12.9789,-nan,-nan,0.377507,0.495903,0.372994,0.33546,-nan,0.560415,0.391867,0.277396,-nan,-nan,0.389832,-nan,-nan,0.331041,0.352942,0.211742,0.24975,0.273354,-nan,0.341761,0.304711,0.357623,-nan,0.206475
-12.4789,-nan,-nan,0.465037,0.537528,0.457192,0.325016,-nan,0.602305,0.437015,0.334547,-nan,0.408892,0.401519,-nan,-nan,0.365903,0.34362,0.220226,0.29388,0.303373,-nan,0.358163,0.324319,0.361611,-nan,0.203831
-11.9789,-nan,-nan,0.523033,0.567682,0.517122,0.335737,-nan,0.631954,0.443507,0.406952,-nan,-nan,0.432621,-nan,-nan,0.385852,0.365248,0.241751,0.338218,0.33732,-nan,0.368575,0.361075,0.373628,0.31208,0.202067
-11.4789,-nan,-nan,0.533602,-nan,0.551244,0.353899,-nan,-nan,0.418359,0.481499,-nan,-nan,0.466212,-nan,-nan,0.384784,0.409821,0.276752,0.3723,0.372426,-nan,0.377243,0.398596,0.391437,0.34074,0.206861
-10.9789,-nan,-nan,0.496436,-nan,0.544214,0.360307,0.427915,-nan,0.369571,0.526329,-nan,-nan,0.477344,-nan,-nan,0.363085,0.448246,0.318003,0.384822,0.395163,0.592967,0.383733,0.412452,-nan,0.368341,0.215882
-10.4789,-nan,-nan,0.452615,-nan,0.531162,0.356626,0.387066,-nan,0.330966,0.542641,-nan,-nan,0.471046,-nan,-nan,0.344407,0.465441,0.355919,0.384779,0.402853,0.573059,0.388467,0.405448,-nan,0.393772,0.229595
-9.97891,-nan,-nan,0.416886,-nan,0.530239,0.348324,0.356561,-nan,0.310734,0.543727,-nan,-nan,0.45757,-nan,-nan,0.339154,0.466981,0.393825,0.383347,0.401586,0.561623,0.394475,0.392595,-nan,0.41468,0.247331
-9.47891,-nan,-nan,0.398109,-nan,0.545336,0.342028,0.34501,-nan,0.309427,0.542792,-nan,-nan,0.445451,-nan,-nan,0.349961,0.463354,0.403763,0.385546,0.397606,0.563993,0.409116,0.385785,-nan,0.422069,0.268116
-8.97891,-nan,-nan,0.399459,-nan,0.571181,0.344211,0.353058,-nan,0.32831,0.549992,-nan,-nan,0.439733,-nan,-nan,0.374492,0.464154,0.39757,0.392976,0.398397,0.574524,0.437726,0.390895,0.394175,0.42041,0.291018
-8.47891,-nan,-nan,0.411744,-nan,0.589058,0.357609,0.375862,-nan,0.361853,0.560619,-nan,-nan,0.439059,-nan,-nan,0.403655,0.464844,0.381427,0.402291,0.407019,0.581538,0.477763,0.403947,0.391557,0.412184,0.311187
-7.97891,0.631241,0.629959,0.431705,0.608746,0.587789,0.385121,0.409376,0.650273,0.40221,0.57064,-nan,-nan,0.441248,-nan,-nan,0.432104,0.460302,0.369175,0.414611,0.425403,0.582336,0.521776,0.420606,0.403232,0.409056,0.329111
-7.47891,0.611322,0.621182,0.456124,0.600738,0.572397,0.423881,0.448526,0.639262,0.441813,0.575671,-nan,-nan,0.443627,-nan,-nan,0.458395,0.451853,0.390009,0.43312,0.454021,0.580806,0.563127,0.439683,0.425316,0.420313,0.346008
-6.97891,0.595177,0.608926,0.482497,0.59107,0.559254,0.467156,0.487202,0.620446,0.476921,0.575016,0.55542,0.499357,0.444639,0.582502,0.516875,0.482427,0.444412,0.428684,0.458188,0.489084,0.581544,0.601664,0.461735,0.453009,0.440703,0.363502
-6.47891,0.585536,0.601888,0.507642,0.582655,0.555385,0.505732,0.517866,0.602142,0.505706,0.56879,0.544253,0.491043,0.442206,0.579009,0.500292,0.501951,0.442422,0.47215,0.484477,0.52248,0.581234,0.635438,0.484218,0.480825,0.462701,0.381719
-5.97891,0.580115,0.60497,0.5293,0.576398,0.562028,0.531348,0.536312,0.592864,0.52712,0.559876,0.535949,0.485544,0.436312,0.576105,0.496776,0.51545,0.448295,0.50903,0.506063,0.546509,0.579655,0.659272,0.505147,0.504209,0.482331,0.403428
