Arc_length vs Data,007_08months_DTI_antsBM,008_08months_DTI_antsBM,013_09months_DTI_antsBM,014_09months_DTI_antsBM,016_08months_DTI_antsBM,017_07months_DTI_antsBM,018_07months_DTI_antsBM,019_08months_DTI_antsBM,020_08months_DTI_antsBM,021_08months_DTI_antsBM,022_08months_DTI_antsBM,023_08months_DTI_antsBM,025_07months_DTI_antsBM,026_07months_DTI_antsBM,027_07months_DTI_antsBM,028_07months_DTI_antsBM,029_08months_DTI_antsBM,030_08months_DTI_antsBM,031_07months_DTI_antsBM,032_09months_DTI_antsBM,033_07months_DTI_antsBM,034_07months_DTI_antsBM,034_09months_DTI_antsBM,035_09months_DTI_antsBM,036_09months_DTI_antsBM,Atlas
-15.2645,0.497697,0.35279,0.280691,0.463233,0.431222,0.253545,0.230928,-nan,0.361653,-nan,-nan,-nan,-nan,0.458576,-nan,0.171812,0.382364,0.166455,-nan,0.241504,-nan,0.518203,0.367914,0.308143,0.161357,0.172708
-14.7645,0.524857,0.384226,0.323957,0.483,0.455007,0.256784,0.249935,-nan,0.383605,-nan,-nan,-nan,-nan,0.46309,-nan,0.175911,-nan,0.173597,-nan,0.24105,-nan,0.538463,0.382604,0.326159,0.178172,0.191369
-14.2645,0.558959,0.436486,0.378681,0.509731,0.481578,0.264374,0.285155,-nan,0.416979,-nan,-nan,-nan,-nan,-nan,-nan,0.179354,-nan,0.190268,-nan,0.244171,-nan,0.559839,0.407353,0.361841,0.211819,0.209561
-13.7645,0.601176,-nan,-nan,0.536083,0.501246,0.278903,0.333758,-nan,0.446423,-nan,-nan,0.311674,-nan,-nan,0.552441,0.194926,-nan,0.224275,-nan,0.264595,-nan,0.563023,0.441014,0.393178,0.254292,0.212571
-13.2645,0.619132,-nan,-nan,0.5574,-nan,0.3008,0.36687,-nan,0.459517,0.490292,-nan,0.291633,0.317359,-nan,0.568624,0.221397,-nan,0.256986,-nan,0.294256,-nan,0.569087,0.475473,0.417204,0.279978,0.199688
-12.7645,0.623093,-nan,-nan,0.57663,-nan,0.326254,0.381108,-nan,0.459529,0.521622,-nan,0.29516,0.344873,-nan,0.582697,0.26098,0.402527,0.294943,0.293763,0.326672,-nan,0.576167,0.503102,0.443082,0.309137,0.191079
-12.2645,0.615485,-nan,-nan,0.589052,-nan,0.347173,0.38423,-nan,0.438091,-nan,-nan,0.329086,0.389711,-nan,-nan,0.30062,0.401419,0.33332,0.332877,0.355694,-nan,0.576162,0.50759,0.465253,-nan,0.187559
-11.7645,-nan,-nan,0.481493,0.590043,-nan,0.362321,0.38336,-nan,0.402152,-nan,-nan,0.387034,0.433073,-nan,-nan,0.333872,0.403895,0.375349,0.373448,0.377185,0.484507,0.564637,0.489828,0.481792,-nan,0.190133
-11.2645,-nan,-nan,0.459436,0.573452,-nan,0.36581,0.375141,-nan,0.363778,-nan,-nan,-nan,0.458986,-nan,-nan,0.347424,0.399322,0.406745,0.401544,0.379557,-nan,0.538144,0.455972,0.484998,-nan,0.200443
-10.7645,-nan,-nan,0.426268,0.539951,-nan,0.364251,0.362734,-nan,0.33152,-nan,-nan,-nan,0.461377,-nan,-nan,0.341435,0.385482,0.425158,0.406681,0.36603,-nan,0.505513,0.421316,0.467795,-nan,0.213435
-10.2645,-nan,0.489207,0.399282,0.507844,-nan,0.359414,0.353637,-nan,0.314273,-nan,-nan,-nan,0.458239,-nan,0.539407,0.330161,0.366053,0.445791,0.397864,0.352258,-nan,0.485604,0.403666,0.438939,-nan,0.228297
-9.76446,-nan,0.463802,0.385632,0.486534,-nan,0.351304,0.350638,-nan,0.311845,-nan,-nan,-nan,0.459943,-nan,-nan,0.325325,0.348161,0.443566,0.385713,0.34773,-nan,0.487436,0.403187,0.406665,-nan,0.243685
-9.26446,-nan,0.461473,0.383304,0.476617,-nan,0.342666,0.356557,-nan,0.320437,0.543348,-nan,-nan,0.465621,-nan,-nan,0.332199,0.336943,0.413845,0.375113,0.356775,-nan,0.510735,0.411193,0.377516,-nan,0.258854
-8.76446,-nan,0.474823,0.39205,0.478709,-nan,0.338424,0.375949,-nan,0.341647,0.549796,-nan,-nan,0.473407,-nan,-nan,0.352617,0.335966,0.374216,0.371371,0.379589,-nan,0.553609,0.423649,0.363047,0.388487,0.275359
-8.26446,0.570352,0.497715,0.41001,0.487258,0.575206,0.350339,0.408517,-nan,0.375241,0.559252,0.464046,0.484407,0.478263,-nan,-nan,0.384498,0.345423,0.33849,0.376822,0.411747,-nan,0.608411,0.438682,0.367969,0.360338,0.293079
-7.76446,0.572642,0.524314,0.437579,0.501573,0.57967,0.381637,0.452555,0.62435,0.419793,0.570188,0.457767,0.480304,0.482294,-nan,0.657304,0.422706,0.365226,0.342002,0.39662,0.450353,-nan,0.668548,0.458563,0.391302,0.359104,0.31402
