Arc_length vs Data,007_08months_DTI_antsBM,008_08months_DTI_antsBM,013_09months_DTI_antsBM,014_09months_DTI_antsBM,016_08months_DTI_antsBM,017_07months_DTI_antsBM,018_07months_DTI_antsBM,019_08months_DTI_antsBM,020_08months_DTI_antsBM,021_08months_DTI_antsBM,022_08months_DTI_antsBM,023_08months_DTI_antsBM,025_07months_DTI_antsBM,026_07months_DTI_antsBM,027_07months_DTI_antsBM,028_07months_DTI_antsBM,029_08months_DTI_antsBM,030_08months_DTI_antsBM,031_07months_DTI_antsBM,032_09months_DTI_antsBM,033_07months_DTI_antsBM,034_07months_DTI_antsBM,034_09months_DTI_antsBM,035_09months_DTI_antsBM,036_09months_DTI_antsBM,Atlas
-10.6204,0.204616,0.185481,0.244683,0.212476,0.190567,0.215477,0.202769,0.169869,0.136043,0.210492,0.206566,0.167057,0.147071,0.157502,0.183365,0.2172,0.141156,0.133107,0.226687,0.197603,0.175028,0.171242,0.116276,0.156961,0.179798,0.124988
-10.1204,0.208592,0.182458,0.246174,0.208565,0.186809,0.216844,0.201851,0.168812,0.141666,0.196126,0.205923,0.164713,0.144699,0.154937,0.177667,0.212977,0.138796,0.122499,0.224415,0.192516,0.172019,0.17519,0.118824,0.158848,0.171038,0.125783
-9.62041,0.208861,0.183116,0.242267,0.204985,0.185437,0.217416,0.199815,0.170459,0.147611,0.182951,0.205838,0.16179,0.142546,0.153176,0.1752,0.209498,0.137879,0.113182,0.2195,0.187687,0.167776,0.179562,0.121414,0.159298,0.161249,0.126228
-9.12041,0.204541,0.185855,0.230302,0.197704,0.184343,0.214837,0.195666,0.173892,0.154545,0.164626,0.205365,0.155429,0.140352,0.151512,0.173977,0.205942,0.137668,0.105189,0.209306,0.183353,0.161851,0.186024,0.125353,0.15837,0.148212,0.126544
-8.62041,0.194116,0.193116,0.211999,0.18936,0.187605,0.209726,0.191338,0.180942,0.1593,0.152117,0.20448,0.147357,0.139785,0.152672,0.176893,0.205381,0.139974,0.10302,0.197096,0.181217,0.156933,0.189753,0.128574,0.153582,0.137338,0.127267
-8.12041,0.183909,0.203736,0.194004,0.185127,0.191866,0.203553,0.187051,0.189315,0.159545,0.148437,0.203438,0.138674,0.141988,0.155705,0.181373,0.211401,0.14407,0.107754,0.18753,0.18232,0.154261,0.194736,0.132614,0.148784,0.132134,0.126524
-7.62041,0.180352,0.207218,0.182107,0.18166,0.195857,0.193243,0.181931,0.192868,0.15541,0.151761,0.201086,0.131035,0.146007,0.160157,0.18409,0.217351,0.147222,0.114931,0.182849,0.183,0.154156,0.198003,0.136388,0.142807,0.132422,0.127192
-7.12041,0.188582,0.205237,0.176139,0.180573,0.197185,0.185226,0.176962,0.192689,0.149464,0.159865,0.201189,0.129654,0.148695,0.167005,0.18652,0.220192,0.148642,0.12121,0.185536,0.18438,0.158624,0.200169,0.141054,0.139193,0.137232,0.127977
-6.62041,0.20522,0.204425,0.171375,0.181788,0.199193,0.183794,0.173865,0.193081,0.148971,0.167186,0.207443,0.134201,0.151061,0.175687,0.191189,0.221175,0.151114,0.126767,0.193892,0.189166,0.167308,0.201077,0.14648,0.138999,0.143819,0.128507
-6.12041,0.227289,0.206626,0.167118,0.182415,0.204764,0.187476,0.17336,0.19588,0.152149,0.175909,0.219008,0.142856,0.15236,0.185385,0.194389,0.218685,0.155424,0.130956,0.205682,0.193591,0.177363,0.19858,0.151336,0.140778,0.151048,0.130187
-5.62041,0.251532,0.209563,0.163284,0.184348,0.212433,0.196878,0.176891,0.201516,0.158741,0.186169,0.232106,0.152632,0.154128,0.194125,0.195306,0.214582,0.160628,0.135441,0.220909,0.19908,0.185441,0.197512,0.156183,0.147079,0.15728,0.132166
-5.12041,0.269199,0.208855,0.161769,0.185796,0.220371,0.206048,0.182313,0.206846,0.164964,0.199897,0.23921,0.160348,0.156975,0.199842,0.195209,0.210935,0.163645,0.140424,0.234963,0.201569,0.187816,0.200002,0.160659,0.152264,0.161212,0.134118
-4.62041,0.273894,0.202292,0.163187,0.184931,0.222524,0.209724,0.18667,0.211029,0.166207,0.217332,0.23613,0.16294,0.161019,0.203156,0.196386,0.207084,0.161438,0.144897,0.243042,0.202995,0.184688,0.206361,0.164003,0.156412,0.164548,0.136028
