Arc_length vs Data,007_08months_DTI_antsBM,008_08months_DTI_antsBM,013_09months_DTI_antsBM,014_09months_DTI_antsBM,016_08months_DTI_antsBM,017_07months_DTI_antsBM,018_07months_DTI_antsBM,019_08months_DTI_antsBM,020_08months_DTI_antsBM,021_08months_DTI_antsBM,022_08months_DTI_antsBM,023_08months_DTI_antsBM,025_07months_DTI_antsBM,026_07months_DTI_antsBM,027_07months_DTI_antsBM,028_07months_DTI_antsBM,029_08months_DTI_antsBM,030_08months_DTI_antsBM,031_07months_DTI_antsBM,032_09months_DTI_antsBM,033_07months_DTI_antsBM,034_07months_DTI_antsBM,034_09months_DTI_antsBM,035_09months_DTI_antsBM,036_09months_DTI_antsBM,Atlas
-13.5243,0.137745,0.178825,0.189098,0.145008,0.0927993,0.158592,0.0978718,0.133968,0.126944,0.145116,0.141953,0.138415,0.156227,0.121637,0.137857,0.124769,0.0894994,0.114987,0.13819,0.145456,0.108571,0.160056,0.101622,0.124199,0.141823,0.124024
-13.0243,0.143458,0.180899,0.191248,0.144875,0.0995278,0.157903,0.101346,0.133798,0.128852,0.1473,0.145109,0.140562,0.162299,0.12075,0.138184,0.134389,0.0915249,0.116939,0.141028,0.1447,0.113283,0.163646,0.104011,0.126656,0.146889,0.124928
-12.5243,0.153439,0.183977,0.193852,0.143762,0.109692,0.158872,0.106437,0.135058,0.132059,0.151152,0.149724,0.143616,0.167843,0.125495,0.142726,0.146189,0.09488,0.120392,0.145529,0.146522,0.12406,0.171323,0.108529,0.132315,0.150978,0.126276
-12.0243,0.1695,0.186062,0.196324,0.141916,0.125646,0.162219,0.114402,0.136868,0.135705,0.156737,0.154619,0.147662,0.173024,0.131973,0.152016,0.160772,0.101523,0.125272,0.152591,0.149206,0.138048,0.178538,0.115991,0.139431,0.156397,0.127611
-11.5243,0.190877,0.185882,0.200632,0.141855,0.145352,0.169358,0.124979,0.140121,0.137861,0.164121,0.159624,0.152048,0.175093,0.14242,0.167447,0.177259,0.112271,0.131714,0.161067,0.154892,0.152764,0.184953,0.126761,0.14839,0.163395,0.129257
-11.0243,0.209808,0.184138,0.206753,0.145702,0.160032,0.177908,0.136105,0.144765,0.137741,0.172019,0.163711,0.155076,0.172696,0.151551,0.184437,0.186724,0.123745,0.13848,0.169584,0.163404,0.160083,0.188415,0.138112,0.154414,0.171348,0.131253
-10.5243,0.221606,0.183706,0.211716,0.151738,0.16767,0.185716,0.14408,0.153366,0.136176,0.178325,0.167887,0.157208,0.167595,0.156599,0.196456,0.187854,0.13319,0.143492,0.176705,0.171213,0.160789,0.193845,0.145971,0.155671,0.1786,0.133628
-10.0243,0.225821,0.184808,0.212803,0.159684,0.171569,0.190502,0.147534,0.16606,0.136152,0.183441,0.172877,0.158172,0.163335,0.159753,0.20354,0.183608,0.139556,0.146582,0.182758,0.176527,0.161674,0.205932,0.151224,0.153401,0.183888,0.135933
-9.52426,0.224212,0.187114,0.210143,0.165776,0.175429,0.192782,0.1484,0.181622,0.138769,0.186841,0.177575,0.158453,0.162084,0.160982,0.206681,0.176287,0.142261,0.147016,0.186364,0.177763,0.164019,0.220534,0.153728,0.149145,0.186366,0.138193
-9.02426,0.218591,0.188132,0.204519,0.168745,0.181371,0.192222,0.149091,0.194792,0.144853,0.187953,0.18179,0.157197,0.164657,0.161787,0.206666,0.168892,0.143354,0.143962,0.187037,0.174681,0.16772,0.229767,0.152227,0.144804,0.185738,0.138894
-8.52426,0.214039,0.18754,0.197624,0.168678,0.188641,0.190742,0.153531,0.198614,0.151234,0.188331,0.185297,0.153456,0.168701,0.162949,0.206125,0.163093,0.144816,0.138346,0.185415,0.169491,0.16941,0.229843,0.149846,0.141414,0.183191,0.139479
-8.02426,0.214947,0.185863,0.194161,0.163436,0.194868,0.192008,0.161134,0.188793,0.156167,0.190526,0.18856,0.148392,0.170256,0.165731,0.205996,0.15975,0.146069,0.131745,0.183735,0.16517,0.166623,0.221811,0.147628,0.139807,0.180297,0.139271
-7.52426,0.222761,0.184078,0.196337,0.158261,0.196986,0.196002,0.168948,0.169171,0.159165,0.196534,0.19182,0.141932,0.167638,0.170464,0.207508,0.16076,0.145356,0.127356,0.184533,0.162363,0.162285,0.213684,0.147397,0.13854,0.177932,0.138449
