Arc_length vs Data,007_08months_DTI_antsBM,008_08months_DTI_antsBM,013_09months_DTI_antsBM,014_09months_DTI_antsBM,016_08months_DTI_antsBM,017_07months_DTI_antsBM,018_07months_DTI_antsBM,019_08months_DTI_antsBM,020_08months_DTI_antsBM,021_08months_DTI_antsBM,022_08months_DTI_antsBM,023_08months_DTI_antsBM,025_07months_DTI_antsBM,026_07months_DTI_antsBM,027_07months_DTI_antsBM,028_07months_DTI_antsBM,029_08months_DTI_antsBM,030_08months_DTI_antsBM,031_07months_DTI_antsBM,032_09months_DTI_antsBM,033_07months_DTI_antsBM,034_07months_DTI_antsBM,034_09months_DTI_antsBM,035_09months_DTI_antsBM,036_09months_DTI_antsBM,Atlas
-20.3931,0.157094,0.167987,0.132829,0.167633,0.153399,0.152586,0.217145,0.180902,0.142496,0.159359,0.159125,0.162323,0.173789,0.201638,0.154172,0.125323,0.120467,0.150675,0.167164,0.145354,0.158761,0.374181,0.141621,0.157707,0.166114,0.124122
-19.8931,0.171852,0.168482,0.14567,0.177884,0.163006,0.165648,0.206184,0.192457,0.150973,0.171393,0.165845,0.173257,0.176709,0.230787,0.160846,0.137624,0.127558,0.154209,0.170847,0.152943,0.162306,0.370971,0.15551,0.16791,0.168999,0.127868
-19.3931,0.186638,0.173896,0.156406,0.19731,0.167313,0.166069,0.209868,0.203493,0.160711,0.175748,0.168762,0.180801,0.17622,0.247061,0.167891,0.154841,0.129236,0.153061,0.175089,0.156688,0.165219,0.350385,0.163976,0.177854,0.167178,0.129987
-18.8931,0.211546,0.183725,0.168127,0.217217,0.176591,0.16764,0.216295,0.213723,0.168636,0.177753,0.167312,0.183702,0.17213,0.246829,0.172052,0.167289,0.127461,0.15069,0.177615,0.155165,0.164216,0.326015,0.169229,0.181834,0.165413,0.130441
-18.3931,0.234698,0.188856,0.17865,0.229517,0.184375,0.169165,0.220071,0.220277,0.171834,0.177288,0.165271,0.18297,0.166209,0.242941,0.171215,0.173666,0.124648,0.144763,0.181121,0.155274,0.157932,0.297331,0.171007,0.179502,0.16396,0.131245
-17.8931,0.246714,0.186946,0.183611,0.230222,0.185482,0.169273,0.220359,0.221815,0.173484,0.176607,0.165946,0.180654,0.160257,0.240027,0.171808,0.174589,0.122036,0.139192,0.185383,0.159529,0.153582,0.269106,0.170942,0.173124,0.16168,0.132625
-17.3931,0.248292,0.181236,0.184609,0.224147,0.180409,0.172021,0.217608,0.216261,0.174911,0.178682,0.169498,0.177074,0.154891,0.238623,0.174754,0.174676,0.122052,0.132087,0.191334,0.168296,0.153607,0.24049,0.172643,0.165718,0.160434,0.134819
-16.8931,0.238649,0.173838,0.181717,0.214191,0.171556,0.177727,0.213648,0.205018,0.175965,0.184635,0.175985,0.17331,0.151447,0.240062,0.181146,0.176828,0.125907,0.122654,0.200151,0.181007,0.156102,0.215377,0.176229,0.159508,0.161529,0.137652
-16.3931,0.221087,0.169436,0.175827,0.203129,0.164216,0.185876,0.210163,0.190548,0.177755,0.195819,0.18384,0.172125,0.152713,0.243266,0.1911,0.180721,0.132684,0.11371,0.209689,0.192816,0.157367,0.203205,0.181896,0.155773,0.164531,0.140352
-15.8931,0.205144,0.170559,0.171864,0.196206,0.165924,0.19524,0.207107,0.179867,0.180524,0.209235,0.18966,0.176473,0.160481,0.243522,0.199654,0.18523,0.142382,0.109056,0.21689,0.198652,0.153734,0.208526,0.189164,0.155433,0.168292,0.142166
-15.3931,0.198032,0.178371,0.173771,0.191512,0.173434,0.199887,0.198921,0.18487,0.179802,0.216197,0.188831,0.182048,0.171885,0.229923,0.201419,0.183405,0.151951,0.115559,0.216141,0.193938,0.143243,0.231787,0.198726,0.159447,0.170772,0.141949
-14.8931,0.207227,0.192367,0.181384,0.193447,0.183582,0.206091,0.199708,0.201778,0.183749,0.222069,0.188306,0.191278,0.184301,0.215914,0.202968,0.183568,0.162439,0.130604,0.217881,0.191477,0.137118,0.25704,0.209326,0.16737,0.176919,0.145187
-14.3931,0.22695,0.209398,0.192101,0.200715,0.194663,0.216874,0.209625,0.225009,0.192557,0.229282,0.191574,0.201116,0.196108,0.206335,0.20711,0.189435,0.176051,0.148627,0.22426,0.196026,0.139694,0.276362,0.217558,0.17674,0.1875,0.152857
-13.8931,0.253478,0.229406,0.203903,0.2119,0.207647,0.232783,0.226944,0.251436,0.205507,0.241013,0.201228,0.208523,0.209124,0.206489,0.214874,0.200912,0.192697,0.166265,0.235819,0.208131,0.149967,0.290256,0.222631,0.188031,0.202894,0.164845
-13.3931,0.286871,0.25285,0.216957,0.228556,0.226079,0.255408,0.251351,0.281144,0.224611,0.259612,0.221306,0.217986,0.225676,0.223193,0.226186,0.220195,0.213619,0.183151,0.254546,0.228583,0.168611,0.303704,0.225088,0.203195,0.223257,0.18293
-12.8931,0.314474,0.273316,0.228128,0.246781,0.246691,0.277453,0.271522,0.309813,0.243598,0.277211,0.249199,0.228292,0.243207,0.253971,0.237521,0.241035,0.233233,0.197154,0.273597,0.250172,0.190854,0.319859,0.226978,0.220185,0.242835,0.203265
