Arc_length vs Data,007_08months_DTI_antsBM,008_08months_DTI_antsBM,013_09months_DTI_antsBM,014_09months_DTI_antsBM,016_08months_DTI_antsBM,017_07months_DTI_antsBM,018_07months_DTI_antsBM,019_08months_DTI_antsBM,020_08months_DTI_antsBM,021_08months_DTI_antsBM,022_08months_DTI_antsBM,023_08months_DTI_antsBM,025_07months_DTI_antsBM,026_07months_DTI_antsBM,027_07months_DTI_antsBM,028_07months_DTI_antsBM,029_08months_DTI_antsBM,030_08months_DTI_antsBM,031_07months_DTI_antsBM,032_09months_DTI_antsBM,033_07months_DTI_antsBM,034_07months_DTI_antsBM,034_09months_DTI_antsBM,035_09months_DTI_antsBM,036_09months_DTI_antsBM,Atlas
-10.9135,0.162644,0.163495,0.150551,0.146524,0.141413,0.146368,0.152393,0.120598,0.125464,0.145638,0.143427,0.121223,0.130563,0.148064,0.124503,0.146935,0.130169,0.11883,0.143654,0.133527,0.133737,0.192868,0.140608,0.131871,0.145301,0.134433
-10.4135,0.169532,0.179059,0.168039,0.15475,0.155824,0.16598,0.16568,0.142811,0.131857,0.158522,0.159495,0.133134,0.152066,0.166053,0.139689,0.163725,0.148996,0.135635,0.158314,0.151758,0.144891,0.21167,0.152921,0.149437,0.155394,0.146507
-9.91353,0.17557,0.197557,0.185,0.16737,0.169799,0.183689,0.177859,0.162286,0.139077,0.170081,0.173809,0.143253,0.168677,0.180633,0.155949,0.179443,0.168098,0.150274,0.170399,0.170739,0.154762,0.227802,0.163245,0.168966,0.167162,0.158864
-9.41353,0.184125,0.220407,0.203362,0.183875,0.188282,0.201839,0.192096,0.181989,0.149625,0.182949,0.188625,0.154559,0.182994,0.195036,0.174353,0.195388,0.188348,0.165964,0.184768,0.190045,0.164364,0.240328,0.175988,0.186931,0.181166,0.171159
-8.91353,0.197409,0.245151,0.22221,0.204567,0.214191,0.222314,0.210688,0.20539,0.165933,0.198916,0.206713,0.167755,0.196479,0.209705,0.1951,0.210906,0.211193,0.186582,0.202954,0.208777,0.173034,0.250856,0.194051,0.203479,0.197724,0.185375
-8.41353,0.215825,0.263034,0.23757,0.226649,0.243161,0.241966,0.233279,0.229629,0.1883,0.214484,0.225636,0.180564,0.205988,0.219416,0.21394,0.223525,0.231919,0.210108,0.22169,0.22144,0.179877,0.259835,0.215948,0.216223,0.215195,0.200511
-7.91353,0.235299,0.268057,0.249925,0.247476,0.266006,0.260049,0.256028,0.253027,0.214099,0.227468,0.24057,0.192224,0.213753,0.223128,0.226827,0.233219,0.246259,0.233514,0.236435,0.226201,0.188598,0.277127,0.236677,0.226799,0.229017,0.216424
-7.41353,0.252204,0.264611,0.264834,0.266521,0.27432,0.274732,0.274582,0.275546,0.238789,0.238527,0.249385,0.203037,0.224711,0.224626,0.236714,0.242077,0.254498,0.250107,0.244836,0.22919,0.201722,0.312824,0.250715,0.24279,0.235983,0.233289
-6.91353,0.263336,0.261815,0.284009,0.281159,0.269686,0.284562,0.284954,0.292472,0.256436,0.248398,0.249878,0.212555,0.23831,0.228089,0.24544,0.250107,0.257012,0.255617,0.248853,0.235925,0.218193,0.355724,0.254384,0.2631,0.236223,0.249142
-6.41353,0.267717,0.264966,0.299392,0.289288,0.260198,0.2852,0.282347,0.300711,0.263199,0.257589,0.2453,0.219908,0.247384,0.235461,0.251118,0.253804,0.253076,0.24887,0.249673,0.245274,0.230739,0.385072,0.250706,0.279963,0.233449,0.260878
-5.91353,0.268114,0.27109,0.299433,0.288711,0.25383,0.276166,0.268663,0.297655,0.258033,0.261267,0.240105,0.223411,0.246602,0.243647,0.251085,0.252461,0.244485,0.232951,0.247661,0.250032,0.232491,0.385128,0.245651,0.285928,0.233608,0.265881
-5.41353,0.268501,0.275069,0.282915,0.283442,0.254966,0.266143,0.249552,0.285777,0.246726,0.258806,0.23685,0.224297,0.240633,0.249781,0.244741,0.251605,0.236028,0.217633,0.24563,0.248056,0.228244,0.363385,0.243382,0.28152,0.241039,0.266016
-4.91353,0.272527,0.277313,0.262702,0.280089,0.263208,0.263856,0.233475,0.273809,0.238417,0.254549,0.23744,0.226233,0.240724,0.255835,0.23868,0.258797,0.236091,0.208845,0.247852,0.245197,0.226564,0.343135,0.246637,0.273988,0.254955,0.264381
-4.41353,0.280402,0.279093,0.252681,0.279677,0.277767,0.273382,0.225839,0.26756,0.238069,0.253717,0.240295,0.230685,0.253905,0.263062,0.238019,0.27489,0.247515,0.209334,0.259088,0.248224,0.23414,0.336058,0.254509,0.268013,0.271218,0.262927
-3.91353,0.288798,0.280731,0.257877,0.281184,0.293782,0.290318,0.224715,0.269062,0.243098,0.259382,0.244772,0.235722,0.275492,0.271607,0.242417,0.293133,0.264534,0.215957,0.276359,0.257892,0.250232,0.339582,0.264781,0.266524,0.286665,0.26288
-3.41353,0.296133,0.283072,0.272656,0.284401,0.305962,0.306574,0.225098,0.275744,0.246348,0.269014,0.249871,0.239288,0.29478,0.279676,0.249079,0.306517,0.278907,0.221263,0.291931,0.268403,0.268329,0.344335,0.274397,0.270786,0.300058,0.263927
-2.91353,0.305479,0.286995,0.287189,0.291066,0.310914,0.315871,0.222919,0.281946,0.243439,0.279255,0.254631,0.241191,0.302417,0.285663,0.255511,0.311986,0.284506,0.22101,0.300731,0.273722,0.281546,0.34257,0.279575,0.280341,0.310706,0.265893
-2.41353,0.319129,0.291633,0.293582,0.301246,0.308491,0.315719,0.218578,0.28341,0.23666,0.288129,0.257767,0.243094,0.295843,0.289318,0.260547,0.309386,0.28155,0.215082,0.304109,0.271335,0.284663,0.332066,0.278127,0.291819,0.316889,0.268984
-1.91353,0.332202,0.293967,0.290626,0.309558,0.300543,0.306299,0.214327,0.278952,0.230746,0.294497,0.257684,0.244614,0.281069,0.288842,0.263021,0.298593,0.274062,0.206084,0.306213,0.262271,0.276776,0.315188,0.270546,0.299086,0.316293,0.27309
-1.41353,0.335673,0.292365,0.283236,0.308424,0.288782,0.29044,0.211743,0.271573,0.227056,0.2963,0.253786,0.242968,0.2672,0.284291,0.262135,0.281408,0.265933,0.197173,0.308354,0.249869,0.262564,0.29718,0.260372,0.296645,0.308891,0.277977
-0.913531,0.329405,0.288744,0.276651,0.299302,0.276732,0.274475,0.211603,0.265587,0.225076,0.294505,0.248011,0.237809,0.259161,0.277373,0.25941,0.263507,0.259353,0.190814,0.308874,0.238149,0.249272,0.283928,0.251952,0.287459,0.29897,0.282493
-0.413531,0.311882,0.28517,0.272499,0.278665,0.261198,0.253977,0.212511,0.260514,0.221568,0.287008,0.238531,0.225879,0.256357,0.267189,0.253998,0.243138,0.250886,0.183447,0.304036,0.223969,0.239571,0.270491,0.244451,0.267479,0.284539,0.288061
0.086469,0.291462,0.283375,0.269015,0.250675,0.241965,0.227588,0.212008,0.254049,0.216044,0.273856,0.225871,0.210314,0.253805,0.257214,0.247062,0.225144,0.237569,0.172774,0.289266,0.208579,0.238621,0.251981,0.237063,0.239524,0.266832,0.294077
0.586469,0.279192,0.27914,0.263022,0.229252,0.224165,0.202488,0.207026,0.242286,0.211821,0.261426,0.215654,0.198989,0.248174,0.250666,0.240929,0.212865,0.223764,0.160851,0.269338,0.196247,0.244787,0.230394,0.229715,0.218155,0.250242,0.299641
1.08647,0.275705,0.26823,0.256912,0.21915,0.213966,0.18651,0.196345,0.230456,0.210448,0.254917,0.210764,0.193079,0.241931,0.245653,0.235609,0.204045,0.215498,0.149677,0.252087,0.188699,0.247495,0.214812,0.222461,0.20896,0.235992,0.305087
1.58647,0.278854,0.251103,0.257217,0.216811,0.213255,0.176963,0.182674,0.227436,0.213134,0.255834,0.209127,0.187004,0.237503,0.236601,0.231704,0.19753,0.214554,0.138499,0.23445,0.186143,0.24251,0.209686,0.216124,0.209942,0.224635,0.312064
2.08647,0.289599,0.234411,0.27273,0.227034,0.228426,0.178618,0.17334,0.245781,0.223298,0.268696,0.21477,0.182174,0.240291,0.224553,0.234864,0.198697,0.226863,0.130706,0.223849,0.192892,0.229329,0.224411,0.216146,0.227532,0.223289,0.321227
2.58647,0.308994,0.228851,0.305583,0.249819,0.25904,0.191416,0.17648,0.285246,0.240804,0.290912,0.228744,0.182999,0.251791,0.216012,0.24827,0.210072,0.250659,0.131852,0.226113,0.209937,0.215606,0.261965,0.228205,0.259594,0.234296,0.3304
3.08647,0.330121,0.237878,0.346144,0.278634,0.294025,0.209483,0.193787,0.328625,0.259857,0.314816,0.247892,0.193081,0.268889,0.219213,0.268277,0.229309,0.276295,0.143115,0.238749,0.231546,0.210929,0.313101,0.249412,0.296483,0.24894,0.338803
3.58647,0.341436,0.257675,0.379201,0.301688,0.317639,0.224669,0.216675,0.35282,0.274151,0.332469,0.265582,0.210812,0.283881,0.236524,0.286834,0.249436,0.294807,0.15958,0.254745,0.249398,0.216181,0.360966,0.27211,0.320967,0.253032,0.344548
4.08647,0.337856,0.28182,0.396526,0.314797,0.324769,0.230893,0.235723,0.349404,0.277644,0.341051,0.2735,0.228583,0.289106,0.260799,0.298309,0.263311,0.304021,0.173469,0.26502,0.258454,0.224639,0.388069,0.28826,0.323052,0.239142,0.345834
4.58647,0.323822,0.305781,0.394061,0.323597,0.320989,0.228825,0.245569,0.331847,0.270577,0.340182,0.267881,0.238246,0.282287,0.281613,0.301409,0.266896,0.308384,0.178714,0.265022,0.257669,0.228784,0.383415,0.290631,0.303684,0.212124,0.341675
5.08647,0.31231,0.325931,0.374301,0.334327,0.31565,0.222042,0.246849,0.320044,0.256626,0.32805,0.251566,0.236873,0.264702,0.293453,0.297441,0.257749,0.308059,0.17564,0.254569,0.249476,0.226099,0.350357,0.27897,0.272639,0.183806,0.330791
