Arc_length vs Data,001_12months_DTI_antsBM,002_12months_DTI_antsBM,007_12months_DTI_antsBM,008_12months_DTI_antsBM,010_10months_DTI_antsBM,010_14months_DTI_antsBM,012_10months_DTI_antsBM,012_14months_DTI_antsBM,013_13months_DTI_antsBM,014_13months_DTI_antsBM,016_12months_DTI_antsBM,017_11months_DTI_antsBM,018_11months_DTI_antsBM,019_12months_DTI_antsBM,020_11months_DTI_antsBM,020_14months_DTI_antsBM,021_11months_DTI_antsBM,021_14months_DTI_antsBM,022_11months_DTI_antsBM,022_14months_DTI_antsBM,023_11months_DTI_antsBM,023_14months_DTI_antsBM,025_10months_DTI_antsBM,025_13months_DTI_antsBM,026_11months_DTI_antsBM,027_11months_DTI_antsBM,028_10months_DTI_antsBM,028_13months_DTI_antsBM,029_12months_DTI_antsBM,030_12months_DTI_antsBM,031_10months_DTI_antsBM,031_13months_DTI_antsBM,032_12months_DTI_antsBM,033_10months_DTI_antsBM,033_13months_DTI_antsBM,034_12months_DTI_antsBM,035_12months_DTI_antsBM,036_12months_DTI_antsBM,Atlas
-24.7262,0.302438,0.302271,0.253969,0.28113,0.300587,0.271672,0.305324,0.27245,0.275962,0.303725,0.344639,0.32532,0.273674,0.29353,0.225886,0.216537,0.270098,0.254461,0.209377,0.195512,0.268885,0.275971,0.30406,0.281812,0.266638,0.243189,0.239245,0.201242,0.251065,0.293388,0.301547,0.28677,0.257515,0.283317,0.325827,0.225368,0.236219,0.2873,0.311258
-24.2262,0.31808,0.340315,0.293099,0.320073,0.322436,0.310432,0.335796,0.292956,0.295111,0.326647,0.380017,0.353777,0.299491,0.315678,0.27984,0.251295,0.2942,0.280385,0.235397,0.225287,0.294121,0.298987,0.327929,0.308827,0.288847,0.266111,0.270701,0.234187,0.292354,0.322998,0.324694,0.313504,0.290517,0.316123,0.357412,0.237797,0.266573,0.323183,0.361677
-23.7262,0.34294,0.379522,0.342442,0.366266,0.352973,0.357765,0.368474,0.328225,0.325208,0.352627,0.414889,0.388856,0.334214,0.348783,0.339813,0.300334,0.328306,0.315689,0.268673,0.265153,0.324317,0.335603,0.349361,0.340971,0.317312,0.292822,0.310327,0.276037,0.331947,0.353403,0.352677,0.345273,0.327765,0.350273,0.391309,0.268459,0.305013,0.361066,0.409029
-23.2262,0.381837,0.419143,0.39419,0.414884,0.392679,0.412413,0.404155,0.372679,0.363813,0.383444,0.448115,0.426904,0.37695,0.38902,0.400598,0.356262,0.37125,0.359396,0.309159,0.313956,0.355427,0.379673,0.371294,0.378185,0.351732,0.328355,0.354202,0.323151,0.369513,0.385932,0.386371,0.382801,0.3701,0.383983,0.429824,0.312378,0.351716,0.401155,0.453789
-22.7262,0.42831,0.459999,0.446764,0.460851,0.439693,0.467494,0.440335,0.420264,0.408507,0.419177,0.478237,0.463964,0.421838,0.433858,0.456581,0.412796,0.418875,0.405105,0.3527,0.36449,0.389395,0.427769,0.395595,0.416747,0.389736,0.370248,0.398821,0.370607,0.405562,0.422562,0.423028,0.423767,0.415726,0.414319,0.46654,0.365352,0.40184,0.440786,0.49494
-22.2262,0.47522,0.499444,0.499331,0.502794,0.489923,0.518456,0.47595,0.466865,0.456149,0.457509,0.507257,0.497398,0.464173,0.482434,0.504557,0.465914,0.467947,0.448797,0.394656,0.412059,0.424998,0.474638,0.422743,0.454589,0.430146,0.411267,0.441009,0.413974,0.441215,0.462849,0.460258,0.464793,0.461749,0.44129,0.501558,0.41936,0.4496,0.476647,0.533168
-21.7262,0.518591,0.53744,0.549487,0.540438,0.538365,0.564055,0.511689,0.511306,0.504274,0.497001,0.536175,0.527957,0.503436,0.530467,0.544777,0.512416,0.515607,0.48977,0.434019,0.455136,0.461471,0.515999,0.45405,0.490937,0.471344,0.44878,0.478691,0.451185,0.476662,0.505619,0.497594,0.503659,0.505403,0.46697,0.532324,0.467646,0.491706,0.508611,0.568849
-21.2262,0.558171,0.573817,0.595133,0.574635,0.581543,0.602369,0.548712,0.554043,0.550071,0.534919,0.565697,0.558907,0.540363,0.573118,0.579036,0.550618,0.559983,0.528092,0.470911,0.492141,0.499624,0.551989,0.490134,0.52402,0.509863,0.480087,0.512565,0.481348,0.510644,0.548808,0.533152,0.537791,0.543234,0.494689,0.560191,0.507699,0.526149,0.538089,0.60124
-20.7262,0.59454,0.607622,0.632556,0.606076,0.617007,0.634305,0.58732,0.59381,0.591116,0.567621,0.595622,0.592645,0.575452,0.60714,0.609463,0.580178,0.599229,0.563875,0.505148,0.522625,0.53779,0.582328,0.527975,0.553097,0.543892,0.503813,0.543933,0.505371,0.539673,0.590373,0.565553,0.566391,0.573935,0.525775,0.588348,0.538102,0.552504,0.567329,0.628946
-20.2262,0.633478,0.64043,0.662581,0.636406,0.648739,0.66373,0.627729,0.631335,0.628627,0.594881,0.627273,0.630857,0.61139,0.634456,0.64065,0.605848,0.63515,0.599387,0.538752,0.550629,0.576501,0.612487,0.565752,0.580665,0.576165,0.524525,0.576115,0.527354,0.564658,0.631268,0.596179,0.592993,0.600685,0.560157,0.619657,0.565307,0.572882,0.598716,0.65296
-19.7262,0.675966,0.672167,0.687187,0.665073,0.679438,0.6932,0.667415,0.663834,0.661258,0.617052,0.661096,0.670211,0.647666,0.658919,0.6721,0.629512,0.667981,0.634461,0.571156,0.579128,0.613269,0.644247,0.599669,0.607299,0.608704,0.545543,0.609598,0.548927,0.588134,0.670562,0.624074,0.619997,0.626841,0.594305,0.65368,0.594356,0.58919,0.630472,0.673495
-19.2262,0.716095,0.701053,0.70696,0.688676,0.706994,0.722696,0.702271,0.688019,0.687138,0.63621,0.694906,0.703522,0.681265,0.682346,0.700452,0.65118,0.695211,0.665919,0.59978,0.609099,0.643501,0.674396,0.624755,0.631286,0.642145,0.568977,0.641537,0.569622,0.611609,0.704917,0.646656,0.646169,0.653255,0.624606,0.684422,0.623931,0.603407,0.657851,0.69024
-18.7262,0.749331,0.726222,0.724268,0.705897,0.728959,0.750683,0.731291,0.706039,0.706829,0.655396,0.726634,0.727489,0.711416,0.703973,0.72423,0.671712,0.7172,0.692564,0.624879,0.641208,0.665789,0.700398,0.639547,0.650408,0.674022,0.597099,0.670772,0.589955,0.633509,0.730987,0.662361,0.668535,0.67946,0.651679,0.708624,0.652654,0.61739,0.678397,0.703292
-18.2262,0.773747,0.748779,0.74044,0.718356,0.744152,0.775281,0.756884,0.723036,0.721679,0.676674,0.754776,0.743798,0.738566,0.723519,0.743336,0.692078,0.735759,0.714418,0.648638,0.674655,0.681225,0.721324,0.64465,0.662209,0.700705,0.630876,0.698021,0.610991,0.649243,0.748471,0.670943,0.684251,0.704267,0.679197,0.726856,0.677807,0.632947,0.694353,0.712054
-17.7262,0.789381,0.769023,0.755455,0.728858,0.752792,0.792954,0.780075,0.742045,0.732432,0.699428,0.777803,0.755456,0.76152,0.742177,0.759149,0.712307,0.751439,0.730511,0.671756,0.706908,0.690768,0.738012,0.641328,0.66382,0.719179,0.666676,0.72259,0.63268,0.65406,0.758894,0.672263,0.691203,0.724582,0.708024,0.741464,0.69692,0.6484,0.70749,0.714776
-17.2262,0.797174,0.786069,0.768254,0.739673,0.755301,0.802293,0.798859,0.762139,0.738803,0.7215,0.794075,0.76454,0.77822,0.761129,0.772538,0.728614,0.763372,0.741083,0.693588,0.734946,0.693791,0.750572,0.631682,0.653768,0.726625,0.698047,0.741533,0.653033,0.647677,0.762409,0.665812,0.68946,0.738637,0.734397,0.753082,0.708998,0.659909,0.717325,0.709572
-16.7262,0.796881,0.797589,0.776247,0.749846,0.750215,0.801898,0.809617,0.779495,0.741134,0.741229,0.80156,0.770823,0.786278,0.779777,0.783453,0.735105,0.76784,0.746209,0.711899,0.755227,0.688679,0.756281,0.61728,0.632666,0.72284,0.718756,0.750719,0.668146,0.63221,0.756912,0.651085,0.679956,0.744334,0.751635,0.759922,0.712747,0.665298,0.720401,0.69483
-16.2262,0.786725,0.799653,0.775327,0.754716,0.73582,0.790475,0.808803,0.78954,0.740722,0.756121,0.797311,0.772576,0.784116,0.793388,0.787837,0.727496,0.761437,0.745521,0.723461,0.763947,0.674329,0.750795,0.599352,0.604848,0.708617,0.724165,0.748124,0.674535,0.609045,0.738447,0.629226,0.663463,0.739408,0.75107,0.760042,0.707168,0.663875,0.71268,0.669785
-15.7262,0.765325,0.788836,0.762049,0.747945,0.712239,0.767197,0.794324,0.788834,0.736419,0.762309,0.779945,0.766396,0.771113,0.795954,0.777941,0.703382,0.741517,0.738126,0.725186,0.758449,0.649772,0.729871,0.578572,0.575861,0.68387,0.712159,0.734634,0.670217,0.57852,0.705881,0.602457,0.640144,0.72184,0.72745,0.75173,0.689597,0.655209,0.692703,0.634852
-15.2262,0.732684,0.764271,0.736434,0.72606,0.682653,0.733585,0.768151,0.777165,0.726462,0.75707,0.750327,0.750018,0.748102,0.786133,0.748687,0.662987,0.707758,0.723968,0.715527,0.739779,0.61666,0.692722,0.555473,0.550549,0.651163,0.684991,0.713559,0.65609,0.541228,0.663559,0.574177,0.610091,0.691091,0.68154,0.734958,0.659739,0.640831,0.661828,0.592145
-14.7262,0.689454,0.72648,0.70094,0.689138,0.650517,0.694194,0.735221,0.756664,0.708526,0.739163,0.710585,0.722011,0.715085,0.765462,0.698226,0.608814,0.662041,0.704673,0.694995,0.711089,0.578088,0.642528,0.529979,0.530793,0.61335,0.647426,0.687184,0.634555,0.498983,0.616043,0.546472,0.573541,0.647816,0.620352,0.710837,0.619609,0.621741,0.621349,0.544422
-14.2262,0.639151,0.679762,0.661513,0.641662,0.619951,0.656096,0.703217,0.732588,0.680333,0.70961,0.665007,0.683918,0.675662,0.737694,0.633522,0.546593,0.610891,0.684469,0.668076,0.677962,0.539462,0.586421,0.502413,0.51749,0.576422,0.607341,0.657081,0.608537,0.456858,0.568442,0.521792,0.534536,0.596542,0.55813,0.68328,0.573733,0.598594,0.573024,0.497037
-13.7262,0.585185,0.629425,0.62375,0.587635,0.593204,0.624826,0.678048,0.710687,0.640282,0.670495,0.618064,0.638204,0.634019,0.706306,0.563149,0.483609,0.561359,0.66568,0.640963,0.645782,0.505906,0.531216,0.472831,0.51033,0.545734,0.571045,0.623417,0.580255,0.420364,0.5244,0.501968,0.498349,0.542385,0.507928,0.656871,0.527042,0.571391,0.519706,0.454722
-13.2262,0.532412,0.583305,0.592914,0.535496,0.572293,0.604997,0.66161,0.694155,0.592319,0.625304,0.575555,0.588496,0.594492,0.675017,0.494601,0.428615,0.520772,0.649749,0.619273,0.61892,0.481924,0.484889,0.445154,0.508599,0.524864,0.540495,0.587924,0.551626,0.395878,0.488746,0.489042,0.470688,0.491874,0.477582,0.636542,0.485831,0.541813,0.469015,0.422332
