Arc_length vs Data,001_16months_DTI_antsBM,001_20months_DTI_antsBM,001_24months_DTI_antsBM,001_28months_DTI_antsBM,002_16months_DTI_antsBM,002_20months_DTI_antsBM,002_24months_DTI_antsBM,002_28months_DTI_antsBM,004_16months_DTI_antsBM,004_20months_DTI_antsBM,004_24months_DTI_antsBM,004_28months_DTI_antsBM,004_32months_DTI_antsBM,005_20months_DTI_antsBM,005_24months_DTI_antsBM,005_28months_DTI_antsBM,005_32months_DTI_antsBM,005_36months_DTI_antsBM,006_20months_DTI_antsBM,006_24months_DTI_antsBM,006_28months_DTI_antsBM,006_32months_DTI_antsBM,006_36months_DTI_antsBM,007_16months_DTI_antsBM,007_20months_DTI_antsBM,007_24months_DTI_antsBM,008_16months_DTI_antsBM,008_20months_DTI_antsBM,008_24months_DTI_antsBM,010_18months_DTI_antsBM,010_22months_DTI_antsBM,011_16months_DTI_antsBM,011_20months_DTI_antsBM,011_24months_DTI_antsBM,011_28months_DTI_antsBM,011_32months_DTI_antsBM,012_18months_DTI_antsBM,012_22months_DTI_antsBM,013_17months_DTI_antsBM,013_21months_DTI_antsBM,014_17months_DTI_antsBM,014_21months_DTI_antsBM,016_16months_DTI_antsBM,016_20months_DTI_antsBM,017_15months_DTI_antsBM,017_19months_DTI_antsBM,018_15months_DTI_antsBM,018_19months_DTI_antsBM,019_16months_DTI_antsBM,019_20months_DTI_antsBM,026_15months_DTI_antsBM,026_19months_DTI_antsBM,027_15months_DTI_antsBM,027_19months_DTI_antsBM,029_16months_DTI_antsBM,029_20months_DTI_antsBM,030_16months_DTI_antsBM,030_20months_DTI_antsBM,Atlas
-26.477,0.299567,0.327838,0.305512,0.324548,0.261474,0.255257,0.265429,0.25859,0.267891,0.27033,0.268831,0.260424,0.273614,0.314443,0.317096,0.331278,0.338963,0.325081,0.295413,0.278728,0.292952,0.31323,0.303939,0.27261,0.267914,0.283391,0.282098,0.285942,0.271996,0.279391,0.279659,0.266831,0.262347,0.264113,0.28513,0.273617,0.27498,0.267942,0.271128,0.269865,0.268858,0.259844,0.273058,0.274257,0.301482,0.29571,0.28538,0.267715,0.259036,0.253217,0.293245,0.27656,0.256559,0.25463,0.235165,0.249581,0.253098,0.26933,0.181345
-25.977,0.299345,0.326895,0.303442,0.324239,0.255746,0.260159,0.262186,0.262141,0.265798,0.268128,0.270418,0.257941,0.268578,0.317897,0.323338,0.334062,0.344709,0.331272,0.291708,0.278095,0.293437,0.309075,0.295842,0.272018,0.267744,0.284986,0.28265,0.282119,0.270469,0.279817,0.281478,0.272506,0.263027,0.2641,0.282087,0.274396,0.272371,0.267744,0.272057,0.265595,0.269559,0.261466,0.276935,0.26735,0.298986,0.291322,0.282862,0.271139,0.257244,0.254208,0.293826,0.277344,0.257297,0.256189,0.236444,0.252679,0.253812,0.266429,0.183477
-25.477,0.298561,0.32424,0.30117,0.322895,0.254588,0.268221,0.260015,0.265692,0.263046,0.266931,0.271237,0.257787,0.264129,0.322193,0.325987,0.334441,0.345316,0.332591,0.284737,0.277815,0.292079,0.301624,0.289372,0.270993,0.26756,0.284511,0.280694,0.2769,0.267528,0.280083,0.28306,0.272422,0.261064,0.263289,0.27778,0.27268,0.264278,0.26577,0.270873,0.261834,0.270764,0.262225,0.281246,0.263104,0.294878,0.286422,0.279173,0.270158,0.254015,0.254629,0.288557,0.27432,0.255863,0.25582,0.238663,0.255095,0.251382,0.260952,0.184795
-24.977,0.305962,0.329278,0.306937,0.327912,0.265553,0.285846,0.270199,0.278708,0.269363,0.273611,0.278438,0.265658,0.268788,0.333303,0.332871,0.341747,0.349129,0.338059,0.287743,0.288255,0.297626,0.301772,0.292913,0.275461,0.2732,0.287899,0.283224,0.275599,0.268996,0.288872,0.293825,0.276001,0.264288,0.269055,0.280084,0.276937,0.263861,0.27128,0.276202,0.265778,0.278129,0.268119,0.288747,0.268749,0.298716,0.288473,0.282031,0.272604,0.257551,0.263195,0.286295,0.273201,0.258297,0.260703,0.24809,0.263559,0.253928,0.261197,0.187454
-24.477,0.335354,0.356312,0.336641,0.355225,0.302952,0.324887,0.305113,0.317619,0.300318,0.303056,0.306872,0.295354,0.298622,0.366769,0.35934,0.370781,0.374621,0.367879,0.321094,0.324386,0.32864,0.330207,0.323509,0.297308,0.294786,0.309096,0.307234,0.294429,0.291954,0.326784,0.33199,0.299808,0.28629,0.295678,0.305368,0.301482,0.289226,0.299501,0.302345,0.290516,0.304649,0.291451,0.317346,0.300435,0.325921,0.314387,0.305868,0.293339,0.282714,0.294223,0.302255,0.289336,0.277429,0.283327,0.274306,0.288824,0.273068,0.281164,0.202302
-23.977,0.373697,0.393636,0.376474,0.395042,0.352438,0.368354,0.352106,0.369739,0.343819,0.344945,0.346328,0.335095,0.340913,0.40901,0.395339,0.408389,0.412317,0.411436,0.368009,0.370988,0.373877,0.37673,0.370609,0.329174,0.326515,0.34136,0.344372,0.326895,0.327628,0.377286,0.381487,0.333383,0.319763,0.332612,0.341621,0.338385,0.330459,0.339191,0.337056,0.32358,0.339914,0.323871,0.360309,0.345214,0.365973,0.355288,0.341413,0.324097,0.320217,0.333772,0.330915,0.316778,0.305484,0.315106,0.305792,0.321034,0.305168,0.311708,0.228293
-23.477,0.397191,0.416387,0.40295,0.423041,0.384721,0.39291,0.384645,0.404375,0.373135,0.372567,0.37411,0.360308,0.370388,0.435749,0.418968,0.432246,0.437299,0.438614,0.399985,0.401918,0.405712,0.408713,0.407326,0.351455,0.350267,0.364386,0.372456,0.352103,0.352549,0.411233,0.415534,0.3569,0.345342,0.358759,0.36667,0.363787,0.36038,0.365651,0.360446,0.344781,0.365882,0.346093,0.388498,0.373933,0.393921,0.385349,0.366425,0.344935,0.345163,0.35844,0.351052,0.334823,0.323926,0.335271,0.325067,0.340391,0.33005,0.333196,0.250455
-22.977,0.411972,0.43231,0.420076,0.444099,0.404748,0.409475,0.407271,0.428681,0.392778,0.390574,0.393771,0.376346,0.390256,0.452295,0.435766,0.449304,0.455179,0.457104,0.421702,0.422541,0.428203,0.430509,0.431835,0.366822,0.367885,0.382645,0.394994,0.371336,0.371653,0.433995,0.438015,0.372949,0.364997,0.378021,0.385457,0.382828,0.379526,0.384695,0.378544,0.360467,0.385767,0.362585,0.408724,0.391037,0.413526,0.405923,0.38484,0.361187,0.362596,0.375223,0.365169,0.348539,0.338295,0.347985,0.339575,0.354836,0.346671,0.348632,0.268903
-22.477,0.418254,0.438406,0.426411,0.456628,0.412997,0.417356,0.419372,0.441424,0.399809,0.396462,0.402584,0.379998,0.398389,0.456142,0.442427,0.456169,0.462891,0.463716,0.428887,0.430315,0.437535,0.438867,0.442508,0.372879,0.377633,0.392328,0.406834,0.380233,0.380713,0.441725,0.447418,0.379044,0.375527,0.388342,0.395287,0.39334,0.38657,0.393442,0.387285,0.367034,0.396422,0.37119,0.417422,0.393798,0.420457,0.412489,0.394427,0.369326,0.370365,0.382312,0.371044,0.355405,0.346515,0.352559,0.347744,0.362617,0.352967,0.355662,0.278896
-21.977,0.417752,0.433541,0.425171,0.458449,0.411045,0.418628,0.42119,0.44227,0.395969,0.39166,0.400872,0.373904,0.39724,0.45074,0.440329,0.454867,0.460473,0.459642,0.424808,0.42695,0.435686,0.434819,0.439892,0.37006,0.379036,0.392475,0.407425,0.37986,0.380816,0.437481,0.445632,0.376351,0.376887,0.390811,0.397314,0.395083,0.383166,0.39316,0.387537,0.366534,0.399006,0.372431,0.414621,0.387986,0.414844,0.405956,0.395588,0.369858,0.368566,0.381172,0.367685,0.355028,0.348643,0.350101,0.349434,0.363073,0.347976,0.353972,0.27891
