Arc_length vs Data,001_16months_DTI_antsBM,001_20months_DTI_antsBM,001_24months_DTI_antsBM,001_28months_DTI_antsBM,002_16months_DTI_antsBM,002_20months_DTI_antsBM,002_24months_DTI_antsBM,002_28months_DTI_antsBM,004_16months_DTI_antsBM,004_20months_DTI_antsBM,004_24months_DTI_antsBM,004_28months_DTI_antsBM,004_32months_DTI_antsBM,005_20months_DTI_antsBM,005_24months_DTI_antsBM,005_28months_DTI_antsBM,005_32months_DTI_antsBM,005_36months_DTI_antsBM,006_20months_DTI_antsBM,006_24months_DTI_antsBM,006_28months_DTI_antsBM,006_32months_DTI_antsBM,006_36months_DTI_antsBM,007_16months_DTI_antsBM,007_20months_DTI_antsBM,007_24months_DTI_antsBM,008_16months_DTI_antsBM,008_20months_DTI_antsBM,008_24months_DTI_antsBM,010_18months_DTI_antsBM,010_22months_DTI_antsBM,011_16months_DTI_antsBM,011_20months_DTI_antsBM,011_24months_DTI_antsBM,011_28months_DTI_antsBM,011_32months_DTI_antsBM,012_18months_DTI_antsBM,012_22months_DTI_antsBM,013_17months_DTI_antsBM,013_21months_DTI_antsBM,014_17months_DTI_antsBM,014_21months_DTI_antsBM,016_16months_DTI_antsBM,016_20months_DTI_antsBM,017_15months_DTI_antsBM,017_19months_DTI_antsBM,018_15months_DTI_antsBM,018_19months_DTI_antsBM,019_16months_DTI_antsBM,019_20months_DTI_antsBM,026_15months_DTI_antsBM,026_19months_DTI_antsBM,027_15months_DTI_antsBM,027_19months_DTI_antsBM,029_16months_DTI_antsBM,029_20months_DTI_antsBM,030_16months_DTI_antsBM,030_20months_DTI_antsBM,Atlas
-29.464,0.309473,0.195348,0.17994,0.223265,0.108992,0.237843,0.222123,0.226991,0.217781,0.190987,0.187639,0.234388,0.218819,0.153546,0.168411,0.141305,0.143851,0.157622,0.209839,0.229846,0.293284,0.291965,0.303678,0.164995,0.129973,0.162878,0.164586,0.225289,0.177844,0.218803,0.214505,0.203079,0.186765,0.235273,0.234846,0.232195,0.133476,0.13666,0.217081,0.178288,0.174067,0.182737,0.282233,0.293249,0.223976,0.214607,0.257801,0.222297,0.172057,0.164204,0.148779,0.249443,0.225378,0.210291,0.170172,0.159529,0.19414,0.248848,0.161119
-28.964,0.288913,0.191967,0.172055,0.219154,0.110892,0.229347,0.216581,0.221721,0.215443,0.192732,0.186893,0.234708,0.211212,0.161471,0.171696,0.145607,0.150315,0.163471,0.217546,0.237372,0.309116,0.28649,0.308686,0.161456,0.138266,0.158312,0.17016,0.217581,0.177779,0.220271,0.215269,0.198741,0.188007,0.226361,0.229862,0.228756,0.132138,0.128257,0.205263,0.17609,0.169821,0.179111,0.280854,0.283643,0.220954,0.207648,0.249238,0.214201,0.165821,0.169357,0.146955,0.238181,0.21558,0.205571,0.167093,0.158901,0.189619,0.246175,0.162874
-28.464,0.268749,0.185331,0.171504,0.212061,0.114334,0.212106,0.206508,0.210896,0.211888,0.196083,0.184566,0.230898,0.204484,0.164869,0.175056,0.151064,0.157026,0.171108,0.222307,0.236717,0.313353,0.276855,0.306044,0.15897,0.146065,0.155625,0.174707,0.208813,0.175834,0.216713,0.214904,0.191819,0.184995,0.216887,0.221666,0.222323,0.137027,0.125877,0.191379,0.171767,0.165015,0.174847,0.265983,0.270236,0.2165,0.201531,0.236312,0.203489,0.159795,0.1703,0.144789,0.224286,0.204066,0.198415,0.161354,0.157749,0.181749,0.241433,0.165234
-27.964,0.253348,0.179678,0.178023,0.205879,0.119582,0.193673,0.196618,0.198618,0.209346,0.200415,0.181339,0.226101,0.200705,0.164689,0.178842,0.157593,0.161672,0.178161,0.227147,0.234085,0.306473,0.266725,0.296374,0.160011,0.153013,0.156233,0.175509,0.201432,0.173353,0.209115,0.217475,0.184079,0.180591,0.206649,0.211136,0.215578,0.143016,0.128768,0.176936,0.166576,0.159727,0.173004,0.250381,0.255864,0.211357,0.196489,0.22278,0.193447,0.156538,0.167427,0.142424,0.212011,0.194401,0.189912,0.154798,0.156261,0.170842,0.236177,0.169809
-27.464,0.239691,0.176489,0.187431,0.201423,0.126533,0.17962,0.189486,0.188639,0.207351,0.202365,0.178219,0.22109,0.199282,0.156584,0.181779,0.162377,0.164016,0.18448,0.231371,0.231281,0.292758,0.254208,0.282524,0.162889,0.158224,0.162521,0.173861,0.195547,0.170024,0.199069,0.2219,0.176287,0.17465,0.195557,0.198724,0.206894,0.148361,0.135778,0.164147,0.161377,0.154741,0.172798,0.238218,0.239895,0.206094,0.193311,0.209569,0.184415,0.156417,0.162762,0.138459,0.201337,0.186815,0.181503,0.148206,0.154696,0.158275,0.228744,0.176809
-26.964,0.228672,0.177596,0.196608,0.199864,0.135326,0.173906,0.185886,0.183508,0.205337,0.20176,0.175662,0.21636,0.201183,0.140049,0.183294,0.162106,0.163163,0.189869,0.232812,0.228454,0.274509,0.24151,0.266883,0.166637,0.162389,0.174482,0.17143,0.191448,0.164919,0.189878,0.226173,0.17035,0.167983,0.186455,0.18681,0.196763,0.151756,0.146634,0.156315,0.157916,0.151355,0.174701,0.230528,0.223971,0.20219,0.193711,0.19914,0.178092,0.158429,0.157278,0.13434,0.192652,0.181987,0.175368,0.143314,0.154069,0.147691,0.218687,0.186883
-26.464,0.222206,0.184294,0.203383,0.202416,0.145944,0.177124,0.186344,0.184141,0.204124,0.199345,0.174226,0.213816,0.207778,0.124841,0.184004,0.157768,0.162273,0.193312,0.231368,0.22606,0.25695,0.231504,0.252318,0.170757,0.16716,0.189741,0.170444,0.190384,0.159644,0.185802,0.228657,0.169368,0.163951,0.182631,0.179721,0.186756,0.152752,0.159568,0.155408,0.15811,0.151399,0.179007,0.229951,0.211349,0.200748,0.198862,0.19441,0.176572,0.161183,0.153637,0.135722,0.186396,0.181332,0.172728,0.142253,0.155338,0.142898,0.207141,0.20003
-25.964,0.219733,0.195244,0.207354,0.208068,0.158036,0.186909,0.190675,0.190045,0.203906,0.197481,0.175144,0.215394,0.218458,0.124213,0.186338,0.158129,0.167698,0.195497,0.226742,0.224725,0.246076,0.225711,0.24247,0.174439,0.174122,0.204413,0.172916,0.192956,0.158498,0.189103,0.227346,0.175158,0.164931,0.186587,0.181193,0.179193,0.15295,0.171712,0.161215,0.162249,0.156585,0.184931,0.235489,0.204346,0.202623,0.209698,0.196795,0.180976,0.163161,0.154881,0.147012,0.183342,0.184442,0.174443,0.146218,0.159386,0.145549,0.196751,0.215135
-25.464,0.219846,0.207643,0.211299,0.215442,0.171319,0.197493,0.197244,0.198808,0.205272,0.200603,0.179621,0.222337,0.231114,0.144791,0.193566,0.174221,0.183596,0.198282,0.220862,0.223736,0.242951,0.224632,0.238142,0.178884,0.184563,0.214712,0.17905,0.197695,0.166381,0.198781,0.223405,0.186988,0.171964,0.197877,0.192267,0.177252,0.155178,0.181426,0.169436,0.168603,0.167092,0.192245,0.243615,0.20456,0.207636,0.2243,0.204466,0.191676,0.16565,0.161951,0.166819,0.184321,0.19005,0.179626,0.154823,0.16642,0.153083,0.190166,0.230747
-24.964,0.221595,0.218744,0.217962,0.223858,0.185321,0.206353,0.205551,0.208601,0.209271,0.209089,0.188583,0.233995,0.242493,0.179586,0.20602,0.208779,0.208498,0.203036,0.216453,0.222774,0.244086,0.226831,0.238046,0.186027,0.196964,0.221096,0.187097,0.204003,0.184482,0.210567,0.219963,0.20235,0.184246,0.212665,0.209667,0.182132,0.160942,0.18892,0.176438,0.175194,0.180928,0.200418,0.250515,0.210866,0.215254,0.239386,0.213015,0.206497,0.172681,0.172923,0.189057,0.190376,0.197435,0.186231,0.166084,0.175154,0.159659,0.187669,0.244933
