Arc_length vs Data,001_16months_DTI_antsBM,001_20months_DTI_antsBM,001_24months_DTI_antsBM,001_28months_DTI_antsBM,002_16months_DTI_antsBM,002_20months_DTI_antsBM,002_24months_DTI_antsBM,002_28months_DTI_antsBM,004_16months_DTI_antsBM,004_20months_DTI_antsBM,004_24months_DTI_antsBM,004_28months_DTI_antsBM,004_32months_DTI_antsBM,005_20months_DTI_antsBM,005_24months_DTI_antsBM,005_28months_DTI_antsBM,005_32months_DTI_antsBM,005_36months_DTI_antsBM,006_20months_DTI_antsBM,006_24months_DTI_antsBM,006_28months_DTI_antsBM,006_32months_DTI_antsBM,006_36months_DTI_antsBM,007_16months_DTI_antsBM,007_20months_DTI_antsBM,007_24months_DTI_antsBM,008_16months_DTI_antsBM,008_20months_DTI_antsBM,008_24months_DTI_antsBM,010_18months_DTI_antsBM,010_22months_DTI_antsBM,011_16months_DTI_antsBM,011_20months_DTI_antsBM,011_24months_DTI_antsBM,011_28months_DTI_antsBM,011_32months_DTI_antsBM,012_18months_DTI_antsBM,012_22months_DTI_antsBM,013_17months_DTI_antsBM,013_21months_DTI_antsBM,014_17months_DTI_antsBM,014_21months_DTI_antsBM,016_16months_DTI_antsBM,016_20months_DTI_antsBM,017_15months_DTI_antsBM,017_19months_DTI_antsBM,018_15months_DTI_antsBM,018_19months_DTI_antsBM,019_16months_DTI_antsBM,019_20months_DTI_antsBM,026_15months_DTI_antsBM,026_19months_DTI_antsBM,027_15months_DTI_antsBM,027_19months_DTI_antsBM,029_16months_DTI_antsBM,029_20months_DTI_antsBM,030_16months_DTI_antsBM,030_20months_DTI_antsBM,Atlas
-19.028,0.152685,0.140852,0.122057,0.128772,0.13944,0.141774,0.126566,0.129192,0.114507,0.121654,0.11859,0.110327,0.101629,0.149507,0.146245,0.133914,0.147391,0.139101,0.127718,0.119591,0.135244,0.124741,0.136022,0.148185,0.147132,0.133595,0.129218,0.13485,0.117277,0.124451,0.0906003,0.133501,0.140409,0.134359,0.144319,0.116555,0.124366,0.127452,0.115521,0.108252,0.133111,0.107211,0.235947,0.112985,0.119405,0.12541,0.132329,0.124979,0.121451,0.12162,0.122045,0.12422,0.114927,0.128248,0.112964,0.107404,0.124445,0.117041,0.128753
-18.528,0.171518,0.157578,0.14955,0.147725,0.165143,0.159813,0.149327,0.157612,0.125361,0.135543,0.128532,0.122881,0.113113,0.166317,0.166981,0.143602,0.158294,0.151033,0.147267,0.14021,0.155378,0.144684,0.153841,0.164966,0.172481,0.158148,0.139279,0.142973,0.123382,0.140923,0.114779,0.148856,0.155149,0.147958,0.153002,0.130817,0.139775,0.143416,0.126569,0.123374,0.157001,0.1204,0.217532,0.136491,0.137263,0.138766,0.144928,0.138525,0.127664,0.135703,0.130523,0.130073,0.124997,0.149883,0.121863,0.118718,0.133516,0.133441,0.133063
-18.028,0.191277,0.174837,0.176906,0.166759,0.191692,0.180514,0.173588,0.186209,0.133337,0.144409,0.133185,0.13243,0.122065,0.181121,0.180151,0.156314,0.162529,0.15583,0.162991,0.156864,0.168454,0.160149,0.167234,0.184045,0.192547,0.183251,0.151013,0.151184,0.130198,0.153597,0.135138,0.162371,0.165796,0.159144,0.160282,0.142359,0.15469,0.163468,0.131532,0.13526,0.178675,0.13227,0.19316,0.158122,0.152008,0.152691,0.159383,0.150951,0.133535,0.148895,0.138271,0.136823,0.1382,0.172856,0.132393,0.130398,0.144292,0.150849,0.136313
-17.528,0.205627,0.190346,0.201838,0.184103,0.214191,0.200706,0.194788,0.212807,0.138845,0.150447,0.134185,0.139823,0.127658,0.19701,0.190945,0.171375,0.165574,0.160281,0.176203,0.169158,0.177781,0.172551,0.178159,0.200176,0.20746,0.204414,0.162099,0.156804,0.136569,0.163215,0.152679,0.17257,0.171696,0.167753,0.168057,0.150614,0.168341,0.181083,0.13447,0.144123,0.196816,0.142643,0.176694,0.176601,0.161415,0.159873,0.172612,0.162217,0.140035,0.159061,0.146712,0.143641,0.153875,0.192909,0.14415,0.141821,0.154035,0.168066,0.138566
-17.028,0.209908,0.199621,0.217832,0.195923,0.225098,0.214774,0.20924,0.229935,0.141129,0.152024,0.132405,0.144784,0.130886,0.211506,0.199074,0.186241,0.168995,0.165316,0.186418,0.174936,0.18423,0.181226,0.18433,0.207038,0.214349,0.215689,0.167507,0.158785,0.140037,0.168856,0.165039,0.175085,0.170247,0.170426,0.174027,0.152343,0.17788,0.191853,0.137656,0.149023,0.206485,0.149696,0.16582,0.186141,0.1638,0.160244,0.181401,0.169553,0.14597,0.166745,0.15589,0.149815,0.169916,0.202802,0.155541,0.150461,0.158684,0.179411,0.138374
-16.528,0.199429,0.195388,0.213907,0.197596,0.20889,0.206082,0.207866,0.219844,0.144723,0.155604,0.136612,0.152268,0.140754,0.215395,0.198782,0.197905,0.169065,0.169307,0.197406,0.175938,0.193649,0.18867,0.181145,0.206457,0.2079,0.21051,0.172065,0.16506,0.150464,0.173862,0.171854,0.164689,0.161109,0.163538,0.180416,0.148086,0.178197,0.193435,0.145187,0.145821,0.198963,0.151064,0.168322,0.17946,0.165773,0.157532,0.184352,0.171793,0.156332,0.170968,0.166915,0.158671,0.180314,0.188164,0.162644,0.151189,0.150807,0.176255,0.134484
-16.028,0.191182,0.187573,0.200447,0.192504,0.183614,0.182093,0.19477,0.193131,0.158769,0.168754,0.153698,0.165538,0.158499,0.202114,0.193497,0.196978,0.166571,0.171528,0.207717,0.182145,0.21022,0.195943,0.179398,0.205403,0.201131,0.19992,0.174958,0.173203,0.164769,0.178519,0.175373,0.1565,0.15917,0.159554,0.185724,0.149814,0.175215,0.193928,0.151708,0.139639,0.182136,0.148301,0.183891,0.17408,0.170663,0.16003,0.188571,0.172503,0.167361,0.173667,0.174673,0.169544,0.180534,0.168284,0.163084,0.146915,0.139726,0.167517,0.133818
-15.528,0.19455,0.187868,0.1965,0.191686,0.175625,0.168951,0.188242,0.17749,0.175308,0.185846,0.17333,0.180437,0.176774,0.191625,0.1913,0.194869,0.168566,0.176643,0.21654,0.19364,0.225223,0.203127,0.185134,0.209538,0.202547,0.197914,0.18071,0.181808,0.176015,0.181843,0.179705,0.158183,0.164458,0.162802,0.190973,0.156337,0.17898,0.200938,0.15557,0.13922,0.174958,0.149539,0.194591,0.180488,0.177008,0.167451,0.194955,0.17704,0.175165,0.17983,0.181235,0.179626,0.179523,0.16408,0.164214,0.146438,0.137241,0.165408,0.138802
-15.028,0.201883,0.19354,0.200088,0.196264,0.177129,0.165762,0.188245,0.172319,0.190043,0.203882,0.190854,0.195386,0.19428,0.189517,0.19177,0.197196,0.174307,0.184026,0.225288,0.206878,0.237274,0.211365,0.195244,0.216264,0.20832,0.201338,0.18952,0.190385,0.184958,0.185588,0.186426,0.163888,0.171737,0.168415,0.197179,0.163791,0.186815,0.210523,0.159248,0.143332,0.17605,0.155843,0.20307,0.191112,0.184257,0.176309,0.202425,0.183675,0.183206,0.189051,0.190134,0.18931,0.180634,0.167868,0.168239,0.150404,0.141159,0.168611,0.146556
-14.528,0.210129,0.203195,0.208562,0.205126,0.18199,0.168851,0.192426,0.173255,0.203247,0.220602,0.20681,0.210099,0.211847,0.193511,0.195674,0.20076,0.184214,0.192655,0.235566,0.220753,0.249554,0.221795,0.208165,0.223727,0.216091,0.207725,0.200186,0.199834,0.194369,0.193643,0.197136,0.171792,0.181662,0.175993,0.204615,0.17281,0.195907,0.219569,0.164972,0.151026,0.182121,0.166881,0.212638,0.201225,0.193915,0.186608,0.211262,0.191938,0.194453,0.20104,0.202601,0.19989,0.184072,0.173265,0.175345,0.157467,0.148388,0.175777,0.155878
-14.028,0.218886,0.215863,0.220994,0.21642,0.188052,0.175577,0.199423,0.177882,0.215793,0.235464,0.222125,0.224971,0.229364,0.202221,0.202981,0.205802,0.19897,0.203213,0.24815,0.234849,0.263711,0.234008,0.223041,0.231762,0.224795,0.216134,0.211818,0.211287,0.205931,0.206164,0.210766,0.181368,0.194182,0.185435,0.214402,0.184166,0.204717,0.227493,0.173099,0.160795,0.191405,0.18048,0.224756,0.211724,0.205674,0.198488,0.221491,0.202032,0.208978,0.215511,0.218311,0.212292,0.1902,0.180192,0.18465,0.16646,0.157639,0.185949,0.166406
-13.528,0.228691,0.229656,0.235144,0.228613,0.194529,0.184318,0.207733,0.185659,0.228336,0.248649,0.236965,0.239534,0.24592,0.214845,0.213666,0.215005,0.217764,0.216442,0.262942,0.248706,0.279107,0.246935,0.239046,0.240587,0.234388,0.227048,0.222928,0.223904,0.219232,0.221927,0.226489,0.192656,0.208656,0.196571,0.226768,0.198608,0.212428,0.234996,0.184099,0.171795,0.202975,0.195337,0.239594,0.224148,0.218655,0.211947,0.232983,0.21318,0.22548,0.231603,0.236081,0.226551,0.199823,0.190302,0.195222,0.176912,0.167796,0.197888,0.177569
-13.028,0.239765,0.243566,0.248942,0.240982,0.202396,0.194736,0.216428,0.195905,0.240948,0.260704,0.251704,0.253426,0.260737,0.230847,0.226383,0.229103,0.237626,0.232961,0.279072,0.261943,0.293978,0.259934,0.255148,0.250508,0.245594,0.241165,0.232636,0.236331,0.233354,0.23975,0.243238,0.205676,0.223732,0.208682,0.24044,0.215307,0.219654,0.243432,0.197782,0.184215,0.216404,0.210642,0.25635,0.239741,0.232017,0.226695,0.245699,0.225226,0.24205,0.247761,0.254443,0.242354,0.213177,0.20437,0.206122,0.188402,0.177779,0.210928,0.18884
-12.528,0.252839,0.258516,0.262716,0.254789,0.213453,0.207193,0.226194,0.208441,0.25479,0.273495,0.267679,0.267996,0.274602,0.250593,0.240918,0.248941,0.257127,0.253194,0.29653,0.276101,0.308492,0.27359,0.27193,0.263097,0.259743,0.259252,0.242046,0.248627,0.248685,0.258733,0.260687,0.219866,0.239052,0.221636,0.254946,0.232833,0.228245,0.254114,0.214577,0.198877,0.232175,0.226959,0.275765,0.260118,0.245932,0.243343,0.260531,0.23921,0.257808,0.2633,0.273561,0.259601,0.229256,0.222413,0.217515,0.201491,0.188244,0.225198,0.200677
-12.028,0.268985,0.276151,0.277867,0.271427,0.228956,0.223016,0.238344,0.224231,0.271036,0.288366,0.28537,0.28454,0.289024,0.272869,0.25652,0.272475,0.27593,0.275546,0.314943,0.29207,0.323266,0.288174,0.289326,0.279064,0.277543,0.281153,0.253045,0.261435,0.266548,0.279436,0.279813,0.23519,0.255699,0.23606,0.270452,0.250567,0.239198,0.266645,0.234655,0.21576,0.251309,0.245853,0.297908,0.284139,0.261268,0.262013,0.278357,0.255427,0.273438,0.278371,0.293553,0.277796,0.247092,0.242914,0.230002,0.216332,0.199586,0.241351,0.213367
-11.528,0.288902,0.297446,0.296573,0.291582,0.248812,0.243242,0.255099,0.244241,0.290162,0.306442,0.305549,0.304084,0.306163,0.297907,0.274097,0.297571,0.29632,0.300089,0.335332,0.311325,0.341281,0.305565,0.308866,0.298315,0.299078,0.306901,0.267661,0.276767,0.288648,0.303682,0.302231,0.252744,0.275125,0.252855,0.288063,0.269117,0.253508,0.280532,0.257472,0.235216,0.275045,0.268346,0.322877,0.311196,0.279524,0.282964,0.299893,0.274692,0.290244,0.294426,0.315654,0.296922,0.26671,0.264745,0.24478,0.233632,0.212869,0.260618,0.227741
-11.028,0.311153,0.31956,0.318265,0.313378,0.271022,0.265935,0.275347,0.266834,0.31069,0.326573,0.32732,0.325576,0.326495,0.324466,0.294113,0.322391,0.31943,0.32573,0.357639,0.333708,0.363255,0.326148,0.330547,0.318943,0.321691,0.334446,0.285586,0.294547,0.31315,0.33053,0.327238,0.271856,0.296701,0.271761,0.307938,0.288561,0.269918,0.295023,0.281455,0.256393,0.302011,0.292818,0.348879,0.339085,0.300646,0.305091,0.323809,0.296205,0.307716,0.311539,0.338615,0.31592,0.28642,0.286334,0.261647,0.252855,0.227987,0.282053,0.243841
-10.528,0.333102,0.338855,0.340073,0.333838,0.293298,0.288626,0.296461,0.289675,0.330195,0.346088,0.348464,0.346307,0.348451,0.349885,0.315226,0.344677,0.343539,0.350615,0.380888,0.357309,0.387432,0.348724,0.353029,0.338248,0.342798,0.360141,0.303983,0.312531,0.336218,0.357502,0.352838,0.291265,0.317904,0.291126,0.329085,0.308693,0.285577,0.309433,0.305012,0.277943,0.329096,0.316323,0.372935,0.364111,0.323084,0.326634,0.347914,0.318161,0.324887,0.328326,0.358755,0.333501,0.3039,0.305399,0.27903,0.273032,0.243775,0.303699,0.260928
-10.028,0.35121,0.352783,0.357916,0.349734,0.313098,0.308529,0.315515,0.309254,0.345516,0.36139,0.365781,0.362425,0.36833,0.370375,0.334589,0.361917,0.36399,0.371856,0.402394,0.378389,0.409737,0.370159,0.373747,0.352949,0.359309,0.378905,0.31822,0.326923,0.352656,0.380098,0.375351,0.308494,0.33504,0.307711,0.347624,0.326972,0.297442,0.321317,0.325852,0.297861,0.351534,0.335139,0.39078,0.38156,0.343135,0.344899,0.368927,0.337853,0.338955,0.341758,0.372241,0.347296,0.315922,0.319336,0.294085,0.291988,0.258569,0.322216,0.277213
-9.52798,0.36429,0.363334,0.37028,0.360525,0.329756,0.325091,0.330672,0.324139,0.355642,0.370607,0.377337,0.372381,0.383934,0.383756,0.349746,0.37405,0.377216,0.387319,0.420393,0.394489,0.426812,0.387577,0.390622,0.361987,0.369522,0.388271,0.325731,0.335066,0.360022,0.395484,0.392548,0.32145,0.346869,0.320197,0.361435,0.341536,0.304716,0.328737,0.342564,0.314559,0.366392,0.347153,0.400444,0.389668,0.358054,0.358441,0.38488,0.353359,0.348936,0.350717,0.378598,0.356693,0.321332,0.327661,0.304952,0.307345,0.271498,0.335867,0.29135
-9.02798,0.374289,0.374664,0.378684,0.368476,0.344161,0.339924,0.343326,0.336066,0.361914,0.37515,0.383623,0.377308,0.395468,0.39218,0.360989,0.383645,0.383852,0.397475,0.434711,0.40606,0.438396,0.400535,0.403555,0.366541,0.374534,0.390506,0.327538,0.337657,0.360487,0.404843,0.405115,0.330132,0.354851,0.329353,0.371466,0.352184,0.309456,0.331912,0.355318,0.32799,0.373954,0.352897,0.402426,0.390528,0.367784,0.368368,0.395948,0.364571,0.356145,0.356487,0.380913,0.363068,0.322173,0.331506,0.311972,0.317921,0.283232,0.345565,0.302779
-8.52798,0.382805,0.387769,0.384628,0.375721,0.357486,0.354182,0.354312,0.347031,0.365472,0.37728,0.386121,0.378904,0.403739,0.399757,0.370231,0.393343,0.387019,0.40391,0.444869,0.414409,0.445423,0.409726,0.413355,0.367852,0.375627,0.389945,0.326789,0.336935,0.358087,0.41048,0.414085,0.335389,0.360083,0.335809,0.377963,0.358853,0.314861,0.332914,0.364866,0.33825,0.37508,0.3533,0.398418,0.387447,0.373643,0.375659,0.402303,0.371238,0.361717,0.360456,0.382584,0.367055,0.320975,0.33194,0.316259,0.323482,0.294493,0.352629,0.310813
-8.02798,0.391835,0.401375,0.390645,0.384766,0.371599,0.369652,0.365189,0.360157,0.3693,0.380864,0.388204,0.380838,0.411236,0.411152,0.381552,0.405375,0.39239,0.410149,0.452603,0.422954,0.451026,0.418333,0.423042,0.368725,0.376318,0.392281,0.328577,0.337535,0.359123,0.416588,0.422367,0.338655,0.363576,0.341435,0.382542,0.363514,0.324547,0.33664,0.374058,0.346817,0.372438,0.351069,0.394283,0.385471,0.378998,0.382521,0.406217,0.375028,0.368185,0.365077,0.386661,0.370548,0.321573,0.331673,0.32023,0.326677,0.306527,0.35969,0.316129
-7.52798,0.402297,0.413329,0.398945,0.396472,0.387806,0.386808,0.377103,0.376485,0.376852,0.388871,0.393085,0.385897,0.419771,0.427326,0.397493,0.419339,0.403549,0.419142,0.458784,0.432967,0.457264,0.4286,0.434741,0.371291,0.380271,0.400224,0.336566,0.344,0.368191,0.42588,0.432114,0.340477,0.365861,0.34768,0.385693,0.367443,0.340718,0.346859,0.384342,0.354537,0.36803,0.348349,0.39706,0.388315,0.386089,0.390358,0.409732,0.377663,0.376635,0.371217,0.393957,0.374939,0.327458,0.334432,0.325404,0.330544,0.318392,0.367072,0.319796
-7.02798,0.414167,0.423941,0.410851,0.41091,0.406285,0.405522,0.390767,0.395344,0.391355,0.402213,0.403227,0.395285,0.431448,0.446287,0.418215,0.435087,0.420693,0.433406,0.464261,0.444509,0.465404,0.44186,0.449793,0.377774,0.389733,0.414208,0.352255,0.359722,0.386269,0.439667,0.445501,0.342449,0.369079,0.356441,0.38845,0.372116,0.364681,0.36505,0.395112,0.361964,0.362172,0.345772,0.412735,0.399327,0.396437,0.400365,0.414524,0.381281,0.387413,0.378928,0.404708,0.381522,0.340638,0.344142,0.332659,0.33733,0.327447,0.373553,0.323759
-6.52798,0.427339,0.435688,0.424916,0.427468,0.426126,0.425238,0.406268,0.41456,0.414174,0.419332,0.419525,0.408998,0.447651,0.464757,0.440814,0.453272,0.440744,0.452886,0.470798,0.457999,0.475842,0.458693,0.468934,0.3897,0.405362,0.433851,0.374598,0.384591,0.410256,0.45794,0.464141,0.348424,0.376151,0.369739,0.393148,0.379344,0.394618,0.390355,0.405148,0.369951,0.355338,0.343402,0.439925,0.420626,0.410264,0.413877,0.421402,0.388314,0.400427,0.387308,0.418543,0.391987,0.360728,0.362435,0.34248,0.34736,0.331814,0.378344,0.329695
-6.02798,0.442256,0.451405,0.438612,0.445647,0.446391,0.446028,0.422251,0.43277,0.443139,0.438363,0.441518,0.426355,0.468369,0.481449,0.462517,0.474325,0.46112,0.474598,0.480677,0.474327,0.488395,0.478575,0.491943,0.407027,0.426966,0.458888,0.401851,0.41497,0.435177,0.480054,0.488,0.363775,0.389166,0.388336,0.40316,0.390757,0.42622,0.420561,0.41535,0.380186,0.350936,0.34331,0.471808,0.451009,0.427428,0.431608,0.43124,0.399878,0.414536,0.396365,0.434748,0.407255,0.385087,0.387234,0.355618,0.360374,0.333154,0.38278,0.3379
-5.52798,0.461977,0.473578,0.455092,0.46823,0.467055,0.470033,0.439554,0.452285,0.474976,0.461102,0.468573,0.44858,0.495048,0.499496,0.485163,0.499528,0.483345,0.49714,0.497318,0.495958,0.504437,0.50162,0.518233,0.430033,0.455299,0.489468,0.434109,0.447029,0.459079,0.506787,0.515109,0.392135,0.409901,0.413353,0.422636,0.40881,0.457529,0.454235,0.429509,0.395083,0.356088,0.350572,0.503271,0.487256,0.449613,0.455292,0.447124,0.4165,0.430203,0.409602,0.453963,0.427653,0.411138,0.414534,0.373783,0.377216,0.338196,0.391607,0.348493
-5.02798,0.490913,0.504731,0.481912,0.500937,0.491765,0.500983,0.462927,0.478417,0.508957,0.492917,0.502894,0.478775,0.529552,0.525015,0.514784,0.531491,0.511829,0.523509,0.524248,0.52589,0.528027,0.529446,0.547818,0.461718,0.492798,0.526138,0.473594,0.481152,0.485464,0.540113,0.54351,0.432727,0.440744,0.44761,0.454412,0.436821,0.491293,0.491203,0.452206,0.418021,0.378963,0.370762,0.534522,0.527113,0.480335,0.488319,0.473371,0.439819,0.451193,0.432631,0.478346,0.453872,0.43938,0.444043,0.399328,0.400507,0.354821,0.4103,0.362849
-4.52798,0.532795,0.547139,0.52503,0.546322,0.524867,0.541034,0.499051,0.516626,0.546537,0.536469,0.544289,0.518505,0.572469,0.562948,0.556695,0.573196,0.550204,0.558173,0.562326,0.564176,0.562167,0.563999,0.581253,0.503479,0.539448,0.569556,0.520723,0.52005,0.520434,0.58065,0.575133,0.482142,0.483605,0.492429,0.498619,0.476723,0.531643,0.531589,0.485061,0.450872,0.421048,0.404477,0.569819,0.571148,0.52234,0.531682,0.511673,0.473169,0.482663,0.470042,0.510628,0.486992,0.472252,0.475643,0.434029,0.432523,0.386482,0.440381,0.38383
-4.02798,0.584473,0.601296,0.583504,0.603099,0.569577,0.590068,0.55113,0.567454,0.58852,0.588328,0.591292,0.567157,0.620348,0.614434,0.611654,0.624126,0.597706,0.603233,0.608155,0.607332,0.60552,0.606005,0.618098,0.555924,0.592741,0.619742,0.572534,0.566003,0.567181,0.627266,0.61335,0.535316,0.537754,0.546187,0.551542,0.526242,0.579699,0.574934,0.529662,0.494086,0.474883,0.44961,0.611687,0.617687,0.573226,0.581357,0.561414,0.515475,0.525972,0.521385,0.551105,0.527033,0.511667,0.512539,0.474554,0.472529,0.427398,0.4785,0.413319
-3.52798,0.638986,0.660619,0.646432,0.664198,0.621479,0.643939,0.614278,0.626697,0.632298,0.639327,0.636888,0.617567,0.66547,0.674334,0.670489,0.680475,0.649111,0.654163,0.656274,0.65048,0.651914,0.650833,0.656043,0.612354,0.646818,0.672275,0.624527,0.616219,0.621975,0.673319,0.656,0.590203,0.596655,0.603155,0.607477,0.579207,0.630741,0.618846,0.578657,0.54098,0.530624,0.498584,0.656838,0.663851,0.627137,0.630805,0.615251,0.564426,0.575668,0.577447,0.596362,0.571615,0.555885,0.553263,0.517597,0.516089,0.470569,0.517753,0.451859
-3.02798,0.686228,0.715865,0.7001,0.721123,0.673241,0.697448,0.67688,0.68539,0.673001,0.682771,0.676481,0.662708,0.703297,0.732292,0.722387,0.731489,0.696695,0.701797,0.699702,0.687804,0.693536,0.692105,0.690551,0.663691,0.69576,0.720241,0.673518,0.664523,0.675481,0.710746,0.692946,0.642592,0.650716,0.656147,0.660375,0.627537,0.676147,0.658847,0.625759,0.585417,0.580702,0.545422,0.698998,0.703704,0.67735,0.671488,0.664911,0.61148,0.620824,0.627395,0.63981,0.616182,0.599816,0.594388,0.558629,0.557248,0.507787,0.552385,0.495443
-2.52798,0.720251,0.756661,0.735137,0.766876,0.712411,0.741118,0.724699,0.731148,0.704855,0.715378,0.708695,0.69686,0.731543,0.773881,0.755086,0.767535,0.731737,0.73556,0.730553,0.713646,0.724297,0.721829,0.716665,0.701406,0.734075,0.754703,0.713009,0.703108,0.715826,0.734023,0.713148,0.684386,0.688997,0.696948,0.700804,0.6644,0.707791,0.688092,0.660329,0.617208,0.61991,0.58448,0.73165,0.73147,0.717899,0.700563,0.700664,0.646095,0.651562,0.661418,0.673239,0.65381,0.636775,0.630541,0.591678,0.590122,0.534626,0.577439,0.537289
-2.02798,0.740742,0.775686,0.750384,0.794863,0.729951,0.763358,0.747733,0.752294,0.723647,0.734062,0.729152,0.715805,0.747288,0.789369,0.764682,0.78283,0.747928,0.75087,0.7439,0.725926,0.741366,0.736577,0.732332,0.71801,0.755211,0.768359,0.736065,0.725179,0.736693,0.741636,0.715512,0.707483,0.704347,0.716172,0.720702,0.683493,0.722156,0.700959,0.671265,0.627938,0.642969,0.607971,0.751045,0.7481,0.744659,0.717802,0.714775,0.663221,0.666816,0.67595,0.691822,0.679333,0.659919,0.653631,0.612331,0.609812,0.551059,0.589361,0.57041
-1.52798,0.747603,0.775135,0.751579,0.80405,0.728522,0.761528,0.746093,0.744478,0.728344,0.738752,0.736397,0.721383,0.75053,0.780708,0.758528,0.778435,0.746505,0.750011,0.740531,0.7278,0.746056,0.739758,0.73875,0.715731,0.75834,0.762366,0.741491,0.730511,0.739976,0.739025,0.708926,0.707952,0.697476,0.712957,0.718814,0.681794,0.722648,0.698464,0.662316,0.619975,0.647934,0.613416,0.759214,0.756067,0.756674,0.723163,0.710201,0.661912,0.67201,0.677009,0.696942,0.691514,0.668553,0.66308,0.615699,0.61471,0.556973,0.588743,0.589751
-1.02798,0.745838,0.764634,0.748358,0.799086,0.715217,0.742715,0.730229,0.718587,0.721119,0.732798,0.731745,0.71764,0.744819,0.760312,0.746293,0.76563,0.736767,0.740773,0.729212,0.725602,0.74259,0.736721,0.739648,0.704209,0.749711,0.747351,0.734925,0.725324,0.734492,0.734085,0.704211,0.69326,0.678625,0.695515,0.702675,0.664548,0.71766,0.688211,0.642235,0.60052,0.63796,0.604518,0.760239,0.756651,0.757797,0.722361,0.696114,0.650182,0.673957,0.673572,0.694343,0.692034,0.666393,0.661945,0.606515,0.60943,0.555709,0.579495,0.596521
