Arc_length vs Data,001_16months_DTI_antsBM,001_20months_DTI_antsBM,001_24months_DTI_antsBM,001_28months_DTI_antsBM,002_16months_DTI_antsBM,002_20months_DTI_antsBM,002_24months_DTI_antsBM,002_28months_DTI_antsBM,004_16months_DTI_antsBM,004_20months_DTI_antsBM,004_24months_DTI_antsBM,004_28months_DTI_antsBM,004_32months_DTI_antsBM,005_20months_DTI_antsBM,005_24months_DTI_antsBM,005_28months_DTI_antsBM,005_32months_DTI_antsBM,005_36months_DTI_antsBM,006_20months_DTI_antsBM,006_24months_DTI_antsBM,006_28months_DTI_antsBM,006_32months_DTI_antsBM,006_36months_DTI_antsBM,007_16months_DTI_antsBM,007_20months_DTI_antsBM,007_24months_DTI_antsBM,008_16months_DTI_antsBM,008_20months_DTI_antsBM,008_24months_DTI_antsBM,010_18months_DTI_antsBM,010_22months_DTI_antsBM,011_16months_DTI_antsBM,011_20months_DTI_antsBM,011_24months_DTI_antsBM,011_28months_DTI_antsBM,011_32months_DTI_antsBM,012_18months_DTI_antsBM,012_22months_DTI_antsBM,013_17months_DTI_antsBM,013_21months_DTI_antsBM,014_17months_DTI_antsBM,014_21months_DTI_antsBM,016_16months_DTI_antsBM,016_20months_DTI_antsBM,017_15months_DTI_antsBM,017_19months_DTI_antsBM,018_15months_DTI_antsBM,018_19months_DTI_antsBM,019_16months_DTI_antsBM,019_20months_DTI_antsBM,026_15months_DTI_antsBM,026_19months_DTI_antsBM,027_15months_DTI_antsBM,027_19months_DTI_antsBM,029_16months_DTI_antsBM,029_20months_DTI_antsBM,030_16months_DTI_antsBM,030_20months_DTI_antsBM,Atlas
-31.0576,0.178011,0.152622,0.156769,0.159471,0.134678,0.153643,0.149015,0.144052,0.137246,0.128772,0.144414,0.125912,0.122242,0.149814,0.158703,0.142581,0.1623,0.142519,0.154674,0.126686,0.128125,0.122944,0.145477,0.169025,0.170152,0.145045,0.11727,0.137305,0.100602,0.15414,0.218876,0.151919,0.148138,0.157697,0.150899,0.136485,0.165798,0.112392,0.0881988,0.0759508,0.149604,0.146064,0.17209,0.17678,0.178037,0.194015,0.181858,0.172172,0.165019,0.168869,0.158077,0.148297,0.128029,0.112536,0.146616,0.155451,0.11452,0.131194,0.128732
-30.5576,0.180733,0.172796,0.169403,0.174847,0.130135,0.129079,0.137832,0.14146,0.133097,0.115844,0.14173,0.137523,0.131168,0.170786,0.158032,0.169169,0.157878,0.14567,0.158367,0.136066,0.133469,0.139371,0.161236,0.179553,0.173318,0.159661,0.124731,0.140633,0.122604,0.145654,0.162612,0.161422,0.159245,0.162618,0.15616,0.138982,0.154327,0.108596,0.131539,0.124182,0.13395,0.125554,0.168179,0.183714,0.136099,0.157922,0.164396,0.141774,0.169155,0.159229,0.142422,0.150982,0.131029,0.204477,0.137726,0.151658,0.10134,0.122651,0.128123
-30.0576,0.180275,0.186887,0.176767,0.190634,0.129853,0.116204,0.140504,0.146423,0.134179,0.1452,0.154086,0.154435,0.147115,0.182544,0.156443,0.180863,0.151498,0.148054,0.170341,0.14469,0.145331,0.158806,0.171434,0.180477,0.166752,0.17308,0.139863,0.145476,0.143203,0.150434,0.148436,0.173477,0.169014,0.168718,0.164568,0.148888,0.151071,0.116471,0.166189,0.165637,0.132508,0.122525,0.181711,0.176626,0.116551,0.149718,0.160667,0.132351,0.166959,0.159543,0.134421,0.150742,0.142822,0.229206,0.140017,0.153208,0.107046,0.129298,0.131705
-29.5576,0.181543,0.195588,0.182901,0.198097,0.138042,0.125518,0.152745,0.157023,0.140085,-nan,0.16091,0.164438,0.157224,0.189918,0.160264,0.185343,0.155858,0.155903,0.181153,0.150031,0.159672,0.170433,0.17754,0.182524,0.163003,0.17952,0.154304,0.153745,0.15819,0.158533,0.156725,0.184682,0.179181,0.176469,0.171392,0.160929,0.157493,0.132007,0.179217,0.180115,0.144773,0.13309,0.173671,0.176774,0.127383,0.163306,0.168652,0.139887,0.166771,0.166301,0.141189,0.156783,0.150185,0.196959,0.14994,0.161579,0.12131,0.142549,0.13881
-29.0576,0.184708,0.203361,0.189434,0.19683,0.148027,0.139431,0.16417,0.168652,0.147973,-nan,0.166339,0.17228,0.164496,0.197982,0.167299,0.189533,0.164121,0.166348,0.191956,0.156462,0.174508,0.179034,0.183261,0.185041,0.163191,0.183052,0.167992,0.163549,0.172885,0.167432,0.167045,0.192739,0.188089,0.184285,0.176696,0.170044,0.165846,0.149156,0.186904,0.186038,0.161456,0.147773,0.162784,0.177184,0.144883,0.182285,0.177965,0.151193,0.168876,0.171555,0.152305,0.164784,0.153941,0.184704,0.159481,0.170919,0.136296,0.157684,0.145576
-28.5576,0.186587,0.207006,0.191537,0.19046,0.159831,0.15301,0.174069,0.178441,0.157997,-nan,0.171114,0.178414,0.170985,0.205311,0.175381,0.193902,0.173843,0.176768,0.200371,0.16393,0.188332,0.187517,0.187209,0.186769,0.169272,0.184219,0.179276,0.174019,0.18708,0.175995,0.176453,0.200707,0.197954,0.194424,0.184914,0.178808,0.174361,0.165373,0.193375,0.189575,0.178704,0.162658,0.160535,0.181962,0.162433,0.201629,0.186307,0.16274,0.16941,0.172796,0.165544,0.174926,0.157416,0.176181,0.167634,0.179147,0.149124,0.172615,0.151243
-28.0576,0.186585,0.203754,0.188595,0.182771,0.171486,0.164854,0.181546,0.185523,0.168985,-nan,0.175319,0.18225,0.176196,0.210545,0.183461,0.1986,0.183668,0.185043,0.203296,0.169024,0.198447,0.193908,0.189083,0.187112,0.178453,0.183781,0.184852,0.183436,0.197501,0.181024,0.182779,0.207669,0.207782,0.204495,0.193651,0.186309,0.180967,0.174206,0.19759,0.190982,0.194368,0.177275,0.167267,0.190717,0.177345,0.217495,0.192026,0.172314,0.168349,0.171543,0.177559,0.184864,0.164048,0.173164,0.172207,0.183197,0.157648,0.18457,0.155739
-27.5576,0.18624,0.197693,0.185719,0.179322,0.181652,0.174944,0.187286,0.191084,0.18056,0.170409,0.180625,0.185687,0.181325,0.215283,0.191243,0.204982,0.192057,0.192082,0.202551,0.173675,0.203828,0.199132,0.190709,0.1896,0.188663,0.186541,0.186007,0.18772,0.202549,0.183594,0.18509,0.21415,0.216803,0.213852,0.202613,0.193482,0.186018,0.177848,0.201182,0.192982,0.205071,0.187889,0.182769,0.199144,0.18466,0.224865,0.194705,0.177008,0.169178,0.171882,0.187235,0.193313,0.172618,0.180014,0.174275,0.184806,0.161552,0.191498,0.159607
-27.0576,0.186601,0.192287,0.186201,0.182622,0.189498,0.183892,0.19286,0.195887,0.189945,0.178277,0.18635,0.188657,0.18598,0.219956,0.198551,0.212331,0.19986,0.199156,0.200091,0.178456,0.205622,0.203396,0.193338,0.195284,0.198568,0.194606,0.18666,0.191017,0.203393,0.184802,0.185375,0.220424,0.22446,0.22241,0.212394,0.201346,0.190366,0.180484,0.204486,0.195598,0.209227,0.191953,0.20079,0.20665,0.184608,0.223072,0.195445,0.177594,0.172836,0.175752,0.19531,0.200265,0.181997,0.185634,0.175602,0.185269,0.161369,0.192389,0.163009
-26.5576,0.190259,0.192396,0.193349,0.192207,0.196009,0.1932,0.200327,0.202099,0.195987,0.189117,0.192239,0.191927,0.190278,0.227112,0.206943,0.221454,0.209476,0.209174,0.201353,0.185537,0.208043,0.208785,0.200016,0.206073,0.208663,0.209674,0.191029,0.19616,0.204429,0.188157,0.187499,0.226021,0.230748,0.230566,0.223334,0.210228,0.196452,0.186958,0.208501,0.199092,0.208736,0.190911,0.21711,0.212499,0.181839,0.215937,0.19726,0.177721,0.181006,0.18457,0.204544,0.207258,0.191085,0.191178,0.178725,0.187626,0.159587,0.190191,0.166542
