Arc_length vs Data,001_16months_DTI_antsBM,001_20months_DTI_antsBM,001_24months_DTI_antsBM,001_28months_DTI_antsBM,002_16months_DTI_antsBM,002_20months_DTI_antsBM,002_24months_DTI_antsBM,002_28months_DTI_antsBM,004_16months_DTI_antsBM,004_20months_DTI_antsBM,004_24months_DTI_antsBM,004_28months_DTI_antsBM,004_32months_DTI_antsBM,005_20months_DTI_antsBM,005_24months_DTI_antsBM,005_28months_DTI_antsBM,005_32months_DTI_antsBM,005_36months_DTI_antsBM,006_20months_DTI_antsBM,006_24months_DTI_antsBM,006_28months_DTI_antsBM,006_32months_DTI_antsBM,006_36months_DTI_antsBM,007_16months_DTI_antsBM,007_20months_DTI_antsBM,007_24months_DTI_antsBM,008_16months_DTI_antsBM,008_20months_DTI_antsBM,008_24months_DTI_antsBM,010_18months_DTI_antsBM,010_22months_DTI_antsBM,011_16months_DTI_antsBM,011_20months_DTI_antsBM,011_24months_DTI_antsBM,011_28months_DTI_antsBM,011_32months_DTI_antsBM,012_18months_DTI_antsBM,012_22months_DTI_antsBM,013_17months_DTI_antsBM,013_21months_DTI_antsBM,014_17months_DTI_antsBM,014_21months_DTI_antsBM,016_16months_DTI_antsBM,016_20months_DTI_antsBM,017_15months_DTI_antsBM,017_19months_DTI_antsBM,018_15months_DTI_antsBM,018_19months_DTI_antsBM,019_16months_DTI_antsBM,019_20months_DTI_antsBM,026_15months_DTI_antsBM,026_19months_DTI_antsBM,027_15months_DTI_antsBM,027_19months_DTI_antsBM,029_16months_DTI_antsBM,029_20months_DTI_antsBM,030_16months_DTI_antsBM,030_20months_DTI_antsBM,Atlas
-20.1959,0.165085,0.19664,0.166976,0.185137,0.16794,0.143833,0.17452,0.169125,0.198213,0.157374,0.181624,0.177976,0.17982,0.193829,0.193191,0.179587,0.16618,0.172855,0.146444,0.140409,0.157635,0.1652,0.185273,0.165266,0.177018,0.182752,0.200063,0.203112,0.213279,0.21384,0.193463,0.20169,0.200858,0.19651,0.196724,0.170729,0.204159,0.195616,0.138742,0.129758,0.213403,0.191015,0.165224,0.146497,0.121648,0.124756,0.174157,0.163783,0.181527,0.140215,0.204261,0.184107,0.127797,0.133004,0.136863,0.139942,0.14604,0.195574,0.124365
-19.6959,0.178586,0.209909,0.183746,0.19401,0.174063,0.162493,0.184991,0.177057,0.200043,0.169685,0.187504,0.190521,0.189297,0.19616,0.197312,0.193407,0.18149,0.181465,0.155711,0.148649,0.166966,0.177657,0.189732,0.170646,0.18343,0.188948,0.20151,0.208095,0.209915,0.218494,0.198831,0.196847,0.200859,0.193237,0.201013,0.18147,0.207465,0.203493,0.147937,0.140627,0.216044,0.196286,0.169639,0.159136,0.13164,0.133658,0.177188,0.173651,0.180405,0.149733,0.208473,0.189432,0.135866,0.136337,0.145214,0.147238,0.15484,0.204309,0.130588
-19.1959,0.186417,0.214033,0.192274,0.196446,0.176343,0.171353,0.187317,0.177422,0.197316,0.174724,0.187399,0.193589,0.193114,0.193014,0.193935,0.198358,0.187719,0.183596,0.160412,0.151656,0.168153,0.182208,0.191102,0.172411,0.187842,0.190869,0.200897,0.207523,0.203559,0.216976,0.199746,0.192387,0.19667,0.188358,0.200235,0.185051,0.205373,0.205851,0.151622,0.146112,0.213145,0.195452,0.172459,0.169148,0.137872,0.13913,0.17775,0.178825,0.175674,0.153342,0.20855,0.192325,0.138823,0.136972,0.148339,0.14897,0.156335,0.204975,0.138755
-18.6959,0.187734,0.211135,0.193442,0.193799,0.174651,0.173024,0.183108,0.172105,0.191199,0.173852,0.182205,0.189599,0.192538,0.186736,0.186354,0.19621,0.187437,0.18059,0.161081,0.150161,0.164005,0.180473,0.189156,0.171201,0.190072,0.189774,0.196668,0.201107,0.193906,0.209729,0.19693,0.186408,0.189066,0.180781,0.194403,0.183134,0.197201,0.202952,0.151318,0.147488,0.203453,0.18746,0.173306,0.176465,0.140418,0.142481,0.174713,0.179554,0.168505,0.153205,0.204759,0.191891,0.137128,0.134962,0.147519,0.14718,0.152592,0.200014,0.1469
-18.1959,0.182673,0.203172,0.190098,0.187175,0.169195,0.170764,0.175139,0.164348,0.182987,0.169046,0.17334,0.180585,0.188893,0.178699,0.177591,0.188768,0.183132,0.174949,0.159657,0.148193,0.15779,0.176066,0.186168,0.168885,0.189303,0.185928,0.188932,0.190388,0.182389,0.198011,0.192519,0.178434,0.17937,0.17121,0.185436,0.177188,0.185466,0.196322,0.149292,0.146799,0.187668,0.172885,0.171841,0.181655,0.140511,0.145427,0.168202,0.176401,0.158552,0.150596,0.196798,0.186656,0.132566,0.131907,0.143704,0.143787,0.146425,0.19115,0.153494
-17.6959,0.172117,0.191135,0.183055,0.177456,0.160563,0.166478,0.165273,0.155804,0.172902,0.162038,0.162285,0.168656,0.182794,0.16975,0.169109,0.176668,0.175628,0.168547,0.156298,0.146957,0.151524,0.170417,0.183067,0.165577,0.184939,0.17893,0.177601,0.176906,0.170251,0.184071,0.187381,0.168689,0.168774,0.160182,0.174636,0.168628,0.172092,0.186402,0.147477,0.144863,0.166919,0.153305,0.168328,0.183829,0.1387,0.148579,0.158254,0.169297,0.146394,0.144749,0.184741,0.175882,0.126108,0.128542,0.137919,0.139694,0.138969,0.179813,0.157665
-17.1959,0.16017,0.177409,0.173913,0.166873,0.15236,0.162348,0.156953,0.148308,0.162478,0.155128,0.152308,0.157201,0.175854,0.163184,0.164213,0.163709,0.166955,0.163975,0.151648,0.147439,0.14728,0.164744,0.181118,0.162243,0.177259,0.169674,0.163769,0.163049,0.160126,0.171595,0.183199,0.159527,0.160111,0.150417,0.164324,0.160266,0.160257,0.175205,0.148138,0.142961,0.145591,0.13353,0.164483,0.182877,0.136778,0.152443,0.147382,0.159766,0.134875,0.136375,0.170679,0.161767,0.120803,0.126625,0.132142,0.136956,0.132381,0.168465,0.157995
-16.6959,0.155292,0.169842,0.168627,0.161169,0.151854,0.163536,0.15697,0.146585,0.156316,0.153358,0.149874,0.152621,0.172409,0.164313,0.166995,0.159244,0.162824,0.166145,0.148968,0.151651,0.148945,0.162858,0.184055,0.162278,0.17017,0.162324,0.15383,0.155635,0.157699,0.168361,0.183479,0.157004,0.159241,0.147996,0.160423,0.157089,0.15757,0.168997,0.154211,0.143909,0.135243,0.125093,0.165356,0.18128,0.138241,0.157422,0.142146,0.153003,0.13,0.12892,0.161365,0.152552,0.12263,0.129635,0.13061,0.139102,0.131974,0.163104,0.15482
-16.1959,0.161864,0.172088,0.169783,0.16291,0.161645,0.170957,0.16558,0.151394,0.155437,0.157546,0.155489,0.154678,0.174325,0.171716,0.173401,0.166105,0.16607,0.174025,0.150937,0.158495,0.156007,0.165725,0.192731,0.167088,0.169427,0.160167,0.153091,0.157443,0.162576,0.176186,0.188262,0.163828,0.166452,0.153583,0.163333,0.159537,0.164275,0.170995,0.163174,0.148101,0.138653,0.130444,0.174782,0.183946,0.144429,0.163667,0.145727,0.152624,0.133181,0.125555,0.161078,0.154437,0.132093,0.137623,0.13439,0.146076,0.137865,0.165139,0.153011
-15.6959,0.17728,0.183368,0.177012,0.171685,0.178101,0.182562,0.180113,0.163708,0.159211,0.165128,0.165837,0.159711,0.181116,0.180244,0.177675,0.179657,0.176035,0.183645,0.159811,0.168551,0.16815,0.174781,0.207148,0.176492,0.177058,0.16446,0.16295,0.16831,0.172823,0.192814,0.196771,0.179071,0.179342,0.164657,0.170746,0.166205,0.1768,0.180894,0.170612,0.154205,0.151078,0.144097,0.193085,0.193758,0.154159,0.171346,0.156841,0.158557,0.141715,0.128451,0.169695,0.166351,0.145388,0.149155,0.141524,0.156071,0.147735,0.172963,0.155195
