Arc_length vs Data,001_16months_DTI_antsBM,001_20months_DTI_antsBM,001_24months_DTI_antsBM,001_28months_DTI_antsBM,002_16months_DTI_antsBM,002_20months_DTI_antsBM,002_24months_DTI_antsBM,002_28months_DTI_antsBM,004_16months_DTI_antsBM,004_20months_DTI_antsBM,004_24months_DTI_antsBM,004_28months_DTI_antsBM,004_32months_DTI_antsBM,005_20months_DTI_antsBM,005_24months_DTI_antsBM,005_28months_DTI_antsBM,005_32months_DTI_antsBM,005_36months_DTI_antsBM,006_20months_DTI_antsBM,006_24months_DTI_antsBM,006_28months_DTI_antsBM,006_32months_DTI_antsBM,006_36months_DTI_antsBM,007_16months_DTI_antsBM,007_20months_DTI_antsBM,007_24months_DTI_antsBM,008_16months_DTI_antsBM,008_20months_DTI_antsBM,008_24months_DTI_antsBM,010_18months_DTI_antsBM,010_22months_DTI_antsBM,011_16months_DTI_antsBM,011_20months_DTI_antsBM,011_24months_DTI_antsBM,011_28months_DTI_antsBM,011_32months_DTI_antsBM,012_18months_DTI_antsBM,012_22months_DTI_antsBM,013_17months_DTI_antsBM,013_21months_DTI_antsBM,014_17months_DTI_antsBM,014_21months_DTI_antsBM,016_16months_DTI_antsBM,016_20months_DTI_antsBM,017_15months_DTI_antsBM,017_19months_DTI_antsBM,018_15months_DTI_antsBM,018_19months_DTI_antsBM,019_16months_DTI_antsBM,019_20months_DTI_antsBM,026_15months_DTI_antsBM,026_19months_DTI_antsBM,027_15months_DTI_antsBM,027_19months_DTI_antsBM,029_16months_DTI_antsBM,029_20months_DTI_antsBM,030_16months_DTI_antsBM,030_20months_DTI_antsBM,Atlas
-20.2523,0.2034,0.204922,0.194052,0.192161,0.180636,0.182648,0.169005,0.191314,0.181799,0.160973,0.164336,0.200292,0.168182,0.169747,0.179709,0.184765,0.176201,0.169043,0.162318,0.160869,0.153681,0.164567,0.204139,0.223,0.204611,0.20535,0.19396,0.200061,0.207219,0.203517,0.204295,0.18861,0.199889,0.179819,0.1877,0.178568,0.169003,0.180694,0.185152,0.158257,0.213875,0.194826,0.174685,0.179573,0.154809,0.139769,0.166218,0.162364,0.167465,0.152409,0.195242,0.195844,0.140907,0.150194,0.12884,0.1401,0.151152,0.182971,0.126843
-19.7523,0.205627,0.210247,0.20209,0.197591,0.188648,0.186559,0.181755,0.20216,0.184629,0.169518,0.17041,0.20227,0.176709,0.179535,0.189079,0.189525,0.182743,0.177682,0.167669,0.167824,0.16248,0.175504,0.208476,0.225848,0.21367,0.205487,0.193686,0.207718,0.204078,0.205656,0.209748,0.187218,0.20123,0.183443,0.19422,0.186814,0.174659,0.188616,0.186554,0.163498,0.217625,0.196041,0.18496,0.191594,0.160367,0.146847,0.167712,0.165997,0.170521,0.156813,0.201024,0.200828,0.147336,0.155181,0.135682,0.145823,0.155623,0.188024,0.135332
-19.2523,0.200439,0.204887,0.199076,0.196195,0.187026,0.179468,0.182065,0.198594,0.178086,0.171169,0.168923,0.194841,0.173516,0.177529,0.188474,0.184537,0.181677,0.177381,0.164053,0.16558,0.162657,0.178332,0.205688,0.21962,0.211638,0.200304,0.187487,0.206694,0.196064,0.2011,0.207056,0.181203,0.196576,0.180738,0.191659,0.184068,0.172336,0.18799,0.181602,0.161483,0.212615,0.190962,0.184784,0.195149,0.159069,0.149367,0.164523,0.165964,0.167433,0.155284,0.197116,0.198395,0.145449,0.152945,0.135711,0.143827,0.151923,0.184218,0.142746
-18.7523,0.190284,0.195305,0.192149,0.191634,0.182877,0.170055,0.177298,0.190728,0.169848,0.171122,0.164616,0.183969,0.168232,0.172112,0.184514,0.177157,0.178869,0.17432,0.15863,0.161926,0.161636,0.179377,0.201233,0.208636,0.204863,0.192113,0.178875,0.200173,0.186613,0.194119,0.200682,0.173935,0.18858,0.174575,0.185257,0.17652,0.167566,0.184354,0.173686,0.157837,0.202033,0.182274,0.181364,0.197032,0.155222,0.151023,0.158974,0.163554,0.161155,0.149739,0.189673,0.191884,0.139942,0.147489,0.133746,0.140068,0.145188,0.177697,0.14893
-18.2523,0.176904,0.182824,0.182748,0.183901,0.176329,0.159464,0.167718,0.180099,0.160437,0.168971,0.158579,0.170826,0.162223,0.164807,0.177508,0.168665,0.174127,0.169604,0.152363,0.157035,0.160856,0.178805,0.196018,0.194138,0.195145,0.181144,0.167948,0.187992,0.176519,0.184395,0.191663,0.165456,0.178151,0.165078,0.176456,0.165445,0.161788,0.178299,0.16473,0.153217,0.185882,0.170309,0.175787,0.197331,0.148786,0.152337,0.152182,0.158894,0.152043,0.140607,0.179053,0.180521,0.132034,0.139449,0.13046,0.135265,0.136182,0.168754,0.153551
-17.7523,0.162151,0.169077,0.171762,0.173399,0.168218,0.14901,0.154942,0.166942,0.150629,0.163371,0.151558,0.157097,0.156908,0.156689,0.169083,0.159879,0.167863,0.164395,0.14658,0.151494,0.160095,0.176537,0.190786,0.177364,0.182152,0.168999,0.156265,0.171989,0.166743,0.172737,0.180987,0.156156,0.165777,0.15313,0.165938,0.15231,0.155135,0.170694,0.156914,0.148257,0.165301,0.155893,0.170587,0.194481,0.140669,0.153171,0.145243,0.152508,0.141215,0.129983,0.165647,0.164646,0.123467,0.129509,0.125556,0.13064,0.125541,0.15758,0.15576
-17.2523,0.152861,0.161535,0.164898,0.164197,0.163321,0.146404,0.146142,0.157752,0.145085,0.156588,0.147451,0.149391,0.156011,0.153037,0.164241,0.156176,0.164239,0.162242,0.14605,0.148972,0.160671,0.174413,0.188888,0.164237,0.172512,0.161015,0.147916,0.1589,0.161254,0.164881,0.173884,0.150006,0.155931,0.143135,0.158117,0.144032,0.152068,0.166074,0.155756,0.14632,0.147664,0.144388,0.173737,0.190625,0.135792,0.154943,0.142487,0.147125,0.132383,0.123021,0.155123,0.150839,0.119278,0.121335,0.121621,0.129961,0.117927,0.148908,0.155416
-16.7523,0.152935,0.16415,0.164688,0.159692,0.163499,0.154307,0.146566,0.156148,0.144553,0.151906,0.148235,0.149351,0.159038,0.155992,0.164354,0.159507,0.16649,0.164638,0.151069,0.150035,0.161343,0.173518,0.19178,0.158764,0.171773,0.160113,0.144944,0.154716,0.161155,0.164469,0.173768,0.148511,0.151967,0.138987,0.155278,0.143997,0.15484,0.166719,0.162345,0.148126,0.138944,0.13923,0.188136,0.187801,0.136522,0.158509,0.146247,0.14535,0.127414,0.121408,0.151052,0.145097,0.121417,0.117957,0.120189,0.133706,0.116265,0.144949,0.154827
-16.2523,0.161177,0.176501,0.171389,0.161967,0.168992,0.171288,0.157796,0.163319,0.149267,0.153331,0.153487,0.15526,0.165311,0.164672,0.167448,0.168852,0.176792,0.171348,0.159374,0.155536,0.162365,0.175714,0.199725,0.161728,0.181028,0.166402,0.148938,0.161131,0.166049,0.173617,0.1816,0.1531,0.155355,0.142343,0.158009,0.151017,0.163251,0.172942,0.17208,0.153407,0.141171,0.141181,0.207862,0.189547,0.142902,0.165018,0.154716,0.148856,0.126735,0.123616,0.155065,0.150645,0.127869,0.12067,0.122054,0.140277,0.121172,0.147334,0.156674
-15.7523,0.17406,0.19392,0.183362,0.169458,0.177329,0.192216,0.175665,0.177275,0.157923,0.161131,0.161148,0.163592,0.173785,0.17517,0.16915,0.181032,0.191235,0.17998,0.168569,0.165716,0.166341,0.182011,0.212326,0.171125,0.196243,0.176828,0.159745,0.173035,0.174782,0.189985,0.194517,0.163039,0.165168,0.151313,0.165192,0.161208,0.175262,0.182412,0.179546,0.160293,0.150904,0.147809,0.222888,0.198193,0.152053,0.174128,0.164465,0.1566,0.129283,0.126835,0.16508,0.163936,0.135478,0.128627,0.127975,0.147491,0.131216,0.155296,0.161389
