Arc_length vs Data,001_16months_DTI_antsBM,001_20months_DTI_antsBM,001_24months_DTI_antsBM,001_28months_DTI_antsBM,002_16months_DTI_antsBM,002_20months_DTI_antsBM,002_24months_DTI_antsBM,002_28months_DTI_antsBM,004_16months_DTI_antsBM,004_20months_DTI_antsBM,004_24months_DTI_antsBM,004_28months_DTI_antsBM,004_32months_DTI_antsBM,005_20months_DTI_antsBM,005_24months_DTI_antsBM,005_28months_DTI_antsBM,005_32months_DTI_antsBM,005_36months_DTI_antsBM,006_20months_DTI_antsBM,006_24months_DTI_antsBM,006_28months_DTI_antsBM,006_32months_DTI_antsBM,006_36months_DTI_antsBM,007_16months_DTI_antsBM,007_20months_DTI_antsBM,007_24months_DTI_antsBM,008_16months_DTI_antsBM,008_20months_DTI_antsBM,008_24months_DTI_antsBM,010_18months_DTI_antsBM,010_22months_DTI_antsBM,011_16months_DTI_antsBM,011_20months_DTI_antsBM,011_24months_DTI_antsBM,011_28months_DTI_antsBM,011_32months_DTI_antsBM,012_18months_DTI_antsBM,012_22months_DTI_antsBM,013_17months_DTI_antsBM,013_21months_DTI_antsBM,014_17months_DTI_antsBM,014_21months_DTI_antsBM,016_16months_DTI_antsBM,016_20months_DTI_antsBM,017_15months_DTI_antsBM,017_19months_DTI_antsBM,018_15months_DTI_antsBM,018_19months_DTI_antsBM,019_16months_DTI_antsBM,019_20months_DTI_antsBM,026_15months_DTI_antsBM,026_19months_DTI_antsBM,027_15months_DTI_antsBM,027_19months_DTI_antsBM,029_16months_DTI_antsBM,029_20months_DTI_antsBM,030_16months_DTI_antsBM,030_20months_DTI_antsBM,Atlas
-21.4606,0.215476,0.199739,0.196438,0.200267,0.203686,0.187013,0.180623,0.188231,0.170443,0.179336,0.17032,0.165899,0.163216,0.180012,0.195325,0.192473,0.178282,0.18759,0.185826,0.179693,0.188616,0.214349,0.198546,0.203793,0.196169,0.209772,0.165784,0.172306,0.163217,0.172984,0.186914,0.185233,0.166069,0.173358,0.175286,0.18405,0.164152,0.169328,0.172182,0.174818,0.163366,0.141244,0.185363,0.19232,0.178247,0.176096,0.195019,0.171203,0.18142,0.176024,0.15332,0.158684,0.164645,0.166909,0.157103,0.163227,0.147178,0.165213,0.130342
-20.9606,0.230397,0.216196,0.210945,0.220808,0.198494,0.191368,0.183757,0.192961,0.173051,0.185248,0.17385,0.171595,0.17614,0.193232,0.202074,0.200038,0.19507,0.203135,0.189432,0.182268,0.198629,0.211674,0.201718,0.205385,0.206255,0.214322,0.180965,0.186744,0.179425,0.181722,0.192137,0.195384,0.184,0.188941,0.195508,0.201271,0.178369,0.187621,0.178165,0.183357,0.185875,0.165104,0.210534,0.205958,0.195102,0.197419,0.200766,0.186105,0.198997,0.190754,0.178935,0.178834,0.174521,0.173304,0.167912,0.178359,0.150713,0.171123,0.130073
-20.4606,0.241721,0.231407,0.225881,0.23937,0.207764,0.199595,0.195114,0.204875,0.185968,0.198399,0.187326,0.183785,0.193343,0.213251,0.215299,0.212302,0.213011,0.218657,0.203907,0.198081,0.213094,0.217014,0.210972,0.21582,0.221909,0.227211,0.197962,0.201164,0.193744,0.201875,0.204367,0.20889,0.200656,0.204801,0.215959,0.216398,0.192502,0.202524,0.195194,0.198708,0.203696,0.182875,0.235711,0.22166,0.209083,0.212621,0.213161,0.201969,0.214917,0.205361,0.200038,0.19683,0.188546,0.184997,0.180468,0.191695,0.164217,0.183475,0.131188
-19.9606,0.253854,0.249101,0.24394,0.260002,0.227352,0.214005,0.212809,0.22278,0.203289,0.213805,0.205069,0.201133,0.212443,0.234591,0.233325,0.230449,0.230851,0.236116,0.226283,0.218617,0.232881,0.233684,0.228856,0.232968,0.242323,0.247985,0.216227,0.219121,0.210258,0.226214,0.222972,0.228206,0.219881,0.223692,0.237471,0.234683,0.210274,0.217774,0.219418,0.21931,0.22006,0.199358,0.26218,0.240672,0.224834,0.226502,0.229383,0.219657,0.232948,0.222463,0.221585,0.216582,0.20702,0.201713,0.197216,0.208501,0.182285,0.199822,0.138519
-19.4606,0.269101,0.271197,0.264802,0.283468,0.24948,0.234273,0.234978,0.244709,0.223888,0.232355,0.224758,0.222066,0.232627,0.25475,0.25281,0.251954,0.249863,0.255996,0.251116,0.241429,0.256742,0.258021,0.253748,0.254429,0.265947,0.272044,0.235311,0.240201,0.229454,0.252177,0.246508,0.251279,0.241384,0.245049,0.260185,0.257057,0.232101,0.236044,0.247174,0.242954,0.237306,0.216537,0.290561,0.263154,0.243924,0.242665,0.249144,0.239888,0.253034,0.243195,0.245363,0.237646,0.226025,0.22179,0.216084,0.227253,0.202595,0.219879,0.151232
-18.9606,0.288557,0.297589,0.289057,0.309356,0.274615,0.260591,0.263168,0.271212,0.248239,0.255047,0.246458,0.245861,0.255146,0.276008,0.273953,0.277712,0.272991,0.279185,0.279874,0.269267,0.285601,0.288956,0.286847,0.28017,0.294044,0.301098,0.256338,0.264271,0.252417,0.28219,0.275263,0.278601,0.266465,0.269948,0.287264,0.28433,0.258197,0.258666,0.280494,0.271685,0.257091,0.236801,0.323136,0.29021,0.267465,0.261996,0.274186,0.262836,0.275746,0.268039,0.272209,0.260917,0.24778,0.24605,0.23586,0.248077,0.225669,0.24383,0.168327
-18.4606,0.314411,0.329839,0.318486,0.338462,0.305634,0.292689,0.298641,0.303991,0.277516,0.282295,0.271298,0.273856,0.281564,0.300713,0.297494,0.308679,0.302976,0.307058,0.314804,0.305421,0.322053,0.327453,0.329268,0.312494,0.329156,0.337964,0.280901,0.292813,0.28228,0.318611,0.310266,0.310634,0.297442,0.299988,0.322048,0.316492,0.289568,0.287226,0.320809,0.306486,0.281471,0.263005,0.360149,0.32301,0.295828,0.285578,0.307473,0.290952,0.303362,0.297758,0.302475,0.288408,0.27471,0.275391,0.258206,0.272694,0.252941,0.272719,0.191416
-17.9606,0.343721,0.363603,0.348905,0.365202,0.340547,0.324601,0.336559,0.339018,0.30696,0.309966,0.296056,0.302457,0.308136,0.326214,0.3208,0.338793,0.335886,0.33588,0.35042,0.344731,0.362475,0.368141,0.373928,0.347119,0.36812,0.377584,0.305147,0.321529,0.315724,0.357951,0.347686,0.343137,0.329677,0.330109,0.358616,0.348227,0.323388,0.319121,0.360829,0.341651,0.308074,0.290998,0.393523,0.355786,0.324581,0.31044,0.345342,0.322211,0.332199,0.327114,0.332123,0.316192,0.303029,0.30682,0.27964,0.297143,0.280789,0.302219,0.217634
-17.4606,0.368183,0.389079,0.374371,0.382578,0.374469,0.349059,0.369299,0.369627,0.32961,0.331766,0.315726,0.326133,0.329927,0.349076,0.342548,0.363436,0.365509,0.362479,0.379487,0.378562,0.398751,0.401754,0.411658,0.376809,0.403628,0.410775,0.322591,0.342035,0.343929,0.39442,0.381062,0.368478,0.354896,0.353119,0.387296,0.372112,0.353529,0.348389,0.394713,0.371101,0.333013,0.31484,0.414207,0.381559,0.348139,0.330979,0.380334,0.350869,0.355773,0.348789,0.355735,0.339198,0.328849,0.335665,0.296618,0.317482,0.303726,0.325528,0.241491
-16.9606,0.383727,0.403556,0.39369,0.391597,0.402063,0.366519,0.39373,0.394176,0.344926,0.346223,0.330069,0.343541,0.346949,0.368863,0.362928,0.383497,0.38931,0.386101,0.401612,0.403981,0.42784,0.426389,0.438798,0.398783,0.430647,0.433949,0.333531,0.352511,0.362391,0.425207,0.409004,0.382963,0.369238,0.367741,0.403343,0.385851,0.378884,0.370821,0.422766,0.394136,0.354795,0.33168,0.423008,0.399277,0.366229,0.345723,0.408469,0.374173,0.371485,0.362915,0.372524,0.356943,0.351828,0.35952,0.310764,0.333464,0.319637,0.343251,0.261219
