Arc_length vs Data,001_16months_DTI_antsBM,001_20months_DTI_antsBM,001_24months_DTI_antsBM,001_28months_DTI_antsBM,002_16months_DTI_antsBM,002_20months_DTI_antsBM,002_24months_DTI_antsBM,002_28months_DTI_antsBM,004_16months_DTI_antsBM,004_20months_DTI_antsBM,004_24months_DTI_antsBM,004_28months_DTI_antsBM,004_32months_DTI_antsBM,005_20months_DTI_antsBM,005_24months_DTI_antsBM,005_28months_DTI_antsBM,005_32months_DTI_antsBM,005_36months_DTI_antsBM,006_20months_DTI_antsBM,006_24months_DTI_antsBM,006_28months_DTI_antsBM,006_32months_DTI_antsBM,006_36months_DTI_antsBM,007_16months_DTI_antsBM,007_20months_DTI_antsBM,007_24months_DTI_antsBM,008_16months_DTI_antsBM,008_20months_DTI_antsBM,008_24months_DTI_antsBM,010_18months_DTI_antsBM,010_22months_DTI_antsBM,011_16months_DTI_antsBM,011_20months_DTI_antsBM,011_24months_DTI_antsBM,011_28months_DTI_antsBM,011_32months_DTI_antsBM,012_18months_DTI_antsBM,012_22months_DTI_antsBM,013_17months_DTI_antsBM,013_21months_DTI_antsBM,014_17months_DTI_antsBM,014_21months_DTI_antsBM,016_16months_DTI_antsBM,016_20months_DTI_antsBM,017_15months_DTI_antsBM,017_19months_DTI_antsBM,018_15months_DTI_antsBM,018_19months_DTI_antsBM,019_16months_DTI_antsBM,019_20months_DTI_antsBM,026_15months_DTI_antsBM,026_19months_DTI_antsBM,027_15months_DTI_antsBM,027_19months_DTI_antsBM,029_16months_DTI_antsBM,029_20months_DTI_antsBM,030_16months_DTI_antsBM,030_20months_DTI_antsBM,Atlas
-24.7262,0.367561,0.402126,0.389276,0.397576,0.469203,0.452117,0.452812,0.428938,0.428334,0.399538,0.381646,0.436506,0.447471,0.378155,0.434803,0.397098,0.411661,0.423238,0.417417,0.395124,0.461332,0.440037,0.438144,0.408304,0.412789,0.463066,0.472772,0.461055,0.397917,0.424743,0.469111,0.460049,0.46689,0.427022,0.452817,0.421058,0.484477,0.401249,0.398942,0.359624,0.441677,0.40901,0.502637,0.435683,0.471708,0.444145,0.398655,0.359179,0.377699,0.433459,0.394879,0.355318,0.394276,0.36051,0.377458,0.363244,0.349475,0.398596,0.311258
-24.2262,0.413128,0.455354,0.423396,0.436573,0.513073,0.501956,0.511466,0.488724,0.471331,0.464372,0.433272,0.476829,0.494861,0.428804,0.480068,0.432975,0.465692,0.478554,0.470687,0.443586,0.520031,0.486586,0.491029,0.462175,0.477017,0.499617,0.51627,0.516211,0.442452,0.478039,0.515899,0.51526,0.524165,0.48657,0.507239,0.471527,0.507923,0.458125,0.470989,0.422569,0.481403,0.445816,0.53315,0.474235,0.487117,0.459928,0.463113,0.408261,0.422125,0.46707,0.432591,0.401204,0.442357,0.405201,0.424566,0.416344,0.391327,0.44387,0.361677
-23.7262,0.465062,0.504623,0.465348,0.473178,0.555902,0.545553,0.568712,0.547236,0.512872,0.518195,0.484341,0.514819,0.54076,0.481988,0.527134,0.472423,0.520216,0.531857,0.521809,0.496391,0.573823,0.530856,0.539271,0.513492,0.530802,0.536199,0.552857,0.568636,0.483925,0.527729,0.556374,0.568728,0.576556,0.541568,0.556113,0.525186,0.54071,0.507607,0.538177,0.483506,0.520936,0.480233,0.573077,0.519655,0.514254,0.482343,0.525877,0.460717,0.466135,0.502892,0.470564,0.446195,0.490447,0.448949,0.469581,0.466631,0.439499,0.491064,0.409029
-23.2262,0.512709,0.54806,0.51377,0.509805,0.592589,0.583581,0.61979,0.600451,0.552663,0.562223,0.532697,0.55076,0.581706,0.535764,0.571689,0.510828,0.570738,0.58081,0.56817,0.547598,0.619843,0.573385,0.582157,0.562598,0.574099,0.57244,0.584403,0.617851,0.522051,0.572112,0.595597,0.614902,0.62386,0.588235,0.603412,0.576305,0.574988,0.546673,0.59774,0.537526,0.559298,0.513161,0.610644,0.566632,0.545397,0.511049,0.583575,0.511832,0.510007,0.539796,0.509188,0.487344,0.534494,0.487217,0.510668,0.513656,0.488122,0.539007,0.453789
-22.7262,0.552464,0.58395,0.561504,0.544717,0.625848,0.617231,0.659179,0.64032,0.590809,0.599322,0.575807,0.585245,0.617046,0.58555,0.609456,0.545206,0.613064,0.617421,0.608314,0.591366,0.660131,0.610865,0.61408,0.604951,0.609549,0.60491,0.612982,0.657951,0.554871,0.610517,0.630795,0.653192,0.661497,0.629603,0.645081,0.618801,0.60868,0.577685,0.645361,0.580354,0.593254,0.543936,0.643867,0.608452,0.577229,0.543797,0.628551,0.55533,0.55163,0.574904,0.546864,0.522194,0.571702,0.51756,0.545834,0.555905,0.532204,0.583648,0.49494
-22.2262,0.585359,0.612396,0.604459,0.575524,0.657465,0.645892,0.6895,0.669114,0.627215,0.631423,0.613446,0.618448,0.647171,0.628289,0.641137,0.576969,0.646025,0.64129,0.642441,0.628647,0.693019,0.64518,0.639209,0.639247,0.640356,0.633793,0.640847,0.688787,0.58323,0.642448,0.661363,0.685215,0.691161,0.665134,0.680479,0.650455,0.638282,0.60377,0.681081,0.615223,0.619779,0.571244,0.67486,0.643694,0.60523,0.578526,0.663359,0.590613,0.590576,0.607627,0.584175,0.552635,0.602048,0.542035,0.575655,0.590465,0.571321,0.622106,0.533168
-21.7262,0.612959,0.635533,0.642701,0.602227,0.686976,0.671222,0.711448,0.688532,0.662912,0.659717,0.646211,0.650312,0.675489,0.661814,0.667416,0.607172,0.668924,0.655554,0.670708,0.660188,0.720782,0.675278,0.659046,0.665068,0.667576,0.658877,0.667187,0.710719,0.607382,0.668562,0.687205,0.713726,0.714072,0.695706,0.710627,0.671964,0.6638,0.627084,0.705615,0.641899,0.638423,0.59402,0.706162,0.672963,0.62848,0.611792,0.690539,0.618551,0.626001,0.638473,0.620788,0.580635,0.624539,0.561605,0.600454,0.616829,0.602743,0.65444,0.568849
-21.2262,0.638998,0.655112,0.67426,0.62429,0.714208,0.693374,0.727691,0.705156,0.696212,0.684482,0.675011,0.680224,0.70283,0.684863,0.688038,0.636059,0.682393,0.663262,0.693076,0.687368,0.744764,0.701495,0.678723,0.684817,0.690263,0.679991,0.690848,0.725606,0.627871,0.689188,0.708462,0.73998,0.73043,0.722446,0.734902,0.686095,0.685342,0.648673,0.721859,0.663034,0.650433,0.611091,0.739395,0.698772,0.648062,0.639866,0.710377,0.642492,0.656266,0.666942,0.654951,0.608523,0.637632,0.57978,0.619756,0.63603,0.62841,0.679575,0.60124
-20.7262,0.666311,0.672102,0.698132,0.641987,0.738759,0.712951,0.741292,0.723039,0.724495,0.705308,0.701396,0.705844,0.728269,0.698007,0.704773,0.663652,0.689747,0.670277,0.709999,0.712127,0.765574,0.723751,0.70075,0.702553,0.707599,0.698998,0.711799,0.736684,0.645962,0.703132,0.726975,0.762607,0.740976,0.743507,0.753688,0.695846,0.703587,0.66853,0.734203,0.68179,0.657948,0.623858,0.771317,0.723304,0.667391,0.65835,0.72803,0.665493,0.680093,0.692245,0.684835,0.636872,0.642615,0.598052,0.632938,0.648952,0.650693,0.699547,0.628946
-20.2262,0.697031,0.688825,0.71663,0.657757,0.764716,0.732407,0.755686,0.745082,0.747976,0.723803,0.728458,0.726653,0.751433,0.705525,0.720119,0.690571,0.697008,0.682019,0.723951,0.735997,0.7856,0.743084,0.724147,0.722259,0.722261,0.717972,0.730389,0.746332,0.664213,0.713163,0.743834,0.782026,0.748329,0.758834,0.766876,0.704876,0.722614,0.685631,0.746243,0.699882,0.66541,0.635783,0.799116,0.748941,0.689797,0.668155,0.74631,0.688601,0.69918,0.716159,0.710788,0.666088,0.645226,0.618859,0.639513,0.660599,0.673546,0.717034,0.65296
