Arc_length vs Data,001_16months_DTI_antsBM,001_20months_DTI_antsBM,001_24months_DTI_antsBM,001_28months_DTI_antsBM,002_16months_DTI_antsBM,002_20months_DTI_antsBM,002_24months_DTI_antsBM,002_28months_DTI_antsBM,004_16months_DTI_antsBM,004_20months_DTI_antsBM,004_24months_DTI_antsBM,004_28months_DTI_antsBM,004_32months_DTI_antsBM,005_20months_DTI_antsBM,005_24months_DTI_antsBM,005_28months_DTI_antsBM,005_32months_DTI_antsBM,005_36months_DTI_antsBM,006_20months_DTI_antsBM,006_24months_DTI_antsBM,006_28months_DTI_antsBM,006_32months_DTI_antsBM,006_36months_DTI_antsBM,007_16months_DTI_antsBM,007_20months_DTI_antsBM,007_24months_DTI_antsBM,008_16months_DTI_antsBM,008_20months_DTI_antsBM,008_24months_DTI_antsBM,010_18months_DTI_antsBM,010_22months_DTI_antsBM,011_16months_DTI_antsBM,011_20months_DTI_antsBM,011_24months_DTI_antsBM,011_28months_DTI_antsBM,011_32months_DTI_antsBM,012_18months_DTI_antsBM,012_22months_DTI_antsBM,013_17months_DTI_antsBM,013_21months_DTI_antsBM,014_17months_DTI_antsBM,014_21months_DTI_antsBM,016_16months_DTI_antsBM,016_20months_DTI_antsBM,017_15months_DTI_antsBM,017_19months_DTI_antsBM,018_15months_DTI_antsBM,018_19months_DTI_antsBM,019_16months_DTI_antsBM,019_20months_DTI_antsBM,026_15months_DTI_antsBM,026_19months_DTI_antsBM,027_15months_DTI_antsBM,027_19months_DTI_antsBM,029_16months_DTI_antsBM,029_20months_DTI_antsBM,030_16months_DTI_antsBM,030_20months_DTI_antsBM,Atlas
-14.4637,0.3338,0.330087,0.411188,0.357623,0.314107,0.350298,0.296845,0.31938,0.426859,-nan,-nan,0.36696,-nan,0.264757,0.279708,0.257174,0.266,0.266495,0.369194,-nan,0.367791,0.37704,0.461373,0.234782,0.267488,0.26182,0.377965,0.452065,-nan,0.283386,0.266659,0.390449,0.313329,0.378506,0.399861,0.343023,0.456154,0.42446,0.414915,0.396522,0.231864,0.290489,0.304909,0.3033,0.311293,0.278637,0.297052,0.285373,0.308426,0.429815,0.268911,0.334015,0.325241,0.28661,0.273525,0.280967,0.381963,0.305998,0.213758
-13.9637,0.359835,0.355545,0.429015,0.388501,0.341353,0.343342,0.339924,0.339765,0.437006,-nan,-nan,0.392716,-nan,0.294812,0.309589,0.290899,0.298548,0.293684,0.366401,-nan,0.372903,0.393883,0.4863,0.260772,0.296957,0.286181,0.3856,0.460571,-nan,0.299568,0.302296,0.39941,0.343141,0.401322,-nan,0.371293,0.441387,0.40993,0.416293,0.388114,0.255801,0.305436,0.331106,0.321096,0.332179,0.302169,0.325214,0.314725,0.318299,0.438386,0.290225,0.35253,0.343305,0.304862,0.284149,0.291134,0.361084,0.329198,0.220727
-13.4637,0.398862,0.390316,0.457621,0.433816,0.381952,0.361585,0.391657,0.374819,0.454837,-nan,-nan,0.428476,-nan,0.330047,0.349273,0.335318,0.344945,0.333353,0.390531,-nan,0.382835,0.431199,0.522707,0.296619,0.332718,0.318785,0.408721,0.475979,-nan,0.348371,0.357888,0.41871,0.386258,0.43404,-nan,0.407023,0.443278,0.422107,0.428335,0.396334,0.287126,0.332533,0.367317,0.354877,0.360949,0.342311,0.363812,0.350228,0.3412,0.451335,0.32018,0.37799,0.369025,0.338019,0.309924,0.316746,0.358708,0.373072,0.232375
-12.9637,0.453582,0.440378,0.496313,0.490578,0.435265,0.397534,0.449157,0.422198,0.481071,-nan,-nan,0.470536,-nan,0.372462,0.398484,0.392238,0.405376,0.386773,0.427873,-nan,0.400882,-nan,0.567776,0.340911,0.376388,0.36131,0.443076,0.499049,-nan,0.415449,0.431753,0.450081,0.435448,0.473767,-nan,0.452335,0.463954,0.452093,0.449945,0.417667,0.329,0.370786,0.409997,0.40121,0.399924,0.394861,0.41463,0.395041,0.372786,0.470911,0.360786,0.409779,0.40405,0.383371,0.347981,0.354452,0.379126,0.423741,0.248841
-12.4637,0.533385,0.511812,0.55059,0.566256,0.510459,0.455148,0.525492,0.490307,0.52041,0.543369,0.46257,0.525543,-nan,0.436892,0.472056,0.478625,0.484926,0.463534,0.484648,0.562958,0.434841,-nan,0.61756,0.404252,0.437569,0.425736,0.496539,0.535313,0.481885,0.499058,0.528745,0.495753,0.499683,0.527224,-nan,0.509794,0.50823,0.50701,0.485713,0.455118,0.390703,0.427199,0.467071,0.469047,0.457621,0.470008,0.486101,0.457984,0.418918,0.502233,0.4225,0.459631,0.459655,0.453059,0.409247,0.410484,0.418191,0.487151,0.274533
-11.9637,0.59485,0.572752,0.591776,0.61809,0.576886,0.519799,0.583501,0.549172,0.555908,0.577027,0.462396,0.563977,-nan,0.498733,0.539405,0.559685,0.550205,0.532912,0.541172,0.599561,0.468295,-nan,0.639378,0.458881,0.487713,0.483438,0.551447,0.570871,0.519492,0.565811,0.594396,0.5377,0.542056,0.56322,-nan,0.549776,0.567491,0.567912,0.524611,0.495625,0.449207,0.479685,0.512534,0.530922,0.510548,0.535052,0.545986,0.511483,0.468324,0.533158,0.482877,0.509214,0.515775,0.518418,0.4725,0.464301,0.47082,0.532152,0.301415
-11.4637,0.616859,0.602052,0.603676,0.628265,0.614478,0.56199,0.609336,0.577873,0.574874,0.596421,0.457469,0.576274,-nan,0.543884,0.580934,0.61069,0.582882,0.572719,0.571725,0.613464,0.487125,-nan,0.6309,0.491772,0.516387,0.516503,0.585367,0.592338,0.545641,0.581192,0.602384,0.559026,0.551911,0.572727,-nan,0.562443,0.604709,0.598483,0.545421,0.516205,0.486549,0.510168,0.534946,0.564018,0.539185,0.566017,0.577784,0.540423,0.507871,0.553828,0.522714,0.540009,0.556212,0.558075,0.513034,0.493028,0.506673,0.544469,0.32009
-10.9637,0.602034,0.595557,0.590044,0.607055,0.621077,0.573806,0.607118,0.575898,0.576574,0.59806,0.455962,0.571754,-nan,0.564886,0.592216,0.622731,0.585289,0.577468,0.576943,0.605589,0.483492,-nan,0.6065,0.501175,0.526337,0.522498,0.593609,0.59186,0.555784,0.556097,0.562994,0.555409,0.541662,0.56386,0.561489,0.553022,0.603934,0.590065,0.537091,0.507853,0.496411,0.513631,0.534731,0.564465,0.53876,0.562116,0.580908,0.54263,0.530829,0.557326,0.532415,0.543825,0.569658,0.565291,0.521512,0.492589,0.513679,0.538748,0.325782
-10.4637,0.570398,0.5703,0.56403,0.576054,0.60538,0.563166,0.586307,0.555807,0.566266,0.585018,0.458547,0.560931,-nan,0.559665,0.576159,0.601605,0.572905,0.55709,0.566065,0.587218,0.46559,0.535713,0.591057,0.494161,0.520877,0.508707,0.579631,0.572623,0.548225,0.521088,0.510333,0.535611,0.52697,0.547238,0.54971,0.536249,0.574057,0.556508,0.504971,0.480825,0.485047,0.497884,0.518145,0.540761,0.517855,0.536563,0.565371,0.524819,0.53107,0.543531,0.515731,0.520717,0.556576,0.546209,0.502014,0.472757,0.504433,0.526536,0.317075
-9.96372,0.546424,0.543328,0.5422,0.554361,0.580598,0.543588,0.559283,0.532351,0.552843,0.565714,0.46109,0.548896,-nan,0.537168,0.547961,0.566598,0.552787,0.52548,0.548624,0.577303,0.452029,0.509068,0.576578,0.480689,0.507064,0.491228,0.553852,0.54475,0.531547,0.48673,0.472719,0.511013,0.51625,0.532664,0.528778,0.518545,0.537643,0.522151,0.465039,0.451289,0.463393,0.474511,0.495246,0.509046,0.492515,0.506825,0.538854,0.498659,0.509919,0.519783,0.483078,0.482279,0.527785,0.517225,0.470168,0.44514,0.491398,0.513212,0.296886
-9.46372,0.533776,0.52772,0.530167,0.545908,0.558522,0.527195,0.539537,0.516301,0.539337,0.547454,0.462396,0.534355,0.491735,0.513563,0.523621,0.536864,0.53336,0.498687,0.533413,0.571508,0.452258,0.492705,0.555428,0.468754,0.493146,0.482456,0.530864,0.520415,0.513195,0.467135,0.455343,0.492675,0.508913,0.517798,0.513015,0.5045,0.512134,0.500679,0.438406,0.430083,0.44777,0.4565,0.479628,0.486224,0.475754,0.482148,0.510803,0.473616,0.481127,0.498723,0.452586,0.448697,0.496328,0.492765,0.442529,0.423688,0.477615,0.500186,0.273718
-8.96372,0.529174,0.522526,0.525444,0.543236,0.543037,0.518759,0.528233,0.509211,0.526162,0.531281,0.461553,0.516024,0.484111,0.499433,0.510835,0.519343,0.519516,0.484544,0.520048,0.560552,0.464148,0.482908,0.528665,0.46342,0.485956,0.484398,0.513783,0.506054,0.49779,0.46138,0.453457,0.484958,0.50187,0.50178,0.506493,0.493412,0.495396,0.491592,0.429958,0.421228,0.441539,0.446769,0.477834,0.478789,0.468963,0.465452,0.486453,0.454056,0.461304,0.486623,0.432981,0.429341,0.471359,0.476929,0.428243,0.412457,0.462363,0.488388,0.253615
-8.46372,0.527102,0.520464,0.522389,0.540654,0.534552,0.515582,0.522616,0.505544,0.514641,0.516199,0.461039,0.497755,0.478507,0.49587,0.508538,0.512015,0.510886,0.481727,0.507678,0.539917,0.47942,0.476012,0.50739,0.461927,0.489439,0.488699,0.505328,0.502633,0.488292,0.461449,0.457756,0.484202,0.497309,0.490242,0.505979,0.486799,0.483434,0.486271,0.433675,0.417285,0.442378,0.444707,0.488788,0.481741,0.467293,0.453274,0.471709,0.442084,0.459356,0.480793,0.426303,0.425803,0.455592,0.469016,0.425113,0.408236,0.447732,0.481101,0.241216
