Arc_length vs Data,001_16months_DTI_antsBM,001_20months_DTI_antsBM,001_24months_DTI_antsBM,001_28months_DTI_antsBM,002_16months_DTI_antsBM,002_20months_DTI_antsBM,002_24months_DTI_antsBM,002_28months_DTI_antsBM,004_16months_DTI_antsBM,004_20months_DTI_antsBM,004_24months_DTI_antsBM,004_28months_DTI_antsBM,004_32months_DTI_antsBM,005_20months_DTI_antsBM,005_24months_DTI_antsBM,005_28months_DTI_antsBM,005_32months_DTI_antsBM,005_36months_DTI_antsBM,006_20months_DTI_antsBM,006_24months_DTI_antsBM,006_28months_DTI_antsBM,006_32months_DTI_antsBM,006_36months_DTI_antsBM,007_16months_DTI_antsBM,007_20months_DTI_antsBM,007_24months_DTI_antsBM,008_16months_DTI_antsBM,008_20months_DTI_antsBM,008_24months_DTI_antsBM,010_18months_DTI_antsBM,010_22months_DTI_antsBM,011_16months_DTI_antsBM,011_20months_DTI_antsBM,011_24months_DTI_antsBM,011_28months_DTI_antsBM,011_32months_DTI_antsBM,012_18months_DTI_antsBM,012_22months_DTI_antsBM,013_17months_DTI_antsBM,013_21months_DTI_antsBM,014_17months_DTI_antsBM,014_21months_DTI_antsBM,016_16months_DTI_antsBM,016_20months_DTI_antsBM,017_15months_DTI_antsBM,017_19months_DTI_antsBM,018_15months_DTI_antsBM,018_19months_DTI_antsBM,019_16months_DTI_antsBM,019_20months_DTI_antsBM,026_15months_DTI_antsBM,026_19months_DTI_antsBM,027_15months_DTI_antsBM,027_19months_DTI_antsBM,029_16months_DTI_antsBM,029_20months_DTI_antsBM,030_16months_DTI_antsBM,030_20months_DTI_antsBM,Atlas
-13.335,0.211919,0.186528,0.215144,0.212611,0.196158,0.178482,0.193394,0.207407,0.209803,0.218241,0.21942,0.195585,0.201616,0.198112,0.182439,0.177453,0.161662,0.163237,0.211769,0.168974,0.266594,0.251022,0.245892,0.204972,0.201211,0.213956,0.189143,0.221589,0.222691,0.211904,0.216004,0.208755,0.202507,0.225668,0.226915,0.225362,0.21246,0.220107,0.19714,0.17167,0.193747,0.178558,0.272939,0.189454,0.19588,0.194362,0.197096,0.175643,0.154136,0.194364,0.202149,0.193865,0.166252,0.15277,0.179031,0.2023,0.206893,0.238679,0.133003
-12.835,0.221013,0.200168,0.22304,0.225585,0.212753,0.202254,0.203417,0.218526,0.226604,0.229343,0.226117,0.205319,0.21317,0.211167,0.197762,0.194346,0.176978,0.182564,0.22036,0.177887,0.270888,0.247862,0.249765,0.210137,0.209747,0.220621,0.198565,0.228381,0.221895,0.212329,0.217557,0.220764,0.212447,0.22672,0.226473,0.231268,0.21892,0.219718,0.208872,0.180428,0.19813,0.184592,0.284203,0.193379,0.206316,0.200397,0.203113,0.185369,0.162216,0.202266,0.205944,0.196535,0.180215,0.162728,0.186086,0.206751,0.209286,0.240682,0.142909
-12.335,0.223271,0.210882,0.230283,0.23564,0.225408,0.216752,0.207508,0.228189,0.237367,0.228064,0.22969,0.215584,0.221899,0.221642,0.210784,0.208494,0.189699,0.195938,0.226551,0.190058,0.270879,0.243356,0.248507,0.214977,0.213118,0.225223,0.206026,0.231369,0.217255,0.20817,0.216359,0.224876,0.221415,0.224139,0.226138,0.229199,0.225305,0.214527,0.218499,0.18535,0.204116,0.19025,0.275667,0.194893,0.212381,0.204405,0.211707,0.192709,0.169069,0.200106,0.204756,0.195759,0.188438,0.168724,0.191,0.206953,0.207217,0.234376,0.148959
-11.835,0.219724,0.219925,0.232493,0.241098,0.23083,0.2231,0.206833,0.231204,0.235989,0.22065,0.229059,0.22075,0.226501,0.225828,0.217626,0.217348,0.200361,0.205326,0.22904,0.201173,0.263749,0.235763,0.243888,0.216266,0.213606,0.226208,0.210515,0.231418,0.211383,0.200857,0.210484,0.22126,0.228076,0.219841,0.225456,0.223687,0.226301,0.206941,0.221271,0.186928,0.208323,0.192914,0.258081,0.193422,0.212179,0.20642,0.215147,0.195722,0.174456,0.193323,0.20065,0.192857,0.192594,0.172515,0.191666,0.201527,0.201737,0.222731,0.15282
-11.335,0.207828,0.219083,0.225043,0.235097,0.22021,0.211209,0.200232,0.222277,0.222609,0.206224,0.219222,0.21743,0.224515,0.222412,0.215905,0.217134,0.202043,0.205026,0.22213,0.203714,0.245341,0.224633,0.232965,0.210765,0.206621,0.217997,0.206944,0.223927,0.204134,0.191553,0.196486,0.205956,0.223332,0.210054,0.217745,0.211602,0.216528,0.195086,0.213373,0.179422,0.20531,0.187906,0.23638,0.187834,0.202879,0.202256,0.209271,0.189381,0.172497,0.181092,0.19075,0.183332,0.187002,0.170511,0.184916,0.188983,0.189024,0.20585,0.152884
-10.835,0.18511,0.204186,0.206535,0.213865,0.195187,0.189335,0.184835,0.199103,0.193265,0.182976,0.199313,0.199641,0.208813,0.208732,0.207651,0.206613,0.192786,0.193211,0.203435,0.189937,0.213736,0.20694,0.212411,0.195361,0.190971,0.198256,0.192104,0.20472,0.19188,0.180926,0.172415,0.182569,0.203084,0.190584,0.19615,0.186713,0.193806,0.177707,0.194756,0.163738,0.189215,0.174724,0.213193,0.176273,0.183125,0.186464,0.188989,0.17163,0.159168,0.163222,0.171636,0.165695,0.171156,0.16296,0.170045,0.167863,0.169177,0.182045,0.151624
-10.335,0.17922,0.197051,0.199877,0.204284,0.183438,0.184439,0.181188,0.187887,0.176972,0.1742,0.189573,0.186307,0.198216,0.202925,0.202952,0.201011,0.191983,0.190448,0.192392,0.18206,0.197434,0.197279,0.20163,0.188146,0.188516,0.188881,0.185832,0.193598,0.188487,0.181177,0.160601,0.173559,0.19078,0.183215,0.181866,0.173362,0.181475,0.173599,0.18846,0.159778,0.180927,0.169518,0.210991,0.173673,0.175205,0.179505,0.178242,0.162126,0.15368,0.156584,0.163038,0.159304,0.165992,0.164102,0.165018,0.160346,0.159985,0.168742,0.157681
-9.83502,0.187814,0.199589,0.204141,0.207066,0.186206,0.193214,0.187817,0.189506,0.17751,0.177456,0.189386,0.182261,0.197335,0.206557,0.206329,0.204387,0.198274,0.196059,0.18897,0.182997,0.194792,0.196166,0.200869,0.189111,0.195686,0.189901,0.188425,0.191027,0.191681,0.187302,0.16021,0.175201,0.187891,0.185049,0.176465,0.170245,0.179899,0.178744,0.192615,0.165641,0.182331,0.171918,0.220972,0.178287,0.178808,0.182066,0.177269,0.161513,0.155168,0.158248,0.163886,0.160229,0.169242,0.170191,0.168734,0.163788,0.158281,0.163918,0.169681
-9.33502,0.206323,0.211363,0.215894,0.219371,0.197071,0.210982,0.202418,0.201061,0.187971,0.189019,0.19648,0.186092,0.204029,0.216984,0.217961,0.215681,0.209897,0.207162,0.192438,0.192252,0.201091,0.20296,0.207407,0.196691,0.208948,0.198812,0.198049,0.195672,0.199753,0.197631,0.168206,0.184133,0.193741,0.193725,0.180311,0.175439,0.18668,0.1902,0.204038,0.179094,0.192143,0.18038,0.236262,0.189308,0.188793,0.191941,0.184109,0.168082,0.162097,0.165265,0.171414,0.166175,0.179344,0.179933,0.177893,0.173755,0.161883,0.16558,0.18628
-8.83502,0.231483,0.231636,0.233468,0.238021,0.212773,0.233173,0.224335,0.221324,0.203426,0.207036,0.20887,0.196836,0.216727,0.232124,0.235288,0.232688,0.226103,0.22237,0.200642,0.208564,0.213798,0.216691,0.218924,0.210231,0.225239,0.213482,0.214157,0.207284,0.212928,0.211042,0.182684,0.196942,0.207086,0.207767,0.192464,0.18835,0.200897,0.206204,0.221006,0.198151,0.210012,0.194217,0.254761,0.205513,0.202109,0.207026,0.198343,0.179636,0.173805,0.176451,0.183962,0.175985,0.195045,0.192817,0.190296,0.18852,0.168603,0.172348,0.20685
