Arc_length vs Data,017_03months_DTI_antsBM,018_03months_DTI_antsBM,020_02months_DTI_antsBM,021_02months_DTI_antsBM,022_02months_DTI_antsBM,023_02months_DTI_antsBM,026_03months_DTI_antsBM,027_03months_DTI_antsBM,032_03months_DTI_antsBM,034_03months_DTI_antsBM,035_03months_DTI_antsBM,036_03months_DTI_antsBM,Atlas
-20.6662,0.000789201,0.000966481,0.000961511,0.000909862,0.000875904,0.00113213,0.000974294,0.00089366,0.000878707,0.00094094,0.000958704,0.000985082,0.000704619
-20.1662,0.000757202,0.000895683,0.000889412,0.000862411,0.00080091,0.00105039,0.000912521,0.000769357,0.000823377,0.000871846,0.000880996,0.00077974,0.000599895
-19.6662,0.000739367,0.000835393,0.000834598,0.000823056,0.000749768,0.000986322,0.000854293,0.000691465,0.000793376,0.000812045,0.000824236,0.000590416,0.000521209
-19.1662,0.000737394,0.00079662,0.000803424,0.000799811,0.000734524,0.000945245,0.000825526,0.000673491,0.000789574,0.000786481,0.000791879,0.000533917,0.000491329
-18.6662,0.000744323,0.00077032,0.000774304,0.000783249,0.000744021,0.000898915,0.000810779,0.000670309,0.000787478,0.000772239,0.000778477,0.000545039,0.00047218
-18.1662,0.000741228,0.000754139,0.000750695,0.000765689,0.000753275,0.000862435,0.000791743,0.00068778,0.000785692,0.000765212,0.0007676,0.000594627,0.000495383
-17.6662,0.000730549,0.000741912,0.00072973,0.000747267,0.00075256,0.000830349,0.000768533,0.000702549,0.00078159,0.000761885,0.000752952,0.000653162,0.000536559
-17.1662,0.000715029,0.000731593,0.000711652,0.000727885,0.000742471,0.000799584,0.000742215,0.000704821,0.000774868,0.000758801,0.00073597,0.00069584,0.000580555
-16.6662,0.000696452,0.000722671,0.000700363,0.000708607,0.000723158,0.000770978,0.000715545,0.000698622,0.000769552,0.000757509,0.000718281,0.000721504,0.000624702
-16.1662,0.000683071,0.000717218,0.000700516,0.000695329,0.000704983,0.000748097,0.00069893,0.000684598,0.000768372,0.000759336,0.000709255,0.000728424,0.000651962
-15.6662,0.000676907,0.000716673,0.00071046,0.00068818,0.000695738,0.000734609,0.00069375,0.000674959,0.00077259,0.000762733,0.000711244,0.000727677,0.000665227
-15.1662,0.000675178,0.000718701,0.000723218,0.000684001,0.000694512,0.000730035,0.00069478,0.000673353,0.000779551,0.000764131,0.000718913,0.0007275,0.000669952
-14.6662,0.000674144,0.000720171,0.00073116,0.000679359,0.000696445,0.000731302,0.000696452,0.000674345,0.000784837,0.000760149,0.000725287,0.00072642,0.000667742
-14.1662,0.00066975,0.000717533,0.000729881,0.000670992,0.000693572,0.000731977,0.000694009,0.000670785,0.00078469,0.000749401,0.000724848,0.000718966,0.0006584
-13.6662,0.000660002,0.000708417,0.000720403,0.000658446,0.000681814,0.000727399,0.000685866,0.000659745,0.000778031,0.000733921,0.000716584,0.000703646,0.000642695
-13.1662,0.000645244,0.00069322,0.000706175,0.000642517,0.000662001,0.000716318,0.000672588,0.000643112,0.000765268,0.000715576,0.000701728,0.000682238,0.000622766
-12.6662,0.00062824,0.000674619,0.000690896,0.00062558,0.000640016,0.000700268,0.000656366,0.000625421,0.000747673,0.000696189,0.00068312,0.000658809,0.000601497
-12.1662,0.000611778,0.000656169,0.000676046,0.000609854,0.000622064,0.000681537,0.000639001,0.000609623,0.00072604,0.000676831,0.000663332,0.000636902,0.00058109
-11.6662,0.000596827,0.000639729,0.000660064,0.000595302,0.000609737,0.000660939,0.000620726,0.000595122,0.000700282,0.000658301,0.000643203,0.000617792,0.000562155
-11.1662,0.000582162,0.000624637,0.000640428,0.000579096,0.000599378,0.000638513,0.000600482,0.000579543,0.000670346,0.000640072,0.000621994,0.000600772,0.00054459
-10.6662,0.000566045,0.000608871,0.00061628,0.000557746,0.00058574,0.000615109,0.000577667,0.000561265,0.000637995,0.000620481,0.00059918,0.000584634,0.000528613
-10.1662,0.000548356,0.000591389,0.000589934,0.000530733,0.000566615,0.000593142,0.000553986,0.000541237,0.000607509,0.000599108,0.00057569,0.000568944,0.000515237
-9.66617,0.000532759,0.000574895,0.000567336,0.000503974,0.000546221,0.000576881,0.000534043,0.000523705,0.000585452,0.000579373,0.000555595,0.000555171,0.000506882
