Arc_length vs Data,017_03months_DTI_antsBM,018_03months_DTI_antsBM,020_02months_DTI_antsBM,021_02months_DTI_antsBM,022_02months_DTI_antsBM,023_02months_DTI_antsBM,026_03months_DTI_antsBM,027_03months_DTI_antsBM,032_03months_DTI_antsBM,034_03months_DTI_antsBM,035_03months_DTI_antsBM,036_03months_DTI_antsBM,Atlas
-40.0447,0.000688635,0.000842708,0.000784897,0.000730799,0.000714828,0.000704196,0.000737883,0.000878333,0.000815596,0.000892776,0.000749159,0.000722846,0.000699562
-39.5447,0.000691211,0.000847345,0.000776687,0.00074245,0.000704175,0.000719544,0.000748053,0.000849583,0.000817342,0.000884838,0.000756465,0.000728867,0.000693182
-39.0447,0.000692996,0.000847128,0.000767068,0.000755373,0.000698437,0.000735525,0.00075763,0.000821579,0.000816277,0.000875405,0.000763726,0.000736264,0.000686395
-38.5447,0.000694393,0.000838705,0.00075429,0.000764886,0.000696694,0.000753514,0.000765763,0.000789551,0.000812509,0.000857783,0.000768946,0.000746574,0.000676678
-38.0447,0.000694706,0.00081926,0.000738287,0.000766711,0.000698039,0.000768782,0.00076685,0.000756542,0.000803594,0.000829742,0.00076737,0.000756827,0.000662284
-37.5447,0.000692134,0.000789259,0.000719419,0.000754255,0.000698911,0.000772647,0.000755503,0.000726896,0.000789303,0.000794517,0.000754478,0.00076077,0.000641888
-37.0447,0.000682743,0.00075454,0.000697867,0.000724115,0.000691061,0.000757555,0.000728454,0.000698378,0.000766915,0.000758983,0.000726965,0.000749507,0.000613934
-36.5447,0.000663484,0.000721961,0.000674962,0.000682907,0.000669824,0.000723056,0.000689026,0.000667662,0.000736291,0.000729636,0.000689617,0.000718003,0.000580973
-36.0447,0.000634772,0.000692452,0.000653007,0.000637727,0.000639013,0.000677147,0.000644339,0.00063274,0.00070036,0.000702072,0.000650478,0.000671634,0.000547895
-35.5447,0.000602175,0.000664153,0.000635092,0.000595157,0.000605525,0.000631076,0.00060024,0.00059649,0.000664716,0.000670111,0.000616194,0.000621546,0.000519421
-35.0447,0.00057535,0.000640095,0.00062536,0.000562883,0.000577716,0.00059706,0.000564601,0.000568021,0.00063853,0.000637209,0.000594022,0.000582266,0.000501064
-34.5447,0.000562739,0.000626743,0.000626514,0.000547476,0.000562427,0.00058492,0.000545607,0.000555319,0.0006288,0.000617109,0.000588655,0.000563731,0.000496545
-34.0447,0.000567701,0.000629885,0.000640712,0.000553016,0.000564727,0.000597851,0.000550013,0.000561348,0.000637703,0.000622848,0.000601886,0.000568681,0.000507021
-33.5447,0.000584858,0.000646635,0.000665555,0.000573822,0.000581596,0.000628211,0.000572033,0.000580386,0.00065985,0.000650066,0.000628245,0.000589831,0.000527709
-33.0447,0.000604048,0.000665672,0.000691714,0.000596962,0.000603536,0.000660333,0.000596069,0.000601951,0.00068423,0.000682036,0.000656473,0.000614322,0.000549417
-32.5447,0.000615594,0.000677201,0.000709093,0.000609797,0.000620002,0.000678896,0.000607621,0.000617041,0.000701706,0.000702285,0.000674798,0.000630017,0.000562879
-32.0447,0.000616214,0.000676882,0.000710483,0.000607243,0.000624388,0.000678058,0.000601483,0.000621377,0.000708095,0.000705032,0.000677161,0.000631413,0.00056287
-31.5447,0.000609291,0.000668205,0.000698764,0.000594767,0.000618124,0.000664924,0.000587114,0.000616911,0.000706152,0.000697358,0.000666932,0.000622023,0.000552311
-31.0447,0.000602469,0.00065793,0.000684087,0.000583683,0.000608797,0.00065351,0.00057774,0.000609275,0.000702293,0.000690342,0.000652974,0.000610263,0.00053957
-30.5447,0.000600393,0.000647181,0.000672455,0.000584107,0.000603596,0.000653567,0.000579705,0.000602436,0.000700716,0.000688263,0.00064209,0.000602279,0.000532261
-30.0447,0.000603306,0.000635404,0.000663465,0.000597303,0.000605745,0.00066479,0.000590606,0.000597914,0.000700933,0.000687236,0.000636605,0.000598859,0.000532753
-29.5447,0.000607247,0.000623716,0.00065459,0.000616507,0.000613398,0.000678557,0.000602991,0.000595664,0.000701659,0.000681348,0.000635535,0.000598202,0.000538814
-29.0447,0.000608995,0.000614189,0.000645013,0.000632079,0.000620453,0.000686062,0.000611928,0.000596137,0.000701928,0.000669652,0.000638253,0.000598338,0.000546475
-28.5447,0.000606896,0.000608925,0.00063595,0.000635872,0.000620699,0.000682762,0.000615143,0.000599039,0.000701149,0.000655125,0.000642209,0.000598052,0.000552505
-28.0447,0.000600255,0.000606644,0.000629003,0.000627807,0.000611959,0.000669772,0.000613137,0.000602027,0.000699639,0.000642104,0.000643647,0.000596008,0.000555576
-27.5447,0.000589893,0.000604839,0.000623584,0.000612945,0.00059752,0.000651209,0.000606423,0.000601609,0.000695933,0.000633666,0.000639863,0.000591756,0.000554711
-27.0447,0.000578053,0.000602574,0.000619167,0.000597571,0.000583687,0.000632461,0.000595056,0.000594499,0.000689257,0.000632527,0.000629256,0.000586992,0.000550194
-26.5447,0.000568581,0.000601046,0.000615526,0.000587446,0.00057499,0.000616742,0.000580055,0.000582702,0.000680323,0.0006387,0.000614113,0.000584582,0.000542434
-26.0447,0.000566679,0.000603069,0.000613545,0.000585899,0.000573433,0.000607797,0.000564861,0.00057161,0.000672467,0.000651756,0.00059859,0.000587614,0.000533518
-25.5447,0.000576305,0.000611502,0.000615942,0.000595691,0.000579786,0.000609248,0.000555891,0.000568433,0.000671185,0.000670162,0.000589652,0.00060022,0.000526901
-25.0447,0.000596647,0.000626907,0.000625736,0.000617363,0.000595004,0.000623943,0.000559465,0.000578142,0.000681016,0.000691273,0.000595866,0.000623097,0.000526238
-24.5447,0.000625945,0.000649849,0.000646606,0.000649011,0.000619761,0.000653144,0.00057992,0.000599976,0.000702596,0.000713943,0.000622789,0.000655263,0.000534733
-24.0447,0.000660018,0.000678931,0.000678588,0.000687292,0.000651996,0.000693637,0.000616182,0.000630145,0.000730205,0.000735658,0.000665444,0.000691138,0.000553466
-23.5447,0.000690761,0.000709107,0.000713328,0.000723927,0.000685001,0.000736884,0.000659201,0.000660241,0.000754202,0.000753541,0.000710188,0.000721818,0.000583038
-23.0447,0.000710503,0.000733622,0.00073946,0.000748601,0.000709178,0.00076956,0.000694958,0.000682051,0.000767437,0.000765292,0.000740904,0.000740836,0.000617738
-22.5447,0.000717456,0.000748678,0.000752023,0.000758259,0.000720836,0.000786759,0.00071555,0.000694973,0.000769944,0.000771637,0.000750824,0.000747085,0.000650038
-22.0447,0.000715428,0.000752912,0.000754578,0.000756224,0.000721333,0.000790075,0.00072018,0.000701616,0.000767714,0.000774289,0.000746806,0.000745037,0.000672984
-21.5447,0.000711117,0.000748474,0.000754319,0.000748554,0.000715621,0.000785752,0.000713759,0.000705372,0.000765682,0.00077326,0.000739486,0.000739338,0.000682038
-21.0447,0.000708356,0.000738438,0.000754318,0.000739927,0.000708283,0.00078072,0.000703382,0.000706899,0.000766207,0.000768581,0.000737095,0.000734518,0.000679276
-20.5447,0.000705643,0.000724336,0.000751527,0.000729824,0.000700498,0.000774788,0.000692486,0.000705064,0.000767679,0.000759863,0.00073898,0.000730584,0.000669607
-20.0447,0.000699323,0.000707352,0.000741147,0.000716339,0.000692078,0.00076441,0.000681313,0.000699512,0.00076634,0.000746869,0.000737253,0.000724182,0.000656348
-19.5447,0.000686125,0.000687229,0.000720213,0.000698135,0.000680879,0.000745539,0.00066643,0.000689078,0.000757358,0.000727815,0.00072398,0.000711682,0.00064001
-19.0447,0.000667293,0.000666095,0.000691508,0.000677298,0.000664881,0.000719762,0.000645686,0.000673179,0.000738617,0.000704026,0.000699276,0.000693422,0.000621743
-18.5447,0.000646097,0.000646477,0.000659863,0.000656141,0.000642704,0.000692753,0.000619425,0.000652137,0.00071206,0.000679791,0.000669594,0.000672585,0.000602865
-18.0447,0.000625597,0.00063037,0.000631378,0.000636425,0.000615864,0.000670774,0.000591407,0.000628023,0.000683689,0.000662025,0.000642961,0.000651561,0.000585591
-17.5447,0.000607526,0.000618891,0.00061103,0.000619096,0.000589934,0.000657466,0.000566219,0.000605385,0.000660112,0.000656357,0.000625543,0.000631831,0.000571833
-17.0447,0.000592291,0.000612382,0.000600192,0.000604316,0.000570342,0.000651617,0.000546279,0.000588108,0.000643524,0.000662718,0.00061808,0.000614616,0.000561364
-16.5447,0.000581111,0.000611317,0.000596244,0.000591721,0.000558824,0.000649352,0.000531637,0.000576916,0.000633696,0.000674488,0.000615323,0.000601374,0.000552229
-16.0447,0.000574291,0.000614265,0.000594053,0.000582528,0.000553185,0.000646809,0.000519377,0.00057109,0.000629035,0.000681416,0.000611321,0.00059187,0.000542355
-15.5447,0.000570565,0.000617598,0.000590611,0.000577862,0.000550571,0.000641777,0.000508275,0.00056759,0.00062829,0.000677285,0.000603662,0.000584204,0.000532815
-15.0447,0.000567264,0.000617578,0.000585458,0.000575689,0.000549669,0.000635061,0.000499686,0.000563295,0.000631118,0.000663384,0.00059453,0.000576949,0.000526215
-14.5447,0.000562755,0.000613885,0.000581362,0.000575132,0.000551493,0.000629724,0.000496604,0.00055976,0.000636342,0.000645804,0.000587219,0.000570782,0.000524586
-14.0447,0.00056033,0.000610706,0.000582401,0.000576961,0.000559211,0.000629954,0.000502603,0.000560466,0.000644848,0.000632501,0.000584307,0.000568627,0.000528218
-13.5447,0.000563911,0.000613263,0.000590542,0.000583002,0.000575146,0.000637421,0.000517888,0.000567818,0.000659024,0.000627207,0.000586602,0.000572565,0.000534057
-13.0447,0.000573913,0.000622819,0.000604083,0.000593738,0.000596065,0.000648638,0.000537177,0.000579973,0.000676725,0.000629569,0.000592959,0.000580736,0.000536686
-12.5447,0.000585831,0.000634264,0.000617124,0.000605488,0.000613053,0.000656363,0.000553441,0.000590661,0.000691098,0.000634466,0.000599925,0.000588306,0.000531979
-12.0447,0.000593466,0.000640861,0.000624346,0.000612659,0.000617899,0.000655909,0.000562029,0.000595803,0.000695991,0.000637482,0.000603219,0.000592004,0.000519415
-11.5447,0.000593603,0.000639166,0.000623135,0.000610864,0.000608455,0.000646755,0.000561811,0.000594912,0.000690173,0.000636807,0.000600961,0.000590361,0.000502549
-11.0447,0.000587031,0.000631181,0.000615731,0.000600208,0.000590492,0.000632063,0.000556642,0.000589274,0.000679223,0.000633614,0.000595238,0.000585826,0.000487475
-10.5447,0.000578686,0.000622693,0.000608008,0.000585306,0.000572274,0.000617847,0.000552526,0.000582326,0.000670672,0.000631855,0.000590326,0.000582185,0.00047912
-10.0447,0.000573186,0.000620126,0.00060614,0.000571298,0.00055957,0.000608865,0.000554207,0.000577011,0.000668658,0.000634241,0.00058903,0.000582935,0.0004795
