Arc_length vs Data,017_03months_DTI_antsBM,018_03months_DTI_antsBM,020_02months_DTI_antsBM,021_02months_DTI_antsBM,022_02months_DTI_antsBM,023_02months_DTI_antsBM,026_03months_DTI_antsBM,027_03months_DTI_antsBM,032_03months_DTI_antsBM,034_03months_DTI_antsBM,035_03months_DTI_antsBM,036_03months_DTI_antsBM,Atlas
-31.0576,0.000624161,0.000702939,0.000760152,0.000678324,0.000742285,0.0007194,0.000670011,0.000800278,0.000820166,0.000733156,0.000728307,0.000791386,0.000800536
-30.5576,0.000745808,0.000797989,0.000788947,0.000673514,0.000727362,0.000721362,0.000712606,0.000765903,0.000887475,0.00074543,0.000770618,0.000851896,0.000632912
-30.0576,0.000857396,0.000804894,0.000769142,0.000672274,0.000700341,0.00071634,0.000720479,0.000722485,0.000878374,0.000757438,0.000749476,0.000845432,0.000568267
-29.5576,0.000867418,0.000779041,0.000736354,0.000670943,0.000680597,0.000704197,0.000704734,0.000719294,0.000836948,0.000760195,0.000719399,0.000814483,0.000584796
-29.0576,0.000836485,0.000751357,0.000708869,0.000672564,0.000671038,0.00069581,0.000689616,0.000719798,0.00079434,0.000764105,0.000706273,0.00079028,0.000596211
-28.5576,0.000791981,0.000729857,0.000686323,0.000677508,0.000667234,0.000701331,0.000677344,0.000726404,0.000764292,0.000763618,0.000703532,0.000767392,0.000598015
-28.0576,0.000746422,0.000716037,0.000671048,0.000685508,0.000668056,0.000721816,0.000672594,0.000735311,0.000750439,0.000756222,0.000706345,0.000753219,0.000597555
-27.5576,0.000714091,0.000711804,0.000670897,0.000687378,0.00067478,0.000738961,0.00068265,0.000731215,0.00075144,0.00075001,0.000711375,0.000746206,0.000604971
-27.0576,0.00069786,0.000713088,0.000677982,0.000681835,0.000680521,0.000747347,0.00069427,0.000717929,0.000759255,0.000746071,0.000712461,0.000742595,0.000620801
-26.5576,0.000690599,0.000713721,0.000687437,0.000669542,0.000684102,0.000742987,0.00070237,0.000698842,0.000764349,0.000746848,0.000710076,0.000740934,0.000641368
-26.0576,0.000684683,0.000712418,0.000697052,0.000653701,0.000685879,0.000728883,0.000703628,0.000679609,0.000764538,0.000752202,0.000707444,0.000738639,0.000659199
-25.5576,0.000679191,0.000708723,0.000704214,0.000641944,0.000686013,0.000716475,0.000697342,0.000670222,0.000763376,0.000755862,0.00070635,0.000737481,0.000664354
-25.0576,0.000672829,0.000702744,0.000712518,0.000637265,0.0006894,0.000709776,0.000693014,0.00066809,0.000762323,0.000756693,0.000705375,0.000735033,0.000662725
-24.5576,0.000664313,0.000694262,0.000717786,0.000635818,0.00069295,0.000706782,0.000689526,0.000665412,0.000758639,0.00075295,0.000701513,0.000728826,0.000656017
-24.0576,0.000653315,0.00068327,0.000716299,0.000631309,0.000692778,0.000703389,0.000682744,0.000657053,0.000749817,0.000744456,0.000693583,0.00071792,0.000643654
-23.5576,0.000639108,0.000670156,0.000707051,0.000620353,0.000686191,0.000696596,0.000670285,0.000641473,0.000734813,0.000731307,0.000681156,0.000702091,0.000624943
-23.0576,0.000619418,0.00065333,0.000689308,0.000600237,0.000670503,0.000682568,0.000649866,0.000618617,0.00071216,0.000711334,0.000662672,0.000679294,0.000598604
-22.5576,0.000595495,0.000633867,0.00066669,0.000573959,0.000647938,0.000661699,0.000623946,0.000592774,0.000684204,0.000686168,0.000638989,0.000651052,0.000568115
-22.0576,0.000569865,0.000612038,0.000642757,0.000545818,0.000622121,0.000636025,0.000595211,0.000567646,0.000654182,0.000657961,0.000612545,0.000620806,0.000537587
-21.5576,0.000544881,0.000587716,0.000619361,0.000518621,0.000596712,0.000609256,0.000565048,0.000545016,0.00062384,0.00062878,0.00058615,0.000591709,0.000509667
-21.0576,0.000522611,0.000562902,0.0005974,0.000495194,0.000574182,0.000585374,0.000535624,0.000525736,0.000595552,0.000601099,0.000562654,0.000566461,0.000486936
-20.5576,0.000504626,0.000540959,0.000576876,0.000478239,0.000555608,0.00056669,0.000510825,0.000510055,0.000571602,0.000577226,0.000544382,0.000546442,0.000470958
-20.0576,0.000492819,0.00052482,0.000557968,0.000470286,0.000541298,0.000553102,0.000494368,0.000498304,0.000553521,0.000558367,0.000533202,0.000531886,0.00046218
-19.5576,0.000489369,0.000515855,0.000541714,0.000470999,0.000531857,0.000543167,0.000487713,0.00048998,0.000542201,0.000544147,0.00052884,0.000522454,0.000460183
-19.0576,0.000494586,0.000513043,0.000530227,0.000475339,0.000528197,0.000536285,0.000489162,0.000484684,0.00053732,0.000533624,0.000527386,0.000517149,0.000463319
-18.5576,0.00050589,0.000514385,0.0005252,0.00047551,0.000528669,0.000532609,0.000494663,0.000481602,0.000536826,0.000526517,0.000522755,0.000513689,0.00046909
-18.0576,0.000516997,0.000516248,0.000525281,0.000465757,0.000528091,0.000531025,0.000500487,0.000479925,0.000536961,0.000522759,0.000509825,0.000508459,0.000473663
-17.5576,0.000522233,0.000515762,0.000527262,0.000448311,0.000522128,0.000530317,0.000505094,0.000478872,0.000535521,0.000522473,0.000490034,0.00050023,0.00047471
-17.0576,0.000520246,0.000513513,0.000529778,0.000432113,0.000511577,0.000530557,0.000508991,0.000478773,0.00053376,0.000526092,0.000470858,0.000491259,0.000473023
-16.5576,0.000514485,0.000512237,0.000535217,0.000426824,0.000502896,0.000533306,0.000513182,0.00048174,0.000536038,0.000534517,0.000461413,0.000486738,0.000471728
-16.0576,0.00051126,0.000516439,0.00054776,0.000436267,0.000503261,0.000540169,0.000517933,0.000489392,0.000545875,0.000548176,0.000467078,0.000491071,0.000473801
-15.5576,0.000513918,0.000526274,0.000567534,0.000456413,0.00051221,0.000549387,0.000521628,0.000501233,0.000560827,0.000564743,0.000484822,0.000502523,0.000478061
-15.0576,0.00052047,0.000537055,0.000587959,0.000477605,0.000521556,0.000556535,0.000521795,0.000513744,0.000573767,0.000579126,0.000504581,0.000513244,0.000480212
-14.5576,0.00052607,0.000543817,0.000601031,0.000491675,0.000523492,0.000557137,0.000516362,0.000522676,0.000578943,0.000586392,0.000516656,0.000515719,0.000476842
-14.0576,0.000526774,0.000544055,0.000602659,0.000496126,0.000516456,0.000550012,0.000506106,0.000526388,0.00057588,0.000585174,0.000517635,0.000508002,0.000468523
-13.5576,0.000523881,0.000540339,0.000594938,0.000494248,0.000505518,0.000538102,0.000494816,0.000526555,0.000570174,0.000578495,0.000512544,0.000495677,0.000459771
-13.0576,0.00052259,0.000537473,0.000584354,0.000492778,0.000497992,0.000526978,0.000487951,0.000527364,0.000568958,0.00057131,0.000510404,0.000489135,0.000455822
-12.5576,0.0005275,0.000539854,0.000577721,0.000496645,0.000498055,0.000522025,0.000489567,0.00053195,0.000575679,0.000567858,0.000517181,0.000495744,0.000459652
-12.0576,0.00053916,0.000548646,0.000579587,0.000506494,0.000505761,0.000525573,0.00049977,0.000541456,0.000588532,0.000569911,0.000533678,0.00051617,0.000470664
-11.5576,0.000551808,0.000561265,0.000589686,0.000519595,0.000519394,0.000536598,0.00051462,0.00055267,0.000601335,0.000576684,0.000554919,0.000542889,0.000484693
-11.0576,0.000556966,0.000571124,0.000600632,0.000530167,0.000536276,0.000550471,0.00052686,0.000558567,0.000606283,0.000584243,0.000571529,0.000564397,0.000493218
-10.5576,0.000549557,0.000570371,0.000601488,0.000530874,0.000549075,0.000559092,0.00052961,0.000554075,0.000598979,0.000586802,0.0005758,0.000571715,0.000490106
-10.0576,0.000530655,0.000555872,0.000587189,0.000518832,0.000550638,0.00055758,0.000521007,0.000537885,0.000580327,0.000580418,0.00056622,0.000563117,0.000474992
-9.55756,0.000505383,0.00053103,0.000561664,0.000497732,0.00053945,0.00054595,0.000504986,0.000514491,0.000556106,0.00056672,0.000547544,0.000544529,0.000452348
-9.05756,0.000479363,0.000504153,0.000535442,0.000474107,0.000520385,0.000529046,0.000487515,0.000490603,0.00053451,0.000550969,0.000528181,0.000522705,0.000430328
-8.55756,0.00045486,0.000483033,0.000516613,0.000454044,0.000503254,0.000512814,0.000472355,0.000469441,0.000520193,0.000536691,0.000512937,0.00050139,0.00041266
-8.05756,0.000433086,0.000470217,0.000504421,0.000438404,0.000491263,0.000498527,0.000458726,0.000451111,0.000512463,0.000522463,0.000501113,0.000481068,0.00039915
-7.55756,0.000415746,0.000463663,0.000494202,0.000425181,0.000480185,0.000485715,0.000445193,0.000434096,0.000506784,0.000505079,0.000490381,0.000462712,0.000389117
-7.05756,0.000403494,0.000459461,0.000483049,0.000413934,0.000465907,0.000474807,0.000431979,0.000418067,0.00049869,0.000485104,0.00047845,0.000448828,0.000381731
-6.55756,0.000395163,0.000455101,0.000472496,0.000405052,0.000449887,0.000468133,0.000420479,0.000404777,0.000487436,0.000467396,0.000465436,0.000441339,0.000377021
-6.05756,0.000388683,0.000452006,0.000465756,0.000399812,0.000437821,0.000466968,0.000412213,0.000397113,0.000476044,0.00045711,0.000454315,0.000439116,0.000375877
-5.55756,0.000384,0.000454814,0.000464007,0.000399982,0.000433259,0.000470859,0.000409236,0.000397241,0.000468887,0.000455619,0.000448721,0.000439307,0.000379036
-5.05756,0.00038313,0.000466399,0.000466092,0.000406061,0.000434048,0.000477844,0.000413464,0.000403906,0.000469083,0.000461012,0.000450835,0.000440284,0.0003864
-4.55756,0.000388586,0.000483548,0.000470813,0.000416003,0.000435417,0.00048595,0.000424724,0.000413533,0.000476869,0.000469703,0.000459026,0.00044251,0.000396583
-4.05756,0.000400557,0.000498632,0.000478507,0.000425812,0.000434421,0.000493923,0.000440005,0.000423553,0.000490286,0.000478232,0.00046864,0.000447087,0.000407434
-3.55756,0.000414541,0.000505279,0.000489429,0.000431289,0.000431929,0.000500435,0.00045479,0.000433234,0.000505377,0.00048439,0.00047525,0.000453258,0.000416873
-3.05756,0.000424828,0.000503126,0.000500668,0.00043069,0.000430928,0.000503433,0.000466771,0.000442166,0.000517828,0.000487672,0.000477782,0.000457968,0.000423364
-2.55756,0.000427548,0.000496163,0.000506591,0.000426179,0.000433529,0.000501037,0.000476041,0.000448437,0.000524558,0.00048892,0.000479086,0.000458618,0.000426167
-2.05756,0.000425092,0.000487467,0.000503794,0.00042066,0.000438975,0.0004934,0.000483382,0.00044942,0.000525046,0.000489634,0.000482206,0.000456106,0.000425632
-1.55756,0.000422824,0.000478601,0.000493875,0.000416231,0.000443987,0.000483651,0.000488471,0.000445161,0.000520693,0.000490028,0.000486817,0.000452449,0.000422946
-1.05756,0.000424493,0.000471395,0.000482314,0.00041252,0.000445698,0.000476378,0.000490546,0.000439321,0.00051398,0.000489367,0.000490481,0.000449297,0.00042002
