Arc_length vs Data,017_03months_DTI_antsBM,018_03months_DTI_antsBM,020_02months_DTI_antsBM,021_02months_DTI_antsBM,022_02months_DTI_antsBM,023_02months_DTI_antsBM,026_03months_DTI_antsBM,027_03months_DTI_antsBM,032_03months_DTI_antsBM,034_03months_DTI_antsBM,035_03months_DTI_antsBM,036_03months_DTI_antsBM,Atlas
-10.6204,0.000737999,0.000790274,0.000774188,0.000767546,0.000728779,0.000829464,0.00074747,0.000767414,0.000826772,0.00084187,0.000799788,0.000822862,0.000743089
-10.1204,0.000740933,0.000789708,0.00077229,0.000769085,0.000728922,0.000828145,0.000750648,0.000769518,0.000825795,0.000836603,0.000802265,0.000822644,0.000742371
-9.62041,0.000743333,0.000787618,0.000769948,0.000769621,0.000729321,0.000825782,0.000752864,0.00077093,0.000827383,0.000830937,0.000807501,0.00082164,0.000742014
-9.12041,0.000745532,0.000783208,0.000767818,0.000769303,0.000730499,0.000821448,0.000754601,0.000771076,0.000830783,0.00082171,0.000817118,0.000819159,0.000742183
-8.62041,0.000745356,0.000777264,0.000766509,0.000767051,0.00073267,0.000816073,0.000753769,0.000767451,0.000836113,0.000812076,0.000829018,0.000814981,0.000743032
-8.12041,0.000742735,0.00077289,0.000767727,0.000763697,0.000734571,0.000811239,0.000751264,0.000760246,0.000839984,0.000804248,0.000837978,0.000809889,0.000744833
-7.62041,0.000742115,0.000772125,0.000770242,0.000759971,0.000734432,0.000808697,0.000750122,0.000751834,0.000839773,0.000803204,0.000838199,0.000805955,0.000746418
-7.12041,0.000745912,0.000774268,0.000770348,0.000756949,0.000732787,0.000808644,0.000751633,0.000747077,0.000838109,0.000807794,0.000829421,0.000805051,0.000746578
-6.62041,0.000750552,0.000775872,0.000766508,0.000754003,0.000730241,0.00080881,0.000752839,0.000746397,0.000836977,0.000813353,0.000816457,0.000806099,0.000745648
-6.12041,0.000753536,0.000775876,0.000759202,0.000750627,0.000726491,0.000808515,0.000751225,0.000749136,0.000835732,0.000817321,0.000802378,0.000807887,0.000743594
-5.62041,0.000754285,0.000774349,0.000751957,0.000747248,0.000721024,0.000808138,0.000746743,0.000755319,0.000833582,0.000818839,0.000791193,0.000810734,0.000740459
-5.12041,0.000753471,0.000771802,0.000748691,0.000744778,0.000715126,0.000808528,0.000741213,0.000762706,0.000830974,0.000819206,0.000786832,0.000815187,0.00073686
-4.62041,0.000752211,0.000769608,0.000750805,0.000743836,0.000713055,0.000810002,0.000737389,0.000767642,0.000828784,0.000819611,0.000789213,0.00082013,0.000733412
-4.12041,0.000750127,0.000769412,0.000755862,0.000743512,0.000717839,0.000811549,0.000736239,0.00076728,0.000827413,0.000820251,0.000794561,0.000822928,0.000730723
-3.62041,0.000746207,0.000771301,0.000760213,0.000741507,0.000728598,0.000811613,0.000736958,0.000762336,0.000825827,0.000820339,0.000798327,0.00082189,0.000728875
-3.12041,0.000740912,0.000773774,0.000761958,0.000736216,0.000741224,0.000809365,0.000738363,0.00075756,0.000824316,0.000819024,0.000798648,0.000817575,0.000727493
-2.62041,0.000735697,0.000773328,0.000762364,0.000727587,0.000750372,0.000804709,0.000738768,0.00075728,0.000824012,0.000816448,0.000796014,0.00081066,0.000726179
-2.12041,0.000731219,0.000768077,0.000765182,0.000718293,0.000752894,0.00079824,0.000736595,0.000761971,0.000825198,0.000813844,0.000791609,0.000801446,0.000724653
-1.62041,0.000726831,0.000761179,0.000772583,0.000712916,0.000748363,0.000791652,0.000731412,0.000768279,0.000827282,0.000811928,0.000787474,0.000789429,0.000723174
-1.12041,0.000721769,0.000757062,0.000781669,0.000713922,0.000738588,0.000786615,0.000724207,0.000771608,0.00082916,0.000809813,0.000785085,0.000776174,0.000722288
-0.620412,0.000716545,0.000758391,0.000788082,0.000719382,0.000727179,0.000782926,0.000717236,0.000769827,0.000830207,0.000806287,0.000784293,0.000765672,0.000722159
