Arc_length vs Data,017_03months_DTI_antsBM,018_03months_DTI_antsBM,020_02months_DTI_antsBM,021_02months_DTI_antsBM,022_02months_DTI_antsBM,023_02months_DTI_antsBM,026_03months_DTI_antsBM,027_03months_DTI_antsBM,032_03months_DTI_antsBM,034_03months_DTI_antsBM,035_03months_DTI_antsBM,036_03months_DTI_antsBM,Atlas
-10.9135,0.000781036,0.000817562,0.000806177,0.000772876,0.000830382,0.00086981,0.000837778,0.000843834,0.000895564,0.000973503,0.000825076,0.000951476,0.000698362
-10.4135,0.000760433,0.000812524,0.00077324,0.000743575,0.000813756,0.000819055,0.000805428,0.00080902,0.000883237,0.000917565,0.000799004,0.000894131,0.000679196
-9.91353,0.0007309,0.000798145,0.0007426,0.000713475,0.000776173,0.000773346,0.000761017,0.000771869,0.000860306,0.000865464,0.000771459,0.000839619,0.00066225
-9.41353,0.000695689,0.000772685,0.000714543,0.000683495,0.000728,0.000731391,0.00071056,0.000732689,0.000829877,0.000812317,0.000750748,0.000785081,0.000647461
-8.91353,0.000654314,0.000734695,0.000689095,0.000654218,0.000672039,0.000692268,0.000655899,0.000687402,0.000790754,0.000757831,0.000728827,0.000727738,0.000631008
-8.41353,0.000619462,0.000692054,0.000680528,0.000634718,0.000619829,0.000669739,0.000610403,0.000644138,0.000749241,0.00071665,0.000708191,0.000680554,0.000615629
-7.91353,0.000608481,0.000667735,0.000703013,0.00063034,0.000595456,0.000678136,0.000594393,0.000614261,0.000719439,0.000704957,0.000693802,0.000659214,0.000601353
-7.41353,0.000631852,0.00067937,0.000758173,0.000644485,0.000609954,0.000718953,0.000612584,0.000606406,0.000712175,0.000729878,0.000693795,0.000671283,0.000588878
-6.91353,0.000691265,0.000732408,0.000837538,0.000682382,0.000660321,0.000788156,0.000664121,0.0006289,0.000731972,0.000787843,0.000724977,0.000716508,0.000582743
-6.41353,0.0007756,0.000814871,0.000924667,0.000751369,0.00073567,0.000872626,0.000742222,0.000681903,0.000776203,0.000866033,0.000795999,0.000789544,0.000587782
-5.91353,0.000868769,0.000909287,0.00100813,0.000853028,0.000813622,0.000954159,0.000829736,0.000758991,0.000839203,0.000946141,0.000892901,0.000873673,0.000610124
-5.41353,0.000947715,0.00099975,0.0010855,0.000960967,0.000865438,0.00101416,0.000901736,0.000838663,0.000903958,0.00100761,0.000981481,0.000945311,0.000647825
-4.91353,0.000993945,0.00106957,0.00115124,0.00103587,0.000877002,0.00103861,0.00093359,0.000894322,0.00095358,0.00103557,0.0010347,0.000984582,0.000693445
-4.41353,0.00100105,0.00110491,0.00119965,0.00105102,0.000853514,0.00102951,0.000918737,0.000908316,0.000980426,0.00102691,0.00103717,0.000983979,0.0007383
-3.91353,0.000975954,0.00110066,0.0012233,0.00100517,0.000821791,0.000999732,0.000873142,0.000879765,0.000987287,0.000990601,0.000993352,0.000954868,0.000771622
