Arc_length vs Data,010_06months_DTI_antsBM,012_06months_DTI_antsBM,013_05months_DTI_antsBM,014_05months_DTI_antsBM,016_04months_DTI_antsBM,019_04months_DTI_antsBM,020_05months_DTI_antsBM,021_05months_DTI_antsBM,022_05months_DTI_antsBM,023_05months_DTI_antsBM,025_04months_DTI_antsBM,028_04months_DTI_antsBM,029_04months_DTI_antsBM,030_04months_DTI_antsBM,031_04months_DTI_antsBM,032_06months_DTI_antsBM,035_06months_DTI_antsBM,036_06months_DTI_antsBM,Atlas
-20.6662,0.00110804,0.00103199,0.00106928,0.000702558,0.000885859,0.000992539,0.000910016,0.00117591,0.000812124,0.00102559,0.000432474,0.000820189,0.00123854,0.000898706,0.000988279,0.00118453,0.0015078,0.00114674,0.000704619
-20.1662,0.00105343,0.000959554,0.000864389,0.000694285,0.000828329,0.00095713,0.000852543,0.00106933,0.000799038,0.00101296,0.000351129,0.000779075,0.00110043,0.000766121,0.000872874,0.00108616,0.00129217,0.00101622,0.000599895
-19.6662,0.000999313,0.000911676,0.000702942,0.000692199,0.000837137,0.000928127,0.00081129,0.000974295,0.000793442,0.000983117,0.000359919,0.000774482,0.00100093,0.000703663,0.000803851,0.00100135,0.00112476,0.000916468,0.000521209
-19.1662,0.00096063,0.00084832,0.000620384,0.000691588,0.000850659,0.000874308,0.000815534,0.000926061,0.000790445,0.000926941,0.000391441,0.00075972,0.000962065,0.000677848,0.000746366,0.000956966,0.0010155,0.000865015,0.000491329
-18.6662,0.000912582,0.000800074,0.000551618,0.000709976,0.000843106,0.000816743,0.000829625,0.000892832,0.000765244,0.000866132,0.000456059,0.000744226,0.000927888,0.000677944,0.000697552,0.000915805,0.000924508,0.00083106,0.00047218
-18.1662,0.00087042,0.000782335,0.000546288,0.000722654,0.000834714,0.000798308,0.000837864,0.000861732,0.000772951,0.000827113,0.000527394,0.000753092,0.000906785,0.000695857,0.000696324,0.000892003,0.000871412,0.000817408,0.000495383
-17.6662,0.000831024,0.00077579,0.000581107,0.000727478,0.000818478,0.000794442,0.000836333,0.000827232,0.000789327,0.000795826,0.000588587,0.000753528,0.000880291,0.000711772,0.000706883,0.000869476,0.000835758,0.000811251,0.000536559
-17.1662,0.000791068,0.000772783,0.000637082,0.000727144,0.000795925,0.000794939,0.000823594,0.000784527,0.000799785,0.000768909,0.00063621,0.000748011,0.000841727,0.00072355,0.000719622,0.000841007,0.000804962,0.000804973,0.000580555
-16.6662,0.000751535,0.000760754,0.000705189,0.000718458,0.000769868,0.000788041,0.000802075,0.000734524,0.000801497,0.000739503,0.00066671,0.000735714,0.000794014,0.000728871,0.000728638,0.000805828,0.000773598,0.000793783,0.000624702
-16.1662,0.000718236,0.00073892,0.00075452,0.000707694,0.000741872,0.000764146,0.000780055,0.000690873,0.000781699,0.000709789,0.000677392,0.000715337,0.000746747,0.000727186,0.000723807,0.000769098,0.000741985,0.000777308,0.000651962
-15.6662,0.000696045,0.000715928,0.000776599,0.000698734,0.00071922,0.000734268,0.00076438,0.000662332,0.000755386,0.000689005,0.000678227,0.000702765,0.000712639,0.000723776,0.000715404,0.000741755,0.000716034,0.000759281,0.000665227
-15.1662,0.000683259,0.000698296,0.000776525,0.000692165,0.000704107,0.000707938,0.000755637,0.000648147,0.000734529,0.000679401,0.000677622,0.000698808,0.000692848,0.000720056,0.000707534,0.000725368,0.000698862,0.000741578,0.000669952
-14.6662,0.000674532,0.000685456,0.000763006,0.000687857,0.000694423,0.000688115,0.000751613,0.000641816,0.000720238,0.000677251,0.000676713,0.000699142,0.000681812,0.000714372,0.000698083,0.000716676,0.000689502,0.000725597,0.000667742
-14.1662,0.000662386,0.000670221,0.000739675,0.000682389,0.000684554,0.000669106,0.000746449,0.000633071,0.000705372,0.000672945,0.000671955,0.000697068,0.000670018,0.000704196,0.000682464,0.000707119,0.000680906,0.000707118,0.0006584
-13.6662,0.00064396,0.000649385,0.000707892,0.000672704,0.000670662,0.000645824,0.000736462,0.000616207,0.000684528,0.00066099,0.0006602,0.000687891,0.000653318,0.00068836,0.000660252,0.000691973,0.000667889,0.00068402,0.000642695
