Arc_length vs Data,010_06months_DTI_antsBM,012_06months_DTI_antsBM,013_05months_DTI_antsBM,014_05months_DTI_antsBM,016_04months_DTI_antsBM,019_04months_DTI_antsBM,020_05months_DTI_antsBM,021_05months_DTI_antsBM,022_05months_DTI_antsBM,023_05months_DTI_antsBM,025_04months_DTI_antsBM,028_04months_DTI_antsBM,029_04months_DTI_antsBM,030_04months_DTI_antsBM,031_04months_DTI_antsBM,032_06months_DTI_antsBM,035_06months_DTI_antsBM,036_06months_DTI_antsBM,Atlas
-26.477,0.000845232,0.000753325,0.000720819,0.000705,0.000746818,0.000819136,0.00101648,0.000711171,0.000764107,0.000745045,0.000765036,0.000781031,0.000751798,0.000744334,0.000743136,0.000769267,0.000846895,0.000856783,0.000764148
-25.977,0.000846111,0.000782895,0.000729926,0.000709467,0.000768933,0.000845387,0.00103847,0.000732972,0.00077441,0.00074434,0.000822807,0.000792331,0.000753597,0.000746092,0.000761937,0.000771394,0.000864168,0.000876895,0.000767698
-25.477,0.000847842,0.000808745,0.00074373,0.000712614,0.000790918,0.000867199,0.00105351,0.000762071,0.000793427,0.000742413,0.000889619,0.000804126,0.000754669,0.000750475,0.000781921,0.000776902,0.000880686,0.000886182,0.000771101
-24.977,0.000842369,0.000828315,0.000751235,0.000712493,0.00080598,0.000877347,0.00104442,0.000785904,0.000814761,0.000735608,0.000944307,0.000811765,0.000751085,0.000754476,0.000796241,0.000780052,0.000881462,0.000876292,0.000769072
-24.477,0.000814914,0.000825432,0.000739983,0.000702036,0.000797756,0.000856274,0.000999636,0.00078392,0.000818639,0.000718952,0.000940456,0.000802414,0.000736829,0.000748069,0.000788079,0.000770528,0.000853337,0.000835518,0.000752194
-23.977,0.000769916,0.000789034,0.0007143,0.000695823,0.000769959,0.000806074,0.000934303,0.000752847,0.000801428,0.000695897,0.000885519,0.000771736,0.000720887,0.000735659,0.000756981,0.000746218,0.000806956,0.000778975,0.000726287
-23.477,0.000723887,0.000735266,0.00068734,0.000705615,0.000730439,0.000749431,0.000865281,0.00070884,0.000775832,0.000675003,0.000809666,0.000731243,0.000709723,0.000719666,0.000713256,0.00071685,0.000759237,0.000728373,0.000704221
-22.977,0.000685477,0.000684599,0.000662534,0.000694568,0.000691402,0.00069943,0.000809391,0.000667962,0.000748079,0.000657871,0.000735497,0.000694426,0.000695507,0.000700235,0.000670592,0.000689415,0.000719101,0.000688706,0.000684801
-22.477,0.000656499,0.000641548,0.000642268,0.000670472,0.000661415,0.000657177,0.000767804,0.000636815,0.00072315,0.000645442,0.000681021,0.000665652,0.000678369,0.0006811,0.000637102,0.000667219,0.000686063,0.000660299,0.000672638
-21.977,0.000638976,0.000614027,0.000626918,0.000641145,0.000641799,0.000626734,0.000742565,0.000620437,0.000704176,0.000637727,0.000647728,0.000648371,0.00065793,0.000662721,0.000616879,0.000654903,0.000662459,0.000643349,0.000669336
-21.477,0.000633893,0.000604308,0.00061633,0.000612452,0.000635746,0.000609848,0.000732783,0.000619805,0.000693046,0.000635226,0.0006349,0.000644596,0.000638566,0.000651587,0.000613907,0.000652483,0.000650169,0.000638886,0.000673396
-20.977,0.000640166,0.000606521,0.000613527,0.000606662,0.000637298,0.00060708,0.000729056,0.00063044,0.000692471,0.000638922,0.00063538,0.000651918,0.000628688,0.000651584,0.000622335,0.000657169,0.000650407,0.000646434,0.000683029
-20.477,0.000652898,0.000613499,0.00061866,0.000613034,0.00063831,0.000615538,0.000724139,0.000644105,0.000699427,0.000645877,0.000636906,0.000665948,0.000628766,0.000661258,0.000633981,0.000662717,0.000659382,0.000660101,0.000690037
-19.977,0.000665565,0.000618054,0.000631737,0.000619747,0.000637495,0.000628905,0.000717386,0.000654425,0.000707899,0.000652901,0.000638467,0.000682042,0.000636789,0.000677019,0.000644112,0.000664874,0.000670219,0.000673596,0.000690064
-19.477,0.000670415,0.000616194,0.000647102,0.000626061,0.00063536,0.000639055,0.000713271,0.000656921,0.000709594,0.000654804,0.000641534,0.000692307,0.000646578,0.000691029,0.000648695,0.000663182,0.000676295,0.000680596,0.000682155
