Arc_length vs Data,010_06months_DTI_antsBM,012_06months_DTI_antsBM,013_05months_DTI_antsBM,014_05months_DTI_antsBM,016_04months_DTI_antsBM,019_04months_DTI_antsBM,020_05months_DTI_antsBM,021_05months_DTI_antsBM,022_05months_DTI_antsBM,023_05months_DTI_antsBM,025_04months_DTI_antsBM,028_04months_DTI_antsBM,029_04months_DTI_antsBM,030_04months_DTI_antsBM,031_04months_DTI_antsBM,032_06months_DTI_antsBM,035_06months_DTI_antsBM,036_06months_DTI_antsBM,Atlas
-28.5681,0.000666325,0.000602958,0.00064721,0.000739195,0.00073253,0.000613005,0.000680796,0.000633461,0.000686694,0.000665707,0.000659524,0.00066179,0.00064442,0.000672809,0.000644833,0.000701136,0.000638277,0.000695262,0.000689453
-28.0681,0.000666384,0.000623201,0.000645434,0.000735146,0.000731736,0.000622392,0.000681097,0.000643299,0.00068729,0.00066116,0.000665487,0.000667754,0.000652851,0.000670361,0.000639734,0.000707118,0.000653978,0.000694935,0.000685772
-27.5681,0.000673655,0.000649079,0.000652639,0.00073231,0.000733737,0.000639848,0.000694358,0.000656411,0.000696714,0.000668797,0.000671185,0.000681022,0.000666624,0.000675242,0.000641528,0.000718856,0.000671387,0.000701306,0.000681828
-27.0681,0.000681452,0.000674806,0.000663001,0.00072816,0.000736839,0.000660025,0.000709629,0.000668043,0.000708768,0.000680204,0.000676232,0.00069424,0.000677155,0.000683826,0.000648234,0.000730152,0.000688362,0.000710235,0.000676647
-26.5681,0.00068606,0.000695762,0.000670675,0.000719909,0.000737575,0.000675849,0.000717406,0.000675761,0.000718892,0.000690003,0.000679884,0.000704157,0.000681499,0.000691454,0.000656764,0.000739412,0.000701989,0.000716882,0.000669598
-26.0681,0.000687833,0.000711814,0.000675975,0.000708936,0.000737922,0.000686427,0.00071951,0.00068019,0.00072645,0.00069857,0.00068303,0.000712227,0.00068148,0.000697068,0.000665601,0.000747458,0.000711615,0.000721591,0.000661126
-25.5681,0.000686345,0.000722205,0.000678155,0.00069663,0.000737307,0.000690776,0.00071754,0.000681998,0.000729289,0.000704692,0.000686189,0.00071869,0.00067741,0.000698935,0.000673848,0.000753234,0.00071568,0.000725023,0.000651024
-25.0681,0.000683318,0.000725153,0.00067738,0.000684874,0.000735703,0.000688507,0.00071441,0.000681828,0.000725168,0.000707563,0.00068897,0.000722836,0.000671607,0.00069754,0.000680941,0.00075601,0.00071385,0.000728633,0.000639653
-24.5681,0.000682881,0.000720781,0.00067618,0.000675493,0.000734125,0.000682564,0.000713425,0.00067951,0.000715194,0.000706973,0.000690923,0.000721627,0.000666522,0.000696891,0.000686033,0.000755989,0.000709785,0.000733744,0.000628749
-24.0681,0.000685893,0.000711653,0.000675397,0.000664967,0.000730095,0.000675519,0.000712317,0.000671432,0.000702688,0.000701284,0.000688569,0.000711026,0.0006611,0.000697598,0.000687125,0.000753721,0.000705926,0.000736759,0.000618298
-23.5681,0.000690484,0.000702303,0.000674967,0.000649795,0.000721377,0.000668409,0.000709166,0.000653946,0.000690926,0.000690207,0.000679031,0.000690304,0.000653994,0.000696187,0.00068103,0.00074875,0.000701037,0.000732902,0.000607067
-23.0681,0.000689475,0.000692256,0.000670505,0.000629744,0.000704806,0.000657461,0.000702435,0.000629613,0.000678778,0.000673004,0.000661594,0.000662949,0.00064321,0.000687614,0.000665002,0.000737566,0.000689293,0.000719118,0.000593163
-22.5681,0.000673869,0.000673936,0.000656558,0.000606252,0.000677201,0.000638156,0.000689176,0.000602383,0.000661379,0.000647422,0.000636304,0.000631337,0.000626936,0.000667794,0.000639385,0.000715455,0.000663684,0.000693899,0.000575069
-22.0681,0.000642673,0.000640566,0.000631458,0.00058177,0.000641998,0.000610337,0.000667152,0.000576078,0.000635724,0.000613881,0.000605237,0.00059895,0.000605773,0.000638435,0.000607855,0.000681348,0.000625576,0.000658161,0.000553024
-21.5681,0.000601537,0.000592697,0.000599143,0.000559252,0.000606838,0.000578068,0.00063659,0.000551713,0.000602586,0.00057425,0.000571874,0.000570877,0.000581517,0.000604596,0.000574602,0.000639028,0.000583568,0.000616812,0.000528986
-21.0681,0.00056288,0.000542483,0.000568324,0.000541289,0.000579124,0.000548412,0.000603435,0.000527968,0.000567573,0.000534424,0.000540914,0.000550799,0.000556639,0.00057302,0.000543018,0.000595996,0.000547373,0.000577218,0.00050544
-20.5681,0.000534209,0.000503308,0.000545291,0.000529339,0.000561112,0.000524458,0.00057345,0.000506342,0.000535554,0.000501512,0.00051741,0.000538476,0.000533407,0.000549312,0.000515098,0.000559724,0.000521367,0.000544857,0.000483851
-20.0681,0.000514681,0.000481297,0.000530394,0.000521439,0.000547144,0.000506029,0.000547651,0.00048903,0.000510944,0.000479993,0.000502772,0.000528784,0.000513179,0.000535162,0.000492897,0.000536269,0.000503712,0.000522029,0.000464737
-19.5681,0.000499882,0.000472242,0.00052007,0.000513149,0.000531134,0.000491756,0.000524765,0.000474473,0.000496564,0.000470571,0.000492378,0.000516376,0.000496376,0.000527333,0.000477866,0.000526668,0.000490609,0.000506423,0.000447863
-19.0681,0.000484605,0.000467686,0.000508951,0.000501317,0.000511078,0.000480481,0.000505403,0.000458635,0.000489995,0.000467997,0.000479917,0.000499684,0.00048194,0.000518948,0.000468802,0.000524093,0.000477819,0.000493984,0.000432562
-18.5681,0.000467614,0.000462126,0.000493663,0.000485804,0.000489667,0.000471446,0.000492729,0.000440137,0.000485185,0.000464936,0.000462372,0.000480987,0.00046809,0.000505626,0.000461607,0.000519042,0.000462981,0.000482577,0.000418734
-18.0681,0.000449404,0.00045401,0.00047456,0.000468306,0.000471399,0.000463111,0.000488044,0.000421,0.000475029,0.000456846,0.000441555,0.000462966,0.000453338,0.000487488,0.000451774,0.00050417,0.000445516,0.000469642,0.000407534
-17.5681,0.000432237,0.000444596,0.000455895,0.000451441,0.000458986,0.000455514,0.000489889,0.000405086,0.000457782,0.000444811,0.000421858,0.000448168,0.000439183,0.000468495,0.000438477,0.00048089,0.000426588,0.000454206,0.000401538
-17.0681,0.000419034,0.000435631,0.000443414,0.000438408,0.000453296,0.000450134,0.000495168,0.000394528,0.000438245,0.000433901,0.000407012,0.000439682,0.000429896,0.000454632,0.000425829,0.000457576,0.000411639,0.000439213,0.000403949
-16.5681,0.000414708,0.000430541,0.000442368,0.00043325,0.000455251,0.000449698,0.000503792,0.000391209,0.00042505,0.000429517,0.000400987,0.000440145,0.00043098,0.000451964,0.000420744,0.000444969,0.00040791,0.000431443,0.000417183
