Arc_length vs Data,010_06months_DTI_antsBM,012_06months_DTI_antsBM,013_05months_DTI_antsBM,014_05months_DTI_antsBM,016_04months_DTI_antsBM,019_04months_DTI_antsBM,020_05months_DTI_antsBM,021_05months_DTI_antsBM,022_05months_DTI_antsBM,023_05months_DTI_antsBM,025_04months_DTI_antsBM,028_04months_DTI_antsBM,029_04months_DTI_antsBM,030_04months_DTI_antsBM,031_04months_DTI_antsBM,032_06months_DTI_antsBM,035_06months_DTI_antsBM,036_06months_DTI_antsBM,Atlas
-30.2452,0.000770368,0.000733022,0.000743072,0.000760294,0.000837545,0.000808133,0.000832574,0.000703473,0.000814944,0.000792727,0.000699683,0.000846984,0.000688163,0.000761259,0.000780694,0.000840906,0.000689705,0.000815625,0.000704142
-29.7452,0.000741692,0.00070686,0.000741313,0.000737174,0.000831588,0.000767982,0.000774891,0.000536754,0.000820288,0.000743996,0.000696299,0.000840981,0.000697884,0.000738323,0.000769731,0.000788482,0.000689857,0.000804151,0.000635653
-29.2452,0.000708929,0.000695059,0.000722564,0.000727648,0.000804444,0.000729017,0.000730242,0.000536106,0.000810334,0.000680481,0.000665441,0.000792809,0.000677825,0.000734835,0.00075369,0.000742051,0.000688593,0.000772738,0.00059282
-28.7452,0.000685202,0.000695787,0.000706478,0.000728221,0.000779704,0.00072622,0.000700833,0.000607218,0.000798345,0.000616136,0.000614918,0.00072708,0.000652027,0.00074699,0.000729559,0.000725452,0.000689822,0.000750771,0.00058068
-28.2452,0.000673271,0.000698482,0.000699145,0.000729619,0.000753144,0.000729093,0.000687461,0.00066545,0.000787246,0.000587302,0.000583919,0.000693086,0.000649582,0.000753769,0.0007168,0.000727922,0.000693448,0.000754234,0.000593467
-27.7452,0.000668133,0.000701323,0.000690893,0.000726629,0.000724917,0.000728064,0.00068919,0.000713466,0.000775776,0.000590369,0.000560977,0.000672416,0.000659811,0.000755596,0.000710114,0.000744859,0.00069887,0.000764827,0.000615565
-27.2452,0.000676925,0.000696516,0.000692405,0.000720017,0.000708602,0.000719935,0.000702715,0.000729383,0.000764546,0.00063341,0.000558003,0.000678791,0.000676651,0.000750823,0.000708032,0.000764227,0.000699977,0.000775532,0.000642375
-26.7452,0.000690235,0.000684342,0.000696821,0.000708173,0.000701846,0.000700695,0.000721605,0.000711619,0.000753221,0.000687023,0.000567706,0.00069921,0.000694609,0.000738284,0.000704794,0.000772141,0.000696341,0.000777503,0.000662132
-26.2452,0.000701252,0.000671645,0.000699547,0.000697026,0.000706542,0.000683384,0.000740196,0.000690189,0.000743468,0.000716575,0.00057518,0.000711589,0.000701181,0.000727985,0.000695313,0.000763997,0.000690006,0.000763311,0.000670309
-25.7452,0.000709832,0.000665577,0.000703363,0.000691405,0.000718463,0.000676137,0.00075651,0.000678098,0.000736518,0.000716248,0.000584863,0.000717825,0.000702064,0.000724569,0.000683504,0.000746706,0.000685091,0.000744856,0.000674528
