Arc_length vs Data,010_06months_DTI_antsBM,012_06months_DTI_antsBM,013_05months_DTI_antsBM,014_05months_DTI_antsBM,016_04months_DTI_antsBM,019_04months_DTI_antsBM,020_05months_DTI_antsBM,021_05months_DTI_antsBM,022_05months_DTI_antsBM,023_05months_DTI_antsBM,025_04months_DTI_antsBM,028_04months_DTI_antsBM,029_04months_DTI_antsBM,030_04months_DTI_antsBM,031_04months_DTI_antsBM,032_06months_DTI_antsBM,035_06months_DTI_antsBM,036_06months_DTI_antsBM,Atlas
-20.1959,0.000631439,0.000636721,0.00070989,0.000667191,0.000710379,0.000664471,0.000822597,0.000796137,0.000689969,0.000718448,0.000735612,0.000672343,0.00069674,0.000699298,0.00066611,0.000756437,0.00067944,0.000775987,0.00071179
-19.6959,0.000630755,0.000637651,0.000699925,0.000663861,0.000703449,0.000647905,0.000812472,0.00077655,0.000687959,0.000707527,0.000721709,0.000681003,0.000689991,0.000694546,0.000663754,0.000733311,0.000667697,0.00074016,0.000701274
-19.1959,0.000637794,0.000644725,0.000697027,0.000669638,0.000705557,0.000646993,0.000808278,0.000775089,0.00069109,0.000706809,0.000718588,0.000689667,0.000687828,0.000697294,0.000668709,0.000726507,0.000668051,0.000735425,0.000694122
-18.6959,0.000653453,0.000659158,0.000700922,0.000690178,0.000716685,0.000664677,0.000808011,0.000790335,0.000703442,0.000716261,0.000727306,0.000701393,0.00069081,0.000711771,0.000685793,0.000735518,0.000680444,0.000756937,0.000690135
-18.1959,0.000684132,0.000685584,0.000710643,0.00072784,0.000737192,0.000704117,0.000814039,0.000819667,0.000730185,0.000737672,0.000749511,0.00072267,0.000701268,0.000744426,0.000720784,0.000760533,0.000707422,0.000806916,0.000692459
-17.6959,0.00072979,0.000728377,0.000726708,0.000781824,0.000766367,0.000767693,0.000828501,0.000865351,0.000773637,0.000772824,0.000786766,0.000756202,0.000724487,0.000800283,0.000774319,0.000802316,0.000750072,0.000883743,0.000705197
-17.1959,0.000784176,0.000786834,0.000747602,0.000843338,0.000799298,0.000848908,0.000851774,0.000923525,0.000829196,0.000818094,0.00083599,0.000798135,0.000764597,0.000876489,0.000838118,0.000856377,0.000804018,0.000972557,0.000734617
-16.6959,0.000822133,0.000839857,0.000763347,0.000884275,0.000819892,0.000913316,0.000876152,0.000968223,0.000872891,0.000853116,0.000876546,0.00082889,0.000810657,0.000940762,0.000881644,0.000897856,0.0008466,0.00102263,0.000779921
-16.1959,0.00082636,0.000862758,0.000766478,0.000894054,0.000819493,0.000937153,0.000889306,0.00097698,0.000886147,0.000862958,0.000890701,0.000833141,0.000840294,0.000961684,0.000885255,0.000908472,0.000858616,0.00100612,0.000827738
-15.6959,0.000799562,0.00084546,0.000756591,0.000885788,0.000799881,0.00092538,0.000883846,0.00094245,0.000870088,0.000848428,0.000876317,0.000815176,0.000837362,0.00093702,0.000854844,0.000888149,0.000837506,0.000937715,0.000864676
-15.1959,0.000755048,0.000801379,0.000740815,0.000880467,0.000770112,0.000900311,0.000861451,0.000878307,0.00083892,0.00082064,0.000844185,0.000793369,0.000805291,0.000891786,0.000810026,0.000853088,0.000794738,0.000859149,0.000884087
-14.6959,0.000709488,0.000759346,0.000730546,0.000891811,0.00074125,0.000883843,0.000831684,0.000810572,0.00080604,0.000790571,0.000809995,0.000782014,0.000765681,0.000855788,0.000770153,0.000822726,0.000747918,0.000810119,0.000888143
-14.1959,0.000679469,0.000748393,0.000736719,0.000925084,0.00072661,0.000886896,0.000806848,0.000764203,0.000778449,0.00076661,0.00078924,0.000783747,0.000743171,0.00084528,0.000749457,0.000810328,0.000716236,0.000809096,0.000885477
