Arc_length vs Data,010_06months_DTI_antsBM,012_06months_DTI_antsBM,013_05months_DTI_antsBM,014_05months_DTI_antsBM,016_04months_DTI_antsBM,019_04months_DTI_antsBM,020_05months_DTI_antsBM,021_05months_DTI_antsBM,022_05months_DTI_antsBM,023_05months_DTI_antsBM,025_04months_DTI_antsBM,028_04months_DTI_antsBM,029_04months_DTI_antsBM,030_04months_DTI_antsBM,031_04months_DTI_antsBM,032_06months_DTI_antsBM,035_06months_DTI_antsBM,036_06months_DTI_antsBM,Atlas
-20.2523,0.000671609,0.000657142,0.000660645,0.0006416,0.000676677,0.000648712,0.00074751,0.000723224,0.000682635,0.00067772,0.000622152,0.000665763,0.000636366,0.000671066,0.000666491,0.000694054,0.000693138,0.000686774,0.00070338
-19.7523,0.000674041,0.000661468,0.000661905,0.000639868,0.000675514,0.0006444,0.000736006,0.000714291,0.000683623,0.000667222,0.000619269,0.000667554,0.000637648,0.000671836,0.000664326,0.000688057,0.000686271,0.000693577,0.000694267
-19.2523,0.000678565,0.000665533,0.000663211,0.00064508,0.000682156,0.000650455,0.00073407,0.00071796,0.000688382,0.000670011,0.000625383,0.000670929,0.000641937,0.000679607,0.000664792,0.00069125,0.000685843,0.000698303,0.000689278
-18.7523,0.000689533,0.000673239,0.000666883,0.000656872,0.000697064,0.000670895,0.000744787,0.000728545,0.000701443,0.000683215,0.000640381,0.000679565,0.000652743,0.000699543,0.000674227,0.00070399,0.000691496,0.000710631,0.000688492
-18.2523,0.000708767,0.000689157,0.000675309,0.000675404,0.00072207,0.000708038,0.000773661,0.000748494,0.000724207,0.000708936,0.000668671,0.000696388,0.000674213,0.000734512,0.000696179,0.000727622,0.000705488,0.000737038,0.000695502
-17.7523,0.00073705,0.000717136,0.000691022,0.000703346,0.000758939,0.000762057,0.000824095,0.000779885,0.000757578,0.000747768,0.000714158,0.000724341,0.000710857,0.000784928,0.000731949,0.000762532,0.000731263,0.00077916,0.000715898
-17.2523,0.000768692,0.000754027,0.000712803,0.00073595,0.000798406,0.000817955,0.000884162,0.000815802,0.000792601,0.000789457,0.000766877,0.000757932,0.000757786,0.000837075,0.000769907,0.000800187,0.000765288,0.000828257,0.000752643
-16.7523,0.000792184,0.000786233,0.000735019,0.000765068,0.000826366,0.000855154,0.000930779,0.000845521,0.000816731,0.000819987,0.000808213,0.000784547,0.000800337,0.000870782,0.000791473,0.000826729,0.000795921,0.000862119,0.00080157
-16.2523,0.000796216,0.000794734,0.00074888,0.000783459,0.000828789,0.000863047,0.00094281,0.000855715,0.000822545,0.000830676,0.000819635,0.000793892,0.000820027,0.000873932,0.00078693,0.000831715,0.000807861,0.000862575,0.000848193
-15.7523,0.00077881,0.000775283,0.000751871,0.000791617,0.000805113,0.000852101,0.000924168,0.000844009,0.000813611,0.000826904,0.00080197,0.000789176,0.000812954,0.000857308,0.000765667,0.000819051,0.000795941,0.000838614,0.000881487
-15.2523,0.000746507,0.000741825,0.000747657,0.000797033,0.000768012,0.000840063,0.000896065,0.000817521,0.000797155,0.000817315,0.000770022,0.000781385,0.000790515,0.00084096,0.000744982,0.000799682,0.00076677,0.000815223,0.000899396
