Arc_length vs Data,010_06months_DTI_antsBM,012_06months_DTI_antsBM,013_05months_DTI_antsBM,014_05months_DTI_antsBM,016_04months_DTI_antsBM,019_04months_DTI_antsBM,020_05months_DTI_antsBM,021_05months_DTI_antsBM,022_05months_DTI_antsBM,023_05months_DTI_antsBM,025_04months_DTI_antsBM,028_04months_DTI_antsBM,029_04months_DTI_antsBM,030_04months_DTI_antsBM,031_04months_DTI_antsBM,032_06months_DTI_antsBM,035_06months_DTI_antsBM,036_06months_DTI_antsBM,Atlas
-14.9789,1.10605e-05,0.000293109,0.000193665,0.00145089,0.000347313,0.00123693,0.000220807,0.000976972,0.000220866,0.000762202,0.000713013,0.00154542,0.000941957,0.000345367,0.00078999,0.000437013,6.37801e-06,1.98861e-05,5.12317e-07
-14.4789,1.58654e-05,0.000242667,0.00017096,0.00142063,0.000422251,0.00125379,0.000182389,0.000979376,0.000248445,0.000746749,0.000679756,0.0015257,0.000926812,0.000339731,0.00078012,0.000422506,6.63215e-06,2.80116e-05,1.03859e-06
-13.9789,2.78546e-05,0.000204635,0.000143132,0.00138171,0.000487257,0.0012495,0.000144126,0.000974092,0.000245667,0.000746005,0.000672503,0.00148234,0.000893853,0.000318722,0.000767577,0.000424152,1.04861e-05,3.48975e-05,2.04234e-06
-13.4789,7.11678e-05,0.000185625,0.00010969,0.00133407,0.000558895,0.0012478,0.000116241,0.000968502,0.000212033,0.00077116,0.000673774,0.00142016,0.000843856,0.000275165,0.000752854,0.00041279,1.78261e-05,4.10113e-05,3.20771e-06
-12.9789,0.000123547,0.000211237,7.90789e-05,0.00127767,0.000666737,0.00125162,8.04305e-05,0.000971657,0.00014818,0.000798164,0.000675764,0.0013104,0.0007948,0.000214817,0.000746508,0.000379452,2.20001e-05,4.89063e-05,4.58099e-06
-12.4789,0.000127096,0.000307471,6.94441e-05,0.00123194,0.000763087,0.00125391,6.74755e-05,0.000988463,7.7694e-05,0.000814107,0.000667817,0.00127857,0.000803964,0.000155754,0.000756521,0.000376883,2.18857e-05,6.34064e-05,6.25614e-06
-11.9789,9.71079e-05,0.000404407,7.40076e-05,0.00119051,0.000842623,0.00124778,6.83841e-05,0.00100872,3.59292e-05,0.000786474,0.000658021,0.00131767,0.000855087,0.000118372,0.00079254,0.00042832,2.12533e-05,0.000101787,7.41929e-06
-11.4789,6.96009e-05,0.000445268,0.000109907,0.00109787,0.000897822,0.00121787,0.000114709,0.00102741,7.68323e-05,0.000722916,0.000672697,0.00133852,0.000922568,0.000143688,0.000853841,0.00054638,4.58641e-05,0.000147676,9.08074e-06
-10.9789,9.96476e-05,0.000429081,0.000235553,0.00091158,0.000892113,0.00116335,0.000263323,0.0010263,0.000261128,0.000644438,0.00069328,0.00130686,0.000956361,0.00028208,0.000907106,0.0007216,0.000156941,0.000223082,1.15204e-05
-10.4789,0.000158761,0.000389411,0.000377415,0.000751787,0.000862214,0.00111891,0.000427054,0.00100364,0.000447437,0.000592659,0.000721665,0.00124001,0.000949888,0.000442958,0.000927822,0.000856602,0.000298517,0.000289374,1.49061e-05
-9.97891,0.000210384,0.000376189,0.000505916,0.000659306,0.000824091,0.00107716,0.000502744,0.000963309,0.000594607,0.000592988,0.000716779,0.00116094,0.000949742,0.000578278,0.000919345,0.000938013,0.000431991,0.000344614,2.04244e-05
-9.47891,0.000245414,0.000406381,0.000600508,0.000635242,0.000791179,0.00102442,0.000543703,0.000903692,0.000681096,0.000624324,0.000653851,0.00108034,0.000952442,0.000664871,0.000890744,0.00097171,0.000534996,0.000409473,2.96757e-05
-8.97891,0.00026738,0.000460863,0.000648581,0.000654904,0.000764152,0.000943548,0.000569966,0.000827447,0.000701092,0.000663074,0.000590028,0.000981559,0.000954443,0.000698891,0.000850272,0.000961935,0.000600078,0.000478684,4.59658e-05
-8.47891,0.000295151,0.000506409,0.00067109,0.000662524,0.000728776,0.000833089,0.000625675,0.000746025,0.000694421,0.000682931,0.000554557,0.000852585,0.000939542,0.000709707,0.000802267,0.000912762,0.000641766,0.000542624,7.33687e-05
-7.97891,0.000331062,0.000521072,0.000669029,0.000643358,0.000683983,0.000720217,0.000764126,0.000671805,0.000666872,0.000668436,0.000572187,0.00073181,0.000896678,0.000712822,0.00074373,0.000829266,0.000668731,0.000582181,0.000119578
-7.47891,0.000368248,0.000504385,0.000644674,0.000609517,0.00063714,0.000628731,0.000881476,0.000615295,0.000629319,0.000636294,0.000626676,0.000642701,0.000844495,0.000710255,0.000679222,0.000731194,0.0006783,0.000585244,0.000188575
-6.97891,0.000397257,0.000479123,0.000605315,0.000575565,0.000593479,0.000566277,0.000937534,0.000576467,0.00059385,0.000602466,0.000652012,0.000585088,0.000789786,0.000698168,0.000616036,0.000640896,0.000662156,0.000565051,0.000273528
-6.47891,0.000415042,0.000467827,0.000563632,0.000549483,0.0005571,0.000528473,0.000926534,0.000550325,0.000568552,0.000572013,0.000635292,0.000552776,0.000730516,0.000673755,0.000559008,0.000573758,0.000628224,0.000545015,0.000358951
-5.97891,0.000420029,0.000465207,0.000531261,0.0005307,0.000527507,0.000503411,0.000846744,0.000529531,0.000551084,0.000543161,0.00059032,0.00053125,0.000666425,0.00063436,0.000513094,0.000527115,0.000588364,0.00052873,0.000424975
-5.47891,0.000415366,0.000458675,0.00050852,0.000515988,0.00050415,0.000484547,0.000748647,0.000511007,0.000537829,0.000516613,0.000534271,0.000513813,0.000603379,0.000587026,0.000483604,0.000490807,0.000552058,0.000512427,0.000460884
-4.97891,0.000406652,0.000441345,0.000490021,0.000502055,0.000486313,0.000468582,0.000666022,0.000495173,0.000525346,0.000492618,0.000478692,0.000496761,0.000547668,0.000540972,0.000469965,0.000460322,0.000520727,0.000489291,0.000468359
-4.47891,0.000397083,0.000418506,0.0004703,0.000484088,0.000470975,0.000450503,0.000603636,0.00048084,0.000509943,0.000468304,0.000429642,0.000476838,0.000501194,0.000500993,0.000464578,0.000435041,0.000493441,0.000465776,0.000457187
-3.97891,0.000391166,0.000403054,0.000450995,0.000464082,0.000459622,0.00043092,0.000558448,0.000469347,0.000494631,0.000443974,0.000393739,0.000458262,0.000468247,0.000469347,0.000460214,0.000421134,0.000475267,0.000454472,0.000438836
-3.47891,0.000392231,0.00039916,0.000437958,0.000445038,0.000454181,0.000414641,0.000523733,0.000462247,0.000485926,0.000421548,0.000374829,0.000446117,0.000451489,0.000444514,0.000454066,0.000420719,0.000468456,0.000457159,0.000420873
-2.97891,0.000400019,0.000402797,0.000434801,0.000430078,0.00045549,0.000406336,0.000500961,0.00046073,0.000487841,0.00040483,0.000374359,0.000444646,0.000451977,0.000428947,0.000449506,0.000429457,0.000469714,0.000463548,0.000407331
-2.47891,0.000409113,0.000409766,0.000439451,0.00042201,0.00046225,0.000410641,0.000490099,0.000465431,0.000497913,0.000396162,0.000388841,0.000452782,0.000466007,0.000426566,0.000450373,0.000441392,0.000474641,0.000464483,0.000400014
-1.97891,0.000416238,0.000417745,0.000447327,0.000420569,0.000469404,0.000425855,0.000489007,0.000474691,0.000509085,0.000394267,0.000409372,0.000465269,0.000486003,0.000439557,0.000454642,0.000453756,0.000482334,0.000461786,0.000398759
-1.47891,0.000423152,0.000427638,0.000456856,0.000424814,0.000472787,0.000443536,0.000494652,0.000484466,0.000515792,0.000399009,0.000428746,0.000478142,0.000504475,0.000464249,0.000458383,0.000467574,0.000494961,0.000461321,0.000402187
-0.978906,0.000432629,0.000442332,0.000469062,0.000433976,0.000474972,0.000454166,0.000504167,0.000493205,0.000518068,0.000412178,0.000443197,0.000490084,0.000517189,0.000491243,0.000462274,0.000481932,0.000508756,0.000467993,0.000408135
-0.478906,0.000448853,0.000463946,0.000487939,0.000449976,0.000484236,0.000452298,0.000518983,0.000503957,0.00051992,0.000436818,0.000453555,0.000504159,0.000525657,0.000514549,0.000471164,0.000492935,0.000517052,0.000482325,0.00041589
0.021094,0.000471267,0.000489677,0.00051522,0.0004726,0.000505091,0.000441961,0.000540994,0.000520262,0.000527529,0.000472704,0.000462235,0.000522948,0.000532862,0.000529395,0.000489284,0.000496018,0.000513746,0.000500433,0.000425771
