Arc_length vs Data,010_06months_DTI_antsBM,012_06months_DTI_antsBM,013_05months_DTI_antsBM,014_05months_DTI_antsBM,016_04months_DTI_antsBM,019_04months_DTI_antsBM,020_05months_DTI_antsBM,021_05months_DTI_antsBM,022_05months_DTI_antsBM,023_05months_DTI_antsBM,025_04months_DTI_antsBM,028_04months_DTI_antsBM,029_04months_DTI_antsBM,030_04months_DTI_antsBM,031_04months_DTI_antsBM,032_06months_DTI_antsBM,035_06months_DTI_antsBM,036_06months_DTI_antsBM,Atlas
-23.5362,0.000700314,0.000867726,0.000778059,0.000841185,0.000922088,0.000860468,0.000536198,0.000854164,0.000863485,0.000916109,0.000672528,0.000841472,0.000950631,0.00100158,0.000854355,0.000719839,0.00095746,0.000754266,0.000482641
-23.0362,0.000642893,0.000850883,0.000735628,0.000797428,0.00090562,0.000844739,0.000599657,0.000830621,0.000818044,0.000856948,0.000717041,0.0007894,0.000919882,0.000957594,0.000827795,0.000704217,0.000932323,0.000739728,0.000469075
-22.5362,0.000628332,0.000824192,0.000702106,0.000754309,0.000880981,0.00081856,0.000656347,0.000796415,0.000772658,0.000793965,0.000751922,0.000743144,0.000876652,0.000903083,0.000791698,0.000690125,0.000880545,0.000722175,0.00046316
-22.0362,0.000630105,0.000790509,0.00067123,0.000713494,0.000845605,0.000783153,0.00071244,0.000753257,0.000731697,0.000719788,0.000753097,0.000707845,0.000827123,0.000835658,0.000753605,0.000678573,0.000816671,0.000703394,0.000470114
-21.5362,0.000634801,0.000741337,0.000641146,0.000661138,0.000789242,0.000734053,0.000780019,0.000697788,0.000683192,0.000636323,0.000725076,0.000674499,0.000762576,0.000743817,0.00070628,0.000660147,0.000736145,0.000673994,0.000492863
-21.0362,0.000655197,0.000687597,0.000625411,0.000607814,0.000722114,0.00068082,0.000826583,0.000645219,0.000643439,0.00057346,0.000664619,0.000657277,0.000699313,0.000647604,0.000663721,0.000635267,0.00066105,0.00063243,0.000533106
-20.5362,0.000660677,0.000639103,0.000621134,0.000560294,0.00065797,0.000634856,0.000827436,0.000607953,0.000615469,0.000549987,0.000593679,0.000644051,0.000648527,0.000571247,0.000632182,0.000600077,0.000611919,0.000576622,0.000577192
-20.0362,0.00064254,0.000595236,0.000613214,0.000515368,0.000603024,0.000598306,0.000779977,0.000580571,0.000589548,0.000546524,0.000549937,0.000613956,0.00060277,0.000522732,0.000602491,0.000557366,0.000576707,0.000510763,0.000606043
-19.5362,0.000605708,0.000551358,0.000590417,0.000479165,0.000557961,0.000565923,0.000699814,0.000551394,0.000564981,0.000531658,0.000531595,0.000561371,0.000557597,0.000499917,0.000571266,0.000518904,0.000542359,0.00045284,0.000614471
-19.0362,0.000561332,0.00050506,0.000558729,0.000456193,0.00052029,0.000539512,0.000615943,0.000523164,0.000543235,0.000500384,0.000521002,0.000503352,0.000520293,0.00049665,0.000544004,0.000497292,0.000513064,0.000420817,0.000608729
-18.5362,0.000529379,0.000464414,0.000530331,0.000443596,0.000496718,0.000519538,0.000555888,0.000503359,0.000528744,0.000469928,0.000510373,0.000460384,0.00049864,0.000505452,0.000530521,0.00049458,0.000501586,0.000418882,0.000599687
-18.0362,0.000525491,0.000439179,0.000516097,0.000437791,0.000490366,0.000501877,0.000535762,0.000499947,0.000524831,0.000459586,0.000501907,0.000440128,0.000491523,0.000515675,0.000532053,0.000506392,0.000509064,0.000437998,0.000594657
-17.5362,0.000546529,0.00043223,0.000517899,0.000434038,0.000494456,0.000483155,0.000563647,0.000508242,0.000528833,0.000469359,0.000498596,0.000435427,0.000490294,0.000518787,0.000540784,0.000522971,0.000522935,0.000465224,0.000596624
-17.0362,0.000570145,0.00043804,0.000527635,0.000431434,0.000496731,0.00046375,0.000631096,0.000516128,0.000534759,0.000483031,0.000497627,0.000429115,0.000486643,0.000513865,0.000541791,0.000536535,0.00052562,0.000492596,0.000601431
-16.5362,0.000571771,0.00045214,0.000539785,0.0004307,0.000488128,0.000449062,0.00070839,0.000512878,0.000539115,0.000487811,0.000491325,0.000416658,0.000481229,0.00050556,0.000530089,0.000543404,0.000513212,0.000514636,0.000603342
-16.0362,0.000539541,0.000474319,0.000545831,0.00043269,0.000473734,0.000445341,0.000760506,0.000494733,0.000540541,0.000485671,0.000480095,0.000406348,0.000476866,0.000501034,0.000509347,0.000541096,0.000495613,0.000527059,0.000594687
-15.5362,0.000491444,0.000512262,0.000540574,0.000439579,0.000468701,0.000456181,0.000763484,0.000471763,0.000541902,0.00047761,0.000470344,0.000411515,0.000475659,0.000505603,0.000492364,0.000533363,0.000487299,0.000531711,0.000573942
-15.0362,0.000457074,0.000566667,0.0005325,0.000449935,0.000482158,0.000481727,0.00072715,0.00045891,0.000546701,0.000468061,0.000471513,0.000437157,0.000478409,0.000520227,0.000489037,0.000526836,0.000497844,0.00054116,0.000546324
-14.5362,0.000452667,0.000623301,0.000534068,0.000462985,0.000510441,0.000516833,0.000676959,0.00046738,0.000558923,0.000458456,0.000483977,0.000474819,0.000486985,0.000543156,0.000498001,0.000527737,0.000525373,0.000567687,0.000521999
-14.0362,0.000477398,0.000663387,0.0005529,0.000477502,0.000543769,0.000551997,0.000635975,0.000495024,0.000577866,0.000457309,0.000500086,0.000512332,0.000504137,0.00056887,0.000514761,0.000537337,0.000558542,0.000615058,0.000510161
-13.5362,0.000513992,0.000674042,0.000579869,0.000494004,0.00056916,0.000577555,0.000611285,0.00052869,0.000596965,0.000471746,0.000514377,0.000539634,0.000526585,0.000591858,0.000532557,0.000552256,0.000585822,0.000673387,0.000511577
-13.0362,0.000547094,0.000655805,0.000602245,0.000511101,0.000579224,0.000583874,0.000600255,0.000553709,0.000604191,0.000496416,0.000523842,0.000551321,0.000548608,0.000608391,0.000548634,0.000566514,0.000601632,0.000725722,0.000522955
-12.5362,0.00056901,0.000618714,0.000609711,0.000524607,0.000572379,0.000571395,0.000594986,0.000560778,0.000593135,0.000518109,0.000528975,0.000544613,0.000561493,0.000616854,0.00056139,0.000574471,0.000605715,0.000759275,0.000536092
-12.0362,0.000578597,0.000576416,0.000602795,0.000530468,0.000554033,0.000549572,0.000589293,0.000552648,0.000572164,0.000522951,0.000529537,0.000526563,0.000562201,0.000617221,0.000567145,0.000576721,0.000605238,0.000770338,0.000545775
-11.5362,0.000579184,0.000539707,0.000585219,0.000525973,0.00053255,0.000528876,0.000581452,0.000537151,0.000556569,0.000511941,0.000525959,0.000510958,0.000555646,0.000610246,0.000566482,0.000574891,0.000603866,0.00076165,0.000550078
-11.0362,0.000576733,0.00051631,0.000558507,0.000517148,0.000516161,0.000518894,0.000571114,0.000524803,0.000553938,0.000496751,0.000519512,0.000506999,0.000546771,0.000597716,0.000562566,0.00057056,0.000601446,0.000741598,0.000549302
-10.5362,0.000570267,0.00050625,0.000533612,0.000507076,0.000507744,0.000518555,0.000561267,0.00052,0.000557919,0.000488118,0.000511879,0.000513334,0.000538759,0.000581827,0.00055667,0.000563338,0.000595646,0.000716991,0.000545028
-10.0362,0.00055509,0.000503512,0.000521452,0.000498166,0.0005029,0.000518355,0.000554941,0.000519133,0.000558647,0.000488072,0.000503752,0.000518909,0.000530099,0.000564181,0.000549237,0.000553259,0.000583742,0.000692322,0.000538717
-9.53622,0.000529722,0.000498499,0.000523046,0.000490464,0.000495915,0.000509782,0.000552349,0.00051496,0.000550033,0.000488356,0.000493654,0.000514625,0.000517956,0.000544751,0.000538261,0.000541583,0.000568576,0.000666521,0.000530979
-9.03622,0.000499254,0.000486945,0.000526252,0.000480932,0.000484069,0.00049076,0.000550234,0.0005024,0.000533464,0.000478998,0.000479282,0.000501283,0.000501773,0.000524762,0.00052243,0.000531764,0.000553781,0.000635709,0.000521822
-8.53622,0.000471229,0.000471213,0.000515549,0.000467828,0.000468718,0.000465377,0.000543443,0.000482009,0.000512925,0.000457335,0.000459556,0.000484534,0.000482573,0.000506809,0.000502773,0.000523839,0.00054183,0.000597636,0.000511352
-8.03622,0.000450487,0.000456296,0.000488494,0.000450521,0.000454826,0.0004395,0.000530242,0.00045897,0.000493288,0.000430325,0.000437423,0.000467181,0.000462331,0.000492139,0.000481582,0.00051513,0.000532965,0.000554186,0.000500302
-7.53622,0.000438718,0.000445608,0.000456731,0.000433689,0.000444651,0.000418404,0.00051466,0.000439731,0.00047875,0.000407256,0.000419739,0.000449274,0.000445305,0.000480662,0.000460851,0.000505769,0.000525803,0.000511697,0.000489874
-7.03622,0.000435915,0.000438831,0.000433919,0.000423129,0.000438908,0.000405715,0.000503477,0.000428336,0.000472248,0.000393159,0.000411349,0.000433754,0.000436455,0.000473263,0.000442439,0.000500002,0.000519733,0.000479338,0.000481752
-6.53622,0.000440331,0.000434635,0.000426466,0.000421915,0.000437982,0.000403583,0.000501172,0.000425382,0.000473442,0.000388386,0.000413664,0.000426734,0.000438589,0.000472045,0.000429078,0.000503051,0.000515565,0.000462401,0.000477506
-6.03622,0.000448733,0.000432698,0.000432053,0.000431198,0.00044231,0.000412818,0.000506147,0.000430244,0.00047869,0.000391398,0.0004261,0.000433379,0.000451108,0.00047875,0.000423823,0.000515652,0.000516045,0.00045984,0.000478486
-5.53622,0.000460413,0.000434104,0.000444975,0.000448974,0.000453413,0.000430303,0.000515111,0.000441726,0.000485872,0.000399881,0.000446559,0.000453927,0.000470026,0.000492234,0.00042726,0.000533862,0.00052438,0.000466221,0.000485547
-5.03622,0.00047674,0.000440134,0.000461003,0.000473859,0.000470949,0.000449927,0.000526547,0.00045929,0.000496254,0.000412527,0.000473524,0.000484198,0.000490221,0.000508418,0.000437654,0.000554254,0.000541223,0.000475616,0.000499275
-4.53622,0.000498788,0.00044918,0.000476825,0.000503218,0.000492663,0.000465028,0.000541221,0.000479625,0.000511273,0.00042788,0.00050259,0.000516906,0.000505817,0.000521944,0.000452742,0.000576328,0.000562692,0.000484664,0.000518791
-4.03622,0.000523375,0.000456991,0.000490832,0.000531132,0.000515981,0.000474231,0.000560468,0.000497978,0.000528677,0.000444241,0.000528719,0.000544599,0.000514332,0.000533373,0.000472088,0.000602215,0.00058187,0.000493429,0.000541486
-3.53622,0.000543602,0.000466434,0.000504385,0.00055898,0.000539584,0.000482994,0.000584031,0.000512248,0.000545208,0.000458968,0.000551452,0.000563831,0.000517629,0.000550562,0.000498657,0.000633641,0.000596879,0.000504919,0.000563954
-3.03622,0.000556546,0.000490722,0.000522471,0.000597851,0.000566863,0.000501109,0.00061111,0.000528748,0.000561688,0.000470726,0.000577981,0.000578209,0.000524757,0.000581964,0.000533687,0.000671829,0.00061528,0.000523737,0.000584642
-2.53622,0.000573751,0.000548383,0.00055277,0.000660693,0.000603489,0.000534104,0.00064684,0.000565772,0.000582689,0.00048439,0.000622834,0.000597447,0.000549278,0.000629256,0.000576929,0.000721887,0.000654041,0.000552825,0.00060668
-2.03622,0.000619535,0.000639068,0.000594426,0.000751291,0.000652339,0.000577626,0.000709375,0.000639736,0.000609785,0.000507539,0.000695774,0.000626276,0.000598653,0.00068585,0.000626116,0.000786758,0.000731318,0.000584948,0.000638241
-1.53622,0.000699971,0.00074178,0.000633084,0.000853074,0.000707993,0.000617888,0.00079723,0.000742788,0.000635644,0.000546422,0.000786746,0.000656385,0.000664948,0.000743291,0.000671456,0.000854403,0.00085076,0.0006073,0.000686596
-1.03622,0.000792349,0.000824284,0.000650723,0.000937759,0.000752614,0.000643203,0.000879333,0.000834987,0.000651052,0.000590114,0.000867946,0.000674933,0.000727194,0.000789104,0.000698134,0.000903798,0.000981707,0.000613538,0.000745032
-0.536224,0.000880325,0.000868201,0.000639326,0.000994183,0.000774314,0.000650351,0.000924751,0.000889334,0.000653152,0.00062505,0.000920643,0.000673783,0.000773744,0.000816857,0.000699066,0.000920637,0.00109997,0.000603789,0.000808861
-0.0362243,0.000941713,0.000862166,0.000597137,0.00100953,0.000756362,0.000633646,0.000884607,0.000876508,0.000642554,0.000635239,0.000918332,0.00064688,0.000790365,0.000811209,0.000663456,0.000884117,0.0011732,0.000580216,0.00086535
0.463776,0.000941008,0.000811874,0.000554966,0.000982625,0.000707664,0.000602449,0.00077694,0.000806857,0.000628436,0.000613488,0.000856644,0.000610128,0.000770076,0.00076515,0.000612809,0.000806936,0.00116873,0.000557277,0.000879589
0.963776,0.000889831,0.000750751,0.000538686,0.000935377,0.000659191,0.000575654,0.000678306,0.000731088,0.000617346,0.000583374,0.000772172,0.000583434,0.000727526,0.000710289,0.000576291,0.000727584,0.00110839,0.000544262,0.000846974
