Arc_length vs Data,010_06months_DTI_antsBM,012_06months_DTI_antsBM,013_05months_DTI_antsBM,014_05months_DTI_antsBM,016_04months_DTI_antsBM,019_04months_DTI_antsBM,020_05months_DTI_antsBM,021_05months_DTI_antsBM,022_05months_DTI_antsBM,023_05months_DTI_antsBM,025_04months_DTI_antsBM,028_04months_DTI_antsBM,029_04months_DTI_antsBM,030_04months_DTI_antsBM,031_04months_DTI_antsBM,032_06months_DTI_antsBM,035_06months_DTI_antsBM,036_06months_DTI_antsBM,Atlas
-25.5673,0.00080977,0.000885768,0.000727983,0.000981568,0.000791822,0.000982491,0.000730007,0.000882381,0.000961927,0.000776535,0.000790487,0.000878084,0.000925968,0.000705613,0.000967529,0.000738008,0.00088955,0.000795724,0.000535414
-25.0673,0.000774447,0.000827249,0.000704598,0.000910374,0.000776845,0.000939948,0.000660646,0.000845163,0.00093071,0.00076744,0.000747015,0.000846728,0.000875959,0.000688109,0.000919776,0.000702909,0.000837749,0.000744509,0.000564531
-24.5673,0.000712153,0.000743382,0.000656669,0.000791039,0.000757221,0.000881632,0.000549181,0.000782133,0.000875474,0.000715814,0.000669999,0.000789249,0.000803752,0.000646973,0.00083258,0.000639482,0.000778739,0.000670787,0.000609584
-24.0673,0.000689533,0.000740426,0.00064183,0.000751402,0.000791801,0.000886062,0.000494178,0.000799017,0.00089997,0.000719319,0.000656404,0.000802268,0.000805891,0.000653844,0.000816883,0.000629999,0.000804318,0.00067134,0.000632989
-23.5673,0.000704738,0.000759982,0.000650365,0.000753088,0.000821843,0.000905985,0.000500135,0.000826415,0.0009339,0.00075746,0.000674915,0.000820374,0.000831986,0.000685624,0.000826081,0.000643054,0.000835123,0.000692664,0.000629608
-23.0673,0.000720244,0.000760254,0.000656619,0.000742144,0.000827831,0.000903943,0.000531583,0.000812606,0.000928464,0.000777029,0.000675936,0.000803509,0.000840818,0.000707451,0.000816645,0.000641446,0.000825323,0.000692351,0.000617143
-22.5673,0.000729731,0.000754831,0.000667801,0.000721358,0.000825204,0.000888861,0.000580688,0.000775715,0.000893049,0.000784184,0.000666323,0.000775888,0.000835544,0.000717091,0.000793274,0.000636641,0.000790038,0.000674787,0.000604548
-22.0673,0.000731033,0.000736117,0.000682397,0.000680356,0.000807469,0.000848679,0.000648697,0.000713992,0.000821068,0.000771129,0.000635238,0.000734587,0.000810198,0.000701799,0.000747753,0.000624443,0.000724698,0.00063171,0.000596932
-21.5673,0.000713091,0.000699604,0.000689282,0.000616122,0.000767495,0.000781423,0.000726087,0.00063676,0.000723541,0.000732564,0.000583571,0.000691588,0.000759796,0.000648283,0.000688316,0.000607473,0.000639604,0.000564152,0.000605984
-21.0673,0.000676363,0.000652398,0.000679567,0.000551549,0.000712831,0.000706243,0.00078458,0.000578295,0.00064703,0.000686672,0.000537019,0.000664755,0.000700892,0.000571043,0.000633878,0.000593095,0.00057376,0.00049568,0.000628309
-20.5673,0.000628601,0.000596026,0.000650156,0.000497141,0.000648964,0.000635692,0.000805565,0.000539576,0.000606426,0.000645157,0.000510836,0.000636575,0.000643361,0.000501326,0.000587684,0.000574759,0.000533692,0.000445452,0.000650308
-20.0673,0.000579266,0.000538959,0.000608851,0.000461773,0.000587624,0.000579697,0.000782785,0.000509091,0.000592675,0.000610842,0.000508297,0.000597106,0.000591749,0.000467762,0.000549505,0.000549777,0.000511789,0.000424909,0.000659974
-19.5673,0.000542317,0.000494555,0.000574129,0.000447601,0.000545472,0.000540171,0.000728275,0.000485305,0.000586879,0.000578168,0.000514751,0.000552024,0.000550842,0.000478249,0.00052062,0.000520261,0.000499848,0.000431219,0.00065281
-19.0673,0.000526562,0.000468253,0.000554624,0.000447631,0.000527305,0.000516485,0.000671175,0.000473963,0.000580859,0.000545511,0.000519671,0.000519753,0.000520858,0.000520744,0.000509782,0.00049779,0.00049461,0.000451779,0.000637371
-18.5673,0.0005318,0.000455625,0.000549388,0.000455598,0.0005262,0.000507234,0.000633938,0.000479015,0.0005795,0.000513533,0.000520549,0.000511596,0.000499822,0.0005731,0.000518374,0.000489944,0.000496165,0.000469417,0.000621423
-18.0673,0.000547006,0.000447076,0.000552604,0.000462779,0.000530456,0.000506141,0.000618278,0.000496308,0.000583166,0.000487865,0.000523483,0.000519045,0.000479102,0.000612588,0.000535455,0.000496171,0.000502018,0.000477858,0.000612354
-17.5673,0.000557335,0.000436486,0.000552818,0.000464645,0.000526873,0.000506184,0.000613664,0.000511839,0.000586099,0.000473724,0.000529795,0.000525136,0.000455867,0.000625589,0.000549086,0.000506208,0.000507839,0.000482613,0.000611285
-17.0673,0.000551552,0.000425018,0.000542714,0.000461233,0.000509958,0.00050205,0.000612848,0.000513379,0.000578416,0.000470915,0.00053031,0.000517319,0.000433816,0.000613255,0.000552604,0.000509292,0.000508442,0.00049027,0.000613198
-16.5673,0.000526343,0.000419117,0.000521078,0.000455767,0.000481925,0.000496421,0.000612919,0.000498803,0.000558617,0.000472722,0.000516976,0.000495908,0.000419623,0.000585632,0.000546055,0.000499468,0.000502344,0.000499258,0.000609068
-16.0673,0.000490119,0.000420403,0.000494791,0.000451867,0.000452498,0.000495307,0.00061137,0.000477788,0.000532503,0.000466344,0.000491916,0.000471564,0.000417809,0.000555383,0.00053086,0.000478934,0.000490046,0.000502959,0.000592002
