Arc_length vs Data,010_06months_DTI_antsBM,012_06months_DTI_antsBM,013_05months_DTI_antsBM,014_05months_DTI_antsBM,016_04months_DTI_antsBM,019_04months_DTI_antsBM,020_05months_DTI_antsBM,021_05months_DTI_antsBM,022_05months_DTI_antsBM,023_05months_DTI_antsBM,025_04months_DTI_antsBM,028_04months_DTI_antsBM,029_04months_DTI_antsBM,030_04months_DTI_antsBM,031_04months_DTI_antsBM,032_06months_DTI_antsBM,035_06months_DTI_antsBM,036_06months_DTI_antsBM,Atlas
-27.3023,0.000837905,0.000874,0.000763432,0.000870573,0.00087672,0.000978007,0.000896926,0.000897641,0.000838531,0.000820255,0.00092958,0.000899393,0.000858913,0.000955138,0.000936044,0.000906802,0.000890342,0.000920872,0.000860233
-26.8023,0.000799575,0.00083537,0.00074653,0.000846996,0.000850554,0.000927215,0.000895756,0.000870851,0.000820385,0.000789573,0.000888954,0.000875544,0.000825035,0.000912341,0.00091153,0.000877595,0.000859621,0.000881879,0.000823828
-26.3023,0.000762285,0.000788608,0.000722451,0.000811361,0.000811704,0.000861729,0.000876297,0.000832457,0.000791475,0.000751721,0.000836,0.000834861,0.000781921,0.000856183,0.000861214,0.000837614,0.000817183,0.000831768,0.000791758
-25.8023,0.000723622,0.000735251,0.000695712,0.00076673,0.000760826,0.000782951,0.000841359,0.000785319,0.000752467,0.000710003,0.000772179,0.000779823,0.000732151,0.00079093,0.000791522,0.000788793,0.000769482,0.000775215,0.0007612
-25.3023,0.000696794,0.000689985,0.000672595,0.000723831,0.000713413,0.000711131,0.00080114,0.00074352,0.000716064,0.000676198,0.000715634,0.000728571,0.000690747,0.000733049,0.00072478,0.00074412,0.000728651,0.0007316,0.000742298
-24.8023,0.000687809,0.000670939,0.000668817,0.000688711,0.000685694,0.000669696,0.000778521,0.000718202,0.000698622,0.000671118,0.000684725,0.000699585,0.00067601,0.000704539,0.000686853,0.000718799,0.000706259,0.000715015,0.000743357
-24.3023,0.00069639,0.000677605,0.000679779,0.000677539,0.000685062,0.000667825,0.000783781,0.000707087,0.000705541,0.000688933,0.000678264,0.000696811,0.000683858,0.000708653,0.000691102,0.000715388,0.000705779,0.000717425,0.000756485
-23.8023,0.000711202,0.000692765,0.000687848,0.0006872,0.00069902,0.000689681,0.000802701,0.000708067,0.000721331,0.000717351,0.000687603,0.000705804,0.000699177,0.000727609,0.000715808,0.000725584,0.000716576,0.000723604,0.00076963
-23.3023,0.000716399,0.000698814,0.000690398,0.000696338,0.00070875,0.000707937,0.000817916,0.000704525,0.000730318,0.000732787,0.000692359,0.000712863,0.000707509,0.000740672,0.000734074,0.000730636,0.000722465,0.000720613,0.000769843
-22.8023,0.000718849,0.000697933,0.000692551,0.000704853,0.000714478,0.000720213,0.000830828,0.000697649,0.000733591,0.000734909,0.000691726,0.00072156,0.000713471,0.000747138,0.000747639,0.000733191,0.000725193,0.000717076,0.000760381
-22.3023,0.000722579,0.00069349,0.000694487,0.000713713,0.000718015,0.000728083,0.000837821,0.00069472,0.000734533,0.000732762,0.000692168,0.000730746,0.000721147,0.000748478,0.00075456,0.00073534,0.000726415,0.000715652,0.000747499
-21.8023,0.000722672,0.000684126,0.000691285,0.000719002,0.000716792,0.000727907,0.000834127,0.000693376,0.000732946,0.000727663,0.000691121,0.000735465,0.000728362,0.000742165,0.00074994,0.000733508,0.000724044,0.000712616,0.000732764
-21.3023,0.000714844,0.000669938,0.000680234,0.000717598,0.000709021,0.000718237,0.000819063,0.000692231,0.000725763,0.000721571,0.000686446,0.00072926,0.000733537,0.000728191,0.000732285,0.000725706,0.000716418,0.000702621,0.000717322
