Arc_length vs Data,007_08months_DTI_antsBM,008_08months_DTI_antsBM,013_09months_DTI_antsBM,014_09months_DTI_antsBM,016_08months_DTI_antsBM,017_07months_DTI_antsBM,018_07months_DTI_antsBM,019_08months_DTI_antsBM,020_08months_DTI_antsBM,021_08months_DTI_antsBM,022_08months_DTI_antsBM,023_08months_DTI_antsBM,025_07months_DTI_antsBM,026_07months_DTI_antsBM,027_07months_DTI_antsBM,028_07months_DTI_antsBM,029_08months_DTI_antsBM,030_08months_DTI_antsBM,031_07months_DTI_antsBM,032_09months_DTI_antsBM,033_07months_DTI_antsBM,034_07months_DTI_antsBM,034_09months_DTI_antsBM,035_09months_DTI_antsBM,036_09months_DTI_antsBM,Atlas
-20.6662,0.000818935,0.00087134,0.000846909,0.000786072,0.0010034,0.000777735,0.000875309,0.000893882,0.000958867,0.000780754,0.000832286,0.000890784,0.00084347,0.000800371,0.000869195,0.000901474,0.00093997,0.000675253,0.000967058,0.000863719,0.000846668,0.000606485,0.000863392,0.000823095,0.000888371,0.000704619
-20.1662,0.000789333,0.000822686,0.000697826,0.000741376,0.000959362,0.000745317,0.000816323,0.000875319,0.000908706,0.000751599,0.000802972,0.00086952,0.000802284,0.000779484,0.000838539,0.000799329,0.000862775,0.000709599,0.000881041,0.000819917,0.000780503,0.000563889,0.000774282,0.000760438,0.000789536,0.000599895
-19.6662,0.000770546,0.000790413,0.000584877,0.000712847,0.000920244,0.00073521,0.0007851,0.000863361,0.000858174,0.000735305,0.000789632,0.000855155,0.000782031,0.000765228,0.00082185,0.000760369,0.000817514,0.000769351,0.000822213,0.000786067,0.000742113,0.000542278,0.000726701,0.000731468,0.000741361,0.000521209
-19.1662,0.00074426,0.000764796,0.000519527,0.000694382,0.000875062,0.000733498,0.000765687,0.000838009,0.000819129,0.000721217,0.000775937,0.000832189,0.000737611,0.000752553,0.00080267,0.000742551,0.000794815,0.000776,0.000791698,0.000756664,0.000729428,0.000520124,0.000697817,0.000711737,0.000743991,0.000491329
-18.6662,0.000721999,0.000743017,0.000487787,0.000677033,0.000837227,0.000741969,0.000748834,0.000804063,0.000797102,0.000711441,0.000758437,0.000807768,0.000710138,0.000743837,0.000783746,0.000729435,0.000761154,0.000793123,0.000774352,0.000742157,0.000720675,0.0004955,0.000690272,0.000680699,0.000732042,0.00047218
-18.1662,0.000708482,0.000723573,0.000488971,0.000661708,0.000800698,0.000741821,0.000734213,0.000775632,0.000774784,0.000697475,0.000747634,0.000790177,0.000700436,0.000727584,0.000758904,0.000736312,0.000746122,0.00082161,0.000767255,0.000732485,0.000720611,0.000482071,0.000701347,0.000668054,0.000729527,0.000495383
-17.6662,0.000699121,0.000704007,0.000499249,0.000649082,0.000764775,0.000733172,0.00071797,0.000749752,0.000750937,0.000681171,0.00073659,0.000772042,0.00069833,0.000707711,0.000730408,0.000744783,0.000737399,0.000848138,0.000761963,0.000721878,0.000722612,0.00047466,0.00071617,0.000661084,0.000737131,0.000536559
-17.1662,0.000691773,0.000685437,0.000503685,0.000639174,0.000732663,0.000718739,0.000701408,0.000727471,0.000728477,0.000665629,0.000725968,0.000755554,0.000709552,0.000688097,0.000702925,0.000753657,0.000731038,0.000867826,0.000754686,0.000712424,0.00072454,0.000472571,0.000732113,0.000656965,0.00074296,0.000580555
-16.6662,0.000682566,0.000667145,0.000503164,0.000632077,0.000701774,0.000699146,0.000684693,0.000705887,0.000706312,0.000650739,0.00071545,0.00073877,0.000722099,0.000669332,0.000677579,0.000760846,0.000728045,0.000866128,0.000744512,0.000701821,0.000727847,0.000473892,0.000742675,0.000657944,0.00075062,0.000624702
-16.1662,0.000671427,0.00065306,0.000513519,0.000628721,0.000679276,0.000682874,0.000671174,0.000685198,0.000692712,0.00064079,0.000704586,0.00072314,0.00073005,0.000657981,0.0006619,0.000760577,0.00072269,0.000838881,0.000732845,0.00069493,0.000730785,0.000475906,0.00074301,0.000658672,0.0007519,0.000651962
-15.6662,0.000659001,0.000643284,0.00054125,0.000626353,0.000664684,0.000671641,0.000661791,0.000666474,0.0006867,0.000634238,0.000695718,0.000711484,0.000729014,0.000652764,0.000654904,0.000755985,0.000715615,0.000797459,0.000722497,0.000692467,0.000733674,0.000477931,0.00073518,0.000660687,0.00074494,0.000665227
-15.1662,0.000645402,0.00063486,0.000582144,0.000621558,0.000652513,0.000662352,0.000653675,0.000648419,0.000681064,0.000626453,0.00068699,0.00070175,0.000716454,0.000648863,0.000649616,0.000747868,0.000705734,0.000757803,0.000713091,0.000690421,0.000734808,0.000478391,0.000721166,0.000661725,0.000734439,0.000669952
-14.6662,0.000629559,0.000625102,0.000614523,0.000612017,0.000639118,0.00065104,0.000644454,0.000630525,0.000671223,0.000614658,0.000676347,0.000691897,0.000697143,0.000643005,0.000640673,0.000737114,0.000691924,0.000726943,0.000702498,0.000686041,0.000731976,0.000475654,0.00070377,0.000658056,0.00072215,0.000667742
-14.1662,0.000609701,0.000611277,0.000620191,0.000596627,0.00062117,0.000634396,0.000631769,0.000609886,0.000654412,0.000597631,0.000660757,0.000679141,0.000674596,0.000632787,0.000624507,0.000723278,0.000672377,0.00070314,0.000687597,0.000676591,0.000722978,0.000467204,0.0006836,0.000646959,0.000706108,0.0006584
-13.6662,0.000586618,0.00059274,0.00060448,0.000576808,0.000598572,0.000612671,0.00061577,0.000585203,0.00063196,0.000576218,0.000639755,0.000662015,0.000650595,0.00061843,0.000602287,0.000706519,0.000647861,0.000682758,0.000668079,0.000661678,0.000707424,0.000452417,0.000661196,0.000629151,0.000686212,0.000642695
-13.1662,0.000561628,0.000570411,0.0005785,0.000554421,0.000573075,0.000587499,0.000597417,0.000557449,0.000606864,0.000552448,0.000614796,0.000640581,0.000625166,0.00060102,0.000577125,0.000687134,0.000620625,0.000662932,0.000645593,0.00064168,0.000686221,0.000431455,0.000637407,0.000606532,0.000662365,0.000622766
-12.6662,0.000536907,0.000547162,0.000552014,0.000532507,0.000548033,0.000561579,0.000578563,0.00053066,0.000582688,0.000530223,0.000589605,0.000616766,0.000599561,0.000582272,0.000553301,0.000666549,0.000594602,0.000644104,0.000623872,0.00061802,0.000662963,0.000405912,0.000614051,0.000582218,0.000636407,0.000601497
-12.1662,0.000514041,0.000526366,0.000528775,0.000513467,0.000526137,0.000537214,0.000560558,0.000509162,0.000561671,0.00051283,0.000568617,0.000593041,0.000575972,0.000563556,0.000533845,0.000646605,0.000573852,0.000626659,0.000605749,0.000592791,0.00064226,0.000377571,0.000592166,0.000558995,0.000611183,0.00058109
-11.6662,0.000493773,0.000509866,0.000508727,0.000497704,0.000506898,0.000515117,0.000543245,0.000493399,0.000543156,0.000500622,0.000553227,0.000570513,0.000555393,0.000544818,0.000519232,0.000627711,0.000560118,0.00060891,0.000590739,0.000567681,0.000626627,0.000347764,0.000571497,0.000537987,0.000588028,0.000562155
-11.1662,0.000477576,0.000497975,0.000491611,0.000485039,0.000488261,0.000495502,0.000525904,0.000480935,0.000526023,0.000490703,0.000542455,0.000549698,0.00053745,0.000526037,0.000508825,0.000609895,0.000552041,0.000589902,0.000576619,0.000544058,0.000614687,0.000317762,0.000551862,0.000519531,0.000568022,0.00054459
-10.6662,0.00046659,0.000489962,0.000477969,0.000474752,0.000469014,0.000478685,0.000508741,0.000468714,0.000510133,0.000478902,0.000533696,0.00053185,0.00052117,0.000508228,0.000501858,0.000593214,0.000547192,0.000569887,0.000561845,0.000523318,0.000602569,0.000289631,0.000534342,0.000503881,0.000552137,0.000528613
-10.1662,0.00046054,0.000484597,0.000468518,0.000466898,0.000450836,0.000466346,0.00049378,0.00045585,0.000497283,0.000464004,0.000525015,0.000518907,0.000506521,0.000493365,0.000498135,0.000578647,0.000543686,0.000551485,0.00054737,0.000507548,0.000587611,0.000266904,0.000521302,0.00049164,0.000541097,0.000515237
-9.66617,0.000458704,0.000481695,0.000464392,0.000463358,0.000438627,0.00046189,0.000485433,0.000445387,0.000490538,0.000450512,0.000518083,0.000513606,0.000495907,0.00048406,0.000498287,0.00056897,0.000541694,0.000539114,0.000536851,0.000499661,0.000572326,0.00025513,0.000515682,0.000484647,0.000536053,0.000506882
-9.16617,0.000461196,0.000482093,0.000465955,0.00046618,0.000438036,0.000467696,0.00048719,0.00044199,0.000492057,0.000445778,0.000516894,0.000517546,0.000493183,0.00048257,0.000503413,0.000567667,0.000542854,0.00053667,0.000534523,0.000502403,0.000563139,0.000259919,0.000519972,0.000485775,0.000537563,0.000506491
-8.66617,0.000468764,0.000486232,0.000472544,0.000475621,0.000451795,0.000482556,0.000497935,0.000448058,0.000501808,0.000454172,0.000524195,0.000529445,0.000500364,0.00048848,0.000513853,0.000576784,0.00054766,0.000545014,0.000541707,0.000515739,0.000565623,0.000280424,0.000533,0.000496388,0.000545004,0.000515473
-8.16617,0.000479615,0.000491943,0.000481544,0.000488349,0.000475764,0.000501183,0.000511772,0.000460009,0.000516127,0.000471178,0.000537,0.000543782,0.000514726,0.000497992,0.000527039,0.00059289,0.000553724,0.000559105,0.000554828,0.000534948,0.000579624,0.000308032,0.000548514,0.000513093,0.000554796,0.000530307
-7.66617,0.000488929,0.000494284,0.000490381,0.000499649,0.000499862,0.00051657,0.000522743,0.000470649,0.000529014,0.000487978,0.000547918,0.000553921,0.000529124,0.000504958,0.000538608,0.000607365,0.000557586,0.000572494,0.000565749,0.000552575,0.000597703,0.000332444,0.000559288,0.000529168,0.000561805,0.000543506
-7.16617,0.000491712,0.000489677,0.000496632,0.000505675,0.000516465,0.000523697,0.000528048,0.000474562,0.000534518,0.00049778,0.000552294,0.000555225,0.000536654,0.00050375,0.00054488,0.000614046,0.000556439,0.000581738,0.000567504,0.000562667,0.000612197,0.000347575,0.000561107,0.000537527,0.000562409,0.000548458
-6.66617,0.000485633,0.000476686,0.000497744,0.000504683,0.000521237,0.000521193,0.000528249,0.000469265,0.000529112,0.000497729,0.000548497,0.000547225,0.000534529,0.000491288,0.000545155,0.000610577,0.000550573,0.000587413,0.000558341,0.000563086,0.000617215,0.000354707,0.000555629,0.000534107,0.000555337,0.000543157
-6.16617,0.000474983,0.00046152,0.000494722,0.000499011,0.000517325,0.000513684,0.000527101,0.00045874,0.000515666,0.000492854,0.000539958,0.000533599,0.000527738,0.000471694,0.000542022,0.000601955,0.000543014,0.000593955,0.000542688,0.000557761,0.000613397,0.000360723,0.000550641,0.000522509,0.000545258,0.000532357
-5.66617,0.000467761,0.000451907,0.000491272,0.00049598,0.000512642,0.000508837,0.00052878,0.00044802,0.000503199,0.000490466,0.000531924,0.000520229,0.000525736,0.000454357,0.00054042,0.00059713,0.00053903,0.000605953,0.000528306,0.000554243,0.000609417,0.000370073,0.000553549,0.000512031,0.000539482,0.000524363
-5.16617,0.000471679,0.000452978,0.000495138,0.000505932,0.00051457,0.00051338,0.000539176,0.000443381,0.000503038,0.000497386,0.000530257,0.000516145,0.000534333,0.000448509,0.000548005,0.000603135,0.000545119,0.000629091,0.000521316,0.000559506,0.000616119,0.000383871,0.000567755,0.000512292,0.00054455,0.000526161
-4.66617,0.000490309,0.000469331,0.00051243,0.000534648,0.000527815,0.000530143,0.000562267,0.000451337,0.000521723,0.000517584,0.000542509,0.000529317,0.000551563,0.000458162,0.000571156,0.000624461,0.000563404,0.000668077,0.000526837,0.000576264,0.000642084,0.000402203,0.000592925,0.000528766,0.000563337,0.000539533
-4.16617,0.000517459,0.000495334,0.000539972,0.000573782,0.000545214,0.000550974,0.000591746,0.000470256,0.00055053,0.000543639,0.000567153,0.000556891,0.00056699,0.000477382,0.000604052,0.000653646,0.000588537,0.000714216,0.000542222,0.000598906,0.000677817,0.000415936,0.000622685,0.000555472,0.000588697,0.000559729
-3.66617,0.000538476,0.000518927,0.000565398,0.000604797,0.000556098,0.000564852,0.000613919,0.000489985,0.00057303,0.000562479,0.000595395,0.000582555,0.000571148,0.00049407,0.000630117,0.000675888,0.000608939,0.000747462,0.00055711,0.00061603,0.00070381,0.000418276,0.000646036,0.000579886,0.000608014,0.000577571
-3.16617,0.000542628,0.000528625,0.000578391,0.00062012,0.000555168,0.000569153,0.000621517,0.00049682,0.000579501,0.00056791,0.00061437,0.00059044,0.000565379,0.000500389,0.000633363,0.000681106,0.000614968,0.000756734,0.000560141,0.000620227,0.000705668,0.000412992,0.000657449,0.000592898,0.000612549,0.000586055
-2.66617,0.000534641,0.000521328,0.000582405,0.000628539,0.000547268,0.000563139,0.000620154,0.000488528,0.000575201,0.000561507,0.000620566,0.000579816,0.000559273,0.000498715,0.000615461,0.000673527,0.000608484,0.000752802,0.000549034,0.00061009,0.000689953,0.000411153,0.000660771,0.000594104,0.000603422,0.00058522
-2.16617,0.000533649,0.000511714,0.00059198,0.000650178,0.000548701,0.000556352,0.000627146,0.00048128,0.000581839,0.000557907,0.000625288,0.000568341,0.000564798,0.000498243,0.000599904,0.000676693,0.000600674,0.000768813,0.000538419,0.000592599,0.000689049,0.000435012,0.000668799,0.000592213,0.000591616,0.000582894
-1.66617,0.00055372,0.000517007,0.000617815,0.0006924,0.000570131,0.000555236,0.000651701,0.000499616,0.000610945,0.000567465,0.000641874,0.00057502,0.000581671,0.000508159,0.000611977,0.000707572,0.000600833,0.000828684,0.000544247,0.000579735,0.000723423,0.000488772,0.000688893,0.000594898,0.000587978,0.000585127
-1.16617,0.000593092,0.000544374,0.000654393,0.000739283,0.000608085,0.00056057,0.000686611,0.000555637,0.000652593,0.000587781,0.00067699,0.000602665,0.000598829,0.000530117,0.000661502,0.000760342,0.00061165,0.000923511,0.000569503,0.000580722,0.000787565,0.000555189,0.000713391,0.000604435,0.000596544,0.000592282
-0.666169,0.000634594,0.000588064,0.000684262,0.000771159,0.00064827,0.000575057,0.000715081,0.000630309,0.000689349,0.000610311,0.000718382,0.000637458,0.000605199,0.000555487,0.000732435,0.000814168,0.000626611,0.00101698,0.000604064,0.000597879,0.000849644,0.000611379,0.000728424,0.000618728,0.000612953,0.000600718
-0.166169,0.000654251,0.00062525,0.000695406,0.000777226,0.000671492,0.000591443,0.000720639,0.000688495,0.000706548,0.000623014,0.000744715,0.000662628,0.000599675,0.000572844,0.000792922,0.000840262,0.000636413,0.00107899,0.00062559,0.000621999,0.000872766,0.000635116,0.000723546,0.000630954,0.000628269,0.000607219
0.333831,0.000640691,0.000631028,0.000679892,0.00075572,0.000663829,0.00059875,0.00070019,0.000695762,0.000695218,0.000617794,0.000737072,0.000661791,0.000586397,0.000570269,0.000808721,0.000820558,0.000632624,0.00107705,0.000617285,0.000635974,0.000844077,0.000618486,0.000699777,0.00063002,0.000629767,0.000605846
0.833831,0.000603458,0.00060108,0.000643265,0.00071416,0.000630094,0.000593243,0.000661915,0.000649579,0.000661294,0.000598034,0.000695914,0.000636376,0.000572502,0.000547453,0.000767689,0.000766524,0.000616563,0.0010093,0.000585893,0.000630105,0.000782527,0.000571666,0.000668196,0.000612939,0.000614712,0.000596135
1.33383,0.000565268,0.000552244,0.000603047,0.000663929,0.000590559,0.000579577,0.000624214,0.000581844,0.000622341,0.000574442,0.000645675,0.000603874,0.000562998,0.000518942,0.000693802,0.000708994,0.000598799,0.000905778,0.000554422,0.000610648,0.000724144,0.000516411,0.000642256,0.000588255,0.00059277,0.000582688
1.83383,0.000543309,0.000513686,0.000573065,0.000619079,0.000564073,0.000571822,0.000603275,0.000526528,0.000594608,0.000556927,0.000610437,0.000581576,0.000559879,0.000499048,0.000627521,0.000675454,0.00059061,0.000799861,0.000545044,0.000593763,0.000694116,0.00047362,0.000627662,0.000570613,0.000575897,0.000571794
2.33383,0.000541083,0.000503473,0.000563272,0.00059716,0.000558075,0.000574374,0.000603486,0.00050083,0.000588452,0.000550952,0.000600238,0.00057903,0.000564789,0.000495045,0.000598033,0.00067362,0.000596196,0.000732961,0.000559419,0.000589762,0.000696844,0.000456116,0.000624789,0.00056839,0.000573147,0.000568227
2.83383,0.000541479,0.000508847,0.000563711,0.000592913,0.000561024,0.000575863,0.000610547,0.000495371,0.000592447,0.00054744,0.000602797,0.000583479,0.00057077,0.000498576,0.000599209,0.000682847,0.000602951,0.000703878,0.000572299,0.000593081,0.000708385,0.000454989,0.000619992,0.000570838,0.000577808,0.000566145
3.33383,0.00052917,0.000509609,0.000555359,0.000587144,0.000556778,0.000565337,0.000607013,0.000488861,0.000583035,0.000535388,0.000596755,0.000576565,0.000568832,0.000495296,0.000599655,0.000676538,0.000597078,0.000684234,0.000563497,0.000588983,0.000702782,0.000450015,0.00060342,0.000561361,0.000577474,0.000556466
3.83383,0.000506297,0.000496677,0.000533277,0.00056664,0.000542325,0.00054041,0.000587688,0.000472249,0.000556877,0.000513598,0.000576229,0.000555129,0.000557155,0.000481607,0.000580522,0.000649878,0.000576329,0.000657338,0.000537985,0.000571629,0.000675383,0.000434009,0.000577721,0.000536489,0.000568273,0.000539021
4.33383,0.000482774,0.000476838,0.000506083,0.000532782,0.000523406,0.000513207,0.000560431,0.000451587,0.000525707,0.000489273,0.000550574,0.000529781,0.000540952,0.000465432,0.000548645,0.000616606,0.000549046,0.000623718,0.000513585,0.000547835,0.000639205,0.000410779,0.000552056,0.000507921,0.000554738,0.000520601
