Arc_length vs Data,007_08months_DTI_antsBM,008_08months_DTI_antsBM,013_09months_DTI_antsBM,014_09months_DTI_antsBM,016_08months_DTI_antsBM,017_07months_DTI_antsBM,018_07months_DTI_antsBM,019_08months_DTI_antsBM,020_08months_DTI_antsBM,021_08months_DTI_antsBM,022_08months_DTI_antsBM,023_08months_DTI_antsBM,025_07months_DTI_antsBM,026_07months_DTI_antsBM,027_07months_DTI_antsBM,028_07months_DTI_antsBM,029_08months_DTI_antsBM,030_08months_DTI_antsBM,031_07months_DTI_antsBM,032_09months_DTI_antsBM,033_07months_DTI_antsBM,034_07months_DTI_antsBM,034_09months_DTI_antsBM,035_09months_DTI_antsBM,036_09months_DTI_antsBM,Atlas
-26.477,0.000765274,0.000712219,0.000694007,0.000659594,0.000709975,0.000659523,0.000741103,0.00077011,0.000817337,0.00070479,0.000760562,0.00077001,0.000833205,0.000693528,0.000717108,0.000799917,0.000774671,0.000783599,0.000832662,0.000760252,0.000778245,0.000546247,0.000848127,0.000768758,0.000856237,0.000764148
-25.977,0.000762982,0.00072402,0.000699167,0.000661136,0.000734727,0.000665729,0.000750491,0.000788717,0.000832758,0.000733498,0.000770914,0.000767589,0.000887355,0.000694119,0.000720841,0.000823063,0.000779704,0.000784807,0.000848595,0.000765328,0.000783232,0.000551962,0.000856408,0.000775668,0.000864409,0.000767698
-25.477,0.000761316,0.000737658,0.000704784,0.000666861,0.000761124,0.00067671,0.000757087,0.00081496,0.000857771,0.000764243,0.000785253,0.000766688,0.000935782,0.000701903,0.000728196,0.000841139,0.00078624,0.000787587,0.000863527,0.000770877,0.000792456,0.000559118,0.000861967,0.000785065,0.000867515,0.000771101
-24.977,0.000755931,0.00074864,0.000703778,0.000672848,0.000781099,0.000688782,0.000756376,0.000831091,0.000877452,0.00079056,0.000797771,0.000765336,0.000967801,0.000710429,0.000733926,0.000849043,0.000788599,0.000790829,0.00087416,0.000773227,0.000800943,0.000560368,0.000858015,0.000790054,0.000855389,0.000769072
-24.477,0.000738012,0.000744357,0.000685501,0.000669053,0.000776144,0.000687623,0.000740984,0.000807565,0.000868731,0.000791638,0.000792458,0.000755749,0.000950025,0.000706646,0.000726824,0.000833716,0.000778153,0.000782834,0.000862208,0.000761483,0.00079716,0.000544347,0.000832221,0.000777992,0.000817111,0.000752194
-23.977,0.000710109,0.000722612,0.000665512,0.000657019,0.000747874,0.000668837,0.000715788,0.000752363,0.000839284,0.000761975,0.000771581,0.0007395,0.000889579,0.000691967,0.000704682,0.000798434,0.00076462,0.000785455,0.000825048,0.000736748,0.000780788,0.000520247,0.000793097,0.000755008,0.000788941,0.000726287
-23.477,0.000680187,0.000691514,0.000648818,0.00063941,0.00070682,0.000642405,0.000686558,0.000691378,0.00079747,0.000716164,0.00074599,0.000721937,0.00081796,0.00067425,0.000674793,0.000758656,0.000754189,0.000800766,0.000778874,0.000708456,0.000759467,0.000493615,0.000755682,0.000727802,0.000777709,0.000704221
-22.977,0.000653045,0.000660127,0.000626053,0.000619344,0.000663834,0.00061543,0.00065399,0.000638774,0.000756611,0.000671888,0.000714276,0.000704104,0.000753804,0.000656091,0.000644073,0.000725177,0.000739568,0.000783148,0.000734224,0.000679974,0.000737607,0.000464681,0.000722214,0.000700101,0.000746072,0.000684801
-22.477,0.000631088,0.00063341,0.000605394,0.000601068,0.000629217,0.00059409,0.000625603,0.000597156,0.000723859,0.000637039,0.000684183,0.00068833,0.000707042,0.000641513,0.000616818,0.000699578,0.000724155,0.000750796,0.000699429,0.000659205,0.000719593,0.000438388,0.00069619,0.000677113,0.000716402,0.000672638
-21.977,0.000616156,0.000613293,0.000587851,0.000585361,0.000606821,0.000581146,0.000605715,0.00056767,0.000697794,0.00061631,0.000660161,0.000676436,0.000679644,0.00063184,0.00059555,0.000683127,0.00070746,0.000707633,0.000678849,0.000648744,0.000707241,0.000415964,0.000678054,0.000660091,0.000689421,0.000669336
-21.477,0.000609042,0.000600766,0.000578807,0.000574688,0.000597334,0.000577141,0.000597541,0.000550851,0.000679401,0.000611154,0.000646836,0.000670418,0.000668238,0.000627396,0.00058336,0.000677306,0.000692748,0.000668361,0.000672872,0.000648342,0.000702362,0.000401161,0.000668208,0.000650934,0.000673628,0.000673396
-20.977,0.00060892,0.000594244,0.00058138,0.000569288,0.000594225,0.000580611,0.000599732,0.000547805,0.000664407,0.000617988,0.000649499,0.000671186,0.00066643,0.000628359,0.000580389,0.000681217,0.000686023,0.000659172,0.000678203,0.000655108,0.000705472,0.000395846,0.000667525,0.000649116,0.000681597,0.000683029
-20.477,0.000612056,0.000590573,0.00058561,0.000566392,0.00058648,0.000586782,0.000602696,0.000556586,0.000649031,0.000631269,0.000661136,0.000674204,0.000665059,0.000630861,0.000582819,0.000691983,0.00068427,0.000663075,0.000687081,0.000660172,0.000711711,0.000394137,0.000670681,0.000650201,0.000690166,0.000690037
-19.977,0.000615362,0.000589271,0.000586538,0.000565256,0.00057354,0.000593187,0.000602231,0.000572219,0.000636627,0.000646718,0.000674194,0.000675343,0.00066229,0.000632447,0.000587724,0.000705767,0.000686139,0.000669146,0.000696517,0.000661807,0.00071718,0.000392787,0.000674727,0.000652422,0.000692883,0.000690064
-19.477,0.00061568,0.00058945,0.00058426,0.000564873,0.000561924,0.000597187,0.000598397,0.000586354,0.000630071,0.00065765,0.000681731,0.000671712,0.000659142,0.000631062,0.000591436,0.000715396,0.000688677,0.000673532,0.00070338,0.000660825,0.000718229,0.000389863,0.00067645,0.000654364,0.000692833,0.000682155
-18.977,0.00060975,0.000588513,0.000579063,0.000563245,0.000556343,0.000596188,0.000591232,0.000591494,0.000627721,0.000657746,0.000678332,0.000663426,0.000655985,0.000624663,0.000591606,0.00071499,0.000687017,0.000675235,0.000702906,0.00065758,0.000713459,0.000384167,0.000673264,0.000652369,0.000691561,0.000667472
-18.477,0.000596374,0.00058266,0.000567461,0.000557333,0.000554984,0.000587817,0.000579398,0.000584097,0.000623318,0.000645507,0.000661427,0.000651851,0.000651101,0.000610998,0.000587149,0.000702412,0.000675457,0.000672294,0.000691377,0.000650845,0.000703707,0.000376014,0.000664795,0.000642044,0.000686471,0.000647466
-17.977,0.000576789,0.000570842,0.000547167,0.000545343,0.000551622,0.000572392,0.000563258,0.00056524,0.000611152,0.00062502,0.000633713,0.000636779,0.000641554,0.000589789,0.00057758,0.000678807,0.000652485,0.000662789,0.000669586,0.000637714,0.000690229,0.000366897,0.000651454,0.0006207,0.000675479,0.000624185
-17.477,0.000554026,0.000555805,0.000516542,0.000528472,0.000541736,0.000552345,0.000545481,0.000538868,0.000590052,0.000602606,0.00060118,0.000616959,0.000625186,0.000563165,0.000562936,0.00064775,0.000623077,0.000645748,0.000643466,0.000616882,0.000674524,0.000358757,0.000634632,0.000588587,0.000658767,0.000599879
-16.977,0.000532415,0.000542947,0.000479625,0.000510362,0.000527256,0.000531482,0.000531052,0.000510161,0.000564825,0.000582456,0.000571294,0.0005926,0.000603149,0.000535519,0.00054588,0.000615901,0.000594724,0.000624298,0.000621089,0.000591144,0.000659687,0.000353292,0.000616943,0.000550359,0.000638801,0.000578029
-16.477,0.000515624,0.000535934,0.000445792,0.000495259,0.000513474,0.000512278,0.000523867,0.000483369,0.000541457,0.000564981,0.000546878,0.000566282,0.000579786,0.000509906,0.000530322,0.000589701,0.000573058,0.000603442,0.000606681,0.000565389,0.00064988,0.000350024,0.00060055,0.000512433,0.000619186,0.000561316
