Arc_length vs Data,007_08months_DTI_antsBM,008_08months_DTI_antsBM,013_09months_DTI_antsBM,014_09months_DTI_antsBM,016_08months_DTI_antsBM,017_07months_DTI_antsBM,018_07months_DTI_antsBM,019_08months_DTI_antsBM,020_08months_DTI_antsBM,021_08months_DTI_antsBM,022_08months_DTI_antsBM,023_08months_DTI_antsBM,025_07months_DTI_antsBM,026_07months_DTI_antsBM,027_07months_DTI_antsBM,028_07months_DTI_antsBM,029_08months_DTI_antsBM,030_08months_DTI_antsBM,031_07months_DTI_antsBM,032_09months_DTI_antsBM,033_07months_DTI_antsBM,034_07months_DTI_antsBM,034_09months_DTI_antsBM,035_09months_DTI_antsBM,036_09months_DTI_antsBM,Atlas
-11.0665,0.000632151,0.000659564,0.000566742,0.000701386,0.000676067,0.000701663,0.000697121,0.000685989,0.000701853,0.000678032,0.000728337,0.000807076,0.000728287,0.000678731,0.000706147,0.000718868,0.000719274,0.000862698,0.000741943,0.000694888,0.000812511,0.000487314,0.000687849,0.000692334,0.000738647,0.000771163
-10.5665,0.000634424,0.000658587,0.00056999,0.000675705,0.000671999,0.000693892,0.000680112,0.000671584,0.000682904,0.000666428,0.000712746,0.000792946,0.000722976,0.000673835,0.000700294,0.00071837,0.00071237,0.000824856,0.000753682,0.000690998,0.000800331,0.000481387,0.000678948,0.000689426,0.000731347,0.00075135
-10.0665,0.00063917,0.000657637,0.000577993,0.000658414,0.000676776,0.000690549,0.000670328,0.000663902,0.000672244,0.000659819,0.000705389,0.000780922,0.000723201,0.000673902,0.000699279,0.000722041,0.000709761,0.00079842,0.000763732,0.000690811,0.000791811,0.000482015,0.000673965,0.000687988,0.000727658,0.000736991
-9.56653,0.000646719,0.000655708,0.000588171,0.000647406,0.000688344,0.000689848,0.000668836,0.000661431,0.000667929,0.000656733,0.000704548,0.000771125,0.000726238,0.000676922,0.000701737,0.000728323,0.000711324,0.000779118,0.000772784,0.000693158,0.000785345,0.000487015,0.000672211,0.000687309,0.000726498,0.000725912
-9.06653,0.000655626,0.000650633,0.000596078,0.000637543,0.000695986,0.000684264,0.000666481,0.000659757,0.000665289,0.000653588,0.000706141,0.000758834,0.000726941,0.000678848,0.000703124,0.000733053,0.00071348,0.00075909,0.000776545,0.000693545,0.000774008,0.000488857,0.000670903,0.000684697,0.000723859,0.000714144
-8.56653,0.000665399,0.00064454,0.000600891,0.000630691,0.000695226,0.000673284,0.00066227,0.000658658,0.000664199,0.000652392,0.000711505,0.000744668,0.000723923,0.000679745,0.000703143,0.000735801,0.000716009,0.000740741,0.000775548,0.000692365,0.000759018,0.000485603,0.000671366,0.000681822,0.000721715,0.000703099
-8.06653,0.000676011,0.000639638,0.000603662,0.000625249,0.000688082,0.000659477,0.000655846,0.000658918,0.000663315,0.000654664,0.000719991,0.000730295,0.00071776,0.000679856,0.000702039,0.000737678,0.000718475,0.000723056,0.000772848,0.000690472,0.000742274,0.000476958,0.000674126,0.000680394,0.000721125,0.000692457
-7.56653,0.000687465,0.000638629,0.000607558,0.000621641,0.000680209,0.000648404,0.000649013,0.000661925,0.0006624,0.000662629,0.000731737,0.000718633,0.000710744,0.000680645,0.000701267,0.000741337,0.000721139,0.000707895,0.000771005,0.000690257,0.000727629,0.000466293,0.000680979,0.000682549,0.00072319,0.000682619
-7.06653,0.000698976,0.000643379,0.000615559,0.000622664,0.00067987,0.000647423,0.000647174,0.000668907,0.000663606,0.000677694,0.000746178,0.000714244,0.000705938,0.000684013,0.000702296,0.00074927,0.000724842,0.0007008,0.000771512,0.000694032,0.000721545,0.000458949,0.000692466,0.000690169,0.00072895,0.000675146
-6.56653,0.000707048,0.000651358,0.000626272,0.000628351,0.000688491,0.000656794,0.000651696,0.000677172,0.000667228,0.000695282,0.000758076,0.00071766,0.000703485,0.000688682,0.000703666,0.000760319,0.000728328,0.00070367,0.000771778,0.000700048,0.000725575,0.000455902,0.000704714,0.000700991,0.000734919,0.000670013
-6.06653,0.000707413,0.000657274,0.000634984,0.000635852,0.000697565,0.000667846,0.000658134,0.000679693,0.000671265,0.000708078,0.000760582,0.000723343,0.000699468,0.000690874,0.000700876,0.000770313,0.000728835,0.000712742,0.000767488,0.000703997,0.000735361,0.000452937,0.000711449,0.00071028,0.000735999,0.000665374
-5.56653,0.00069756,0.000656252,0.000636704,0.000640816,0.000697331,0.000671128,0.000660459,0.000671371,0.000672786,0.000710804,0.000749775,0.000723782,0.000689628,0.000686443,0.000690143,0.000774486,0.000723749,0.000722025,0.000756387,0.000701977,0.000744582,0.000444473,0.000708113,0.000713563,0.000728265,0.000659573
-5.06653,0.000675882,0.000644527,0.000627525,0.000639745,0.000682638,0.000660486,0.00065433,0.000650616,0.000667422,0.000700967,0.000725278,0.000713507,0.000671126,0.000672148,0.000670553,0.000768961,0.000710655,0.000725719,0.000737588,0.000692091,0.000747678,0.000426726,0.000694319,0.000707366,0.000709943,0.000652308
-4.56653,0.000643878,0.000621721,0.000606471,0.000631977,0.000654177,0.000635678,0.000638822,0.000619969,0.000652456,0.000679273,0.000691616,0.00069169,0.000644507,0.000648163,0.000643428,0.000752592,0.000689738,0.000719709,0.000711413,0.00067508,0.000742734,0.000399963,0.000672892,0.000691282,0.000683736,0.000644053
-4.06653,0.000604231,0.000590255,0.000575513,0.000616701,0.000615064,0.000599242,0.000614032,0.000582569,0.000626058,0.000647031,0.000654033,0.000660728,0.00061137,0.000616829,0.000609871,0.000726171,0.000663493,0.0007022,0.0006789,0.000651952,0.000730097,0.000365467,0.000646204,0.000666667,0.000653219,0.000635521
-3.56653,0.000562369,0.000556092,0.000540076,0.000591876,0.000571249,0.000555396,0.000582888,0.00054284,0.000590597,0.000606531,0.00061915,0.000625755,0.000576728,0.000582621,0.000570846,0.000693588,0.000635669,0.000674026,0.000644035,0.000625678,0.000710561,0.000327472,0.000616971,0.000636592,0.000623448,0.000628043
-3.06653,0.00052435,0.000526141,0.000506105,0.000555984,0.000527732,0.000509053,0.000550661,0.000502016,0.000550829,0.000560386,0.000592586,0.000593055,0.000549155,0.000548909,0.000527004,0.000659409,0.000607987,0.000639314,0.000611683,0.000598647,0.00068516,0.000292378,0.000588928,0.000604259,0.00059682,0.000621748
-2.56653,0.000496013,0.000502433,0.000484685,0.000519305,0.000492586,0.000468237,0.000524302,0.00046582,0.000514487,0.0005145,0.000573842,0.000566371,0.000532657,0.000520983,0.000488891,0.00062707,0.000586458,0.000609325,0.000585948,0.000572848,0.000658623,0.000267292,0.000566179,0.000576299,0.000575312,0.000616527
-2.06653,0.000480129,0.000488271,0.00047613,0.000492687,0.000472788,0.000447307,0.000513746,0.000442151,0.000490208,0.00048295,0.000568499,0.000548807,0.00053168,0.000501303,0.000467021,0.000605009,0.000572617,0.000595789,0.000570228,0.000556832,0.00063905,0.000257851,0.000555585,0.000555717,0.00056131,0.000613309
-1.56653,0.000484486,0.000484901,0.000483646,0.000497333,0.000474806,0.000456701,0.00052797,0.000444648,0.000489015,0.000477456,0.000578425,0.000545651,0.000548878,0.000496277,0.000476651,0.000605083,0.000574264,0.000623687,0.000566107,0.000553293,0.000642711,0.000266213,0.000563307,0.000549991,0.000560419,0.000617599
-1.06653,0.000512226,0.000496958,0.000507087,0.000541343,0.000507223,0.000502951,0.000569056,0.000482185,0.000516702,0.000506805,0.000608991,0.00055785,0.000581347,0.000507482,0.000521526,0.000636976,0.000595628,0.00069972,0.000574861,0.000565722,0.000679556,0.000294482,0.000592102,0.000561824,0.000579406,0.000634376
