Arc_length vs Data,007_08months_DTI_antsBM,008_08months_DTI_antsBM,013_09months_DTI_antsBM,014_09months_DTI_antsBM,016_08months_DTI_antsBM,017_07months_DTI_antsBM,018_07months_DTI_antsBM,019_08months_DTI_antsBM,020_08months_DTI_antsBM,021_08months_DTI_antsBM,022_08months_DTI_antsBM,023_08months_DTI_antsBM,025_07months_DTI_antsBM,026_07months_DTI_antsBM,027_07months_DTI_antsBM,028_07months_DTI_antsBM,029_08months_DTI_antsBM,030_08months_DTI_antsBM,031_07months_DTI_antsBM,032_09months_DTI_antsBM,033_07months_DTI_antsBM,034_07months_DTI_antsBM,034_09months_DTI_antsBM,035_09months_DTI_antsBM,036_09months_DTI_antsBM,Atlas
-18.9593,0.000757879,0.000771151,0.000728434,0.000742412,0.000805741,0.000826314,0.000844218,0.000783564,0.000789013,0.000696581,0.000827015,0.00101382,0.000775876,0.000711291,0.000775999,0.000828386,0.000883222,0.000931768,0.000861804,0.000715001,0.000941745,0.000568793,0.000869988,0.000708716,0.000771011,0.000611079
-18.4593,0.000722508,0.000725879,0.000694457,0.000699192,0.000740698,0.000793885,0.000767323,0.000708437,0.000747367,0.000674013,0.000789178,0.000951694,0.000752072,0.000691027,0.00072184,0.000816891,0.000857164,0.000876547,0.000828276,0.000689322,0.000893786,0.000520094,0.000830741,0.000691163,0.000827585,0.000642529
-17.9593,0.000693343,0.000687416,0.000664283,0.000667741,0.000694574,0.000756766,0.000711841,0.000654378,0.000712782,0.000653945,0.000759085,0.000895474,0.000726999,0.000676938,0.000674817,0.000793069,0.000826478,0.000833006,0.000800745,0.000672464,0.000858168,0.000489282,0.000794084,0.000676437,0.000836063,0.000655014
-17.4593,0.000671779,0.000658779,0.000640549,0.000647505,0.000661832,0.000725471,0.000670307,0.000620215,0.000686803,0.000639871,0.000735988,0.00084566,0.000707594,0.000668823,0.000638068,0.000768033,0.0007968,0.000796833,0.000779799,0.000665433,0.000831033,0.000472172,0.000760159,0.000667715,0.000831823,0.000665485
-16.9593,0.000656144,0.000635987,0.000620802,0.000635818,0.000641558,0.000699535,0.000637182,0.000600798,0.000668959,0.000631705,0.000717005,0.000794342,0.000694615,0.000666043,0.000610575,0.000742812,0.00076613,0.000762434,0.000762337,0.000669857,0.000806763,0.0004669,0.000727097,0.000663663,0.000817369,0.000677106
-16.4593,0.000655715,0.000632732,0.000614106,0.000638619,0.000651781,0.000688092,0.000627481,0.000614695,0.000674399,0.000644582,0.000713335,0.000753057,0.000697025,0.000677104,0.000615895,0.000732644,0.000739969,0.000724044,0.000751863,0.000695264,0.00079272,0.000475151,0.000726032,0.000673039,0.000786471,0.000693678
-15.9593,0.00066303,0.000640584,0.000613013,0.000640755,0.000667295,0.000676444,0.000631239,0.000635335,0.000686837,0.000665944,0.000716909,0.00073305,0.000703231,0.000692709,0.00064062,0.000737295,0.000721639,0.000683676,0.000742316,0.00071454,0.000783191,0.00047493,0.000754055,0.000684719,0.000754633,0.000707913
-15.4593,0.000664843,0.00063847,0.000605125,0.000633428,0.000664376,0.000655689,0.000628231,0.000635092,0.000685203,0.000668321,0.000712815,0.000724007,0.000698433,0.000698935,0.000646763,0.000735069,0.000706327,0.000657626,0.000731965,0.000710033,0.000773099,0.000464974,0.000764657,0.000681369,0.000733918,0.000709325
-14.9593,0.000663253,0.000630991,0.000596535,0.000624376,0.000656172,0.000635506,0.000623107,0.000627377,0.000676551,0.000660011,0.000704459,0.000717843,0.000690895,0.000699553,0.000641494,0.000727376,0.000693412,0.000645886,0.000723662,0.000697272,0.000763629,0.000458018,0.000762229,0.000670603,0.000720405,0.000704104
-14.4593,0.00065997,0.000622611,0.000591055,0.000617475,0.000651113,0.000619577,0.000619856,0.000620054,0.00066682,0.000649419,0.0006951,0.00071341,0.00068608,0.000697527,0.000634301,0.000719316,0.000683169,0.000644118,0.000717287,0.000684628,0.00075515,0.000456812,0.000752002,0.000658552,0.000710223,0.00069677
-13.9593,0.000655354,0.000614789,0.00058861,0.000611992,0.000652107,0.000608393,0.00061817,0.00061445,0.000657752,0.000640141,0.000685715,0.000711636,0.000684183,0.00069354,0.000628928,0.000713306,0.000675705,0.000647797,0.000711525,0.000674038,0.000747496,0.000458359,0.000737639,0.000647435,0.000701278,0.000688537
-13.4593,0.000649893,0.000608532,0.000588636,0.000607496,0.000658777,0.000601288,0.000618139,0.000610678,0.000649934,0.000633629,0.000677502,0.000712553,0.000684293,0.000687926,0.000626972,0.000710464,0.000671511,0.00065394,0.000705779,0.000666692,0.000741747,0.000459491,0.000720769,0.000639312,0.00069323,0.000679845
-12.9593,0.000644288,0.000604401,0.000589978,0.000603952,0.000667691,0.000596605,0.00061949,0.000608202,0.00064311,0.000629645,0.000671179,0.000714568,0.000684327,0.000681484,0.000628204,0.000709805,0.000670254,0.000659335,0.000699387,0.000662519,0.000738562,0.000457587,0.000704451,0.000634265,0.000685718,0.000670492
-12.4593,0.000639009,0.000602278,0.0005911,0.000601498,0.000674779,0.00059321,0.000621877,0.00060712,0.000637564,0.000627063,0.000667371,0.000715625,0.000682446,0.000675279,0.000631701,0.000709568,0.000670841,0.000662641,0.000692072,0.000660541,0.000737675,0.000452195,0.000693037,0.000631015,0.000678675,0.000660226
-11.9593,0.00063342,0.00059999,0.000591595,0.000600564,0.000677169,0.000591333,0.000624883,0.000607627,0.000633648,0.000625544,0.000665869,0.000713684,0.000678455,0.000669846,0.000636153,0.000708448,0.00067186,0.000665299,0.00068421,0.000659489,0.000737483,0.000445457,0.000688278,0.000628338,0.000672466,0.000649096
-11.4593,0.00062676,0.000594919,0.000591552,0.000600246,0.000673615,0.000591497,0.00062724,0.000609226,0.000631202,0.000624789,0.000665857,0.000708284,0.000673143,0.000664805,0.000640552,0.000705522,0.000672131,0.000668893,0.000676585,0.000657775,0.000735436,0.000439451,0.000689506,0.000625463,0.000667366,0.000637465
-10.9593,0.000620086,0.000587113,0.00059069,0.00059955,0.000665156,0.000593894,0.000628237,0.000611371,0.000629918,0.000624536,0.00066675,0.000700748,0.000668379,0.000659088,0.000644196,0.000701196,0.000671326,0.000674498,0.000670674,0.000654971,0.000730311,0.000435833,0.000692394,0.000623279,0.000663831,0.000626079
-10.4593,0.000615101,0.000580025,0.000588713,0.00059807,0.00065343,0.000597987,0.000627711,0.000613055,0.0006291,0.000624231,0.000667982,0.00069284,0.000665513,0.000651983,0.000646699,0.000696523,0.000669964,0.000681404,0.000667893,0.000651372,0.000723169,0.000434955,0.00069261,0.000623245,0.000661968,0.000615493
-9.95928,0.000612686,0.000577303,0.000585685,0.00059678,0.000639281,0.000602936,0.00062621,0.000613669,0.000628652,0.000623393,0.000670128,0.000686406,0.000664471,0.000643768,0.000648254,0.000692715,0.000669499,0.000688329,0.000668612,0.00064785,0.00071715,0.000436352,0.000688519,0.000626772,0.000661645,0.000606104
-9.45928,0.000612423,0.000579905,0.000582139,0.000597673,0.000624752,0.000608093,0.000625086,0.000613352,0.00062935,0.000622373,0.000673665,0.000683311,0.000664439,0.000635743,0.000649124,0.000690614,0.000671571,0.000694192,0.000672219,0.00064571,0.000715496,0.000439812,0.000681541,0.00063484,0.000662722,0.000598713
-8.95928,0.000612054,0.000585457,0.000579739,0.000601813,0.000612369,0.000612766,0.000625012,0.000612445,0.000631946,0.000622072,0.000678129,0.000683789,0.000664431,0.000629673,0.000649435,0.000690587,0.000676639,0.000698833,0.000677056,0.000645798,0.000719057,0.000445056,0.000674675,0.000646865,0.00066481,0.000593862
