Arc_length vs Data,007_08months_DTI_antsBM,008_08months_DTI_antsBM,013_09months_DTI_antsBM,014_09months_DTI_antsBM,016_08months_DTI_antsBM,017_07months_DTI_antsBM,018_07months_DTI_antsBM,019_08months_DTI_antsBM,020_08months_DTI_antsBM,021_08months_DTI_antsBM,022_08months_DTI_antsBM,023_08months_DTI_antsBM,025_07months_DTI_antsBM,026_07months_DTI_antsBM,027_07months_DTI_antsBM,028_07months_DTI_antsBM,029_08months_DTI_antsBM,030_08months_DTI_antsBM,031_07months_DTI_antsBM,032_09months_DTI_antsBM,033_07months_DTI_antsBM,034_07months_DTI_antsBM,034_09months_DTI_antsBM,035_09months_DTI_antsBM,036_09months_DTI_antsBM,Atlas
-14.9789,0.000428799,0.000260788,0.000494503,0.000306496,0.000382866,0.000284236,0.000163201,0.000384179,0.000656691,0.000587732,0.000145824,0.000127501,0.0002105,0.000220177,0.000329308,0.000573459,0.000197029,0.000670399,0.000648363,0.000498668,0.000277093,0.000664218,0.000391246,0.000314917,0.000353789,5.12317e-07
-14.4789,0.000426043,0.000320031,0.000528063,0.000315499,0.000441635,0.000376047,0.00018274,0.000387397,0.000643453,0.000579014,0.000130323,0.000143009,0.000248827,0.000214255,0.000344558,0.000607933,0.000262404,0.000697065,0.00069516,0.000570156,0.000275399,0.000669919,0.00046883,0.000366874,0.000376356,1.03859e-06
-13.9789,0.00043719,0.000360914,0.000534109,0.000335139,0.000470724,0.000434351,0.000186996,0.000398669,0.000622787,0.000576912,0.000138989,0.000187755,0.000290345,0.000204918,0.000378746,0.000640775,0.000334694,0.000710446,0.000712633,0.000605606,0.000314335,0.000663936,0.000516074,0.000398968,0.000432705,2.04234e-06
-13.4789,0.000445679,0.000362502,0.000513232,0.000355674,0.000465491,0.000491203,0.000179234,0.000384701,0.000590765,0.000576809,0.000163598,0.000270852,0.000348472,0.000203168,0.000414482,0.000662688,0.000400391,0.000704318,0.000718478,0.000620101,0.00033359,0.000659111,0.000556085,0.000438437,0.000512681,3.20771e-06
-12.9789,0.000401909,0.000308142,0.000458017,0.000374609,0.000427487,0.000562703,0.000195986,0.000320172,0.000562067,0.000567513,0.000225836,0.000385981,0.000410695,0.000217362,0.000429415,0.000692715,0.000480479,0.000700838,0.000711041,0.00063041,0.000321965,0.000665925,0.000595275,0.000490099,0.000626716,4.58099e-06
-12.4789,0.000301306,0.000213643,0.000386273,0.000399088,0.000367844,0.000612088,0.000268556,0.000238055,0.000578268,0.000543279,0.000294463,0.000466624,0.000450336,0.000217106,0.000381708,0.000731376,0.000518738,0.000720151,0.000689614,0.000626771,0.000308354,0.000685162,0.000614473,0.000527562,0.000733158,6.25614e-06
-11.9789,0.000194338,0.00013817,0.000354366,0.000417109,0.000331796,0.000650308,0.000388907,0.000202256,0.000653051,0.000508509,0.000325009,0.000480583,0.000468509,0.000226985,0.000294554,0.000786792,0.00051027,0.000751483,0.000684437,0.000630793,0.000321403,0.000710491,0.000630913,0.000562783,0.000793369,7.41929e-06
-11.4789,0.000123897,0.000130425,0.000410354,0.000429372,0.000363201,0.000697331,0.000557328,0.000224808,0.00079101,0.000475919,0.000318748,0.000440352,0.000488638,0.000246121,0.000251116,0.00088149,0.000511687,0.000788983,0.000711803,0.000650512,0.00037699,0.000735651,0.000674559,0.000598057,0.000818129,9.08074e-06
-10.9789,0.000145426,0.000217366,0.000564375,0.0004399,0.000470593,0.000754042,0.000738817,0.000306542,0.000985224,0.000473345,0.000280823,0.0003856,0.000540953,0.000270945,0.000281723,0.00099965,0.000558088,0.000808016,0.000767663,0.000684808,0.000460597,0.000753409,0.000755641,0.000624019,0.000810398,1.15204e-05
-10.4789,0.000207485,0.000299457,0.000706644,0.00043358,0.0005509,0.000788808,0.000845534,0.000363994,0.0011421,0.000487413,0.000256609,0.000348752,0.000595825,0.000290634,0.000333698,0.00106971,0.000621504,0.000798334,0.000811427,0.000719085,0.000499141,0.000757349,0.000835666,0.000653415,0.000779918,1.49061e-05
-9.97891,0.000276144,0.000347125,0.000801811,0.000432252,0.000575894,0.000803526,0.000889467,0.000392506,0.00124058,0.000510462,0.000263586,0.000340498,0.000640599,0.000295741,0.000372102,0.00108327,0.000677836,0.000766951,0.00083105,0.000755608,0.000487765,0.000747045,0.000896652,0.000690917,0.000737255,2.04244e-05
-9.47891,0.000335322,0.000362537,0.000841231,0.000441891,0.000553126,0.00080463,0.000886086,0.000411941,0.0012731,0.000533157,0.000285781,0.000360772,0.000671979,0.000305283,0.000374471,0.00104865,0.000710291,0.000764814,0.000829282,0.000797188,0.000466707,0.000718987,0.000929111,0.000741206,0.000709609,2.96757e-05
-8.97891,0.00037699,0.000359993,0.000834531,0.000457145,0.000509879,0.000798284,0.000850069,0.000425837,0.0012346,0.000545663,0.000319146,0.000405031,0.000688831,0.000321871,0.00037306,0.000979293,0.000715131,0.00079301,0.000814384,0.000836037,0.000455614,0.000667655,0.000933316,0.000799451,0.000702441,4.59658e-05
-8.47891,0.00040361,0.000371518,0.000801646,0.000469912,0.000489949,0.00078993,0.000800308,0.000438753,0.00113823,0.000546835,0.000358615,0.000469236,0.00069939,0.00034579,0.000392944,0.000900376,0.000710711,0.000833623,0.000794184,0.000854308,0.000471586,0.000596582,0.000910805,0.00083699,0.000713128,7.33687e-05
-7.97891,0.000413386,0.000392312,0.000743038,0.000466628,0.00049529,0.000767545,0.000735724,0.000439361,0.00100552,0.000533224,0.000400277,0.000533429,0.000705638,0.0003707,0.000430434,0.000815895,0.000709002,0.000863033,0.00076416,0.000831636,0.000501263,0.000514539,0.000863604,0.000837283,0.000724411,0.000119578
-7.47891,0.000413565,0.000410574,0.000665228,0.000447441,0.000501446,0.000724031,0.000659866,0.000434626,0.000864015,0.00050861,0.000443912,0.000579838,0.000707577,0.000388881,0.000474038,0.00072768,0.000706619,0.0008272,0.000716924,0.000765904,0.000514466,0.000431936,0.000795719,0.000798116,0.000706242,0.000188575
-6.97891,0.000412227,0.000419394,0.000583226,0.000426434,0.000491844,0.000662636,0.000583073,0.0004345,0.000734663,0.000481975,0.000473404,0.00059817,0.000705295,0.000402688,0.000501767,0.000644358,0.000693824,0.000740798,0.000655235,0.000676415,0.000510068,0.000358519,0.000714785,0.000729547,0.000658956,0.000273528
-6.47891,0.000413563,0.000419906,0.000509614,0.000409153,0.000469783,0.000593528,0.000516244,0.000438494,0.000627275,0.000461724,0.0004806,0.000594492,0.000698305,0.000410975,0.000513154,0.000577053,0.000662936,0.000635847,0.000592011,0.000587863,0.000496661,0.000301417,0.0006323,0.00064692,0.000599689,0.000358951
-5.97891,0.000414185,0.000409648,0.000450185,0.000394957,0.0004371,0.000526225,0.000465806,0.000433258,0.000543003,0.000447562,0.000471622,0.000579076,0.000684909,0.000408576,0.000508098,0.000531435,0.000612315,0.000537075,0.000539925,0.000516906,0.000480341,0.000266032,0.000558679,0.000566641,0.00054357,0.000424975
-5.47891,0.000414366,0.000389831,0.000406061,0.000382319,0.000399586,0.000470075,0.000432596,0.000415266,0.000480327,0.000437538,0.000457448,0.000559598,0.000666021,0.000398724,0.000492014,0.000506568,0.000555397,0.000464402,0.000504807,0.000467595,0.000464769,0.000258095,0.000501795,0.000502446,0.000500867,0.000460884
-4.97891,0.000415552,0.00036903,0.000374942,0.000370597,0.000363665,0.000431203,0.000412209,0.00039153,0.000435731,0.000429431,0.00044613,0.000537871,0.000641832,0.000390324,0.000474447,0.000495632,0.000506965,0.000424617,0.000482152,0.000439601,0.000450961,0.000269673,0.000464334,0.000461248,0.000473655,0.000468359
-4.47891,0.000416597,0.00035711,0.000351327,0.000362566,0.000335927,0.000407471,0.000399465,0.000370934,0.000403854,0.000424303,0.000440429,0.000515477,0.000610388,0.000388075,0.000461548,0.00048993,0.0004726,0.000407323,0.000464158,0.000428162,0.00044229,0.000282191,0.000442661,0.000438428,0.000457693,0.000457187
-3.97891,0.000415077,0.000357504,0.000333303,0.000358777,0.000325846,0.000394605,0.000391894,0.000359304,0.000382805,0.000426268,0.000441128,0.000498536,0.000569445,0.000391888,0.00045359,0.00048494,0.00045208,0.000402931,0.000451035,0.00042814,0.000442697,0.00027899,0.000432537,0.000426722,0.000450656,0.000438836
-3.47891,0.000409271,0.000363871,0.000322718,0.000357254,0.000333256,0.000388508,0.000389481,0.000357903,0.000371891,0.000435471,0.000446726,0.000489632,0.000522966,0.000398738,0.000447523,0.000478314,0.000440978,0.000405062,0.000446561,0.000433365,0.000449228,0.000256825,0.000430108,0.00042184,0.000451969,0.000420873
-2.97891,0.000401955,0.000368722,0.000321521,0.000356524,0.000347032,0.000387663,0.000391304,0.00036607,0.000369774,0.000446217,0.000454086,0.000486055,0.000481677,0.000405876,0.000443302,0.00046899,0.000435421,0.000409767,0.000450482,0.000436799,0.000456394,0.000226217,0.000433062,0.000421538,0.000459905,0.000407331
-2.47891,0.000398674,0.000371061,0.000328511,0.000358,0.000358154,0.000392682,0.000394468,0.000379936,0.000372915,0.000451514,0.000459224,0.00048352,0.00045737,0.000414007,0.000442894,0.000460407,0.00043363,0.000416912,0.000457706,0.000437495,0.000462412,0.000199875,0.000440364,0.000425412,0.000469669,0.000400014
-1.97891,0.000401643,0.000374908,0.000338311,0.00036362,0.00036853,0.000403404,0.000397038,0.000393035,0.000377733,0.000452723,0.000460259,0.000484468,0.000453659,0.000426995,0.000445051,0.000457015,0.000435992,0.000426769,0.000463887,0.000439092,0.000470158,0.000186889,0.000450178,0.00043244,0.000475427,0.000398759
-1.47891,0.000408758,0.000383679,0.000347147,0.000373998,0.00038542,0.000417938,0.000401651,0.000399575,0.00038366,0.000457229,0.000459393,0.000493305,0.000462744,0.000447578,0.000445723,0.000462793,0.000443447,0.000439792,0.000470156,0.000443732,0.00048215,0.000190099,0.000461128,0.000441017,0.000476714,0.000402187
-0.978906,0.00041665,0.000396812,0.000356184,0.000387213,0.000410693,0.000432075,0.000410237,0.000400431,0.000393524,0.000467565,0.000461443,0.000506705,0.000475473,0.000470746,0.000443634,0.000476741,0.000454434,0.000453789,0.000479979,0.000451799,0.000497644,0.000205558,0.00047336,0.000450558,0.000477629,0.000408135
-0.478906,0.000424589,0.000414656,0.000369207,0.00040037,0.000443815,0.000444816,0.000423586,0.000398776,0.000410502,0.000480719,0.000471952,0.000517314,0.000488846,0.000490563,0.000441506,0.000496365,0.000467958,0.000467514,0.000495759,0.000462493,0.000515707,0.000230856,0.000487926,0.000461914,0.000482879,0.00041589
0.021094,0.000434976,0.000437186,0.000387805,0.000410233,0.000476846,0.000454997,0.000441393,0.000399963,0.000434615,0.000487087,0.000493077,0.000517413,0.00050226,0.000499054,0.000445271,0.000519445,0.000481621,0.000480636,0.000515492,0.000475415,0.00053546,0.00026192,0.00050671,0.000475691,0.000494864,0.000425771
0.521094,0.000447534,0.000457531,0.00040575,0.000416019,0.000496944,0.000463203,0.000457493,0.000407972,0.00045531,0.000486582,0.000516701,0.0005125,0.000513625,0.000497375,0.000454699,0.000541094,0.000493257,0.000491839,0.000532819,0.000488978,0.000554366,0.0002912,0.00052799,0.000489798,0.000509546,0.00043814
